"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884423","Friendly","Plovdiv Cup (women)","04.10.2017 - 15:00","Maritza Plovdiv (women)","Bursa Buyuksehir Belediyesi (women)",
"Statistics","Maritza Plovdiv (women)","Type","Bursa Buyuksehir Belediyesi (women)",
,"0","Score","3",
,"52","Points","75",
,"0","Sets","3",
,"4","Aces","7",
,"7","Service errors","5",
,"29","Kills","35",
,"3","Blocks","12",
,"4","Errors","3",
,"10","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:06:20","00:00","Game conditions changed","Game conditions changed",
,"14:06:23","00:00","Players warming up","Players warming up",
,"14:40:12","00:00","Jersey colours updated","Jersey colours updated",
,"14:40:13","00:00","Jersey colours updated","Jersey colours updated",
,"14:44:09","00:00","Coin flipping","Coin flipping",
,"14:45:01","00:00","Warm up at the net","Warm up at the net",
,"14:55:48","00:00","Players lined up","Players lined up",
,"14:56:31","00:00","Shake hands","Shake hands",
,"14:57:27","00:00","Players intro","Players intro",
,"14:58:49","00:00","Game about to start","Game about to start",
,"14:59:33","00:00","Start SRV","Start SRV   Maritza Plovdiv (women)",
,"15:00:35","00:00","Start 1st Set","Start 1st Set",
,"15:00:36","00:00","SRV","SRV   Maritza Plovdiv (women)",
,"15:00:42","00:06","RS","RS   Maritza Plovdiv (women)",
,"15:00:42","00:07","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:00:45","00:10","B POSS","B POSS   Maritza Plovdiv (women)",
,"15:00:54","00:19","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:00:58","00:23","K","K   Bursa Buyuksehir Belediyesi (women)",
,"15:00:58","00:23","P","[0 : 1]   P   Bursa Buyuksehir Belediyesi (women)",
,"15:01:19","00:43","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"15:01:19","00:44","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"15:01:25","00:49","S ERR","S ERR   Bursa Buyuksehir Belediyesi (women)",
,"15:01:25","00:49","P","[1 : 1]   P   Maritza Plovdiv (women)",
,"15:01:38","01:02","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"15:01:38","01:02","SRV","SRV   Maritza Plovdiv (women)",
,"15:01:42","01:06","RS","RS   Maritza Plovdiv (women)",
,"15:01:42","01:06","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:01:46","01:10","K","K   Bursa Buyuksehir Belediyesi (women)",
,"15:01:46","01:10","P","[1 : 2]   P   Bursa Buyuksehir Belediyesi (women)",
,"15:02:07","01:31","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"15:02:07","01:31","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"15:02:10","01:35","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"15:02:11","01:35","B POSS","B POSS   Maritza Plovdiv (women)",
,"15:02:18","01:42","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
