"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"882700","Italy","Coppa Italia A1 (men)","04.10.2017 - 18:45","Argos Volley Sora","Volley Milano",
"Statistics","Argos Volley Sora","Type","Volley Milano",
,"0","Score","3",
,"61","Points","76",
,"0","Sets","3",
,"7","Aces","7",
,"12","Service errors","14",
,"30","Kills","46",
,"3","Blocks","4",
,"3","Errors","6",
,"4","Outs","1",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:51:31","00:00","Game conditions changed","Game conditions changed",
,"17:55:38","00:00","Players warming up","Players warming up",
,"18:29:38","00:00","Coin flipping","Coin flipping",
,"18:29:42","00:00","Warm up at the net","Warm up at the net",
,"18:35:25","00:00","Game conditions changed","Game conditions changed",
,"18:41:30","00:00","Jersey colours updated","Jersey colours updated",
,"18:41:30","00:00","Jersey colours updated","Jersey colours updated",
,"18:41:52","00:00","Players lined up","Players lined up",
,"18:42:22","00:00","Prize giving ceremony","Prize giving ceremony",
,"18:43:01","00:00","Shake hands","Shake hands",
,"18:44:19","00:00","Players intro","Players intro",
,"18:47:21","00:00","Start SRV","Start SRV   Volley Milano",
,"18:47:21","00:00","Game about to start","Game about to start",
,"18:48:13","00:00","Start 1st Set","Start 1st Set",
,"18:48:13","00:00","SRV","SRV   Volley Milano",
,"18:48:20","00:06","RS","RS   Volley Milano",
,"18:48:20","00:07","B POSS","B POSS   Argos Volley Sora",
,"18:48:21","00:07","B POSS","B POSS   Volley Milano",
,"18:48:24","00:11","B POSS","B POSS   Argos Volley Sora",
,"18:48:31","00:18","ERR","ERR   Volley Milano",
,"18:48:31","00:18","P","[1 : 0]   P   Argos Volley Sora",
,"18:48:47","00:34","Pt Conf","Pt Conf   Argos Volley Sora",
,"18:48:52","00:38","SRV","SRV   Argos Volley Sora",
,"18:48:54","00:41","RS","RS   Argos Volley Sora",
,"18:48:54","00:41","B POSS","B POSS   Volley Milano",
,"18:48:56","00:43","B POSS","B POSS   Argos Volley Sora",
,"18:48:57","00:44","B POSS","B POSS   Volley Milano",
,"18:48:58","00:45","K","K   Volley Milano",
,"18:48:58","00:45","P","[1 : 1]   P   Volley Milano",
