"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885512","Philippines","Premier Volleyball League Collegiate Conference (men)","04.10.2017 - 00:00","Ateneo Blue Eagles (students)","UST Tigres (students)",
"Statistics","Ateneo Blue Eagles (students)","Type","UST Tigres (students)",
,"3","Score","0",
,"75","Points","55",
,"3","Sets","0",
,"4","Aces","4",
,"6","Service errors","21",
,"30","Kills","28",
,"11","Blocks","4",
,"8","Errors","4",
,"5","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"23:35:44","00:00","Game conditions changed","Game conditions changed",
,"23:35:45","00:00","Players warming up","Players warming up",
,"23:36:02","00:00","Jersey colours updated","Jersey colours updated",
,"23:36:02","00:00","Jersey colours updated","Jersey colours updated",
,"23:46:37","00:00","National anthem singing","National anthem singing",
,"23:47:43","00:00","Players lined up","Players lined up",
,"23:48:54","00:00","Warm up at the net","Warm up at the net",
,"00:00:51","00:00","Players intro","Players intro",
,"00:01:57","00:00","Game about to start","Game about to start",
,"00:02:14","00:00","Start SRV","Start SRV   Ateneo Blue Eagles (students)",
,"00:02:43","00:00","Start 1st Set","Start 1st Set",
,"00:02:43","00:00","SRV","SRV   Ateneo Blue Eagles (students)",
,"00:02:46","00:03","RS","RS   Ateneo Blue Eagles (students)",
,"00:02:46","00:03","B POSS","B POSS   UST Tigres (students)",
,"00:02:50","00:06","K","K   UST Tigres (students)",
,"00:02:50","00:06","P","[0 : 1]   P   UST Tigres (students)",
,"00:03:00","00:17","Pt Conf","Pt Conf   UST Tigres (students)",
,"00:03:04","00:21","SRV","SRV   UST Tigres (students)",
,"00:03:08","00:24","RS","RS   UST Tigres (students)",
,"00:03:08","00:24","B POSS","B POSS   Ateneo Blue Eagles (students)",
,"00:03:10","00:27","K","K   Ateneo Blue Eagles (students)",
,"00:03:10","00:27","P","[1 : 1]   P   Ateneo Blue Eagles (students)",
,"00:03:31","00:47","Pt Conf","Pt Conf   Ateneo Blue Eagles (students)",
,"00:03:31","00:47","Danger","Danger",
,"00:03:31","00:48","Scout offline","Scout offline",
,"00:03:57","01:13","Updating score","Updating score",
,"00:03:59","01:15","K","K   Ateneo Blue Eagles (students)",
,"00:03:59","01:15","P","[2 : 1]   P   Ateneo Blue Eagles (students)",
,"00:04:06","01:23","K","K   UST Tigres (students)",
,"00:04:06","01:23","P","[2 : 2]   P   UST Tigres (students)",
,"00:04:13","01:29","Score updated","Score updated",
,"00:04:16","01:33","SRV","SRV   UST Tigres (students)",
,"00:04:20","01:36","RS","RS   UST Tigres (students)",
,"00:04:20","01:36","B POSS","B POSS   Ateneo Blue Eagles (students)",
,"00:04:24","01:40","OUT","OUT   UST Tigres (students)",
,"00:04:24","01:40","P","[3 : 2]   P   Ateneo Blue Eagles (students)",
,"00:04:33","01:49","Pt Conf","Pt Conf   Ateneo Blue Eagles (students)",
,"00:04:39","01:55","SRV","SRV   Ateneo Blue Eagles (students)",
,"00:04:42","01:58","RS","RS   Ateneo Blue Eagles (students)",
,"00:04:42","01:58","B POSS","B POSS   UST Tigres (students)",
,"00:04:46","02:03","B POSS","B POSS   Ateneo Blue Eagles (students)",
,"00:04:53","02:09","K","K   Ateneo Blue Eagles (students)",
,"00:04:53","02:09","P","[4 : 2]   P   Ateneo Blue Eagles (students)",
,"00:05:19","02:35","Pt Conf","Pt Conf   Ateneo Blue Eagles (students)",
,"00:05:25","02:41","SRV","SRV   Ateneo Blue Eagles (students)",
,"00:05:27","02:44","S ERR","S ERR   Ateneo Blue Eagles (students)",
,"00:05:27","02:44","P","[4 : 3]   P   UST Tigres (students)",
,"00:05:42","02:58","Pt Conf","Pt Conf   UST Tigres (students)",
,"00:05:44","03:01","SRV","SRV   UST Tigres (students)",
,"00:05:47","03:04","RS","RS   UST Tigres (students)",
,"00:05:47","03:04","B POSS","B POSS   Ateneo Blue Eagles (students)",
,"00:05:52","03:09","B","B   UST Tigres (students)",
