"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879465","Poland","Polska Liga (men)","04.10.2017 - 16:00","Effector Kielce","AZS UWM Olsztyn",
"Statistics","Effector Kielce","Type","AZS UWM Olsztyn",
,"0","Score","3",
,"47","Points","75",
,"0","Sets","3",
,"0","Aces","8",
,"9","Service errors","9",
,"31","Kills","40",
,"6","Blocks","10",
,"3","Errors","1",
,"5","Outs","0",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:47:34","00:00","Players warming up","Players warming up",
,"15:47:36","00:00","Game conditions changed","Game conditions changed",
,"15:50:12","00:00","Coin flipping","Coin flipping",
,"15:50:32","00:00","Warm up at the net","Warm up at the net",
,"15:56:38","00:00","Jersey colours updated","Jersey colours updated",
,"15:56:39","00:00","Jersey colours updated","Jersey colours updated",
,"16:03:40","00:00","Shake hands","Shake hands",
,"16:05:29","00:00","Players intro","Players intro",
,"16:06:40","00:00","Players lined up","Players lined up",
,"16:07:04","00:00","Game about to start","Game about to start",
,"16:07:35","00:00","Start SRV","Start SRV   AZS UWM Olsztyn",
,"16:07:43","00:00","Start SRV","Start SRV   AZS UWM Olsztyn",
,"16:07:46","00:00","Start 1st Set","Start 1st Set",
,"16:07:46","00:00","SRV","SRV   AZS UWM Olsztyn",
,"16:07:48","00:01","RS","RS   AZS UWM Olsztyn",
,"16:07:48","00:02","B POSS","B POSS   Effector Kielce",
,"16:07:50","00:04","K","K   Effector Kielce",
,"16:07:50","00:04","P","[1 : 0]   P   Effector Kielce",
,"16:08:08","00:22","Pt Conf","Pt Conf   Effector Kielce",
,"16:08:11","00:24","SRV","SRV   Effector Kielce",
,"16:08:12","00:26","S ERR","S ERR   Effector Kielce",
,"16:08:12","00:26","P","[1 : 1]   P   AZS UWM Olsztyn",
,"16:08:26","00:40","Pt Conf","Pt Conf   AZS UWM Olsztyn",
,"16:08:31","00:45","SRV","SRV   AZS UWM Olsztyn",
,"16:08:33","00:47","RS","RS   AZS UWM Olsztyn",
,"16:08:34","00:47","B POSS","B POSS   Effector Kielce",
,"16:08:36","00:50","K","K   Effector Kielce",
,"16:08:36","00:50","P","[2 : 1]   P   Effector Kielce",
,"16:08:54","01:08","Pt Conf","Pt Conf   Effector Kielce",
,"16:08:59","01:12","SRV","SRV   Effector Kielce",
,"16:09:00","01:14","RS","RS   Effector Kielce",
,"16:09:00","01:14","B POSS","B POSS   AZS UWM Olsztyn",
,"16:09:05","01:18","B POSS","B POSS   Effector Kielce",
,"16:09:08","01:22","B POSS","B POSS   AZS UWM Olsztyn",
,"16:09:13","01:26","B POSS","B POSS   Effector Kielce",
,"16:09:16","01:29","B POSS","B POSS   AZS UWM Olsztyn",
,"16:09:20","01:34","K","K   AZS UWM Olsztyn",
,"16:09:20","01:34","P","[2 : 2]   P   AZS UWM Olsztyn",
,"16:09:40","01:54","Pt Conf","Pt Conf   AZS UWM Olsztyn",
,"16:09:41","01:55","SRV","SRV   AZS UWM Olsztyn",
,"16:09:43","01:57","RS","RS   AZS UWM Olsztyn",
,"16:09:45","01:59","B POSS","B POSS   Effector Kielce",
,"16:09:46","02:00","B","B   AZS UWM Olsztyn",
,"16:09:46","02:00","P","[2 : 3]   P   AZS UWM Olsztyn",
,"16:10:04","02:18","Pt Conf","Pt Conf   AZS UWM Olsztyn",
,"16:10:06","02:19","SRV","SRV   AZS UWM Olsztyn",
,"16:10:08","02:22","RS","RS   AZS UWM Olsztyn",
,"16:10:10","02:24","B POSS","B POSS   Effector Kielce",
,"16:10:11","02:24","B POSS","B POSS   AZS UWM Olsztyn",
,"16:10:21","02:34","K","K   AZS UWM Olsztyn",
