"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879466","Poland","Polska Liga (men)","04.10.2017 - 16:30","BBTS Bielsko-Biala","Asseco Resovia Rzeszow",
"Statistics","BBTS Bielsko-Biala","Type","Asseco Resovia Rzeszow",
,"1","Score","3",
,"91","Points","93",
,"1","Sets","3",
,"7","Aces","5",
,"9","Service errors","13",
,"41","Kills","56",
,"20","Blocks","7",
,"7","Errors","5",
,"9","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:54:30","00:00","Game conditions changed","Game conditions changed",
,"15:54:31","00:00","Players warming up","Players warming up",
,"16:03:34","00:00","Jersey colours updated","Jersey colours updated",
,"16:03:34","00:00","Jersey colours updated","Jersey colours updated",
,"16:14:49","00:00","Coin flipping","Coin flipping",
,"16:15:33","00:00","Warm up at the net","Warm up at the net",
,"16:20:11","00:00","Game conditions changed","Game conditions changed",
,"16:27:25","00:00","Players lined up","Players lined up",
,"16:27:51","00:00","Shake hands","Shake hands",
,"16:30:43","00:00","Game about to start","Game about to start",
,"16:31:31","00:00","Start SRV","Start SRV   Asseco Resovia Rzeszow",
,"16:31:52","00:00","Start 1st Set","Start 1st Set",
,"16:31:52","00:00","SRV","SRV   Asseco Resovia Rzeszow",
,"16:32:00","00:08","RS","RS   Asseco Resovia Rzeszow",
,"16:32:00","00:08","B POSS","B POSS   BBTS Bielsko-Biala",
,"16:32:05","00:13","K","K   BBTS Bielsko-Biala",
,"16:32:05","00:13","P","[1 : 0]   P   BBTS Bielsko-Biala",
,"16:32:22","00:30","Pt Conf","Pt Conf   BBTS Bielsko-Biala",
,"16:32:23","00:31","SRV","SRV   BBTS Bielsko-Biala",
,"16:32:28","00:36","A","A   BBTS Bielsko-Biala",
,"16:32:28","00:36","P","[2 : 0]   P   BBTS Bielsko-Biala",
,"16:32:41","00:49","Pt Conf","Pt Conf   BBTS Bielsko-Biala",
,"16:32:42","00:50","SRV","SRV   BBTS Bielsko-Biala",
,"16:32:46","00:54","RS","RS   BBTS Bielsko-Biala",
,"16:32:46","00:54","B POSS","B POSS   Asseco Resovia Rzeszow",
,"16:32:50","00:58","B","B   BBTS Bielsko-Biala",
,"16:32:50","00:58","P","[3 : 0]   P   BBTS Bielsko-Biala",
,"16:33:06","01:14","Pt Conf","Pt Conf   BBTS Bielsko-Biala",
,"16:33:06","01:14","SRV","SRV   BBTS Bielsko-Biala",
,"16:33:09","01:17","RS","RS   BBTS Bielsko-Biala",
,"16:33:09","01:17","B POSS","B POSS   Asseco Resovia Rzeszow",
,"16:33:12","01:20","K","K   Asseco Resovia Rzeszow",
,"16:33:12","01:20","P","[3 : 1]   P   Asseco Resovia Rzeszow",
,"16:33:30","01:38","Pt Conf","Pt Conf   Asseco Resovia Rzeszow",
,"16:33:31","01:39","SRV","SRV   Asseco Resovia Rzeszow",
,"16:33:33","01:41","RS","RS   Asseco Resovia Rzeszow",
,"16:33:34","01:42","B POSS","B POSS   BBTS Bielsko-Biala",
,"16:33:37","01:45","B POSS","B POSS   Asseco Resovia Rzeszow",
,"16:33:46","01:54","B POSS","B POSS   BBTS Bielsko-Biala",
,"16:33:48","01:56","B POSS","B POSS   Asseco Resovia Rzeszow",
,"16:33:52","02:00","K","K   Asseco Resovia Rzeszow",
,"16:33:52","02:00","P","[3 : 2]   P   Asseco Resovia Rzeszow",
,"16:34:18","02:26","Pt Conf","Pt Conf   Asseco Resovia Rzeszow",
,"16:34:21","02:29","SRV","SRV   Asseco Resovia Rzeszow",
,"16:34:24","02:32","RS","RS   Asseco Resovia Rzeszow",
,"16:34:25","02:33","B POSS","B POSS   BBTS Bielsko-Biala",
,"16:34:33","02:41","K","K   Asseco Resovia Rzeszow",
,"16:34:33","02:41","P","[3 : 3]   P   Asseco Resovia Rzeszow",
,"16:34:45","02:53","Correct statistics","Correct statistics   (K Asseco Resovia Rzeszow <=> B Asseco Resovia Rzeszow)",
,"16:34:45","02:53","B","B   Asseco Resovia Rzeszow",
,"16:34:49","02:57","Pt Conf","Pt Conf   Asseco Resovia Rzeszow",
,"16:34:50","02:58","SRV","SRV   Asseco Resovia Rzeszow",
,"16:34:52","03:00","RS","RS   Asseco Resovia Rzeszow",
,"16:34:52","03:00","B POSS","B POSS   BBTS Bielsko-Biala",
,"16:34:55","03:03","K","K   BBTS Bielsko-Biala",
,"16:34:55","03:03","P","[4 : 3]   P   BBTS Bielsko-Biala",
,"16:35:21","03:29","Pt Conf","Pt Conf   BBTS Bielsko-Biala",
,"16:35:21","03:29","SRV","SRV   BBTS Bielsko-Biala",
,"16:35:24","03:32","RS","RS   BBTS Bielsko-Biala",
,"16:35:24","03:32","B POSS","B POSS   Asseco Resovia Rzeszow",
,"16:35:29","03:37","K","K   Asseco Resovia Rzeszow",
,"16:35:29","03:37","P","[4 : 4]   P   Asseco Resovia Rzeszow",
,"16:35:45","03:53","Pt Conf","Pt Conf   Asseco Resovia Rzeszow",
,"16:35:50","03:58","SRV","SRV   Asseco Resovia Rzeszow",
,"16:35:52","04:00","S ERR","S ERR   Asseco Resovia Rzeszow",
