"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879467","Poland","Polska Liga (men)","04.10.2017 - 17:00","MKS Bedzin","RCS Czarni Radom",
"Statistics","MKS Bedzin","Type","RCS Czarni Radom",
,"1","Score","3",
,"85","Points","99",
,"1","Sets","3",
,"4","Aces","7",
,"14","Service errors","22",
,"43","Kills","53",
,"7","Blocks","12",
,"8","Errors","4",
,"5","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:26:28","00:00","Game conditions changed","Game conditions changed",
,"16:26:32","00:00","Players warming up","Players warming up",
,"16:40:18","00:00","Jersey colours updated","Jersey colours updated",
,"16:40:18","00:00","Jersey colours updated","Jersey colours updated",
,"16:43:06","00:00","Coin flipping","Coin flipping",
,"16:44:14","00:00","Warm up at the net","Warm up at the net",
,"16:54:24","00:00","Game conditions changed","Game conditions changed",
,"16:55:27","00:00","Players lined up","Players lined up",
,"16:56:47","00:00","Shake hands","Shake hands",
,"16:57:49","00:00","Players intro","Players intro",
,"16:59:23","00:00","Game about to start","Game about to start",
,"16:59:40","00:00","Start SRV","Start SRV   RCS Czarni Radom",
,"16:59:51","00:00","Start SRV","Start SRV   RCS Czarni Radom",
,"17:00:12","00:00","Start 1st Set","Start 1st Set",
,"17:00:12","00:00","SRV","SRV   RCS Czarni Radom",
,"17:00:14","00:02","RS","RS   RCS Czarni Radom",
,"17:00:15","00:03","B POSS","B POSS   MKS Bedzin",
,"17:00:18","00:05","K","K   RCS Czarni Radom",
,"17:00:18","00:05","P","[0 : 1]   P   RCS Czarni Radom",
,"17:00:33","00:21","Pt Conf","Pt Conf   RCS Czarni Radom",
,"17:00:34","00:21","SRV","SRV   RCS Czarni Radom",
,"17:00:36","00:23","RS","RS   RCS Czarni Radom",
,"17:00:36","00:24","B POSS","B POSS   MKS Bedzin",
,"17:00:39","00:27","K","K   MKS Bedzin",
,"17:00:39","00:27","P","[1 : 1]   P   MKS Bedzin",
,"17:00:56","00:44","Pt Conf","Pt Conf   MKS Bedzin",
,"17:00:58","00:45","SRV","SRV   MKS Bedzin",
,"17:01:00","00:48","RS","RS   MKS Bedzin",
,"17:01:02","00:50","B POSS","B POSS   RCS Czarni Radom",
,"17:01:04","00:51","K","K   RCS Czarni Radom",
,"17:01:04","00:51","P","[1 : 2]   P   RCS Czarni Radom",
,"17:01:22","01:10","Pt Conf","Pt Conf   RCS Czarni Radom",
,"17:01:26","01:13","SRV","SRV   RCS Czarni Radom",
,"17:01:27","01:15","RS","RS   RCS Czarni Radom",
,"17:01:28","01:15","B POSS","B POSS   MKS Bedzin",
,"17:01:33","01:20","K","K   MKS Bedzin",
,"17:01:33","01:20","P","[2 : 2]   P   MKS Bedzin",
,"17:01:52","01:39","Pt Conf","Pt Conf   MKS Bedzin",
,"17:01:55","01:43","SRV","SRV   MKS Bedzin",
,"17:01:58","01:45","S ERR","S ERR   MKS Bedzin",
,"17:01:58","01:45","P","[2 : 3]   P   RCS Czarni Radom",
,"17:02:13","02:01","Pt Conf","Pt Conf   RCS Czarni Radom",
,"17:02:14","02:01","SRV","SRV   RCS Czarni Radom",
,"17:02:16","02:04","RS","RS   RCS Czarni Radom",
,"17:02:16","02:04","B POSS","B POSS   MKS Bedzin",
,"17:02:31","02:19","K","K   MKS Bedzin",
,"17:02:31","02:19","P","[3 : 3]   P   MKS Bedzin",
,"17:02:34","02:21","Pt Conf","Pt Conf   MKS Bedzin",
,"17:02:35","02:23","SRV","SRV   MKS Bedzin",
,"17:02:39","02:26","RS","RS   MKS Bedzin",
,"17:02:39","02:27","B POSS","B POSS   RCS Czarni Radom",
,"17:02:40","02:28","K","K   RCS Czarni Radom",
