"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879463","Poland","Polska Liga (men)","04.10.2017 - 18:30","GKS Katowice","Luczniczka Bydgoszcz",
"Statistics","GKS Katowice","Type","Luczniczka Bydgoszcz",
,"1","Score","3",
,"97","Points","102",
,"1","Sets","3",
,"1","Aces","2",
,"23","Service errors","14",
,"65","Kills","56",
,"10","Blocks","10",
,"6","Errors","6",
,"5","Outs","1",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:49:16","00:00","Game conditions changed","Game conditions changed",
,"17:49:19","00:00","Players warming up","Players warming up",
,"17:49:57","00:00","Jersey colours updated","Jersey colours updated",
,"17:49:58","00:00","Jersey colours updated","Jersey colours updated",
,"18:18:04","00:00","Game conditions changed","Game conditions changed",
,"18:20:04","00:00","Coin flipping","Coin flipping",
,"18:22:56","00:00","Warm up at the net","Warm up at the net",
,"18:31:59","00:00","Players lined up","Players lined up",
,"18:32:36","00:00","Shake hands","Shake hands",
,"18:33:59","00:00","Players intro","Players intro",
,"18:35:26","00:00","Game about to start","Game about to start",
,"18:36:00","00:00","Start SRV","Start SRV   Luczniczka Bydgoszcz",
,"18:36:15","00:00","Start 1st Set","Start 1st Set",
,"18:36:16","00:00","SRV","SRV   Luczniczka Bydgoszcz",
,"18:36:18","00:03","RS","RS   Luczniczka Bydgoszcz",
,"18:36:19","00:03","B POSS","B POSS   GKS Katowice",
,"18:36:24","00:08","K","K   GKS Katowice",
,"18:36:24","00:08","P","[1 : 0]   P   GKS Katowice",
,"18:36:42","00:27","Pt Conf","Pt Conf   GKS Katowice",
,"18:36:43","00:27","SRV","SRV   GKS Katowice",
,"18:36:47","00:31","RS","RS   GKS Katowice",
,"18:36:47","00:32","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:36:54","00:38","B","B   GKS Katowice",
,"18:36:54","00:38","P","[2 : 0]   P   GKS Katowice",
,"18:37:09","00:54","Pt Conf","Pt Conf   GKS Katowice",
,"18:37:11","00:55","SRV","SRV   GKS Katowice",
,"18:37:14","00:58","RS","RS   GKS Katowice",
,"18:37:15","00:59","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:37:17","01:01","B POSS","B POSS   GKS Katowice",
,"18:37:20","01:04","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:37:29","01:13","B POSS","B POSS   GKS Katowice",
,"18:37:29","01:13","K","K   GKS Katowice",
,"18:37:29","01:13","P","[3 : 0]   P   GKS Katowice",
,"18:37:46","01:30","Pt Conf","Pt Conf   GKS Katowice",
,"18:37:47","01:31","SRV","SRV   GKS Katowice",
,"18:37:50","01:35","RS","RS   GKS Katowice",
,"18:37:51","01:35","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:37:54","01:39","B POSS","B POSS   GKS Katowice",
,"18:37:56","01:40","ERR","ERR   GKS Katowice",
,"18:37:56","01:40","P","[3 : 1]   P   Luczniczka Bydgoszcz",
,"18:38:16","02:01","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:38:17","02:01","SRV","SRV   Luczniczka Bydgoszcz",
,"18:38:21","02:05","RS","RS   Luczniczka Bydgoszcz",
,"18:38:21","02:06","B POSS","B POSS   GKS Katowice",
,"18:38:25","02:09","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:38:30","02:14","K","K   Luczniczka Bydgoszcz",
,"18:38:30","02:14","P","[3 : 2]   P   Luczniczka Bydgoszcz",
,"18:38:43","02:28","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:38:45","02:29","SRV","SRV   Luczniczka Bydgoszcz",
,"18:38:49","02:33","RS","RS   Luczniczka Bydgoszcz",
,"18:38:49","02:34","B POSS","B POSS   GKS Katowice",
,"18:38:51","02:36","K","K   GKS Katowice",
,"18:38:51","02:36","P","[4 : 2]   P   GKS Katowice",
,"18:39:09","02:53","Pt Conf","Pt Conf   GKS Katowice",
,"18:39:10","02:54","SRV","SRV   GKS Katowice",
,"18:39:16","03:01","S ERR","S ERR   GKS Katowice",
,"18:39:16","03:01","P","[4 : 3]   P   Luczniczka Bydgoszcz",
,"18:39:31","03:15","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:39:32","03:16","SRV","SRV   Luczniczka Bydgoszcz",
,"18:39:38","03:22","RS","RS   Luczniczka Bydgoszcz",
,"18:39:38","03:22","B POSS","B POSS   GKS Katowice",
,"18:39:41","03:25","K","K   GKS Katowice",
,"18:39:41","03:25","P","[5 : 3]   P   GKS Katowice",
,"18:40:01","03:45","Pt Conf","Pt Conf   GKS Katowice",
,"18:40:02","03:46","SRV","SRV   GKS Katowice",
,"18:40:07","03:52","RS","RS   GKS Katowice",
,"18:40:08","03:52","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:40:10","03:54","B","B   GKS Katowice",
,"18:40:10","03:54","P","[6 : 3]   P   GKS Katowice",
,"18:40:29","04:13","Pt Conf","Pt Conf   GKS Katowice",
,"18:40:33","04:17","SRV","SRV   GKS Katowice",
,"18:40:39","04:23","RS","RS   GKS Katowice",
,"18:40:39","04:23","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:40:40","04:24","B POSS","B POSS   GKS Katowice",
,"18:40:44","04:28","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:40:48","04:32","B","B   GKS Katowice",
,"18:40:48","04:32","P","[7 : 3]   P   GKS Katowice",
,"18:40:57","04:41","Pt Conf","Pt Conf   GKS Katowice",
,"18:40:58","04:42","TIME","TIME",
,"18:40:59","04:43","TIME","TIME   Luczniczka Bydgoszcz",
,"18:41:51","05:35","SRV","SRV   GKS Katowice",
,"18:41:57","05:42","RS","RS   GKS Katowice",
,"18:41:58","05:42","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:42:00","05:44","K","K   Luczniczka Bydgoszcz",
,"18:42:00","05:44","P","[7 : 4]   P   Luczniczka Bydgoszcz",
,"18:42:15","05:59","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:42:17","06:01","SRV","SRV   Luczniczka Bydgoszcz",
,"18:42:21","06:05","RS","RS   Luczniczka Bydgoszcz",
,"18:42:21","06:06","B POSS","B POSS   GKS Katowice",
,"18:42:24","06:09","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:42:28","06:12","K","K   Luczniczka Bydgoszcz",
,"18:42:28","06:12","P","[7 : 5]   P   Luczniczka Bydgoszcz",
,"18:42:43","06:28","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:42:44","06:28","SRV","SRV   Luczniczka Bydgoszcz",
,"18:42:49","06:33","RS","RS   Luczniczka Bydgoszcz",
,"18:42:49","06:33","B POSS","B POSS   GKS Katowice",
,"18:42:51","06:35","K","K   GKS Katowice",
,"18:42:51","06:35","P","[8 : 5]   P   GKS Katowice",
,"18:43:09","06:53","Pt Conf","Pt Conf   GKS Katowice",
,"18:43:09","06:53","SRV","SRV   GKS Katowice",
,"18:43:13","06:58","S ERR","S ERR   GKS Katowice",
,"18:43:13","06:58","P","[8 : 6]   P   Luczniczka Bydgoszcz",
,"18:43:28","07:13","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:43:32","07:16","SRV","SRV   Luczniczka Bydgoszcz",
,"18:43:37","07:21","RS","RS   Luczniczka Bydgoszcz",
,"18:43:38","07:22","B POSS","B POSS   GKS Katowice",
,"18:43:39","07:24","B","B   Luczniczka Bydgoszcz",
,"18:43:39","07:24","P","[8 : 7]   P   Luczniczka Bydgoszcz",
,"18:43:58","07:42","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:43:58","07:42","SRV","SRV   Luczniczka Bydgoszcz",
,"18:44:05","07:49","RS","RS   Luczniczka Bydgoszcz",
,"18:44:20","08:04","B POSS","B POSS   GKS Katowice",
,"18:44:20","08:04","OUT","OUT   GKS Katowice",
,"18:44:20","08:04","P","[8 : 8]   P   Luczniczka Bydgoszcz",
,"18:44:29","08:13","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:44:29","08:14","SRV","SRV   Luczniczka Bydgoszcz",
,"18:44:36","08:20","RS","RS   Luczniczka Bydgoszcz",
,"18:44:36","08:20","B POSS","B POSS   GKS Katowice",
,"18:44:39","08:23","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:44:44","08:28","OUT","OUT   Luczniczka Bydgoszcz",
,"18:44:44","08:28","P","[9 : 8]   P   GKS Katowice",
,"18:45:01","08:45","Pt Conf","Pt Conf   GKS Katowice",
,"18:45:01","08:45","SRV","SRV   GKS Katowice",
,"18:45:02","08:47","RS","RS   GKS Katowice",
,"18:45:03","08:47","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:45:07","08:51","B","B   GKS Katowice",
,"18:45:07","08:51","P","[10 : 8]   P   GKS Katowice",
,"18:45:29","09:14","Pt Conf","Pt Conf   GKS Katowice",
,"18:45:30","09:14","SRV","SRV   GKS Katowice",
,"18:45:32","09:16","S ERR","S ERR   GKS Katowice",
,"18:45:32","09:16","P","[10 : 9]   P   Luczniczka Bydgoszcz",
,"18:45:49","09:33","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:45:49","09:33","SRV","SRV   Luczniczka Bydgoszcz",
,"18:45:53","09:37","RS","RS   Luczniczka Bydgoszcz",
,"18:45:54","09:38","B POSS","B POSS   GKS Katowice",
,"18:46:01","09:45","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:46:01","09:46","ERR","ERR   Luczniczka Bydgoszcz",
,"18:46:01","09:46","P","[11 : 9]   P   GKS Katowice",
,"18:46:16","10:00","Pt Conf","Pt Conf   GKS Katowice",
,"18:46:17","10:02","SRV","SRV   GKS Katowice",
,"18:46:20","10:04","S ERR","S ERR   GKS Katowice",
,"18:46:20","10:04","P","[11 : 10]   P   Luczniczka Bydgoszcz",
,"18:46:36","10:21","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:46:37","10:21","SRV","SRV   Luczniczka Bydgoszcz",
,"18:46:41","10:25","RS","RS   Luczniczka Bydgoszcz",
,"18:46:41","10:26","B POSS","B POSS   GKS Katowice",
,"18:46:44","10:28","K","K   GKS Katowice",
,"18:46:44","10:28","P","[12 : 10]   P   GKS Katowice",
,"18:47:01","10:46","Pt Conf","Pt Conf   GKS Katowice",
,"18:47:02","10:46","SRV","SRV   GKS Katowice",
,"18:47:06","10:50","RS","RS   GKS Katowice",
,"18:47:06","10:50","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:47:08","10:52","K","K   Luczniczka Bydgoszcz",
,"18:47:08","10:52","P","[12 : 11]   P   Luczniczka Bydgoszcz",
,"18:47:28","11:13","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:47:30","11:15","SRV","SRV   Luczniczka Bydgoszcz",
,"18:47:33","11:18","RS","RS   Luczniczka Bydgoszcz",
,"18:47:34","11:18","B POSS","B POSS   GKS Katowice",
,"18:47:45","11:29","K","K   GKS Katowice",
,"18:47:45","11:29","P","[13 : 11]   P   GKS Katowice",
,"18:48:03","11:47","Pt Conf","Pt Conf   GKS Katowice",
,"18:48:04","11:48","SRV","SRV   GKS Katowice",
,"18:48:09","11:53","S ERR","S ERR   GKS Katowice",
,"18:48:09","11:53","P","[13 : 12]   P   Luczniczka Bydgoszcz",
,"18:48:25","12:09","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:48:27","12:11","SRV","SRV   Luczniczka Bydgoszcz",
,"18:48:34","12:18","RS","RS   Luczniczka Bydgoszcz",
,"18:48:34","12:18","B POSS","B POSS   GKS Katowice",
,"18:48:38","12:22","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:48:38","12:23","B POSS","B POSS   GKS Katowice",
,"18:48:40","12:24","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:48:48","12:33","B","B   GKS Katowice",
,"18:48:48","12:33","P","[14 : 12]   P   GKS Katowice",
,"18:49:06","12:51","Pt Conf","Pt Conf   GKS Katowice",
,"18:49:07","12:51","SRV","SRV   GKS Katowice",
,"18:49:12","12:56","RS","RS   GKS Katowice",
,"18:49:13","12:57","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:49:15","12:59","K","K   Luczniczka Bydgoszcz",
,"18:49:15","12:59","P","[14 : 13]   P   Luczniczka Bydgoszcz",
,"18:49:32","13:16","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:49:33","13:17","SRV","SRV   Luczniczka Bydgoszcz",
,"18:49:40","13:24","RS","RS   Luczniczka Bydgoszcz",
,"18:49:40","13:24","B POSS","B POSS   GKS Katowice",
,"18:49:44","13:28","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:49:50","13:35","B POSS","B POSS   GKS Katowice",
,"18:49:51","13:35","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:49:55","13:39","K","K   Luczniczka Bydgoszcz",
,"18:49:55","13:39","P","[14 : 14]   P   Luczniczka Bydgoszcz",
,"18:50:13","13:57","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:50:17","14:01","SRV","SRV   Luczniczka Bydgoszcz",
,"18:50:21","14:05","RS","RS   Luczniczka Bydgoszcz",
,"18:50:21","14:06","B POSS","B POSS   GKS Katowice",
,"18:50:25","14:10","K","K   GKS Katowice",
,"18:50:25","14:10","P","[15 : 14]   P   GKS Katowice",
,"18:50:43","14:27","Pt Conf","Pt Conf   GKS Katowice",
,"18:50:44","14:29","SRV","SRV   GKS Katowice",
,"18:50:48","14:33","RS","RS   GKS Katowice",
,"18:50:49","14:33","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:50:51","14:35","K","K   Luczniczka Bydgoszcz",
,"18:50:51","14:35","P","[15 : 15]   P   Luczniczka Bydgoszcz",
,"18:51:07","14:51","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:51:07","14:52","TIME","TIME",
,"18:51:08","14:52","TIME","TIME   GKS Katowice",
,"18:52:06","15:50","SRV","SRV   Luczniczka Bydgoszcz",
,"18:52:15","15:59","S ERR","S ERR   Luczniczka Bydgoszcz",
,"18:52:15","15:59","P","[16 : 15]   P   GKS Katowice",
,"18:52:30","16:14","Pt Conf","Pt Conf   GKS Katowice",
,"18:52:30","16:15","SRV","SRV   GKS Katowice",
,"18:52:33","16:17","RS","RS   GKS Katowice",
,"18:52:33","16:18","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:52:35","16:19","K","K   Luczniczka Bydgoszcz",
,"18:52:35","16:19","P","[16 : 16]   P   Luczniczka Bydgoszcz",
,"18:52:52","16:36","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:52:53","16:37","SRV","SRV   Luczniczka Bydgoszcz",
,"18:52:57","16:41","S ERR","S ERR   Luczniczka Bydgoszcz",
,"18:52:57","16:41","P","[17 : 16]   P   GKS Katowice",
,"18:53:12","16:56","Pt Conf","Pt Conf   GKS Katowice",
,"18:53:12","16:57","SRV","SRV   GKS Katowice",
,"18:53:14","16:58","RS","RS   GKS Katowice",
,"18:53:14","16:58","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:53:17","17:02","K","K   Luczniczka Bydgoszcz",
,"18:53:17","17:02","P","[17 : 17]   P   Luczniczka Bydgoszcz",
,"18:53:35","17:20","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:53:36","17:20","SRV","SRV   Luczniczka Bydgoszcz",
,"18:53:39","17:23","RS","RS   Luczniczka Bydgoszcz",
,"18:53:39","17:23","B POSS","B POSS   GKS Katowice",
,"18:53:43","17:27","B","B   Luczniczka Bydgoszcz",
,"18:53:43","17:27","P","[17 : 18]   P   Luczniczka Bydgoszcz",
,"18:54:00","17:44","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:54:01","17:45","SRV","SRV   Luczniczka Bydgoszcz",
,"18:54:03","17:48","S ERR","S ERR   Luczniczka Bydgoszcz",
,"18:54:03","17:48","P","[18 : 18]   P   GKS Katowice",
,"18:54:20","18:04","Pt Conf","Pt Conf   GKS Katowice",
,"18:54:20","18:05","SRV","SRV   GKS Katowice",
,"18:54:25","18:09","S ERR","S ERR   GKS Katowice",
,"18:54:25","18:09","P","[18 : 19]   P   Luczniczka Bydgoszcz",
,"18:54:43","18:27","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:54:44","18:28","SRV","SRV   Luczniczka Bydgoszcz",
,"18:54:47","18:31","RS","RS   Luczniczka Bydgoszcz",
,"18:54:47","18:31","B POSS","B POSS   GKS Katowice",
,"18:54:51","18:35","B","B   Luczniczka Bydgoszcz",
,"18:54:51","18:35","P","[18 : 20]   P   Luczniczka Bydgoszcz",
,"18:55:07","18:51","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:55:08","18:52","SRV","SRV   Luczniczka Bydgoszcz",
,"18:55:13","18:57","RS","RS   Luczniczka Bydgoszcz",
,"18:55:13","18:57","B POSS","B POSS   GKS Katowice",
,"18:55:15","18:59","K","K   GKS Katowice",
,"18:55:15","18:59","P","[19 : 20]   P   GKS Katowice",
,"18:55:39","19:24","Pt Conf","Pt Conf   GKS Katowice",
,"18:55:41","19:25","SRV","SRV   GKS Katowice",
,"18:55:48","19:33","RS","RS   GKS Katowice",
,"18:55:49","19:33","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:55:49","19:33","K","K   Luczniczka Bydgoszcz",
,"18:55:49","19:33","P","[19 : 21]   P   Luczniczka Bydgoszcz",
,"18:56:11","19:55","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:56:11","19:56","SRV","SRV   Luczniczka Bydgoszcz",
,"18:56:14","19:58","S ERR","S ERR   Luczniczka Bydgoszcz",
,"18:56:14","19:58","P","[20 : 21]   P   GKS Katowice",
,"18:56:30","20:14","Pt Conf","Pt Conf   GKS Katowice",
,"18:56:34","20:18","SRV","SRV   GKS Katowice",
,"18:56:38","20:22","RS","RS   GKS Katowice",
,"18:56:38","20:22","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:56:42","20:26","B POSS","B POSS   GKS Katowice",
,"18:56:44","20:28","B","B   Luczniczka Bydgoszcz",
,"18:56:44","20:28","P","[20 : 22]   P   Luczniczka Bydgoszcz",
,"18:57:06","20:50","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:57:07","20:51","SRV","SRV   Luczniczka Bydgoszcz",
,"18:57:11","20:55","RS","RS   Luczniczka Bydgoszcz",
,"18:57:11","20:55","B POSS","B POSS   GKS Katowice",
,"18:57:14","20:58","K","K   GKS Katowice",
,"18:57:14","20:58","P","[21 : 22]   P   GKS Katowice",
,"18:57:31","21:15","Pt Conf","Pt Conf   GKS Katowice",
,"18:57:32","21:16","SRV","SRV   GKS Katowice",
,"18:57:36","21:20","RS","RS   GKS Katowice",
,"18:57:36","21:20","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:57:41","21:25","B POSS","B POSS   GKS Katowice",
,"18:57:47","21:31","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:57:48","21:32","B POSS","B POSS   GKS Katowice",
,"18:57:55","21:40","B POSS","B POSS   Luczniczka Bydgoszcz",
,"18:57:56","21:40","B POSS","B POSS   GKS Katowice",
,"18:57:56","21:40","Rally over 5 possession changes","Rally over 5 possession changes",
,"18:58:02","21:47","B","B   Luczniczka Bydgoszcz",
,"18:58:02","21:47","P","[21 : 23]   P   Luczniczka Bydgoszcz",
,"18:58:07","21:51","Point under investigation","Point under investigation",
,"18:59:03","22:47","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"18:59:03","22:48","TIME","TIME",
,"18:59:04","22:48","TIME","TIME   GKS Katowice",
,"18:59:59","23:43","SRV","SRV   Luczniczka Bydgoszcz",
,"19:00:03","23:47","RS","RS   Luczniczka Bydgoszcz",
,"19:00:04","23:48","B POSS","B POSS   GKS Katowice",
,"19:00:21","24:05","OUT","OUT   GKS Katowice",
,"19:00:21","24:05","P","[21 : 24]   P   Luczniczka Bydgoszcz",
,"19:00:29","24:13","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"19:00:29","24:13","SRV","SRV   Luczniczka Bydgoszcz",
,"19:00:35","24:20","S ERR","S ERR   Luczniczka Bydgoszcz",
,"19:00:35","24:20","P","[22 : 24]   P   GKS Katowice",
,"19:00:59","24:44","Pt Conf","Pt Conf   GKS Katowice",
,"19:01:01","24:46","SRV","SRV   GKS Katowice",
,"19:01:06","24:51","RS","RS   GKS Katowice",
,"19:01:07","24:51","B POSS","B POSS   Luczniczka Bydgoszcz",
,"19:01:10","24:55","K","K   Luczniczka Bydgoszcz",
,"19:01:10","24:55","P","[22 : 25]   P   Luczniczka Bydgoszcz",
,"19:01:15","24:59","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"19:01:16","25:00","S","S   Luczniczka Bydgoszcz",
,"19:01:16","25:00","Stop Set","Stop Set",
,"19:01:23","25:07","Score of last period confirmed","Score of last period confirmed",
,"19:04:21","28:05","Game about to start","Game about to start",
,"19:04:53","28:38","Start SRV","Start SRV   GKS Katowice",
,"19:05:21","29:05","Start 2nd Set","Start 2nd Set",
,"19:05:21","29:05","SRV","SRV   GKS Katowice",
,"19:05:30","29:14","RS","RS   GKS Katowice",
,"19:05:30","29:15","B POSS","B POSS   Luczniczka Bydgoszcz",
,"19:05:34","29:19","K","K   Luczniczka Bydgoszcz",
,"19:05:34","29:19","P","[0 : 1]   P   Luczniczka Bydgoszcz",
,"19:05:57","29:41","Pt Conf","Pt Conf   Luczniczka Bydgoszcz",
,"19:05:58","29:42","SRV","SRV   Luczniczka Bydgoszcz",
