"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884457","Russia","Vischaya Liga B (men)","04.10.2017 - 14:00","Dynamo Krasnodar","Kristall Voronezh",
"Statistics","Dynamo Krasnodar","Type","Kristall Voronezh",
,"0","Score","3",
,"36","Points","75",
,"0","Sets","3",
,"1","Aces","7",
,"8","Service errors","11",
,"17","Kills","35",
,"1","Blocks","7",
,"8","Errors","2",
,"10","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:23:38","00:00","Game conditions changed","Game conditions changed",
,"13:23:45","00:00","Players warming up","Players warming up",
,"13:43:29","00:00","Coin flipping","Coin flipping",
,"13:44:24","00:00","Warm up at the net","Warm up at the net",
,"13:45:00","00:00","Players intro","Players intro",
,"13:53:55","00:00","Players lined up","Players lined up",
,"13:54:36","00:00","Jersey colours updated","Jersey colours updated",
,"13:54:36","00:00","Jersey colours updated","Jersey colours updated",
,"13:54:50","00:00","National anthem singing","National anthem singing",
,"13:56:15","00:00","Shake hands","Shake hands",
,"13:58:28","00:00","Game about to start","Game about to start",
,"13:59:12","00:00","Start SRV","Start SRV   Dynamo Krasnodar",
,"13:59:48","00:00","Start 1st Set","Start 1st Set",
,"13:59:49","00:00","SRV","SRV   Dynamo Krasnodar",
,"13:59:51","00:02","RS","RS   Dynamo Krasnodar",
,"13:59:51","00:02","B POSS","B POSS   Kristall Voronezh",
,"14:00:03","00:14","Point under investigation","Point under investigation",
,"14:00:06","00:17","OUT","OUT   Kristall Voronezh",
,"14:00:06","00:17","P","[1 : 0]   P   Dynamo Krasnodar",
,"14:00:10","00:21","Pt Conf","Pt Conf   Dynamo Krasnodar",
,"14:00:11","00:22","SRV","SRV   Dynamo Krasnodar",
,"14:00:12","00:23","RS","RS   Dynamo Krasnodar",
,"14:00:12","00:23","B POSS","B POSS   Kristall Voronezh",
,"14:00:15","00:26","K","K   Kristall Voronezh",
,"14:00:15","00:26","P","[1 : 1]   P   Kristall Voronezh",
,"14:00:25","00:36","Pt Conf","Pt Conf   Kristall Voronezh",
,"14:00:27","00:38","SRV","SRV   Kristall Voronezh",
,"14:00:28","00:39","RS","RS   Kristall Voronezh",
,"14:00:28","00:39","B POSS","B POSS   Dynamo Krasnodar",
,"14:00:31","00:42","B POSS","B POSS   Kristall Voronezh",
,"14:00:35","00:46","B POSS","B POSS   Dynamo Krasnodar",
,"14:00:43","00:54","K","K   Kristall Voronezh",
,"14:00:43","00:54","P","[1 : 2]   P   Kristall Voronezh",
,"14:00:57","01:08","Pt Conf","Pt Conf   Kristall Voronezh",
,"14:00:59","01:10","SRV","SRV   Kristall Voronezh",
,"14:01:02","01:13","A","A   Kristall Voronezh",
,"14:01:02","01:13","P","[1 : 3]   P   Kristall Voronezh",
,"14:01:12","01:23","Pt Conf","Pt Conf   Kristall Voronezh",
,"14:01:14","01:25","SRV","SRV   Kristall Voronezh",
,"14:01:16","01:27","RS","RS   Kristall Voronezh",
,"14:01:16","01:28","B POSS","B POSS   Dynamo Krasnodar",
,"14:01:22","01:33","OUT","OUT   Dynamo Krasnodar",
,"14:01:22","01:33","P","[1 : 4]   P   Kristall Voronezh",
,"14:01:31","01:42","Pt Conf","Pt Conf   Kristall Voronezh",
,"14:01:33","01:44","SRV","SRV   Kristall Voronezh",
,"14:01:36","01:47","RS","RS   Kristall Voronezh",
,"14:01:36","01:47","B POSS","B POSS   Dynamo Krasnodar",
,"14:01:41","01:52","B","B   Kristall Voronezh",
,"14:01:41","01:52","P","[1 : 5]   P   Kristall Voronezh",
,"14:01:52","02:03","Pt Conf","Pt Conf   Kristall Voronezh",
,"14:01:54","02:05","SRV","SRV   Kristall Voronezh",
,"14:01:55","02:06","RS","RS   Kristall Voronezh",
,"14:01:55","02:06","B POSS","B POSS   Dynamo Krasnodar",
,"14:02:00","02:12","OUT","OUT   Dynamo Krasnodar",
,"14:02:00","02:12","P","[1 : 6]   P   Kristall Voronezh",
,"14:02:11","02:22","Pt Conf","Pt Conf   Kristall Voronezh",
,"14:02:12","02:23","SRV","SRV   Kristall Voronezh",
,"14:02:13","02:24","RS","RS   Kristall Voronezh",
,"14:02:14","02:25","B POSS","B POSS   Dynamo Krasnodar",
,"14:02:21","02:32","K","K   Dynamo Krasnodar",
,"14:02:21","02:32","P","[2 : 6]   P   Dynamo Krasnodar",
,"14:02:29","02:40","Pt Conf","Pt Conf   Dynamo Krasnodar",
,"14:02:38","02:49","SRV","SRV   Dynamo Krasnodar",
,"14:02:42","02:53","S ERR","S ERR   Dynamo Krasnodar",
,"14:02:42","02:53","P","[2 : 7]   P   Kristall Voronezh",
,"14:02:53","03:04","Pt Conf","Pt Conf   Kristall Voronezh",
,"14:02:58","03:09","SRV","SRV   Kristall Voronezh",
,"14:03:02","03:13","RS","RS   Kristall Voronezh",
,"14:03:02","03:13","B POSS","B POSS   Dynamo Krasnodar",
,"14:03:07","03:18","K","K   Dynamo Krasnodar",
,"14:03:07","03:18","P","[3 : 7]   P   Dynamo Krasnodar",
,"14:03:18","03:29","Pt Conf","Pt Conf   Dynamo Krasnodar",
,"14:03:24","03:35","SRV","SRV   Dynamo Krasnodar",
,"14:03:27","03:38","RS","RS   Dynamo Krasnodar",
,"14:03:27","03:38","B POSS","B POSS   Kristall Voronezh",
