"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884029","USA","NCAA Women","04.10.2017 - 01:00","Cal State Fullerton Titans (women/students)","CSU Bakersfield Roadrunners (women/students)",
"Statistics","Cal State Fullerton Titans (women/students)","Type","CSU Bakersfield Roadrunners (women/students)",
,"1","Score","3",
,"84","Points","99",
,"1","Sets","3",
,"1","Aces","6",
,"8","Service errors","6",
,"53","Kills","54",
,"5","Blocks","8",
,"12","Errors","6",
,"11","Outs","13",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"00:25:36","00:00","Game conditions changed","Game conditions changed",
,"00:35:55","00:00","Players warming up","Players warming up",
,"00:36:40","00:00","Coin flipping","Coin flipping",
,"00:41:40","00:00","Warm up at the net","Warm up at the net",
,"00:56:44","00:00","Jersey colours updated","Jersey colours updated",
,"00:56:44","00:00","Jersey colours updated","Jersey colours updated",
,"01:00:09","00:00","National anthem singing","National anthem singing",
,"01:01:49","00:00","Players intro","Players intro",
,"01:03:34","00:00","Players lined up","Players lined up",
,"01:03:38","00:00","Shake hands","Shake hands",
,"01:05:04","00:00","Game about to start","Game about to start",
,"01:05:06","00:00","Start SRV","Start SRV   CSU Bakersfield Roadrunners (women/students)",
,"01:05:20","00:00","Start 1st Set","Start 1st Set",
,"01:05:21","00:00","SRV","SRV   CSU Bakersfield Roadrunners (women/students)",
,"01:05:23","00:03","RS","RS   CSU Bakersfield Roadrunners (women/students)",
,"01:05:24","00:04","B POSS","B POSS   Cal State Fullerton Titans (women/students)",
,"01:05:28","00:07","K","K   Cal State Fullerton Titans (women/students)",
,"01:05:28","00:07","P","[1 : 0]   P   Cal State Fullerton Titans (women/students)",
,"01:05:45","00:25","Pt Conf","Pt Conf   Cal State Fullerton Titans (women/students)",
,"01:05:46","00:25","SRV","SRV   Cal State Fullerton Titans (women/students)",
,"01:05:47","00:27","RS","RS   Cal State Fullerton Titans (women/students)",
,"01:05:48","00:27","B POSS","B POSS   CSU Bakersfield Roadrunners (women/students)",
,"01:05:50","00:29","K","K   CSU Bakersfield Roadrunners (women/students)",
,"01:05:50","00:29","P","[1 : 1]   P   CSU Bakersfield Roadrunners (women/students)",
,"01:06:07","00:47","Pt Conf","Pt Conf   CSU Bakersfield Roadrunners (women/students)",
