"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884711","Vietnam","Premier League U20 (men)","04.10.2017 - 12:00","Trang An Ninh Binh U20","Long An U20",
"Statistics","Trang An Ninh Binh U20","Type","Long An U20",
,"3","Score","0",
,"75","Points","56",
,"3","Sets","0",
,"7","Aces","3",
,"4","Service errors","4",
,"49","Kills","37",
,"3","Blocks","2",
,"5","Errors","5",
,"5","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:59:19","00:00","Game conditions changed","Game conditions changed",
,"12:37:38","00:00","Players warming up","Players warming up",
,"12:37:57","00:00","Coin flipping","Coin flipping",
,"12:38:18","00:00","Jersey colours updated","Jersey colours updated",
,"12:38:19","00:00","Jersey colours updated","Jersey colours updated",
,"12:52:06","00:00","Warm up at the net","Warm up at the net",
,"13:02:57","00:00","Players intro","Players intro",
,"13:03:36","00:00","Game about to start","Game about to start",
,"13:03:57","00:00","Start SRV","Start SRV   Long An U20",
,"13:04:04","00:00","Start 1st Set","Start 1st Set",
,"13:04:05","00:00","SRV","SRV   Long An U20",
,"13:04:10","00:05","RS","RS   Long An U20",
,"13:04:11","00:07","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:04:13","00:09","K","K   Trang An Ninh Binh U20",
,"13:04:13","00:09","P","[1 : 0]   P   Trang An Ninh Binh U20",
,"13:04:24","00:19","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:04:32","00:28","SRV","SRV   Trang An Ninh Binh U20",
,"13:04:34","00:30","RS","RS   Trang An Ninh Binh U20",
,"13:04:35","00:31","B POSS","B POSS   Long An U20",
,"13:04:42","00:37","OUT","OUT   Long An U20",
,"13:04:42","00:37","P","[2 : 0]   P   Trang An Ninh Binh U20",
,"13:04:57","00:53","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:04:58","00:54","SRV","SRV   Trang An Ninh Binh U20",
,"13:05:01","00:57","RS","RS   Trang An Ninh Binh U20",
,"13:05:02","00:57","B POSS","B POSS   Long An U20",
,"13:05:09","01:05","ERR","ERR   Trang An Ninh Binh U20",
,"13:05:09","01:05","P","[2 : 1]   P   Long An U20",
,"13:05:25","01:20","Pt Conf","Pt Conf   Long An U20",
,"13:05:27","01:22","SRV","SRV   Long An U20",
,"13:05:30","01:25","RS","RS   Long An U20",
,"13:05:30","01:25","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:05:31","01:26","OUT","OUT   Trang An Ninh Binh U20",
,"13:05:31","01:26","P","[2 : 2]   P   Long An U20",
,"13:05:48","01:44","Pt Conf","Pt Conf   Long An U20",
,"13:05:51","01:47","SRV","SRV   Long An U20",
,"13:05:55","01:51","A","A   Long An U20",
,"13:05:55","01:51","P","[2 : 3]   P   Long An U20",
,"13:06:09","02:05","Pt Conf","Pt Conf   Long An U20",
,"13:06:12","02:07","SRV","SRV   Long An U20",
,"13:06:15","02:10","RS","RS   Long An U20",
,"13:06:16","02:11","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:06:18","02:14","K","K   Trang An Ninh Binh U20",
,"13:06:18","02:14","P","[3 : 3]   P   Trang An Ninh Binh U20",
,"13:06:38","02:34","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:06:48","02:44","SRV","SRV   Trang An Ninh Binh U20",
,"13:06:49","02:45","A","A   Trang An Ninh Binh U20",
,"13:06:49","02:45","P","[4 : 3]   P   Trang An Ninh Binh U20",
,"13:07:07","03:02","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:07:10","03:05","SRV","SRV   Trang An Ninh Binh U20",
,"13:07:15","03:11","RS","RS   Trang An Ninh Binh U20",
,"13:07:17","03:12","B POSS","B POSS   Long An U20",
,"13:07:22","03:18","ERR","ERR   Trang An Ninh Binh U20",
,"13:07:22","03:18","P","[4 : 4]   P   Long An U20",
,"13:07:35","03:31","Pt Conf","Pt Conf   Long An U20",
,"13:07:37","03:32","SRV","SRV   Long An U20",
,"13:07:38","03:34","S ERR","S ERR   Long An U20",
,"13:07:38","03:34","P","[5 : 4]   P   Trang An Ninh Binh U20",
,"13:07:48","03:43","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:07:58","03:53","SRV","SRV   Trang An Ninh Binh U20",
,"13:08:00","03:55","S ERR","S ERR   Trang An Ninh Binh U20",
,"13:08:00","03:55","P","[5 : 5]   P   Long An U20",
,"13:08:17","04:13","Pt Conf","Pt Conf   Long An U20",
,"13:08:18","04:14","SRV","SRV   Long An U20",
,"13:08:21","04:16","RS","RS   Long An U20",
,"13:08:21","04:17","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:08:23","04:19","K","K   Trang An Ninh Binh U20",
,"13:08:23","04:19","P","[6 : 5]   P   Trang An Ninh Binh U20",
,"13:08:41","04:36","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:08:54","04:49","SRV","SRV   Trang An Ninh Binh U20",
,"13:08:57","04:52","RS","RS   Trang An Ninh Binh U20",
,"13:08:58","04:54","B POSS","B POSS   Long An U20",
,"13:08:59","04:55","K","K   Long An U20",
,"13:08:59","04:55","P","[6 : 6]   P   Long An U20",
,"13:09:15","05:10","Pt Conf","Pt Conf   Long An U20",
,"13:09:16","05:11","SRV","SRV   Long An U20",
,"13:09:19","05:15","A","A   Long An U20",
,"13:09:19","05:15","P","[6 : 7]   P   Long An U20",
,"13:09:32","05:27","Pt Conf","Pt Conf   Long An U20",
,"13:09:33","05:28","SRV","SRV   Long An U20",
,"13:09:35","05:30","RS","RS   Long An U20",
,"13:09:36","05:31","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:09:38","05:34","K","K   Trang An Ninh Binh U20",
,"13:09:38","05:34","P","[7 : 7]   P   Trang An Ninh Binh U20",
,"13:09:53","05:48","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:09:54","05:50","SRV","SRV   Trang An Ninh Binh U20",
,"13:09:56","05:51","RS","RS   Trang An Ninh Binh U20",
,"13:09:56","05:52","B POSS","B POSS   Long An U20",
,"13:10:00","05:55","K","K   Trang An Ninh Binh U20",
,"13:10:00","05:55","P","[8 : 7]   P   Trang An Ninh Binh U20",
,"13:10:14","06:10","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:10:15","06:11","SRV","SRV   Trang An Ninh Binh U20",
,"13:10:17","06:12","RS","RS   Trang An Ninh Binh U20",
,"13:10:18","06:13","B POSS","B POSS   Long An U20",
,"13:10:20","06:16","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:10:20","06:16","K","K   Trang An Ninh Binh U20",
,"13:10:20","06:16","P","[9 : 7]   P   Trang An Ninh Binh U20",
,"13:10:37","06:33","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:10:40","06:35","SRV","SRV   Trang An Ninh Binh U20",
,"13:10:40","06:36","A","A   Trang An Ninh Binh U20",
,"13:10:40","06:36","P","[10 : 7]   P   Trang An Ninh Binh U20",
,"13:10:52","06:48","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:10:59","06:54","SRV","SRV   Trang An Ninh Binh U20",
,"13:11:00","06:55","RS","RS   Trang An Ninh Binh U20",
,"13:11:04","06:59","B POSS","B POSS   Long An U20",
,"13:11:05","07:00","OUT","OUT   Long An U20",
,"13:11:05","07:00","P","[11 : 7]   P   Trang An Ninh Binh U20",
,"13:11:18","07:13","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:11:21","07:17","SRV","SRV   Trang An Ninh Binh U20",
,"13:11:23","07:19","RS","RS   Trang An Ninh Binh U20",
,"13:11:24","07:20","B POSS","B POSS   Long An U20",
,"13:11:26","07:21","K","K   Long An U20",
,"13:11:26","07:21","P","[11 : 8]   P   Long An U20",
,"13:11:41","07:36","Pt Conf","Pt Conf   Long An U20",
,"13:11:42","07:38","SRV","SRV   Long An U20",
,"13:11:44","07:39","RS","RS   Long An U20",
,"13:11:45","07:40","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:11:47","07:43","K","K   Trang An Ninh Binh U20",
,"13:11:47","07:43","P","[12 : 8]   P   Trang An Ninh Binh U20",
,"13:12:13","08:09","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:12:13","08:09","SRV","SRV   Trang An Ninh Binh U20",
,"13:12:13","08:09","RS","RS   Trang An Ninh Binh U20",
,"13:12:13","08:09","B POSS","B POSS   Long An U20",
,"13:12:17","08:13","K","K   Trang An Ninh Binh U20",
,"13:12:17","08:13","P","[13 : 8]   P   Trang An Ninh Binh U20",
,"13:12:29","08:25","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:12:30","08:26","TIME","TIME",
,"13:12:31","08:27","TIME","TIME   Long An U20",
,"13:13:32","09:27","SRV","SRV   Trang An Ninh Binh U20",
,"13:13:33","09:29","RS","RS   Trang An Ninh Binh U20",
,"13:13:34","09:30","B POSS","B POSS   Long An U20",
,"13:13:40","09:36","ERR","ERR   Trang An Ninh Binh U20",
,"13:13:40","09:36","P","[13 : 9]   P   Long An U20",
,"13:13:59","09:55","Pt Conf","Pt Conf   Long An U20",
,"13:14:02","09:58","SRV","SRV   Long An U20",
,"13:14:04","10:00","RS","RS   Long An U20",
,"13:14:05","10:00","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:14:07","10:02","OUT","OUT   Trang An Ninh Binh U20",
,"13:14:07","10:02","P","[13 : 10]   P   Long An U20",
,"13:14:25","10:20","Pt Conf","Pt Conf   Long An U20",
,"13:14:27","10:23","SRV","SRV   Long An U20",
,"13:14:28","10:24","S ERR","S ERR   Long An U20",
,"13:14:28","10:24","P","[14 : 10]   P   Trang An Ninh Binh U20",
,"13:14:47","10:42","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:14:49","10:44","SRV","SRV   Trang An Ninh Binh U20",
,"13:14:50","10:46","RS","RS   Trang An Ninh Binh U20",
,"13:14:53","10:48","B POSS","B POSS   Long An U20",
,"13:14:54","10:50","K","K   Trang An Ninh Binh U20",
,"13:14:54","10:50","P","[15 : 10]   P   Trang An Ninh Binh U20",
,"13:15:08","11:03","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:15:16","11:12","SRV","SRV   Trang An Ninh Binh U20",
,"13:15:18","11:14","RS","RS   Trang An Ninh Binh U20",
,"13:15:19","11:15","B POSS","B POSS   Long An U20",
,"13:15:26","11:21","K","K   Long An U20",
,"13:15:26","11:21","P","[15 : 11]   P   Long An U20",
,"13:15:41","11:36","Pt Conf","Pt Conf   Long An U20",
,"13:15:44","11:39","SRV","SRV   Long An U20",
,"13:15:47","11:42","RS","RS   Long An U20",
,"13:15:48","11:43","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:15:51","11:46","OUT","OUT   Trang An Ninh Binh U20",
,"13:15:51","11:46","P","[15 : 12]   P   Long An U20",
,"13:16:05","12:00","Pt Conf","Pt Conf   Long An U20",
,"13:16:07","12:02","SRV","SRV   Long An U20",
,"13:16:09","12:04","RS","RS   Long An U20",
,"13:16:10","12:05","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:16:18","12:13","B POSS","B POSS   Long An U20",
,"13:16:21","12:16","K","K   Long An U20",
,"13:16:21","12:16","P","[15 : 13]   P   Long An U20",
,"13:16:32","12:27","Pt Conf","Pt Conf   Long An U20",
,"13:16:34","12:30","TIME","TIME",
,"13:16:35","12:31","TIME","TIME   Trang An Ninh Binh U20",
,"13:17:29","13:24","SRV","SRV   Long An U20",
,"13:17:31","13:27","RS","RS   Long An U20",
,"13:17:32","13:27","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:17:35","13:30","K","K   Trang An Ninh Binh U20",
,"13:17:35","13:30","P","[16 : 13]   P   Trang An Ninh Binh U20",
,"13:17:57","13:53","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:18:01","13:57","SRV","SRV   Trang An Ninh Binh U20",
,"13:18:05","14:00","RS","RS   Trang An Ninh Binh U20",
,"13:18:06","14:01","B POSS","B POSS   Long An U20",
,"13:18:09","14:05","K","K   Long An U20",
,"13:18:09","14:05","P","[16 : 14]   P   Long An U20",
,"13:18:24","14:19","Pt Conf","Pt Conf   Long An U20",
,"13:18:25","14:21","SRV","SRV   Long An U20",
,"13:18:30","14:25","RS","RS   Long An U20",
,"13:18:30","14:26","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:18:34","14:29","B","B   Long An U20",
,"13:18:34","14:29","P","[16 : 15]   P   Long An U20",
,"13:18:49","14:44","Pt Conf","Pt Conf   Long An U20",
,"13:18:50","14:45","SRV","SRV   Long An U20",
,"13:18:53","14:48","RS","RS   Long An U20",
,"13:18:53","14:49","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:18:54","14:50","K","K   Trang An Ninh Binh U20",
,"13:18:54","14:50","P","[17 : 15]   P   Trang An Ninh Binh U20",
,"13:19:12","15:07","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:19:13","15:08","SRV","SRV   Trang An Ninh Binh U20",
,"13:19:15","15:10","RS","RS   Trang An Ninh Binh U20",
,"13:19:16","15:11","B POSS","B POSS   Long An U20",
,"13:19:21","15:16","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:19:29","15:25","ERR","ERR   Long An U20",
,"13:19:29","15:25","P","[18 : 15]   P   Trang An Ninh Binh U20",
,"13:19:48","15:43","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:19:49","15:44","SRV","SRV   Trang An Ninh Binh U20",
,"13:19:52","15:48","RS","RS   Trang An Ninh Binh U20",
,"13:19:53","15:48","B POSS","B POSS   Long An U20",
,"13:19:56","15:51","K","K   Long An U20",
,"13:19:56","15:51","P","[18 : 16]   P   Long An U20",
,"13:20:18","16:14","Pt Conf","Pt Conf   Long An U20",
,"13:20:19","16:15","SRV","SRV   Long An U20",
,"13:20:21","16:16","A","A   Long An U20",
,"13:20:21","16:16","P","[18 : 17]   P   Long An U20",
,"13:20:37","16:32","Pt Conf","Pt Conf   Long An U20",
,"13:20:39","16:34","SRV","SRV   Long An U20",
,"13:20:41","16:36","RS","RS   Long An U20",
,"13:20:42","16:37","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:20:43","16:38","K","K   Trang An Ninh Binh U20",
,"13:20:43","16:38","P","[19 : 17]   P   Trang An Ninh Binh U20",
,"13:20:58","16:53","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:21:09","17:05","SRV","SRV   Trang An Ninh Binh U20",
,"13:21:14","17:09","RS","RS   Trang An Ninh Binh U20",
,"13:21:15","17:10","B POSS","B POSS   Long An U20",
,"13:21:22","17:18","K","K   Trang An Ninh Binh U20",
,"13:21:22","17:18","P","[20 : 17]   P   Trang An Ninh Binh U20",
,"13:21:32","17:28","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:21:33","17:28","TIME","TIME",
,"13:21:34","17:29","TIME","TIME   Long An U20",
,"13:22:33","18:28","SRV","SRV   Trang An Ninh Binh U20",
,"13:22:36","18:32","RS","RS   Trang An Ninh Binh U20",
,"13:22:38","18:34","B POSS","B POSS   Long An U20",
,"13:22:39","18:35","K","K   Long An U20",
,"13:22:39","18:35","P","[20 : 18]   P   Long An U20",
,"13:22:54","18:50","Pt Conf","Pt Conf   Long An U20",
,"13:22:56","18:52","SRV","SRV   Long An U20",
,"13:23:00","18:55","RS","RS   Long An U20",
,"13:23:01","18:56","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:23:05","19:00","K","K   Long An U20",
,"13:23:05","19:00","P","[20 : 19]   P   Long An U20",
,"13:23:22","19:18","Pt Conf","Pt Conf   Long An U20",
,"13:23:24","19:19","SRV","SRV   Long An U20",
,"13:23:28","19:23","RS","RS   Long An U20",
,"13:23:29","19:24","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:23:37","19:32","K","K   Trang An Ninh Binh U20",
,"13:23:37","19:32","P","[21 : 19]   P   Trang An Ninh Binh U20",
,"13:23:56","19:52","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:23:58","19:53","SRV","SRV   Trang An Ninh Binh U20",
,"13:24:04","19:59","RS","RS   Trang An Ninh Binh U20",
,"13:24:05","20:00","B POSS","B POSS   Long An U20",
,"13:24:08","20:03","K","K   Trang An Ninh Binh U20",
,"13:24:08","20:03","P","[22 : 19]   P   Trang An Ninh Binh U20",
,"13:24:28","20:23","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:24:34","20:29","SRV","SRV   Trang An Ninh Binh U20",
,"13:24:35","20:30","RS","RS   Trang An Ninh Binh U20",
,"13:24:36","20:31","B POSS","B POSS   Long An U20",
,"13:24:37","20:32","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:24:40","20:35","K","K   Trang An Ninh Binh U20",
,"13:24:40","20:35","P","[23 : 19]   P   Trang An Ninh Binh U20",
,"13:25:00","20:56","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:25:01","20:57","SRV","SRV   Trang An Ninh Binh U20",
,"13:25:03","20:58","RS","RS   Trang An Ninh Binh U20",
,"13:25:03","20:59","B POSS","B POSS   Long An U20",
,"13:25:09","21:04","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:25:12","21:07","B POSS","B POSS   Long An U20",
,"13:25:14","21:09","K","K   Long An U20",
,"13:25:14","21:09","P","[23 : 20]   P   Long An U20",
,"13:25:31","21:27","Pt Conf","Pt Conf   Long An U20",
,"13:25:32","21:28","SRV","SRV   Long An U20",
,"13:25:36","21:31","RS","RS   Long An U20",
,"13:25:38","21:34","B POSS","B POSS   Trang An Ninh Binh U20",
,"13:25:39","21:35","K","K   Trang An Ninh Binh U20",
,"13:25:39","21:35","P","[24 : 20]   P   Trang An Ninh Binh U20",
,"13:25:53","21:48","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:25:54","21:49","SRV","SRV   Trang An Ninh Binh U20",
,"13:25:58","21:54","RS","RS   Trang An Ninh Binh U20",
,"13:25:59","21:54","B POSS","B POSS   Long An U20",
,"13:26:01","21:56","ERR","ERR   Long An U20",
,"13:26:01","21:56","P","[25 : 20]   P   Trang An Ninh Binh U20",
,"13:26:05","22:01","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"13:26:08","22:03","S","S   Trang An Ninh Binh U20",
,"13:26:08","22:03","Stop Set","Stop Set",
,"13:26:20","22:15","Score of last period confirmed","Score of last period confirmed",
,"13:28:05","24:01","Game about to start","Game about to start",
,"13:28:25","24:21","Start SRV","Start SRV   Trang An Ninh Binh U20",
,"13:28:32","24:28","Start 2nd Set","Start 2nd Set",
,"13:28:32","24:28","SRV","SRV   Trang An Ninh Binh U20",
,"13:28:32","24:28","RS","RS   Trang An Ninh Binh U20",
,"13:28:32","24:28","B POSS","B POSS   Long An U20",
,"13:28:35","24:31","K","K   Long An U20",
