"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884504","Argentina","Liga de Honor (women)","05.10.2017 - 00:30","Ferro Carril Oeste (women)","Club Nautico Hacoaj (women)",
"Statistics","Ferro Carril Oeste (women)","Type","Club Nautico Hacoaj (women)",
,"1","Score","3",
,"82","Points","99",
,"1","Sets","3",
,"0","Aces","7",
,"4","Service errors","9",
,"37","Kills","57",
,"9","Blocks","3",
,"15","Errors","16",
,"13","Outs","11",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"23:42:04","00:00","Game conditions changed","Game conditions changed",
,"23:58:06","00:00","Players warming up","Players warming up",
,"00:04:32","00:00","Jersey colours updated","Jersey colours updated",
,"00:04:33","00:00","Jersey colours updated","Jersey colours updated",
,"00:04:43","00:00","Jersey colours updated","Jersey colours updated",
,"00:19:38","00:00","Coin flipping","Coin flipping",
,"00:19:42","00:00","Warm up at the net","Warm up at the net",
,"00:29:17","00:00","Players intro","Players intro",
,"00:30:22","00:00","Players lined up","Players lined up",
,"00:30:27","00:00","Shake hands","Shake hands",
,"00:32:20","00:00","Game about to start","Game about to start",
,"00:33:22","00:00","Start SRV","Start SRV   Club Nautico Hacoaj (women)",
,"00:33:31","00:00","Start 1st Set","Start 1st Set",
,"00:33:32","00:01","SRV","SRV   Club Nautico Hacoaj (women)",
,"00:33:33","00:02","RS","RS   Club Nautico Hacoaj (women)",
,"00:33:34","00:03","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:33:46","00:15","ERR","ERR   Club Nautico Hacoaj (women)",
,"00:33:46","00:15","P","[1 : 0]   P   Ferro Carril Oeste (women)",
,"00:33:59","00:27","Pt Conf","Pt Conf   Ferro Carril Oeste (women)",
,"00:34:00","00:29","SRV","SRV   Ferro Carril Oeste (women)",
,"00:34:02","00:31","RS","RS   Ferro Carril Oeste (women)",
,"00:34:03","00:32","B POSS","B POSS   Club Nautico Hacoaj (women)",
,"00:34:07","00:35","K","K   Club Nautico Hacoaj (women)",
,"00:34:07","00:35","P","[1 : 1]   P   Club Nautico Hacoaj (women)",
,"00:34:20","00:49","Pt Conf","Pt Conf   Club Nautico Hacoaj (women)",
,"00:34:22","00:51","SRV","SRV   Club Nautico Hacoaj (women)",
,"00:34:24","00:53","RS","RS   Club Nautico Hacoaj (women)",
,"00:34:25","00:53","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:34:27","00:56","K","K   Ferro Carril Oeste (women)",
,"00:34:27","00:56","P","[2 : 1]   P   Ferro Carril Oeste (women)",
,"00:34:44","01:12","Pt Conf","Pt Conf   Ferro Carril Oeste (women)",
,"00:34:46","01:14","SRV","SRV   Ferro Carril Oeste (women)",
,"00:34:47","01:16","RS","RS   Ferro Carril Oeste (women)",
,"00:34:48","01:17","B POSS","B POSS   Club Nautico Hacoaj (women)",
,"00:34:51","01:20","OUT","OUT   Club Nautico Hacoaj (women)",
,"00:34:51","01:20","P","[3 : 1]   P   Ferro Carril Oeste (women)",
,"00:35:02","01:31","Pt Conf","Pt Conf   Ferro Carril Oeste (women)",
,"00:35:04","01:33","SRV","SRV   Ferro Carril Oeste (women)",
,"00:35:05","01:34","RS","RS   Ferro Carril Oeste (women)",
,"00:35:06","01:35","B POSS","B POSS   Club Nautico Hacoaj (women)",
,"00:35:08","01:37","K","K   Club Nautico Hacoaj (women)",
,"00:35:08","01:37","P","[3 : 2]   P   Club Nautico Hacoaj (women)",
,"00:35:25","01:54","Pt Conf","Pt Conf   Club Nautico Hacoaj (women)",
,"00:35:31","01:59","SRV","SRV   Club Nautico Hacoaj (women)",
,"00:35:33","02:01","RS","RS   Club Nautico Hacoaj (women)",
,"00:35:33","02:02","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:35:37","02:06","OUT","OUT   Ferro Carril Oeste (women)",
,"00:35:37","02:06","P","[3 : 3]   P   Club Nautico Hacoaj (women)",
,"00:35:54","02:23","Pt Conf","Pt Conf   Club Nautico Hacoaj (women)",
,"00:35:59","02:28","SRV","SRV   Club Nautico Hacoaj (women)",
,"00:36:01","02:30","RS","RS   Club Nautico Hacoaj (women)",
,"00:36:02","02:31","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:36:06","02:35","B POSS","B POSS   Club Nautico Hacoaj (women)",
,"00:36:10","02:38","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:36:15","02:43","B POSS","B POSS   Club Nautico Hacoaj (women)",
,"00:36:23","02:51","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:36:28","02:56","B POSS","B POSS   Club Nautico Hacoaj (women)",
,"00:36:28","02:56","Rally over 5 possession changes","Rally over 5 possession changes",
,"00:36:31","03:00","B POSS","B POSS   Ferro Carril Oeste (women)",
,"00:36:35","03:04","B POSS","B POSS   Club Nautico Hacoaj (women)",
,"00:36:49","03:18","ERR","ERR   Club Nautico Hacoaj (women)",
,"00:36:49","03:18","P","[4 : 3]   P   Ferro Carril Oeste (women)",
,"00:37:12","03:40","Pt Conf","Pt Conf   Ferro Carril Oeste (women)",
,"00:37:14","03:43","SRV","SRV   Ferro Carril Oeste (women)",
,"00:37:16","03:45","RS","RS   Ferro Carril Oeste (women)",
,"00:37:17","03:46","B POSS","B POSS   Club Nautico Hacoaj (women)",
,"00:37:21","03:50","K","K   Club Nautico Hacoaj (women)",
