"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"882815","Czech Republic","Czech Cup (women)","05.10.2017 - 16:00","Volejbal Prerov (women)","TJ Sokol Sternberk (women)",
"Statistics","Volejbal Prerov (women)","Type","TJ Sokol Sternberk (women)",
,"0","Score","3",
,"58","Points","75",
,"0","Sets","3",
,"5","Aces","10",
,"11","Service errors","7",
,"36","Kills","36",
,"3","Blocks","4",
,"4","Errors","1",
,"10","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:30:25","00:00","Game conditions changed","Game conditions changed",
,"15:30:29","00:00","Players warming up","Players warming up",
,"15:45:38","00:00","Coin flipping","Coin flipping",
,"15:46:05","00:00","Warm up at the net","Warm up at the net",
,"15:46:48","00:00","Jersey colours updated","Jersey colours updated",
,"15:46:49","00:00","Jersey colours updated","Jersey colours updated",
,"15:59:42","00:00","Game conditions changed","Game conditions changed",
,"15:59:45","00:00","Players intro","Players intro",
,"15:59:46","00:00","Players lined up","Players lined up",
,"16:00:28","00:00","Shake hands","Shake hands",
,"16:02:34","00:00","Game about to start","Game about to start",
,"16:03:19","00:00","Start SRV","Start SRV   Volejbal Prerov (women)",
,"16:03:40","00:00","Start 1st Set","Start 1st Set",
,"16:03:40","00:00","SRV","SRV   Volejbal Prerov (women)",
,"16:03:42","00:02","RS","RS   Volejbal Prerov (women)",
,"16:03:43","00:02","B POSS","B POSS   TJ Sokol Sternberk (women)",
,"16:03:48","00:07","B POSS","B POSS   Volejbal Prerov (women)",
,"16:03:51","00:10","K","K   TJ Sokol Sternberk (women)",
,"16:03:51","00:10","P","[0 : 1]   P   TJ Sokol Sternberk (women)",
,"16:03:58","00:17","Correct statistics","Correct statistics   (K TJ Sokol Sternberk (women) <=> OUT Volejbal Prerov (women))",
,"16:03:58","00:17","OUT","OUT   Volejbal Prerov (women)",
,"16:04:01","00:21","Pt Conf","Pt Conf   TJ Sokol Sternberk (women)",
,"16:04:06","00:25","SRV","SRV   TJ Sokol Sternberk (women)",
,"16:04:08","00:28","RS","RS   TJ Sokol Sternberk (women)",
,"16:04:08","00:28","B POSS","B POSS   Volejbal Prerov (women)",
,"16:04:13","00:32","K","K   Volejbal Prerov (women)",
,"16:04:13","00:32","P","[1 : 1]   P   Volejbal Prerov (women)",
,"16:04:18","00:38","Pt Conf","Pt Conf   Volejbal Prerov (women)",
,"16:04:24","00:43","SRV","SRV   Volejbal Prerov (women)",
,"16:04:26","00:46","RS","RS   Volejbal Prerov (women)",
,"16:04:26","00:46","B POSS","B POSS   TJ Sokol Sternberk (women)",
,"16:04:31","00:50","K","K   TJ Sokol Sternberk (women)",
,"16:04:31","00:50","P","[1 : 2]   P   TJ Sokol Sternberk (women)",
,"16:04:42","01:02","Pt Conf","Pt Conf   TJ Sokol Sternberk (women)",
,"16:04:47","01:06","SRV","SRV   TJ Sokol Sternberk (women)",
,"16:04:49","01:08","RS","RS   TJ Sokol Sternberk (women)",
,"16:04:49","01:09","B POSS","B POSS   Volejbal Prerov (women)",
,"16:04:52","01:12","B POSS","B POSS   TJ Sokol Sternberk (women)",
,"16:04:54","01:14","B POSS","B POSS   Volejbal Prerov (women)",
,"16:04:58","01:17","B POSS","B POSS   TJ Sokol Sternberk (women)",
,"16:05:04","01:24","K","K   TJ Sokol Sternberk (women)",
,"16:05:04","01:24","P","[1 : 3]   P   TJ Sokol Sternberk (women)",
,"16:05:16","01:35","Pt Conf","Pt Conf   TJ Sokol Sternberk (women)",
,"16:05:17","01:37","SRV","SRV   TJ Sokol Sternberk (women)",
,"16:05:22","01:41","A","A   TJ Sokol Sternberk (women)",
,"16:05:22","01:41","P","[1 : 4]   P   TJ Sokol Sternberk (women)",
,"16:05:31","01:50","Pt Conf","Pt Conf   TJ Sokol Sternberk (women)",
,"16:05:35","01:54","SRV","SRV   TJ Sokol Sternberk (women)",
,"16:05:37","01:57","RS","RS   TJ Sokol Sternberk (women)",
,"16:05:38","01:57","B POSS","B POSS   Volejbal Prerov (women)",
,"16:05:41","02:01","K","K   Volejbal Prerov (women)",
,"16:05:41","02:01","P","[2 : 4]   P   Volejbal Prerov (women)",
,"16:05:51","02:10","Pt Conf","Pt Conf   Volejbal Prerov (women)",
,"16:05:59","02:18","SRV","SRV   Volejbal Prerov (women)",
