"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884422","Friendly","Ho Chi Minh City Open Cup (men)","05.10.2017 - 09:00","Trang An Ninh Binh","Cong An TP HCM",
"Statistics","Trang An Ninh Binh","Type","Cong An TP HCM",
,"3","Score","2",
,"103","Points","90",
,"3","Sets","2",
,"3","Aces","6",
,"15","Service errors","10",
,"62","Kills","44",
,"15","Blocks","8",
,"12","Errors","7",
,"5","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"08:34:18","00:00","Game conditions changed","Game conditions changed",
,"08:34:22","00:00","Coin flipping","Coin flipping",
,"08:34:28","00:00","Players lined up","Players lined up",
,"08:34:30","00:00","Shake hands","Shake hands",
,"08:34:33","00:00","Players warming up","Players warming up",
,"08:34:56","00:00","Jersey colours updated","Jersey colours updated",
,"08:34:56","00:00","Jersey colours updated","Jersey colours updated",
,"08:51:57","00:00","Warm up at the net","Warm up at the net",
,"08:54:43","00:00","Players intro","Players intro",
,"08:55:29","00:00","Game about to start","Game about to start",
,"08:55:56","00:00","Start SRV","Start SRV   Cong An TP HCM",
,"08:56:02","00:00","Start 1st Set","Start 1st Set",
,"08:56:02","00:00","SRV","SRV   Cong An TP HCM",
,"08:56:10","00:08","RS","RS   Cong An TP HCM",
,"08:56:10","00:08","B POSS","B POSS   Trang An Ninh Binh",
,"08:56:13","00:11","B","B   Cong An TP HCM",
,"08:56:13","00:11","P","[0 : 1]   P   Cong An TP HCM",
,"08:56:24","00:22","Pt Conf","Pt Conf   Cong An TP HCM",
,"08:56:25","00:23","SRV","SRV   Cong An TP HCM",
,"08:56:33","00:31","RS","RS   Cong An TP HCM",
,"08:56:34","00:32","B POSS","B POSS   Trang An Ninh Binh",
,"08:56:37","00:35","B","B   Cong An TP HCM",
,"08:56:37","00:35","P","[0 : 2]   P   Cong An TP HCM",
,"08:56:51","00:49","Pt Conf","Pt Conf   Cong An TP HCM",
,"08:56:51","00:49","SRV","SRV   Cong An TP HCM",
,"08:56:56","00:54","A","A   Cong An TP HCM",
,"08:56:56","00:54","P","[0 : 3]   P   Cong An TP HCM",
,"08:57:07","01:05","Pt Conf","Pt Conf   Cong An TP HCM",
,"08:57:09","01:07","SRV","SRV   Cong An TP HCM",
,"08:57:19","01:17","RS","RS   Cong An TP HCM",
,"08:57:19","01:17","B POSS","B POSS   Trang An Ninh Binh",
,"08:57:23","01:21","B POSS","B POSS   Cong An TP HCM",
,"08:57:32","01:30","B POSS","B POSS   Trang An Ninh Binh",
,"08:57:37","01:35","K","K   Trang An Ninh Binh",
,"08:57:37","01:35","P","[1 : 3]   P   Trang An Ninh Binh",
,"08:57:45","01:43","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"08:57:46","01:44","SRV","SRV   Trang An Ninh Binh",
,"08:57:53","01:51","S ERR","S ERR   Trang An Ninh Binh",
,"08:57:53","01:51","P","[1 : 4]   P   Cong An TP HCM",
,"08:58:03","02:01","Pt Conf","Pt Conf   Cong An TP HCM",
,"08:58:04","02:02","SRV","SRV   Cong An TP HCM",
,"08:58:15","02:13","RS","RS   Cong An TP HCM",
,"08:58:15","02:13","B POSS","B POSS   Trang An Ninh Binh",
,"08:58:16","02:14","B POSS","B POSS   Cong An TP HCM",
,"08:58:20","02:18","K","K   Cong An TP HCM",
,"08:58:20","02:18","P","[1 : 5]   P   Cong An TP HCM",
,"08:58:31","02:29","Pt Conf","Pt Conf   Cong An TP HCM",
,"08:58:33","02:31","SRV","SRV   Cong An TP HCM",
,"08:58:42","02:40","RS","RS   Cong An TP HCM",
,"08:58:42","02:40","B POSS","B POSS   Trang An Ninh Binh",
,"08:58:53","02:51","K","K   Trang An Ninh Binh",
,"08:58:53","02:51","P","[2 : 5]   P   Trang An Ninh Binh",
,"08:59:01","02:59","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"08:59:02","03:00","SRV","SRV   Trang An Ninh Binh",
,"08:59:12","03:10","RS","RS   Trang An Ninh Binh",
,"08:59:12","03:10","B POSS","B POSS   Cong An TP HCM",
,"08:59:14","03:12","ERR","ERR   Cong An TP HCM",
,"08:59:14","03:12","P","[3 : 5]   P   Trang An Ninh Binh",
,"08:59:25","03:23","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"08:59:26","03:24","SRV","SRV   Trang An Ninh Binh",
,"08:59:35","03:33","A","A   Trang An Ninh Binh",
,"08:59:35","03:33","P","[4 : 5]   P   Trang An Ninh Binh",
,"08:59:52","03:50","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"08:59:53","03:51","SRV","SRV   Trang An Ninh Binh",
,"09:00:02","04:00","RS","RS   Trang An Ninh Binh",
,"09:00:03","04:01","B POSS","B POSS   Cong An TP HCM",
,"09:00:12","04:10","K","K   Cong An TP HCM",
,"09:00:12","04:10","P","[4 : 6]   P   Cong An TP HCM",
,"09:00:23","04:21","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:00:24","04:22","SRV","SRV   Cong An TP HCM",
,"09:00:33","04:31","S ERR","S ERR   Cong An TP HCM",
,"09:00:33","04:31","P","[5 : 6]   P   Trang An Ninh Binh",
,"09:00:45","04:43","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:00:45","04:43","SRV","SRV   Trang An Ninh Binh",
,"09:00:52","04:50","RS","RS   Trang An Ninh Binh",
,"09:00:52","04:50","B POSS","B POSS   Cong An TP HCM",
,"09:00:57","04:55","K","K   Cong An TP HCM",
,"09:00:57","04:55","P","[5 : 7]   P   Cong An TP HCM",
,"09:01:07","05:05","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:01:08","05:06","SRV","SRV   Cong An TP HCM",
,"09:01:17","05:15","RS","RS   Cong An TP HCM",
,"09:01:18","05:16","B POSS","B POSS   Trang An Ninh Binh",
,"09:01:18","05:16","K","K   Trang An Ninh Binh",
,"09:01:18","05:16","P","[6 : 7]   P   Trang An Ninh Binh",
,"09:01:28","05:26","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:01:29","05:27","SRV","SRV   Trang An Ninh Binh",
,"09:01:38","05:36","RS","RS   Trang An Ninh Binh",
,"09:01:39","05:37","B POSS","B POSS   Cong An TP HCM",
,"09:01:41","05:39","B POSS","B POSS   Trang An Ninh Binh",
,"09:01:48","05:46","ERR","ERR   Trang An Ninh Binh",
,"09:01:48","05:46","P","[6 : 8]   P   Cong An TP HCM",
,"09:02:00","05:58","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:02:01","05:59","SRV","SRV   Cong An TP HCM",
,"09:02:09","06:07","RS","RS   Cong An TP HCM",
,"09:02:09","06:07","B POSS","B POSS   Trang An Ninh Binh",
,"09:02:11","06:09","K","K   Trang An Ninh Binh",
,"09:02:11","06:09","P","[7 : 8]   P   Trang An Ninh Binh",
,"09:02:22","06:20","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:02:24","06:22","SRV","SRV   Trang An Ninh Binh",
,"09:02:32","06:30","RS","RS   Trang An Ninh Binh",
,"09:02:32","06:30","B POSS","B POSS   Cong An TP HCM",
,"09:02:35","06:33","K","K   Cong An TP HCM",
,"09:02:35","06:33","P","[7 : 9]   P   Cong An TP HCM",
,"09:02:50","06:48","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:02:51","06:49","SRV","SRV   Cong An TP HCM",
,"09:03:00","06:58","A","A   Cong An TP HCM",
,"09:03:00","06:58","P","[7 : 10]   P   Cong An TP HCM",
,"09:03:15","07:13","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:03:16","07:14","SRV","SRV   Cong An TP HCM",
,"09:03:24","07:22","S ERR","S ERR   Cong An TP HCM",
,"09:03:24","07:22","P","[8 : 10]   P   Trang An Ninh Binh",
,"09:03:37","07:35","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:03:39","07:37","SRV","SRV   Trang An Ninh Binh",
,"09:03:46","07:44","RS","RS   Trang An Ninh Binh",
,"09:03:47","07:45","B POSS","B POSS   Cong An TP HCM",
,"09:03:48","07:46","K","K   Cong An TP HCM",
,"09:03:48","07:46","P","[8 : 11]   P   Cong An TP HCM",
,"09:04:02","08:00","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:04:07","08:05","SRV","SRV   Cong An TP HCM",
,"09:04:10","08:08","RS","RS   Cong An TP HCM",
,"09:04:11","08:09","B POSS","B POSS   Trang An Ninh Binh",
,"09:04:14","08:12","B POSS","B POSS   Cong An TP HCM",
,"09:04:19","08:17","K","K   Cong An TP HCM",
,"09:04:19","08:17","P","[8 : 12]   P   Cong An TP HCM",
,"09:04:31","08:29","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:04:32","08:30","SRV","SRV   Cong An TP HCM",
,"09:04:40","08:38","RS","RS   Cong An TP HCM",
,"09:04:40","08:38","B POSS","B POSS   Trang An Ninh Binh",
,"09:04:45","08:43","B POSS","B POSS   Cong An TP HCM",
,"09:04:48","08:46","K","K   Cong An TP HCM",
,"09:04:48","08:46","P","[8 : 13]   P   Cong An TP HCM",
,"09:05:04","09:02","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:05:06","09:04","TIME","TIME",
,"09:05:07","09:05","TIME","TIME   Trang An Ninh Binh",
,"09:05:55","09:53","SRV","SRV   Cong An TP HCM",
,"09:06:04","10:02","RS","RS   Cong An TP HCM",
,"09:06:04","10:02","B POSS","B POSS   Trang An Ninh Binh",
,"09:06:07","10:05","K","K   Trang An Ninh Binh",
,"09:06:07","10:05","P","[9 : 13]   P   Trang An Ninh Binh",
,"09:06:17","10:15","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:06:17","10:15","SRV","SRV   Trang An Ninh Binh",
,"09:06:27","10:25","RS","RS   Trang An Ninh Binh",
,"09:06:28","10:26","B POSS","B POSS   Cong An TP HCM",
,"09:06:29","10:27","K","K   Cong An TP HCM",
,"09:06:29","10:27","P","[9 : 14]   P   Cong An TP HCM",
,"09:06:43","10:41","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:06:43","10:41","SRV","SRV   Cong An TP HCM",
,"09:06:51","10:49","RS","RS   Cong An TP HCM",
,"09:06:51","10:49","B POSS","B POSS   Trang An Ninh Binh",
,"09:06:54","10:52","K","K   Trang An Ninh Binh",
,"09:06:54","10:52","P","[10 : 14]   P   Trang An Ninh Binh",
,"09:07:07","11:05","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:07:08","11:06","SRV","SRV   Trang An Ninh Binh",
,"09:07:17","11:15","RS","RS   Trang An Ninh Binh",
,"09:07:18","11:16","B POSS","B POSS   Cong An TP HCM",
,"09:07:18","11:16","B POSS","B POSS   Trang An Ninh Binh",
,"09:07:23","11:21","B POSS","B POSS   Cong An TP HCM",
,"09:07:27","11:25","K","K   Cong An TP HCM",
,"09:07:27","11:25","P","[10 : 15]   P   Cong An TP HCM",
,"09:07:39","11:37","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:07:40","11:38","SRV","SRV   Cong An TP HCM",
,"09:07:48","11:46","RS","RS   Cong An TP HCM",
,"09:07:49","11:47","B POSS","B POSS   Trang An Ninh Binh",
,"09:07:52","11:50","K","K   Trang An Ninh Binh",
,"09:07:52","11:50","P","[11 : 15]   P   Trang An Ninh Binh",
,"09:08:05","12:03","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:08:06","12:04","SRV","SRV   Trang An Ninh Binh",
,"09:08:12","12:10","RS","RS   Trang An Ninh Binh",
,"09:08:12","12:10","B POSS","B POSS   Cong An TP HCM",
,"09:08:15","12:13","K","K   Cong An TP HCM",
,"09:08:15","12:13","P","[11 : 16]   P   Cong An TP HCM",
,"09:08:27","12:25","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:08:28","12:26","SRV","SRV   Cong An TP HCM",
,"09:08:35","12:33","S ERR","S ERR   Cong An TP HCM",
,"09:08:35","12:33","P","[12 : 16]   P   Trang An Ninh Binh",
,"09:08:46","12:44","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:08:48","12:46","SRV","SRV   Trang An Ninh Binh",
,"09:08:53","12:51","S ERR","S ERR   Trang An Ninh Binh",
,"09:08:53","12:51","P","[12 : 17]   P   Cong An TP HCM",
,"09:09:05","13:03","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:09:05","13:03","SRV","SRV   Cong An TP HCM",
,"09:09:17","13:15","RS","RS   Cong An TP HCM",
,"09:09:17","13:15","B POSS","B POSS   Trang An Ninh Binh",
,"09:09:17","13:15","K","K   Trang An Ninh Binh",
,"09:09:17","13:15","P","[13 : 17]   P   Trang An Ninh Binh",
,"09:09:28","13:26","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:09:29","13:27","SRV","SRV   Trang An Ninh Binh",
,"09:09:36","13:34","S ERR","S ERR   Trang An Ninh Binh",
,"09:09:36","13:34","P","[13 : 18]   P   Cong An TP HCM",
,"09:09:51","13:49","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:09:53","13:51","SRV","SRV   Cong An TP HCM",
,"09:10:01","13:59","RS","RS   Cong An TP HCM",
,"09:10:02","14:00","B POSS","B POSS   Trang An Ninh Binh",
,"09:10:04","14:02","K","K   Trang An Ninh Binh",
,"09:10:04","14:02","P","[14 : 18]   P   Trang An Ninh Binh",
,"09:10:15","14:13","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:10:16","14:14","SRV","SRV   Trang An Ninh Binh",
,"09:10:23","14:21","RS","RS   Trang An Ninh Binh",
,"09:10:24","14:22","B POSS","B POSS   Cong An TP HCM",
,"09:10:27","14:25","K","K   Cong An TP HCM",
,"09:10:27","14:25","P","[14 : 19]   P   Cong An TP HCM",
,"09:10:38","14:36","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:10:39","14:37","SRV","SRV   Cong An TP HCM",
,"09:10:46","14:44","RS","RS   Cong An TP HCM",
,"09:10:47","14:45","B POSS","B POSS   Trang An Ninh Binh",
,"09:10:52","14:50","K","K   Trang An Ninh Binh",
,"09:10:52","14:50","P","[15 : 19]   P   Trang An Ninh Binh",
,"09:10:59","14:57","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:11:00","14:58","SRV","SRV   Trang An Ninh Binh",
,"09:11:09","15:06","S ERR","S ERR   Trang An Ninh Binh",
,"09:11:09","15:06","P","[15 : 20]   P   Cong An TP HCM",
,"09:11:22","15:20","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:11:23","15:21","SRV","SRV   Cong An TP HCM",
,"09:11:29","15:27","RS","RS   Cong An TP HCM",
,"09:11:30","15:28","B POSS","B POSS   Trang An Ninh Binh",
,"09:11:33","15:31","K","K   Trang An Ninh Binh",
,"09:11:33","15:31","P","[16 : 20]   P   Trang An Ninh Binh",
,"09:11:48","15:46","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:11:49","15:47","SRV","SRV   Trang An Ninh Binh",
,"09:11:57","15:55","RS","RS   Trang An Ninh Binh",
,"09:11:58","15:56","B POSS","B POSS   Cong An TP HCM",
,"09:12:02","16:00","B POSS","B POSS   Trang An Ninh Binh",
,"09:12:07","16:05","B POSS","B POSS   Cong An TP HCM",
,"09:12:15","16:13","K","K   Cong An TP HCM",
,"09:12:15","16:13","P","[16 : 21]   P   Cong An TP HCM",
,"09:12:30","16:28","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:12:32","16:30","SRV","SRV   Cong An TP HCM",
,"09:12:39","16:37","RS","RS   Cong An TP HCM",
,"09:12:40","16:38","B POSS","B POSS   Trang An Ninh Binh",
,"09:12:44","16:42","OUT","OUT   Trang An Ninh Binh",
,"09:12:44","16:42","P","[16 : 22]   P   Cong An TP HCM",
,"09:13:00","16:58","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:13:01","16:59","TIME","TIME",
,"09:13:02","17:00","TIME","TIME   Trang An Ninh Binh",
,"09:13:54","17:52","SRV","SRV   Cong An TP HCM",
,"09:14:04","18:02","RS","RS   Cong An TP HCM",
,"09:14:04","18:02","B POSS","B POSS   Trang An Ninh Binh",
,"09:14:06","18:04","K","K   Trang An Ninh Binh",
,"09:14:06","18:04","P","[17 : 22]   P   Trang An Ninh Binh",
,"09:14:15","18:13","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:14:16","18:14","SRV","SRV   Trang An Ninh Binh",
,"09:14:20","18:18","RS","RS   Trang An Ninh Binh",
,"09:14:21","18:19","B POSS","B POSS   Cong An TP HCM",
,"09:14:24","18:22","K","K   Cong An TP HCM",
,"09:14:24","18:22","P","[17 : 23]   P   Cong An TP HCM",
,"09:14:44","18:42","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:14:45","18:43","SRV","SRV   Cong An TP HCM",
,"09:14:50","18:48","A","A   Cong An TP HCM",
,"09:14:50","18:48","P","[17 : 24]   P   Cong An TP HCM",
,"09:15:00","18:58","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:15:01","18:59","SRV","SRV   Cong An TP HCM",
,"09:15:06","19:04","RS","RS   Cong An TP HCM",
,"09:15:07","19:05","B POSS","B POSS   Trang An Ninh Binh",
,"09:15:09","19:07","K","K   Trang An Ninh Binh",
,"09:15:09","19:07","P","[18 : 24]   P   Trang An Ninh Binh",
,"09:15:21","19:19","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:15:23","19:21","SRV","SRV   Trang An Ninh Binh",
,"09:15:28","19:26","A","A   Trang An Ninh Binh",
,"09:15:28","19:26","P","[19 : 24]   P   Trang An Ninh Binh",
,"09:15:39","19:37","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:15:40","19:38","TIME","TIME",
,"09:15:41","19:39","TIME","TIME   Cong An TP HCM",
,"09:16:28","20:26","SRV","SRV   Trang An Ninh Binh",
,"09:16:33","20:31","RS","RS   Trang An Ninh Binh",
,"09:16:34","20:32","B POSS","B POSS   Cong An TP HCM",
,"09:16:38","20:36","ERR","ERR   Trang An Ninh Binh",
,"09:16:38","20:36","P","[19 : 25]   P   Cong An TP HCM",
,"09:16:43","20:40","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:16:43","20:41","S","S   Cong An TP HCM",
,"09:16:43","20:41","Stop Set","Stop Set",
,"09:16:51","20:49","Score of last period confirmed","Score of last period confirmed",
,"09:19:18","23:16","Game about to start","Game about to start",
,"09:19:23","23:21","Start SRV","Start SRV   Trang An Ninh Binh",
,"09:19:28","23:26","Start 2nd Set","Start 2nd Set",
,"09:19:29","23:27","SRV","SRV   Trang An Ninh Binh",
,"09:19:38","23:36","RS","RS   Trang An Ninh Binh",
,"09:19:39","23:37","B POSS","B POSS   Cong An TP HCM",
,"09:19:42","23:40","B","B   Trang An Ninh Binh",
,"09:19:42","23:40","P","[1 : 0]   P   Trang An Ninh Binh",
,"09:19:53","23:51","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:19:53","23:51","SRV","SRV   Trang An Ninh Binh",
,"09:20:00","23:58","RS","RS   Trang An Ninh Binh",
,"09:20:01","23:59","B POSS","B POSS   Cong An TP HCM",
,"09:20:07","24:05","K","K   Cong An TP HCM",
,"09:20:07","24:05","P","[1 : 1]   P   Cong An TP HCM",
,"09:20:18","24:16","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:20:19","24:17","SRV","SRV   Cong An TP HCM",
,"09:20:25","24:23","RS","RS   Cong An TP HCM",
,"09:20:26","24:24","B POSS","B POSS   Trang An Ninh Binh",
,"09:20:29","24:26","K","K   Trang An Ninh Binh",
,"09:20:29","24:26","P","[2 : 1]   P   Trang An Ninh Binh",
,"09:20:39","24:37","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:20:39","24:37","SRV","SRV   Trang An Ninh Binh",
,"09:20:48","24:46","RS","RS   Trang An Ninh Binh",
,"09:20:48","24:46","B POSS","B POSS   Cong An TP HCM",
,"09:20:50","24:48","B POSS","B POSS   Trang An Ninh Binh",
,"09:20:55","24:53","K","K   Trang An Ninh Binh",
,"09:20:55","24:53","P","[3 : 1]   P   Trang An Ninh Binh",
,"09:21:07","25:05","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"09:21:08","25:06","SRV","SRV   Trang An Ninh Binh",
,"09:21:21","25:19","RS","RS   Trang An Ninh Binh",
,"09:21:21","25:19","B POSS","B POSS   Cong An TP HCM",
,"09:21:21","25:19","B POSS","B POSS   Trang An Ninh Binh",
,"09:21:21","25:19","K","K   Trang An Ninh Binh",
,"09:21:21","25:19","P","[4 : 1]   P   Trang An Ninh Binh",
