"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884424","Friendly","Ho Chi Minh City Open Cup (men)","05.10.2017 - 11:00","Quan Doan 4","TP Ho Chi Minh",
"Statistics","Quan Doan 4","Type","TP Ho Chi Minh",
,"3","Score","1",
,"95","Points","77",
,"3","Sets","1",
,"12","Aces","4",
,"11","Service errors","6",
,"54","Kills","40",
,"6","Blocks","13",
,"6","Errors","11",
,"3","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:40:18","00:00","Game conditions changed","Game conditions changed",
,"10:42:19","00:00","Coin flipping","Coin flipping",
,"10:42:19","00:00","Players lined up","Players lined up",
,"10:42:19","00:00","Shake hands","Shake hands",
,"10:43:04","00:00","Jersey colours updated","Jersey colours updated",
,"10:43:05","00:00","Jersey colours updated","Jersey colours updated",
,"10:43:07","00:00","Players warming up","Players warming up",
,"11:03:05","00:00","Warm up at the net","Warm up at the net",
,"11:09:57","00:00","Players intro","Players intro",
,"11:10:42","00:00","Game about to start","Game about to start",
,"11:11:16","00:00","Start SRV","Start SRV   TP Ho Chi Minh",
,"11:11:18","00:00","Start 1st Set","Start 1st Set",
,"11:11:20","00:01","SRV","SRV   TP Ho Chi Minh",
,"11:11:29","00:10","RS","RS   TP Ho Chi Minh",
,"11:11:29","00:11","B POSS","B POSS   Quan Doan 4",
,"11:11:29","00:11","B","B   TP Ho Chi Minh",
,"11:11:29","00:11","P","[0 : 1]   P   TP Ho Chi Minh",
,"11:11:44","00:25","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"11:11:44","00:25","SRV","SRV   TP Ho Chi Minh",
,"11:11:47","00:28","RS","RS   TP Ho Chi Minh",
,"11:11:47","00:29","B POSS","B POSS   Quan Doan 4",
,"11:12:02","00:43","K","K   Quan Doan 4",
,"11:12:02","00:43","P","[1 : 1]   P   Quan Doan 4",
,"11:12:13","00:55","Pt Conf","Pt Conf   Quan Doan 4",
,"11:12:15","00:56","SRV","SRV   Quan Doan 4",
,"11:12:23","01:05","S ERR","S ERR   Quan Doan 4",
,"11:12:23","01:05","P","[1 : 2]   P   TP Ho Chi Minh",
,"11:12:36","01:18","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"11:12:36","01:18","SRV","SRV   TP Ho Chi Minh",
,"11:12:47","01:28","RS","RS   TP Ho Chi Minh",
,"11:12:47","01:28","B POSS","B POSS   Quan Doan 4",
,"11:12:48","01:30","K","K   Quan Doan 4",
,"11:12:48","01:30","P","[2 : 2]   P   Quan Doan 4",
,"11:12:59","01:41","Pt Conf","Pt Conf   Quan Doan 4",
,"11:13:01","01:42","SRV","SRV   Quan Doan 4",
,"11:13:04","01:46","RS","RS   Quan Doan 4",
,"11:13:05","01:46","B POSS","B POSS   TP Ho Chi Minh",
,"11:13:10","01:51","K","K   TP Ho Chi Minh",
,"11:13:10","01:51","P","[2 : 3]   P   TP Ho Chi Minh",
,"11:13:20","02:01","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"11:13:21","02:02","SRV","SRV   TP Ho Chi Minh",
,"11:13:28","02:10","RS","RS   TP Ho Chi Minh",
,"11:13:29","02:10","B POSS","B POSS   Quan Doan 4",
,"11:13:35","02:16","OUT","OUT   Quan Doan 4",
,"11:13:35","02:16","P","[2 : 4]   P   TP Ho Chi Minh",
,"11:13:45","02:27","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"11:13:47","02:28","SRV","SRV   TP Ho Chi Minh",
,"11:13:53","02:35","RS","RS   TP Ho Chi Minh",
,"11:13:54","02:36","B POSS","B POSS   Quan Doan 4",
,"11:14:01","02:42","K","K   Quan Doan 4",
,"11:14:01","02:42","P","[3 : 4]   P   Quan Doan 4",
,"11:14:11","02:52","Pt Conf","Pt Conf   Quan Doan 4",
,"11:14:12","02:53","SRV","SRV   Quan Doan 4",
,"11:14:18","03:00","A","A   Quan Doan 4",
,"11:14:18","03:00","P","[4 : 4]   P   Quan Doan 4",
,"11:14:27","03:08","Pt Conf","Pt Conf   Quan Doan 4",
,"11:14:28","03:10","SRV","SRV   Quan Doan 4",
,"11:14:34","03:15","RS","RS   Quan Doan 4",
,"11:14:34","03:16","B POSS","B POSS   TP Ho Chi Minh",
,"11:14:39","03:21","K","K   TP Ho Chi Minh",
,"11:14:39","03:21","P","[4 : 5]   P   TP Ho Chi Minh",
,"11:14:49","03:31","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"11:14:50","03:32","SRV","SRV   TP Ho Chi Minh",
,"11:14:58","03:40","S ERR","S ERR   TP Ho Chi Minh",
,"11:14:58","03:40","P","[5 : 5]   P   Quan Doan 4",
,"11:15:09","03:50","Pt Conf","Pt Conf   Quan Doan 4",
,"11:15:09","03:51","SRV","SRV   Quan Doan 4",
,"11:15:14","03:55","RS","RS   Quan Doan 4",
,"11:15:15","03:56","B POSS","B POSS   TP Ho Chi Minh",
,"11:15:19","04:01","B POSS","B POSS   Quan Doan 4",
,"11:15:24","04:05","K","K   Quan Doan 4",
,"11:15:24","04:05","P","[6 : 5]   P   Quan Doan 4",
,"11:15:34","04:15","Pt Conf","Pt Conf   Quan Doan 4",
,"11:15:34","04:16","SRV","SRV   Quan Doan 4",
,"11:15:39","04:20","RS","RS   Quan Doan 4",
,"11:15:39","04:21","B POSS","B POSS   TP Ho Chi Minh",
,"11:15:48","04:29","ERR","ERR   TP Ho Chi Minh",
,"11:15:48","04:29","P","[7 : 5]   P   Quan Doan 4",
,"11:15:58","04:40","Pt Conf","Pt Conf   Quan Doan 4",
,"11:15:59","04:40","SRV","SRV   Quan Doan 4",
,"11:16:03","04:45","RS","RS   Quan Doan 4",
,"11:16:04","04:46","B POSS","B POSS   TP Ho Chi Minh",
,"11:16:09","04:50","K","K   TP Ho Chi Minh",
,"11:16:09","04:50","P","[7 : 6]   P   TP Ho Chi Minh",
,"11:16:22","05:03","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"11:16:23","05:04","SRV","SRV   TP Ho Chi Minh",
,"11:16:27","05:09","RS","RS   TP Ho Chi Minh",
,"11:16:28","05:09","B POSS","B POSS   Quan Doan 4",
,"11:16:33","05:15","K","K   Quan Doan 4",
,"11:16:33","05:15","P","[8 : 6]   P   Quan Doan 4",
,"11:16:44","05:26","Pt Conf","Pt Conf   Quan Doan 4",
,"11:16:46","05:27","SRV","SRV   Quan Doan 4",
,"11:16:48","05:30","A","A   Quan Doan 4",
,"11:16:48","05:30","P","[9 : 6]   P   Quan Doan 4",
,"11:17:02","05:44","Pt Conf","Pt Conf   Quan Doan 4",
,"11:17:03","05:45","SRV","SRV   Quan Doan 4",
,"11:17:11","05:53","RS","RS   Quan Doan 4",
,"11:17:12","05:53","B POSS","B POSS   TP Ho Chi Minh",
,"11:17:13","05:55","ERR","ERR   TP Ho Chi Minh",
,"11:17:13","05:55","P","[10 : 6]   P   Quan Doan 4",
,"11:17:23","06:04","Pt Conf","Pt Conf   Quan Doan 4",
,"11:17:24","06:05","TIME","TIME",
