"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885557","Friendly","Plovdiv Cup (women)","05.10.2017 - 12:30","CS Dinamo Bucuresti (women)","Bursa Buyuksehir Belediyesi (women)",
"Statistics","CS Dinamo Bucuresti (women)","Type","Bursa Buyuksehir Belediyesi (women)",
,"0","Score","3",
,"53","Points","75",
,"0","Sets","3",
,"4","Aces","12",
,"4","Service errors","2",
,"29","Kills","35",
,"7","Blocks","11",
,"4","Errors","4",
,"9","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:05:30","00:00","Game conditions changed","Game conditions changed",
,"12:05:32","00:00","Players warming up","Players warming up",
,"12:14:20","00:00","Coin flipping","Coin flipping",
,"12:15:16","00:00","Warm up at the net","Warm up at the net",
,"12:15:56","00:00","Jersey colours updated","Jersey colours updated",
,"12:15:57","00:00","Jersey colours updated","Jersey colours updated",
,"12:27:18","00:00","Players lined up","Players lined up",
,"12:28:05","00:00","Shake hands","Shake hands",
,"12:28:24","00:00","Players intro","Players intro",
,"12:30:28","00:00","Game about to start","Game about to start",
,"12:31:09","00:00","Start SRV","Start SRV   CS Dinamo Bucuresti (women)",
,"12:31:29","00:00","Start 1st Set","Start 1st Set",
,"12:31:30","00:00","SRV","SRV   CS Dinamo Bucuresti (women)",
,"12:31:35","00:06","RS","RS   CS Dinamo Bucuresti (women)",
,"12:31:36","00:06","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:31:43","00:13","OUT","OUT   Bursa Buyuksehir Belediyesi (women)",
,"12:31:43","00:13","P","[1 : 0]   P   CS Dinamo Bucuresti (women)",
,"12:31:56","00:26","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"12:31:56","00:27","SRV","SRV   CS Dinamo Bucuresti (women)",
,"12:32:00","00:30","RS","RS   CS Dinamo Bucuresti (women)",
,"12:32:00","00:31","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:32:03","00:33","OUT","OUT   Bursa Buyuksehir Belediyesi (women)",
,"12:32:03","00:33","P","[2 : 0]   P   CS Dinamo Bucuresti (women)",
,"12:32:18","00:48","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"12:32:19","00:49","SRV","SRV   CS Dinamo Bucuresti (women)",
,"12:32:22","00:52","S ERR","S ERR   CS Dinamo Bucuresti (women)",
,"12:32:22","00:52","P","[2 : 1]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:32:42","01:12","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:32:43","01:13","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:32:47","01:17","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:32:48","01:18","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:32:51","01:22","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:32:54","01:25","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:32:58","01:29","K","K   CS Dinamo Bucuresti (women)",
,"12:32:58","01:29","P","[3 : 1]   P   CS Dinamo Bucuresti (women)",
,"12:33:14","01:45","Pt Conf","Pt Conf   CS Dinamo Bucuresti (women)",
,"12:33:15","01:45","SRV","SRV   CS Dinamo Bucuresti (women)",
,"12:33:21","01:52","RS","RS   CS Dinamo Bucuresti (women)",
,"12:33:22","01:52","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:33:44","02:14","K","K   Bursa Buyuksehir Belediyesi (women)",
,"12:33:44","02:14","P","[3 : 2]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:33:48","02:18","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:33:48","02:19","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:33:50","02:20","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:33:50","02:21","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:33:55","02:25","OUT","OUT   CS Dinamo Bucuresti (women)",
,"12:33:55","02:25","P","[3 : 3]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:34:07","02:38","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:34:08","02:38","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:34:11","02:42","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:34:12","02:42","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:34:17","02:47","OUT","OUT   CS Dinamo Bucuresti (women)",
,"12:34:17","02:47","P","[3 : 4]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:34:30","03:00","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:34:30","03:00","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:34:32","03:03","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:34:33","03:03","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:34:35","03:06","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:34:40","03:10","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:34:43","03:13","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:34:47","03:17","K","K   Bursa Buyuksehir Belediyesi (women)",
,"12:34:47","03:17","P","[3 : 5]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:34:59","03:30","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:35:00","03:30","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:35:05","03:35","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:35:05","03:35","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:35:07","03:37","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:35:08","03:39","K","K   Bursa Buyuksehir Belediyesi (women)",
,"12:35:08","03:39","P","[3 : 6]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:35:19","03:49","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:35:20","03:50","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:35:27","03:57","A","A   Bursa Buyuksehir Belediyesi (women)",
,"12:35:27","03:57","P","[3 : 7]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:35:35","04:05","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:35:36","04:06","TIME","TIME",
,"12:35:36","04:07","TIME","TIME   CS Dinamo Bucuresti (women)",
,"12:36:25","04:55","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:36:32","05:02","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:36:32","05:02","B POSS","B POSS   CS Dinamo Bucuresti (women)",
,"12:36:35","05:05","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:36:39","05:10","K","K   Bursa Buyuksehir Belediyesi (women)",
,"12:36:39","05:10","P","[3 : 8]   P   Bursa Buyuksehir Belediyesi (women)",
