"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885558","Friendly","Plovdiv Cup (women)","05.10.2017 - 15:00","Maritza Plovdiv (women)","CSM Bucuresti (women)",
"Statistics","Maritza Plovdiv (women)","Type","CSM Bucuresti (women)",
,"1","Score","3",
,"80","Points","93",
,"1","Sets","3",
,"4","Aces","7",
,"6","Service errors","9",
,"44","Kills","53",
,"8","Blocks","9",
,"8","Errors","10",
,"10","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:14:47","00:00","Game conditions changed","Game conditions changed",
,"14:14:49","00:00","Players warming up","Players warming up",
,"14:39:08","00:00","Jersey colours updated","Jersey colours updated",
,"14:39:09","00:00","Jersey colours updated","Jersey colours updated",
,"14:41:31","00:00","Coin flipping","Coin flipping",
,"14:41:32","00:00","Warm up at the net","Warm up at the net",
,"14:55:26","00:00","Players lined up","Players lined up",
,"14:56:22","00:00","Shake hands","Shake hands",
,"14:56:52","00:00","Players intro","Players intro",
,"14:59:49","00:00","Game about to start","Game about to start",
,"15:00:27","00:00","Start SRV","Start SRV   CSM Bucuresti (women)",
,"15:01:14","00:00","Start 1st Set","Start 1st Set",
,"15:01:14","00:00","SRV","SRV   CSM Bucuresti (women)",
,"15:01:19","00:05","RS","RS   CSM Bucuresti (women)",
,"15:01:20","00:06","B POSS","B POSS   Maritza Plovdiv (women)",
,"15:01:21","00:07","K","K   Maritza Plovdiv (women)",
,"15:01:21","00:07","P","[1 : 0]   P   Maritza Plovdiv (women)",
,"15:01:35","00:21","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"15:01:35","00:21","SRV","SRV   Maritza Plovdiv (women)",
,"15:01:38","00:24","RS","RS   Maritza Plovdiv (women)",
,"15:01:38","00:24","B POSS","B POSS   CSM Bucuresti (women)",
,"15:01:40","00:26","K","K   CSM Bucuresti (women)",
,"15:01:40","00:26","P","[1 : 1]   P   CSM Bucuresti (women)",
,"15:01:57","00:43","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"15:01:57","00:43","SRV","SRV   CSM Bucuresti (women)",
,"15:02:03","00:49","RS","RS   CSM Bucuresti (women)",
,"15:02:04","00:50","B POSS","B POSS   Maritza Plovdiv (women)",
,"15:02:05","00:51","B POSS","B POSS   CSM Bucuresti (women)",
,"15:02:13","00:59","B","B   Maritza Plovdiv (women)",
,"15:02:13","00:59","P","[2 : 1]   P   Maritza Plovdiv (women)",
,"15:02:32","01:18","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"15:02:33","01:19","SRV","SRV   Maritza Plovdiv (women)",
,"15:02:37","01:23","RS","RS   Maritza Plovdiv (women)",
,"15:02:38","01:24","B POSS","B POSS   CSM Bucuresti (women)",
,"15:02:41","01:27","K","K   CSM Bucuresti (women)",
,"15:02:41","01:27","P","[2 : 2]   P   CSM Bucuresti (women)",
,"15:03:00","01:46","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"15:03:00","01:46","SRV","SRV   CSM Bucuresti (women)",
,"15:03:04","01:50","RS","RS   CSM Bucuresti (women)",
,"15:03:04","01:50","B POSS","B POSS   Maritza Plovdiv (women)",
,"15:03:08","01:54","K","K   Maritza Plovdiv (women)",
,"15:03:08","01:54","P","[3 : 2]   P   Maritza Plovdiv (women)",
,"15:03:24","02:10","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"15:03:24","02:10","SRV","SRV   Maritza Plovdiv (women)",
,"15:03:29","02:15","RS","RS   Maritza Plovdiv (women)",
,"15:03:29","02:15","B POSS","B POSS   CSM Bucuresti (women)",
,"15:03:30","02:16","ERR","ERR   CSM Bucuresti (women)",
,"15:03:30","02:16","P","[4 : 2]   P   Maritza Plovdiv (women)",
,"15:03:43","02:29","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
,"15:03:44","02:30","SRV","SRV   Maritza Plovdiv (women)",
,"15:03:46","02:32","RS","RS   Maritza Plovdiv (women)",
,"15:03:47","02:33","B POSS","B POSS   CSM Bucuresti (women)",
,"15:03:49","02:35","B","B   Maritza Plovdiv (women)",
,"15:03:49","02:35","P","[5 : 2]   P   Maritza Plovdiv (women)",
,"15:04:03","02:49","Pt Conf","Pt Conf   Maritza Plovdiv (women)",
