"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885516","Vietnam","Premier League U20 (men)","05.10.2017 - 04:30","Cong An TP HCM U20","Khanh Hoa U20",
"Statistics","Cong An TP HCM U20","Type","Khanh Hoa U20",
,"0","Score","3",
,"49","Points","75",
,"0","Sets","3",
,"2","Aces","9",
,"6","Service errors","8",
,"29","Kills","40",
,"6","Blocks","9",
,"6","Errors","4",
,"5","Outs","0",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"03:59:36","00:00","Game conditions changed","Game conditions changed",
,"04:58:49","00:00","Players warming up","Players warming up",
,"05:00:00","00:00","Jersey colours updated","Jersey colours updated",
,"05:00:01","00:00","Jersey colours updated","Jersey colours updated",
,"05:00:29","00:00","Jersey colours updated","Jersey colours updated",
,"05:00:32","00:00","Coin flipping","Coin flipping",
,"05:01:44","00:00","Players lined up","Players lined up",
,"05:01:55","00:00","Shake hands","Shake hands",
,"05:13:55","00:00","Warm up at the net","Warm up at the net",
,"05:24:37","00:00","Players intro","Players intro",
,"05:26:07","00:00","Game about to start","Game about to start",
,"05:26:13","00:00","Start SRV","Start SRV   Khanh Hoa U20",
,"05:26:14","00:00","Start 1st Set","Start 1st Set",
,"05:26:14","00:00","SRV","SRV   Khanh Hoa U20",
,"05:26:15","00:00","RS","RS   Khanh Hoa U20",
,"05:26:15","00:00","B POSS","B POSS   Cong An TP HCM U20",
,"05:26:19","00:04","K","K   Cong An TP HCM U20",
,"05:26:19","00:04","P","[1 : 0]   P   Cong An TP HCM U20",
,"05:26:34","00:19","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:26:36","00:21","SRV","SRV   Cong An TP HCM U20",
,"05:26:37","00:22","RS","RS   Cong An TP HCM U20",
,"05:26:38","00:23","B POSS","B POSS   Khanh Hoa U20",
,"05:26:39","00:24","K","K   Khanh Hoa U20",
,"05:26:39","00:24","P","[1 : 1]   P   Khanh Hoa U20",
,"05:26:53","00:38","Pt Conf","Pt Conf   Khanh Hoa U20",
,"05:26:55","00:40","SRV","SRV   Khanh Hoa U20",
,"05:26:57","00:42","S ERR","S ERR   Khanh Hoa U20",
,"05:26:57","00:42","P","[2 : 1]   P   Cong An TP HCM U20",
,"05:27:11","00:56","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:27:12","00:57","SRV","SRV   Cong An TP HCM U20",
,"05:27:13","00:59","RS","RS   Cong An TP HCM U20",
,"05:27:14","01:00","B POSS","B POSS   Khanh Hoa U20",
,"05:27:16","01:01","B","B   Cong An TP HCM U20",
,"05:27:16","01:01","P","[3 : 1]   P   Cong An TP HCM U20",
,"05:27:30","01:15","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"05:27:31","01:16","SRV","SRV   Cong An TP HCM U20",
,"05:27:33","01:18","S ERR","S ERR   Cong An TP HCM U20",
,"05:27:33","01:18","P","[3 : 2]   P   Khanh Hoa U20",
