"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885518","Vietnam","Premier League U20 (men)","05.10.2017 - 12:00","Ha Tinh U20","Bien Phong U20",
"Statistics","Ha Tinh U20","Type","Bien Phong U20",
,"3","Score","1",
,"92","Points","84",
,"3","Sets","1",
,"11","Aces","7",
,"12","Service errors","7",
,"49","Kills","44",
,"10","Blocks","7",
,"7","Errors","8",
,"7","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:22:10","00:00","Game conditions changed","Game conditions changed",
,"11:22:11","00:00","Players warming up","Players warming up",
,"11:41:05","00:00","Coin flipping","Coin flipping",
,"11:41:19","00:00","Jersey colours updated","Jersey colours updated",
,"11:41:20","00:00","Jersey colours updated","Jersey colours updated",
,"11:45:27","00:00","Players lined up","Players lined up",
,"11:45:28","00:00","Shake hands","Shake hands",
,"11:54:50","00:00","Warm up at the net","Warm up at the net",
,"12:07:11","00:00","Players intro","Players intro",
,"12:08:12","00:00","Game about to start","Game about to start",
,"12:08:17","00:00","Start SRV","Start SRV   Bien Phong U20",
,"12:08:19","00:00","Start 1st Set","Start 1st Set",
,"12:08:20","00:00","SRV","SRV   Bien Phong U20",
,"12:08:21","00:02","RS","RS   Bien Phong U20",
,"12:08:22","00:03","B POSS","B POSS   Ha Tinh U20",
,"12:08:25","00:06","K","K   Ha Tinh U20",
,"12:08:25","00:06","P","[1 : 0]   P   Ha Tinh U20",
,"12:08:44","00:25","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:08:45","00:26","SRV","SRV   Ha Tinh U20",
,"12:08:46","00:27","S ERR","S ERR   Ha Tinh U20",
,"12:08:46","00:27","P","[1 : 1]   P   Bien Phong U20",
,"12:08:59","00:39","Pt Conf","Pt Conf   Bien Phong U20",
,"12:09:01","00:41","SRV","SRV   Bien Phong U20",
,"12:09:03","00:44","S ERR","S ERR   Bien Phong U20",
,"12:09:03","00:44","P","[2 : 1]   P   Ha Tinh U20",
,"12:09:22","01:03","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:09:23","01:04","SRV","SRV   Ha Tinh U20",
,"12:09:25","01:05","RS","RS   Ha Tinh U20",
,"12:09:25","01:05","B POSS","B POSS   Bien Phong U20",
,"12:09:26","01:06","K","K   Bien Phong U20",
,"12:09:26","01:06","P","[2 : 2]   P   Bien Phong U20",
,"12:09:41","01:21","Pt Conf","Pt Conf   Bien Phong U20",
,"12:09:42","01:23","SRV","SRV   Bien Phong U20",
,"12:09:44","01:24","RS","RS   Bien Phong U20",
,"12:09:44","01:25","B POSS","B POSS   Ha Tinh U20",
,"12:09:55","01:36","K","K   Bien Phong U20",
,"12:09:55","01:36","P","[2 : 3]   P   Bien Phong U20",
,"12:10:11","01:51","Pt Conf","Pt Conf   Bien Phong U20",
,"12:10:12","01:53","SRV","SRV   Bien Phong U20",
,"12:10:14","01:55","RS","RS   Bien Phong U20",
,"12:10:17","01:58","B POSS","B POSS   Ha Tinh U20",
,"12:10:18","01:59","K","K   Ha Tinh U20",
,"12:10:18","01:59","P","[3 : 3]   P   Ha Tinh U20",
,"12:10:34","02:14","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:10:36","02:16","SRV","SRV   Ha Tinh U20",
,"12:10:38","02:19","RS","RS   Ha Tinh U20",
,"12:10:38","02:19","B POSS","B POSS   Bien Phong U20",
,"12:10:50","02:31","K","K   Ha Tinh U20",
,"12:10:50","02:31","P","[4 : 3]   P   Ha Tinh U20",
,"12:11:11","02:52","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:11:13","02:53","SRV","SRV   Ha Tinh U20",
,"12:11:15","02:56","S ERR","S ERR   Ha Tinh U20",
,"12:11:15","02:56","P","[4 : 4]   P   Bien Phong U20",
,"12:11:29","03:10","Pt Conf","Pt Conf   Bien Phong U20",
,"12:11:31","03:12","SRV","SRV   Bien Phong U20",
,"12:11:33","03:13","RS","RS   Bien Phong U20",
,"12:11:33","03:14","B POSS","B POSS   Ha Tinh U20",
,"12:11:42","03:23","K","K   Ha Tinh U20",
,"12:11:42","03:23","P","[5 : 4]   P   Ha Tinh U20",
,"12:12:04","03:45","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:12:08","03:49","SRV","SRV   Ha Tinh U20",
,"12:12:08","03:49","RS","RS   Ha Tinh U20",
,"12:12:08","03:49","B POSS","B POSS   Bien Phong U20",
,"12:12:09","03:50","K","K   Bien Phong U20",
,"12:12:09","03:50","P","[5 : 5]   P   Bien Phong U20",
,"12:12:24","04:05","Pt Conf","Pt Conf   Bien Phong U20",
,"12:12:27","04:08","SRV","SRV   Bien Phong U20",
,"12:12:30","04:10","RS","RS   Bien Phong U20",
,"12:12:30","04:11","B POSS","B POSS   Ha Tinh U20",
,"12:12:34","04:14","K","K   Ha Tinh U20",
,"12:12:34","04:14","P","[6 : 5]   P   Ha Tinh U20",
,"12:12:49","04:30","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:12:50","04:31","SRV","SRV   Ha Tinh U20",
,"12:12:52","04:33","A","A   Ha Tinh U20",
,"12:12:52","04:33","P","[7 : 5]   P   Ha Tinh U20",
,"12:13:07","04:47","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:13:08","04:49","SRV","SRV   Ha Tinh U20",
,"12:13:10","04:50","RS","RS   Ha Tinh U20",
,"12:13:11","04:52","B POSS","B POSS   Bien Phong U20",
,"12:13:12","04:53","K","K   Bien Phong U20",
,"12:13:12","04:53","P","[7 : 6]   P   Bien Phong U20",
,"12:13:30","05:10","Pt Conf","Pt Conf   Bien Phong U20",
,"12:13:32","05:13","SRV","SRV   Bien Phong U20",
,"12:13:34","05:14","RS","RS   Bien Phong U20",
,"12:13:35","05:16","B POSS","B POSS   Ha Tinh U20",
,"12:13:37","05:18","K","K   Ha Tinh U20",
,"12:13:37","05:18","P","[8 : 6]   P   Ha Tinh U20",
,"12:13:53","05:34","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:13:56","05:37","SRV","SRV   Ha Tinh U20",
,"12:13:57","05:38","A","A   Ha Tinh U20",
,"12:13:57","05:38","P","[9 : 6]   P   Ha Tinh U20",
,"12:14:15","05:56","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:14:18","05:58","SRV","SRV   Ha Tinh U20",
,"12:14:20","06:00","RS","RS   Ha Tinh U20",
,"12:14:21","06:01","B POSS","B POSS   Bien Phong U20",
,"12:14:23","06:04","ERR","ERR   Bien Phong U20",
,"12:14:23","06:04","P","[10 : 6]   P   Ha Tinh U20",
,"12:14:34","06:15","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:14:35","06:16","TIME","TIME",
,"12:14:36","06:17","TIME","TIME   Bien Phong U20",
,"12:15:37","07:18","SRV","SRV   Ha Tinh U20",
,"12:15:42","07:22","S ERR","S ERR   Ha Tinh U20",
,"12:15:42","07:22","P","[10 : 7]   P   Bien Phong U20",
,"12:15:56","07:37","Pt Conf","Pt Conf   Bien Phong U20",
,"12:15:57","07:38","SRV","SRV   Bien Phong U20",
,"12:15:58","07:39","RS","RS   Bien Phong U20",
,"12:15:59","07:40","B POSS","B POSS   Ha Tinh U20",
,"12:16:02","07:43","K","K   Ha Tinh U20",
,"12:16:02","07:43","P","[11 : 7]   P   Ha Tinh U20",
,"12:16:16","07:57","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:16:18","07:58","SRV","SRV   Ha Tinh U20",
,"12:16:20","08:01","RS","RS   Ha Tinh U20",
,"12:16:21","08:02","B POSS","B POSS   Bien Phong U20",
,"12:16:23","08:04","K","K   Bien Phong U20",
,"12:16:23","08:04","P","[11 : 8]   P   Bien Phong U20",
,"12:16:37","08:18","Pt Conf","Pt Conf   Bien Phong U20",
,"12:16:39","08:20","SRV","SRV   Bien Phong U20",
,"12:16:41","08:22","RS","RS   Bien Phong U20",
,"12:16:42","08:23","B POSS","B POSS   Ha Tinh U20",
,"12:16:45","08:26","K","K   Ha Tinh U20",
,"12:16:45","08:26","P","[12 : 8]   P   Ha Tinh U20",
,"12:17:02","08:43","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:17:05","08:45","SRV","SRV   Ha Tinh U20",
,"12:17:05","08:46","RS","RS   Ha Tinh U20",
,"12:17:05","08:46","B POSS","B POSS   Bien Phong U20",
,"12:17:07","08:48","K","K   Bien Phong U20",
,"12:17:07","08:48","P","[12 : 9]   P   Bien Phong U20",
,"12:17:24","09:05","Pt Conf","Pt Conf   Bien Phong U20",
,"12:17:25","09:06","SRV","SRV   Bien Phong U20",
,"12:17:26","09:06","RS","RS   Bien Phong U20",
,"12:17:26","09:07","B POSS","B POSS   Ha Tinh U20",
,"12:17:28","09:08","K","K   Ha Tinh U20",
,"12:17:28","09:08","P","[13 : 9]   P   Ha Tinh U20",
,"12:17:46","09:27","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:17:47","09:28","SRV","SRV   Ha Tinh U20",
,"12:17:48","09:29","RS","RS   Ha Tinh U20",
,"12:17:49","09:30","B POSS","B POSS   Bien Phong U20",
,"12:17:51","09:32","B","B   Ha Tinh U20",
,"12:17:51","09:32","P","[14 : 9]   P   Ha Tinh U20",
,"12:18:10","09:51","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:18:11","09:52","SRV","SRV   Ha Tinh U20",
,"12:18:12","09:53","RS","RS   Ha Tinh U20",
,"12:18:13","09:54","B POSS","B POSS   Bien Phong U20",
,"12:18:16","09:57","OUT","OUT   Bien Phong U20",
,"12:18:16","09:57","P","[15 : 9]   P   Ha Tinh U20",
,"12:18:38","10:19","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:18:40","10:21","SRV","SRV   Ha Tinh U20",
,"12:18:41","10:22","RS","RS   Ha Tinh U20",
,"12:18:42","10:23","B POSS","B POSS   Bien Phong U20",
,"12:18:44","10:25","K","K   Bien Phong U20",
,"12:18:44","10:25","P","[15 : 10]   P   Bien Phong U20",
,"12:19:00","10:41","Pt Conf","Pt Conf   Bien Phong U20",
,"12:19:03","10:43","SRV","SRV   Bien Phong U20",
,"12:19:05","10:46","RS","RS   Bien Phong U20",
,"12:19:06","10:46","B POSS","B POSS   Ha Tinh U20",
,"12:19:06","10:47","K","K   Ha Tinh U20",
,"12:19:06","10:47","P","[16 : 10]   P   Ha Tinh U20",
,"12:19:21","11:02","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:19:25","11:05","SRV","SRV   Ha Tinh U20",
,"12:19:26","11:07","RS","RS   Ha Tinh U20",
,"12:19:27","11:08","B POSS","B POSS   Bien Phong U20",
,"12:19:29","11:10","B POSS","B POSS   Ha Tinh U20",
,"12:19:34","11:15","B POSS","B POSS   Bien Phong U20",
,"12:19:37","11:18","K","K   Bien Phong U20",
,"12:19:37","11:18","P","[16 : 11]   P   Bien Phong U20",
,"12:19:54","11:34","Pt Conf","Pt Conf   Bien Phong U20",
,"12:19:55","11:36","SRV","SRV   Bien Phong U20",
,"12:19:57","11:38","RS","RS   Bien Phong U20",
,"12:19:58","11:39","B POSS","B POSS   Ha Tinh U20",
,"12:20:00","11:41","K","K   Ha Tinh U20",
,"12:20:00","11:41","P","[17 : 11]   P   Ha Tinh U20",
,"12:20:24","12:05","Pt Conf","Pt Conf   Ha Tinh U20",
,"12:20:29","12:10","SRV","SRV   Ha Tinh U20",
