"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884453","Argentina","Liga de Honor (women)","06.10.2017 - 00:30","River Plate (women)","Gimnasia y Esgrima de La Plata (women)",
"Statistics","River Plate (women)","Type","Gimnasia y Esgrima de La Plata (women)",
,"3","Score","1",
,"97","Points","72",
,"3","Sets","1",
,"4","Aces","2",
,"7","Service errors","10",
,"44","Kills","37",
,"13","Blocks","12",
,"7","Errors","14",
,"7","Outs","12",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"23:52:47","00:00","Game conditions changed","Game conditions changed",
,"00:03:17","00:00","Players warming up","Players warming up",
,"00:16:18","00:00","Coin flipping","Coin flipping",
,"00:16:24","00:00","Warm up at the net","Warm up at the net",
,"00:19:05","00:00","Jersey colours updated","Jersey colours updated",
,"00:19:07","00:00","Jersey colours updated","Jersey colours updated",
,"00:19:11","00:00","Jersey colours updated","Jersey colours updated",
,"00:27:29","00:00","Players intro","Players intro",
,"00:28:42","00:00","Shake hands","Shake hands",
,"00:28:53","00:00","Game about to start","Game about to start",
,"00:30:08","00:00","Start SRV","Start SRV   Gimnasia y Esgrima de La Plata (women)",
,"00:30:14","00:00","Start 1st Set","Start 1st Set",
,"00:30:14","00:00","SRV","SRV   Gimnasia y Esgrima de La Plata (women)",
,"00:30:14","00:00","RS","RS   Gimnasia y Esgrima de La Plata (women)",
,"00:30:14","00:00","B POSS","B POSS   River Plate (women)",
,"00:30:15","00:01","K","K   River Plate (women)",
,"00:30:15","00:01","P","[1 : 0]   P   River Plate (women)",
,"00:30:35","00:20","Pt Conf","Pt Conf   River Plate (women)",
,"00:30:36","00:22","SRV","SRV   River Plate (women)",
,"00:30:39","00:24","S ERR","S ERR   River Plate (women)",
,"00:30:39","00:24","P","[1 : 1]   P   Gimnasia y Esgrima de La Plata (women)",
,"00:30:50","00:36","Pt Conf","Pt Conf   Gimnasia y Esgrima de La Plata (women)",
,"00:30:51","00:37","SRV","SRV   Gimnasia y Esgrima de La Plata (women)",
,"00:30:52","00:37","RS","RS   Gimnasia y Esgrima de La Plata (women)",
,"00:30:53","00:38","B POSS","B POSS   River Plate (women)",
,"00:30:56","00:42","K","K   River Plate (women)",
,"00:30:56","00:42","P","[2 : 1]   P   River Plate (women)",
