"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883978","Brazil","Campeonato Paulista (women) - Playoffs","06.10.2017 - 20:45","Esporte Clube Pinheiros (women)","Gremio Recreativo Barueri (women)",
"Statistics","Esporte Clube Pinheiros (women)","Type","Gremio Recreativo Barueri (women)",
,"2","Score","3",
,"109","Points","96",
,"2","Sets","3",
,"5","Aces","4",
,"11","Service errors","8",
,"64","Kills","43",
,"18","Blocks","17",
,"10","Errors","6",
,"11","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"20:11:06","00:00","Game conditions changed","Game conditions changed",
,"20:11:08","00:00","Players warming up","Players warming up",
,"20:24:36","00:00","Jersey colours updated","Jersey colours updated",
,"20:24:36","00:00","Jersey colours updated","Jersey colours updated",
,"20:24:39","00:00","Coin flipping","Coin flipping",
,"20:26:30","00:00","Players lined up","Players lined up",
,"20:26:48","00:00","National anthem singing","National anthem singing",
,"20:30:19","00:00","Shake hands","Shake hands",
,"20:30:57","00:00","Warm up at the net","Warm up at the net",
,"20:34:21","00:00","Game conditions changed","Game conditions changed",
,"20:44:10","00:00","Players intro","Players intro",
,"20:45:53","00:00","Game about to start","Game about to start",
,"20:46:04","00:00","Start SRV","Start SRV   Gremio Recreativo Barueri (women)",
,"20:46:13","00:00","Start 1st Set","Start 1st Set",
,"20:46:14","00:00","SRV","SRV   Gremio Recreativo Barueri (women)",
,"20:46:15","00:02","RS","RS   Gremio Recreativo Barueri (women)",
,"20:46:16","00:02","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:46:20","00:07","B","B   Gremio Recreativo Barueri (women)",
,"20:46:20","00:07","P","[0 : 1]   P   Gremio Recreativo Barueri (women)",
,"20:46:34","00:21","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"20:46:42","00:29","SRV","SRV   Gremio Recreativo Barueri (women)",
,"20:46:46","00:32","A","A   Gremio Recreativo Barueri (women)",
,"20:46:46","00:32","P","[0 : 2]   P   Gremio Recreativo Barueri (women)",
,"20:46:58","00:44","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"20:47:10","00:56","SRV","SRV   Gremio Recreativo Barueri (women)",
,"20:47:12","00:59","RS","RS   Gremio Recreativo Barueri (women)",
,"20:47:13","00:59","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:47:17","01:04","OUT","OUT   Esporte Clube Pinheiros (women)",
,"20:47:17","01:04","P","[0 : 3]   P   Gremio Recreativo Barueri (women)",
,"20:47:32","01:18","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"20:47:38","01:25","SRV","SRV   Gremio Recreativo Barueri (women)",
,"20:47:40","01:27","RS","RS   Gremio Recreativo Barueri (women)",
,"20:47:41","01:27","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:47:43","01:29","K","K   Esporte Clube Pinheiros (women)",
,"20:47:43","01:29","P","[1 : 3]   P   Esporte Clube Pinheiros (women)",
,"20:47:57","01:44","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:48:03","01:49","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:48:05","01:51","RS","RS   Esporte Clube Pinheiros (women)",
,"20:48:06","01:52","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:48:09","01:55","K","K   Gremio Recreativo Barueri (women)",
,"20:48:09","01:55","P","[1 : 4]   P   Gremio Recreativo Barueri (women)",
,"20:48:20","02:06","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"20:48:27","02:14","SRV","SRV   Gremio Recreativo Barueri (women)",
,"20:48:30","02:17","RS","RS   Gremio Recreativo Barueri (women)",
,"20:48:31","02:17","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:48:34","02:20","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:48:36","02:22","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:48:40","02:26","ERR","ERR   Esporte Clube Pinheiros (women)",
,"20:48:40","02:26","P","[1 : 5]   P   Gremio Recreativo Barueri (women)",
,"20:48:53","02:39","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"20:48:56","02:42","SRV","SRV   Gremio Recreativo Barueri (women)",
,"20:48:58","02:44","RS","RS   Gremio Recreativo Barueri (women)",
,"20:48:59","02:45","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:49:02","02:48","K","K   Esporte Clube Pinheiros (women)",
,"20:49:02","02:48","P","[2 : 5]   P   Esporte Clube Pinheiros (women)",
,"20:49:14","03:00","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:49:26","03:12","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:49:29","03:15","RS","RS   Esporte Clube Pinheiros (women)",
,"20:49:30","03:16","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:49:34","03:20","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:49:36","03:23","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:49:41","03:27","B","B   Esporte Clube Pinheiros (women)",
,"20:49:41","03:27","P","[3 : 5]   P   Esporte Clube Pinheiros (women)",
,"20:49:51","03:37","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:50:03","03:50","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:50:06","03:52","S ERR","S ERR   Esporte Clube Pinheiros (women)",
,"20:50:06","03:52","P","[3 : 6]   P   Gremio Recreativo Barueri (women)",
,"20:50:20","04:07","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"20:50:29","04:16","SRV","SRV   Gremio Recreativo Barueri (women)",
,"20:50:32","04:18","RS","RS   Gremio Recreativo Barueri (women)",
,"20:50:33","04:19","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:50:34","04:21","K","K   Esporte Clube Pinheiros (women)",
,"20:50:34","04:21","P","[4 : 6]   P   Esporte Clube Pinheiros (women)",
,"20:50:47","04:33","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:50:55","04:41","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:50:58","04:44","RS","RS   Esporte Clube Pinheiros (women)",
,"20:50:59","04:45","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:51:04","04:50","K","K   Gremio Recreativo Barueri (women)",
,"20:51:04","04:50","P","[4 : 7]   P   Gremio Recreativo Barueri (women)",
,"20:51:14","05:00","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"20:51:23","05:09","SRV","SRV   Gremio Recreativo Barueri (women)",
,"20:51:26","05:12","RS","RS   Gremio Recreativo Barueri (women)",
,"20:51:26","05:12","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:51:29","05:15","K","K   Esporte Clube Pinheiros (women)",
,"20:51:29","05:15","P","[5 : 7]   P   Esporte Clube Pinheiros (women)",
,"20:51:45","05:31","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:51:50","05:37","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:51:53","05:39","RS","RS   Esporte Clube Pinheiros (women)",
,"20:51:53","05:39","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:51:56","05:42","K","K   Gremio Recreativo Barueri (women)",
,"20:51:56","05:42","P","[5 : 8]   P   Gremio Recreativo Barueri (women)",
,"20:52:10","05:56","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"20:52:16","06:02","SRV","SRV   Gremio Recreativo Barueri (women)",
,"20:52:18","06:05","RS","RS   Gremio Recreativo Barueri (women)",
,"20:52:19","06:05","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:52:22","06:08","K","K   Esporte Clube Pinheiros (women)",
,"20:52:22","06:08","P","[6 : 8]   P   Esporte Clube Pinheiros (women)",
,"20:52:36","06:22","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:52:46","06:33","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:52:49","06:35","RS","RS   Esporte Clube Pinheiros (women)",
,"20:52:50","06:36","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:52:53","06:39","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:52:56","06:42","K","K   Esporte Clube Pinheiros (women)",
,"20:52:56","06:42","P","[7 : 8]   P   Esporte Clube Pinheiros (women)",
,"20:53:12","06:58","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:53:19","07:05","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:53:22","07:08","RS","RS   Esporte Clube Pinheiros (women)",
,"20:53:22","07:08","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:53:25","07:12","B","B   Esporte Clube Pinheiros (women)",
,"20:53:25","07:12","P","[8 : 8]   P   Esporte Clube Pinheiros (women)",
,"20:53:39","07:25","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:53:47","07:34","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:53:50","07:36","RS","RS   Esporte Clube Pinheiros (women)",
,"20:53:50","07:37","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:53:54","07:40","OUT","OUT   Gremio Recreativo Barueri (women)",
,"20:53:54","07:40","P","[9 : 8]   P   Esporte Clube Pinheiros (women)",
,"20:54:04","07:51","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:54:06","07:53","TIME","TIME",
,"20:54:08","07:54","TIME","TIME   Gremio Recreativo Barueri (women)",
,"20:55:05","08:51","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:55:07","08:54","RS","RS   Esporte Clube Pinheiros (women)",
,"20:55:08","08:54","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:55:11","08:58","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:55:16","09:02","K","K   Esporte Clube Pinheiros (women)",
,"20:55:16","09:02","P","[10 : 8]   P   Esporte Clube Pinheiros (women)",
,"20:55:30","09:17","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:55:41","09:27","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:55:43","09:29","RS","RS   Esporte Clube Pinheiros (women)",
,"20:55:43","09:30","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:55:47","09:33","B","B   Esporte Clube Pinheiros (women)",
,"20:55:47","09:33","P","[11 : 8]   P   Esporte Clube Pinheiros (women)",
,"20:55:58","09:44","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:56:27","10:13","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:56:29","10:16","RS","RS   Esporte Clube Pinheiros (women)",
,"20:56:30","10:16","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:56:34","10:20","K","K   Gremio Recreativo Barueri (women)",
,"20:56:34","10:20","P","[11 : 9]   P   Gremio Recreativo Barueri (women)",
,"20:56:46","10:32","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"20:56:56","10:43","SRV","SRV   Gremio Recreativo Barueri (women)",
,"20:57:00","10:46","RS","RS   Gremio Recreativo Barueri (women)",
,"20:57:00","10:46","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:57:03","10:49","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:57:08","10:54","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"20:57:08","10:54","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:57:12","10:58","OUT","OUT   Gremio Recreativo Barueri (women)",
,"20:57:12","10:58","P","[12 : 9]   P   Esporte Clube Pinheiros (women)",
,"20:57:29","11:15","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:57:31","11:17","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:57:34","11:20","RS","RS   Esporte Clube Pinheiros (women)",
,"20:57:34","11:20","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:57:37","11:23","B","B   Esporte Clube Pinheiros (women)",
,"20:57:37","11:23","P","[13 : 9]   P   Esporte Clube Pinheiros (women)",
,"20:57:52","11:38","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:57:58","11:44","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:58:02","11:48","A","A   Esporte Clube Pinheiros (women)",
,"20:58:02","11:48","P","[14 : 9]   P   Esporte Clube Pinheiros (women)",
,"20:58:11","11:58","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"20:58:21","12:07","TIME","TIME",
,"20:58:22","12:08","TIME","TIME   Gremio Recreativo Barueri (women)",
,"20:59:10","12:57","SRV","SRV   Esporte Clube Pinheiros (women)",
,"20:59:13","12:59","RS","RS   Esporte Clube Pinheiros (women)",
,"20:59:14","13:00","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"20:59:17","13:04","K","K   Gremio Recreativo Barueri (women)",
,"20:59:17","13:04","P","[14 : 10]   P   Gremio Recreativo Barueri (women)",
,"20:59:44","13:30","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"20:59:55","13:41","SRV","SRV   Gremio Recreativo Barueri (women)",
,"20:59:57","13:44","S ERR","S ERR   Gremio Recreativo Barueri (women)",
,"20:59:57","13:44","P","[15 : 10]   P   Esporte Clube Pinheiros (women)",
,"21:00:08","13:55","Pt Conf","Pt Conf   Esporte Clube Pinheiros (women)",
,"21:00:16","14:02","SRV","SRV   Esporte Clube Pinheiros (women)",
,"21:00:18","14:04","RS","RS   Esporte Clube Pinheiros (women)",
,"21:00:18","14:05","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"21:00:21","14:07","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"21:00:25","14:11","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"21:00:29","14:15","B POSS","B POSS   Esporte Clube Pinheiros (women)",
,"21:00:34","14:20","K","K   Esporte Clube Pinheiros (women)",
,"21:00:34","14:20","P","[16 : 10]   P   Esporte Clube Pinheiros (women)",
