"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886594","Bulgaria","Superliga (men)","06.10.2017 - 15:30","Levski Sofia","Montana",
"Statistics","Levski Sofia","Type","Montana",
,"1","Score","3",
,"84","Points","96",
,"1","Sets","3",
,"3","Aces","8",
,"23","Service errors","20",
,"38","Kills","44",
,"4","Blocks","11",
,"4","Errors","16",
,"6","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:57:12","00:00","Game conditions changed","Game conditions changed",
,"14:57:13","00:00","Players warming up","Players warming up",
,"15:13:11","00:00","Coin flipping","Coin flipping",
,"15:14:20","00:00","Warm up at the net","Warm up at the net",
,"15:16:58","00:00","Jersey colours updated","Jersey colours updated",
,"15:16:59","00:00","Jersey colours updated","Jersey colours updated",
,"15:26:36","00:00","Players lined up","Players lined up",
,"15:26:57","00:00","Shake hands","Shake hands",
,"15:28:51","00:00","Players intro","Players intro",
,"15:30:06","00:00","Game about to start","Game about to start",
,"15:30:54","00:00","Start SRV","Start SRV   Montana Volley",
,"15:31:13","00:00","Start 1st Set","Start 1st Set",
,"15:31:13","00:00","SRV","SRV   Montana Volley",
,"15:31:14","00:01","RS","RS   Montana Volley",
,"15:31:15","00:02","B POSS","B POSS   Levski Sofia",
,"15:31:22","00:08","K","K   Levski Sofia",
,"15:31:22","00:08","P","[1 : 0]   P   Levski Sofia",
,"15:31:34","00:21","Pt Conf","Pt Conf   Levski Sofia",
,"15:31:36","00:23","SRV","SRV   Levski Sofia",
,"15:31:38","00:25","RS","RS   Levski Sofia",
,"15:31:39","00:26","B POSS","B POSS   Montana Volley",
,"15:31:43","00:30","K","K   Montana Volley",
,"15:31:43","00:30","P","[1 : 1]   P   Montana Volley",
,"15:31:57","00:44","Pt Conf","Pt Conf   Montana Volley",
,"15:32:00","00:47","SRV","SRV   Montana Volley",
,"15:32:02","00:49","RS","RS   Montana Volley",
,"15:32:03","00:50","B POSS","B POSS   Levski Sofia",
,"15:32:13","01:00","K","K   Levski Sofia",
,"15:32:13","01:00","P","[2 : 1]   P   Levski Sofia",
,"15:32:23","01:10","Pt Conf","Pt Conf   Levski Sofia",
,"15:32:32","01:19","SRV","SRV   Levski Sofia",
,"15:32:33","01:20","RS","RS   Levski Sofia",
,"15:32:34","01:21","B POSS","B POSS   Montana Volley",
,"15:32:37","01:24","B POSS","B POSS   Levski Sofia",
,"15:32:40","01:27","B POSS","B POSS   Montana Volley",
,"15:32:48","01:35","ERR","ERR   Montana Volley",
,"15:32:48","01:35","P","[3 : 1]   P   Levski Sofia",
,"15:32:59","01:46","Pt Conf","Pt Conf   Levski Sofia",
,"15:33:06","01:53","SRV","SRV   Levski Sofia",
,"15:33:07","01:54","S ERR","S ERR   Levski Sofia",
,"15:33:07","01:54","P","[3 : 2]   P   Montana Volley",
,"15:33:18","02:05","Pt Conf","Pt Conf   Montana Volley",
,"15:33:25","02:12","SRV","SRV   Montana Volley",
,"15:33:30","02:17","S ERR","S ERR   Montana Volley",
,"15:33:30","02:17","P","[4 : 2]   P   Levski Sofia",
,"15:33:44","02:31","Pt Conf","Pt Conf   Levski Sofia",
,"15:33:50","02:37","SRV","SRV   Levski Sofia",
,"15:33:55","02:42","S ERR","S ERR   Levski Sofia",
,"15:33:55","02:42","P","[4 : 3]   P   Montana Volley",
,"15:34:05","02:52","Pt Conf","Pt Conf   Montana Volley",
,"15:34:12","02:59","SRV","SRV   Montana Volley",
,"15:34:14","03:00","RS","RS   Montana Volley",
,"15:34:14","03:01","B POSS","B POSS   Levski Sofia",
,"15:34:17","03:03","B POSS","B POSS   Montana Volley",
,"15:34:28","03:15","ERR","ERR   Montana Volley",
,"15:34:28","03:15","P","[5 : 3]   P   Levski Sofia",
,"15:34:55","03:42","Pt Conf","Pt Conf   Levski Sofia",
