"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885035","Friendly","Developers Cup (women)","06.10.2017 - 14:00","VK Agel Prostejov (women)","Racing Club de Cannes (women)",
"Statistics","VK Agel Prostejov (women)","Type","Racing Club de Cannes (women)",
,"3","Score","0",
,"76","Points","58",
,"3","Sets","0",
,"5","Aces","4",
,"3","Service errors","3",
,"45","Kills","38",
,"10","Blocks","5",
,"4","Errors","8",
,"4","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:14:53","00:00","Game conditions changed","Game conditions changed",
,"13:35:22","00:00","Players warming up","Players warming up",
,"13:36:39","00:00","Jersey colours updated","Jersey colours updated",
,"13:36:39","00:00","Jersey colours updated","Jersey colours updated",
,"13:47:07","00:00","Coin flipping","Coin flipping",
,"13:49:57","00:00","Warm up at the net","Warm up at the net",
,"13:59:34","00:00","Players lined up","Players lined up",
,"14:00:19","00:00","Shake hands","Shake hands",
,"14:01:22","00:00","Game about to start","Game about to start",
,"14:02:04","00:00","Start SRV","Start SRV   VK Agel Prostejov (women)",
,"14:02:25","00:00","Start 1st Set","Start 1st Set",
,"14:02:36","00:10","SRV","SRV   VK Agel Prostejov (women)",
,"14:02:37","00:11","A","A   VK Agel Prostejov (women)",
,"14:02:37","00:11","P","[1 : 0]   P   VK Agel Prostejov (women)",
,"14:02:47","00:21","Pt Conf","Pt Conf   VK Agel Prostejov (women)",
,"14:02:48","00:22","SRV","SRV   VK Agel Prostejov (women)",
,"14:02:50","00:24","RS","RS   VK Agel Prostejov (women)",
,"14:02:50","00:24","B POSS","B POSS   Racing Club de Cannes (women)",
,"14:02:53","00:27","B POSS","B POSS   VK Agel Prostejov (women)",
,"14:02:57","00:31","B POSS","B POSS   Racing Club de Cannes (women)",
,"14:03:01","00:35","B POSS","B POSS   VK Agel Prostejov (women)",
,"14:03:07","00:41","B POSS","B POSS   Racing Club de Cannes (women)",
,"14:03:10","00:44","B POSS","B POSS   VK Agel Prostejov (women)",
,"14:03:10","00:45","Rally over 5 possession changes","Rally over 5 possession changes",
,"14:03:15","00:49","B","B   VK Agel Prostejov (women)",
,"14:03:15","00:49","P","[2 : 0]   P   VK Agel Prostejov (women)",
,"14:03:30","01:04","Pt Conf","Pt Conf   VK Agel Prostejov (women)",
,"14:03:31","01:05","SRV","SRV   VK Agel Prostejov (women)",
,"14:03:32","01:06","RS","RS   VK Agel Prostejov (women)",
,"14:03:32","01:06","B POSS","B POSS   Racing Club de Cannes (women)",
