"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885037","Friendly","Developers Cup (women)","06.10.2017 - 16:00","KS Rzeszow (women)","MKS Muszyna SA (women)",
"Statistics","KS Rzeszow (women)","Type","MKS Muszyna SA (women)",
,"3","Score","1",
,"94","Points","88",
,"3","Sets","1",
,"4","Aces","1",
,"6","Service errors","5",
,"61","Kills","47",
,"12","Blocks","17",
,"9","Errors","5",
,"8","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:12:09","00:00","Game conditions changed","Game conditions changed",
,"15:24:59","00:00","Jersey colours updated","Jersey colours updated",
,"15:24:59","00:00","Jersey colours updated","Jersey colours updated",
,"15:28:43","00:00","Players warming up","Players warming up",
,"15:43:40","00:00","Coin flipping","Coin flipping",
,"15:44:15","00:00","Warm up at the net","Warm up at the net",
,"15:54:18","00:00","Players lined up","Players lined up",
,"15:55:23","00:00","Shake hands","Shake hands",
,"15:56:40","00:00","Game about to start","Game about to start",
,"15:57:23","00:00","Start SRV","Start SRV   MKS Muszyna SA (women)",
,"15:57:24","00:00","Start 1st Set","Start 1st Set",
,"15:57:24","00:00","SRV","SRV   MKS Muszyna SA (women)",
,"15:57:28","00:04","RS","RS   MKS Muszyna SA (women)",
,"15:57:28","00:04","B POSS","B POSS   KS Rzeszow (women)",
,"15:57:35","00:11","K","K   MKS Muszyna SA (women)",
,"15:57:35","00:11","P","[0 : 1]   P   MKS Muszyna SA (women)",
,"15:57:46","00:22","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"15:57:48","00:24","SRV","SRV   MKS Muszyna SA (women)",
,"15:57:51","00:27","RS","RS   MKS Muszyna SA (women)",
,"15:57:52","00:28","B POSS","B POSS   KS Rzeszow (women)",
,"15:58:00","00:36","B POSS","B POSS   MKS Muszyna SA (women)",
,"15:58:06","00:42","K","K   MKS Muszyna SA (women)",
,"15:58:06","00:42","P","[0 : 2]   P   MKS Muszyna SA (women)",
,"15:58:17","00:53","Correct statistics","Correct statistics   (K MKS Muszyna SA (women) <=> ERR KS Rzeszow (women))",
,"15:58:17","00:53","ERR","ERR   KS Rzeszow (women)",
,"15:58:20","00:56","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"15:58:21","00:57","SRV","SRV   MKS Muszyna SA (women)",
,"15:58:25","01:01","RS","RS   MKS Muszyna SA (women)",
,"15:58:26","01:02","B POSS","B POSS   KS Rzeszow (women)",
,"15:58:30","01:06","B","B   MKS Muszyna SA (women)",
,"15:58:30","01:06","P","[0 : 3]   P   MKS Muszyna SA (women)",
,"15:58:42","01:18","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"15:58:43","01:19","SRV","SRV   MKS Muszyna SA (women)",
,"15:58:48","01:24","RS","RS   MKS Muszyna SA (women)",
,"15:58:49","01:25","B POSS","B POSS   KS Rzeszow (women)",
,"15:58:51","01:27","B POSS","B POSS   MKS Muszyna SA (women)",
,"15:58:58","01:34","K","K   MKS Muszyna SA (women)",
,"15:58:58","01:34","P","[0 : 4]   P   MKS Muszyna SA (women)",
,"15:59:15","01:51","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"15:59:16","01:52","SRV","SRV   MKS Muszyna SA (women)",
,"15:59:20","01:56","RS","RS   MKS Muszyna SA (women)",
,"15:59:21","01:57","B POSS","B POSS   KS Rzeszow (women)",
,"15:59:22","01:58","B POSS","B POSS   MKS Muszyna SA (women)",
,"15:59:29","02:05","K","K   MKS Muszyna SA (women)",
,"15:59:29","02:05","P","[0 : 5]   P   MKS Muszyna SA (women)",
,"15:59:37","02:13","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"15:59:38","02:14","TIME","TIME",
,"15:59:39","02:15","TIME","TIME   KS Rzeszow (women)",
,"16:00:19","02:55","SRV","SRV   MKS Muszyna SA (women)",
,"16:00:25","03:01","RS","RS   MKS Muszyna SA (women)",
,"16:00:26","03:02","B POSS","B POSS   KS Rzeszow (women)",
,"16:00:29","03:05","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:00:34","03:10","B POSS","B POSS   KS Rzeszow (women)",
,"16:00:36","03:12","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:00:40","03:16","K","K   MKS Muszyna SA (women)",
,"16:00:40","03:16","P","[0 : 6]   P   MKS Muszyna SA (women)",
,"16:00:56","03:32","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:00:58","03:34","SRV","SRV   MKS Muszyna SA (women)",
,"16:01:02","03:37","RS","RS   MKS Muszyna SA (women)",
,"16:01:02","03:38","B POSS","B POSS   KS Rzeszow (women)",
,"16:01:05","03:41","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:01:09","03:45","B POSS","B POSS   KS Rzeszow (women)",
,"16:01:18","03:54","OUT","OUT   KS Rzeszow (women)",
,"16:01:18","03:54","P","[0 : 7]   P   MKS Muszyna SA (women)",
,"16:01:30","04:06","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:01:31","04:07","SRV","SRV   MKS Muszyna SA (women)",
,"16:02:01","04:37","RS","RS   MKS Muszyna SA (women)",
,"16:02:01","04:37","B POSS","B POSS   KS Rzeszow (women)",
,"16:02:06","04:41","K","K   KS Rzeszow (women)",
,"16:02:06","04:41","P","[1 : 7]   P   KS Rzeszow (women)",
,"16:02:19","04:55","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:02:19","04:55","SRV","SRV   KS Rzeszow (women)",
,"16:02:25","05:01","RS","RS   KS Rzeszow (women)",
,"16:02:25","05:01","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:02:30","05:06","K","K   MKS Muszyna SA (women)",
,"16:02:30","05:06","P","[1 : 8]   P   MKS Muszyna SA (women)",
,"16:02:47","05:23","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:02:48","05:24","SRV","SRV   MKS Muszyna SA (women)",
,"16:02:51","05:27","RS","RS   MKS Muszyna SA (women)",
,"16:02:51","05:27","B POSS","B POSS   KS Rzeszow (women)",
,"16:02:55","05:31","K","K   KS Rzeszow (women)",
,"16:02:55","05:31","P","[2 : 8]   P   KS Rzeszow (women)",
,"16:03:12","05:48","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:03:12","05:48","SRV","SRV   KS Rzeszow (women)",
,"16:03:14","05:50","RS","RS   KS Rzeszow (women)",
,"16:03:14","05:50","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:03:17","05:53","B POSS","B POSS   KS Rzeszow (women)",
,"16:03:25","06:01","K","K   KS Rzeszow (women)",
,"16:03:25","06:01","P","[3 : 8]   P   KS Rzeszow (women)",
,"16:03:40","06:16","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:03:41","06:17","SRV","SRV   KS Rzeszow (women)",
,"16:03:44","06:19","A","A   KS Rzeszow (women)",
,"16:03:44","06:19","P","[4 : 8]   P   KS Rzeszow (women)",
,"16:03:56","06:32","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:03:56","06:32","SRV","SRV   KS Rzeszow (women)",
,"16:03:59","06:35","RS","RS   KS Rzeszow (women)",
,"16:03:59","06:35","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:04:04","06:40","K","K   MKS Muszyna SA (women)",
,"16:04:04","06:40","P","[4 : 9]   P   MKS Muszyna SA (women)",
,"16:04:14","06:50","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:04:15","06:51","SRV","SRV   MKS Muszyna SA (women)",
,"16:04:22","06:58","RS","RS   MKS Muszyna SA (women)",
,"16:04:22","06:58","B POSS","B POSS   KS Rzeszow (women)",
,"16:04:25","07:01","K","K   KS Rzeszow (women)",
,"16:04:25","07:01","P","[5 : 9]   P   KS Rzeszow (women)",
,"16:04:36","07:12","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:04:37","07:13","SRV","SRV   KS Rzeszow (women)",
,"16:04:46","07:22","RS","RS   KS Rzeszow (women)",
,"16:04:46","07:22","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:04:50","07:26","ERR","ERR   KS Rzeszow (women)",
,"16:04:50","07:26","P","[5 : 10]   P   MKS Muszyna SA (women)",
,"16:05:02","07:38","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:05:03","07:39","SRV","SRV   MKS Muszyna SA (women)",
,"16:05:11","07:47","RS","RS   MKS Muszyna SA (women)",
,"16:05:12","07:48","B POSS","B POSS   KS Rzeszow (women)",
,"16:05:16","07:52","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:05:24","08:00","K","K   MKS Muszyna SA (women)",
,"16:05:24","08:00","P","[5 : 11]   P   MKS Muszyna SA (women)",
,"16:05:39","08:15","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:05:39","08:15","SRV","SRV   MKS Muszyna SA (women)",
,"16:05:45","08:21","RS","RS   MKS Muszyna SA (women)",
,"16:05:46","08:22","B POSS","B POSS   KS Rzeszow (women)",
,"16:05:51","08:26","K","K   KS Rzeszow (women)",
,"16:05:51","08:26","P","[6 : 11]   P   KS Rzeszow (women)",
,"16:06:04","08:40","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:06:04","08:40","SRV","SRV   KS Rzeszow (women)",
,"16:06:08","08:44","RS","RS   KS Rzeszow (women)",
,"16:06:08","08:44","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:06:14","08:50","K","K   MKS Muszyna SA (women)",
,"16:06:14","08:50","P","[6 : 12]   P   MKS Muszyna SA (women)",
,"16:06:29","09:05","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:06:29","09:05","SRV","SRV   MKS Muszyna SA (women)",
,"16:06:31","09:06","RS","RS   MKS Muszyna SA (women)",
,"16:06:31","09:07","B POSS","B POSS   KS Rzeszow (women)",
,"16:06:36","09:12","K","K   KS Rzeszow (women)",
,"16:06:36","09:12","P","[7 : 12]   P   KS Rzeszow (women)",
,"16:06:46","09:22","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:06:47","09:23","SRV","SRV   KS Rzeszow (women)",
,"16:06:56","09:32","S ERR","S ERR   KS Rzeszow (women)",
,"16:06:56","09:32","P","[7 : 13]   P   MKS Muszyna SA (women)",
,"16:07:07","09:43","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:07:08","09:44","SRV","SRV   MKS Muszyna SA (women)",
,"16:07:13","09:49","RS","RS   MKS Muszyna SA (women)",
,"16:07:14","09:50","B POSS","B POSS   KS Rzeszow (women)",
,"16:07:19","09:55","K","K   KS Rzeszow (women)",
,"16:07:19","09:55","P","[8 : 13]   P   KS Rzeszow (women)",
,"16:07:34","10:09","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:07:34","10:10","SRV","SRV   KS Rzeszow (women)",
,"16:07:39","10:15","RS","RS   KS Rzeszow (women)",
,"16:07:39","10:15","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:07:43","10:19","B POSS","B POSS   KS Rzeszow (women)",
,"16:07:48","10:24","K","K   MKS Muszyna SA (women)",
,"16:07:48","10:24","P","[8 : 14]   P   MKS Muszyna SA (women)",
,"16:08:08","10:44","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:08:09","10:45","SRV","SRV   MKS Muszyna SA (women)",
,"16:08:13","10:49","RS","RS   MKS Muszyna SA (women)",
,"16:08:14","10:49","B POSS","B POSS   KS Rzeszow (women)",
,"16:08:33","11:09","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:08:36","11:12","K","K   MKS Muszyna SA (women)",
,"16:08:36","11:12","P","[8 : 15]   P   MKS Muszyna SA (women)",
,"16:08:51","11:27","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:08:52","11:28","SRV","SRV   MKS Muszyna SA (women)",
,"16:08:58","11:34","RS","RS   MKS Muszyna SA (women)",
,"16:08:58","11:34","B POSS","B POSS   KS Rzeszow (women)",
,"16:09:02","11:38","B","B   MKS Muszyna SA (women)",
,"16:09:02","11:38","P","[8 : 16]   P   MKS Muszyna SA (women)",
,"16:09:10","11:46","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:09:11","11:47","TIME","TIME",
,"16:09:11","11:47","TIME","TIME   KS Rzeszow (women)",
,"16:10:02","12:38","SRV","SRV   MKS Muszyna SA (women)",
,"16:10:09","12:45","RS","RS   MKS Muszyna SA (women)",
,"16:10:10","12:46","B POSS","B POSS   KS Rzeszow (women)",
,"16:10:19","12:55","K","K   MKS Muszyna SA (women)",
,"16:10:19","12:55","P","[8 : 17]   P   MKS Muszyna SA (women)",
,"16:10:32","13:08","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:10:33","13:09","SRV","SRV   MKS Muszyna SA (women)",
,"16:10:36","13:12","RS","RS   MKS Muszyna SA (women)",
,"16:10:37","13:12","B POSS","B POSS   KS Rzeszow (women)",
,"16:10:45","13:21","B","B   MKS Muszyna SA (women)",
,"16:10:45","13:21","P","[8 : 18]   P   MKS Muszyna SA (women)",
,"16:11:03","13:39","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:11:27","14:03","SRV","SRV   MKS Muszyna SA (women)",
,"16:11:33","14:09","RS","RS   MKS Muszyna SA (women)",
,"16:11:34","14:10","B POSS","B POSS   KS Rzeszow (women)",
,"16:11:42","14:18","K","K   KS Rzeszow (women)",
,"16:11:42","14:18","P","[9 : 18]   P   KS Rzeszow (women)",
,"16:11:59","14:34","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:11:59","14:35","SRV","SRV   KS Rzeszow (women)",
,"16:12:03","14:39","RS","RS   KS Rzeszow (women)",
,"16:12:04","14:40","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:12:07","14:43","K","K   MKS Muszyna SA (women)",
,"16:12:07","14:43","P","[9 : 19]   P   MKS Muszyna SA (women)",
,"16:12:22","14:58","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:12:23","14:59","SRV","SRV   MKS Muszyna SA (women)",
,"16:12:27","15:03","RS","RS   MKS Muszyna SA (women)",
,"16:12:27","15:03","B POSS","B POSS   KS Rzeszow (women)",
,"16:12:35","15:11","ERR","ERR   KS Rzeszow (women)",
,"16:12:35","15:11","P","[9 : 20]   P   MKS Muszyna SA (women)",
,"16:12:51","15:27","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:12:52","15:28","SRV","SRV   MKS Muszyna SA (women)",
,"16:12:55","15:31","RS","RS   MKS Muszyna SA (women)",
,"16:12:55","15:31","B POSS","B POSS   KS Rzeszow (women)",
,"16:13:02","15:38","K","K   KS Rzeszow (women)",
,"16:13:02","15:38","P","[10 : 20]   P   KS Rzeszow (women)",
,"16:13:13","15:49","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:13:16","15:52","SRV","SRV   KS Rzeszow (women)",
,"16:13:23","15:59","RS","RS   KS Rzeszow (women)",
,"16:13:24","16:00","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:13:29","16:05","ERR","ERR   MKS Muszyna SA (women)",
,"16:13:29","16:05","P","[11 : 20]   P   KS Rzeszow (women)",
,"16:13:39","16:14","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:13:39","16:15","SRV","SRV   KS Rzeszow (women)",
,"16:13:47","16:23","RS","RS   KS Rzeszow (women)",
,"16:13:48","16:23","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:13:57","16:33","K","K   MKS Muszyna SA (women)",
,"16:13:57","16:33","P","[11 : 21]   P   MKS Muszyna SA (women)",
,"16:14:12","16:48","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:14:14","16:50","SRV","SRV   MKS Muszyna SA (women)",
,"16:14:18","16:54","RS","RS   MKS Muszyna SA (women)",
,"16:14:19","16:54","B POSS","B POSS   KS Rzeszow (women)",
,"16:14:23","16:59","K","K   KS Rzeszow (women)",
,"16:14:23","16:59","P","[12 : 21]   P   KS Rzeszow (women)",
,"16:14:37","17:13","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:14:37","17:13","SRV","SRV   KS Rzeszow (women)",
,"16:14:42","17:18","RS","RS   KS Rzeszow (women)",
,"16:14:43","17:19","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:14:47","17:23","OUT","OUT   MKS Muszyna SA (women)",
,"16:14:47","17:23","P","[13 : 21]   P   KS Rzeszow (women)",
,"16:15:02","17:38","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:15:03","17:39","SRV","SRV   KS Rzeszow (women)",
,"16:15:05","17:41","RS","RS   KS Rzeszow (women)",
,"16:15:05","17:41","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:15:09","17:45","K","K   MKS Muszyna SA (women)",
,"16:15:09","17:45","P","[13 : 22]   P   MKS Muszyna SA (women)",
,"16:15:24","18:00","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:15:25","18:01","SRV","SRV   MKS Muszyna SA (women)",
,"16:15:35","18:11","S ERR","S ERR   MKS Muszyna SA (women)",
,"16:15:35","18:11","P","[14 : 22]   P   KS Rzeszow (women)",
,"16:15:43","18:19","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:15:44","18:20","SRV","SRV   KS Rzeszow (women)",
,"16:15:49","18:25","RS","RS   KS Rzeszow (women)",
,"16:15:50","18:26","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:15:53","18:29","B POSS","B POSS   KS Rzeszow (women)",
,"16:16:02","18:38","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:16:04","18:40","B POSS","B POSS   KS Rzeszow (women)",
,"16:16:09","18:45","K","K   KS Rzeszow (women)",
,"16:16:09","18:45","P","[15 : 22]   P   KS Rzeszow (women)",
,"16:16:21","18:57","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:16:22","18:58","SRV","SRV   KS Rzeszow (women)",
,"16:16:26","19:02","RS","RS   KS Rzeszow (women)",
,"16:16:26","19:02","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:16:31","19:07","OUT","OUT   MKS Muszyna SA (women)",
,"16:16:31","19:07","P","[16 : 22]   P   KS Rzeszow (women)",
,"16:16:42","19:18","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:16:43","19:19","SRV","SRV   KS Rzeszow (women)",
,"16:16:46","19:22","RS","RS   KS Rzeszow (women)",
,"16:16:47","19:23","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:16:55","19:31","B","B   KS Rzeszow (women)",
,"16:16:55","19:31","P","[17 : 22]   P   KS Rzeszow (women)",
,"16:17:02","19:38","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:17:03","19:39","TIME","TIME",
,"16:17:04","19:40","TIME","TIME   MKS Muszyna SA (women)",
,"16:17:54","20:30","SRV","SRV   KS Rzeszow (women)",
,"16:17:59","20:35","RS","RS   KS Rzeszow (women)",
,"16:18:00","20:36","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:18:04","20:40","OUT","OUT   MKS Muszyna SA (women)",
,"16:18:04","20:40","P","[18 : 22]   P   KS Rzeszow (women)",
,"16:18:15","20:51","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:18:16","20:52","SRV","SRV   KS Rzeszow (women)",
,"16:18:18","20:54","RS","RS   KS Rzeszow (women)",
,"16:18:18","20:54","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:18:22","20:58","B POSS","B POSS   KS Rzeszow (women)",
,"16:18:26","21:02","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:18:30","21:06","B POSS","B POSS   KS Rzeszow (women)",
,"16:18:34","21:10","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:18:39","21:15","K","K   MKS Muszyna SA (women)",
,"16:18:39","21:15","P","[18 : 23]   P   MKS Muszyna SA (women)",
,"16:18:55","21:31","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:18:56","21:32","SRV","SRV   MKS Muszyna SA (women)",
,"16:19:00","21:36","RS","RS   MKS Muszyna SA (women)",
,"16:19:00","21:36","B POSS","B POSS   KS Rzeszow (women)",
,"16:19:06","21:42","K","K   KS Rzeszow (women)",
,"16:19:06","21:42","P","[19 : 23]   P   KS Rzeszow (women)",
,"16:19:19","21:55","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:19:20","21:56","SRV","SRV   KS Rzeszow (women)",
,"16:19:25","22:01","RS","RS   KS Rzeszow (women)",
,"16:19:26","22:02","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:19:30","22:06","K","K   MKS Muszyna SA (women)",
,"16:19:30","22:06","P","[19 : 24]   P   MKS Muszyna SA (women)",
,"16:19:47","22:23","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:19:48","22:24","SRV","SRV   MKS Muszyna SA (women)",
,"16:19:51","22:27","RS","RS   MKS Muszyna SA (women)",
,"16:19:51","22:27","B POSS","B POSS   KS Rzeszow (women)",
,"16:19:55","22:31","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:20:00","22:36","B POSS","B POSS   KS Rzeszow (women)",
,"16:20:05","22:41","B","B   MKS Muszyna SA (women)",
,"16:20:05","22:41","P","[19 : 25]   P   MKS Muszyna SA (women)",
,"16:20:10","22:46","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:20:11","22:47","S","S   MKS Muszyna SA (women)",
,"16:20:11","22:47","Stop Set","Stop Set",
,"16:20:26","23:02","Score of last period confirmed","Score of last period confirmed",
,"16:22:24","25:00","Game about to start","Game about to start",
,"16:22:34","25:09","Start SRV","Start SRV   KS Rzeszow (women)",
,"16:23:08","25:44","Start 2nd Set","Start 2nd Set",
,"16:23:09","25:45","SRV","SRV   KS Rzeszow (women)",
,"16:23:15","25:51","RS","RS   KS Rzeszow (women)",
,"16:23:16","25:52","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:23:19","25:55","ERR","ERR   KS Rzeszow (women)",
,"16:23:19","25:55","P","[0 : 1]   P   MKS Muszyna SA (women)",
,"16:23:38","26:14","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:23:39","26:15","SRV","SRV   MKS Muszyna SA (women)",
,"16:23:41","26:16","RS","RS   MKS Muszyna SA (women)",
,"16:23:41","26:17","B POSS","B POSS   KS Rzeszow (women)",
,"16:23:54","26:30","K","K   MKS Muszyna SA (women)",
,"16:23:54","26:30","P","[0 : 2]   P   MKS Muszyna SA (women)",
,"16:24:07","26:42","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:24:07","26:43","SRV","SRV   MKS Muszyna SA (women)",
,"16:24:13","26:49","RS","RS   MKS Muszyna SA (women)",
,"16:24:13","26:49","B POSS","B POSS   KS Rzeszow (women)",
,"16:24:17","26:53","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:24:22","26:58","ERR","ERR   MKS Muszyna SA (women)",
,"16:24:22","26:58","P","[1 : 2]   P   KS Rzeszow (women)",
,"16:24:36","27:12","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:24:36","27:12","SRV","SRV   KS Rzeszow (women)",
,"16:24:41","27:17","RS","RS   KS Rzeszow (women)",
,"16:24:41","27:17","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:24:45","27:21","B","B   KS Rzeszow (women)",
,"16:24:45","27:21","P","[2 : 2]   P   KS Rzeszow (women)",
,"16:24:55","27:30","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:24:56","27:32","SRV","SRV   KS Rzeszow (women)",
,"16:25:01","27:37","RS","RS   KS Rzeszow (women)",
,"16:25:01","27:37","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:25:05","27:41","K","K   MKS Muszyna SA (women)",
,"16:25:05","27:41","P","[2 : 3]   P   MKS Muszyna SA (women)",
,"16:25:19","27:55","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:25:21","27:57","SRV","SRV   MKS Muszyna SA (women)",
,"16:25:25","28:01","RS","RS   MKS Muszyna SA (women)",
,"16:25:26","28:02","B POSS","B POSS   KS Rzeszow (women)",
,"16:25:29","28:05","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:25:37","28:13","B POSS","B POSS   KS Rzeszow (women)",
,"16:25:42","28:17","OUT","OUT   KS Rzeszow (women)",
,"16:25:42","28:17","P","[2 : 4]   P   MKS Muszyna SA (women)",
,"16:25:57","28:32","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:25:58","28:34","SRV","SRV   MKS Muszyna SA (women)",
,"16:25:59","28:35","RS","RS   MKS Muszyna SA (women)",
,"16:26:00","28:36","B POSS","B POSS   KS Rzeszow (women)",
,"16:26:04","28:40","K","K   KS Rzeszow (women)",
,"16:26:04","28:40","P","[3 : 4]   P   KS Rzeszow (women)",
,"16:26:17","28:53","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:26:17","28:53","SRV","SRV   KS Rzeszow (women)",
,"16:26:21","28:57","RS","RS   KS Rzeszow (women)",
,"16:26:21","28:57","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:26:28","29:04","K","K   MKS Muszyna SA (women)",
,"16:26:28","29:04","P","[3 : 5]   P   MKS Muszyna SA (women)",
,"16:26:44","29:20","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:26:44","29:20","SRV","SRV   MKS Muszyna SA (women)",
,"16:26:49","29:25","RS","RS   MKS Muszyna SA (women)",
,"16:26:50","29:26","B POSS","B POSS   KS Rzeszow (women)",
,"16:26:50","29:26","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:26:55","29:31","B","B   KS Rzeszow (women)",
,"16:26:55","29:31","P","[4 : 5]   P   KS Rzeszow (women)",
,"16:27:11","29:47","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:27:11","29:47","SRV","SRV   KS Rzeszow (women)",
,"16:27:13","29:49","RS","RS   KS Rzeszow (women)",
,"16:27:14","29:49","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:27:20","29:56","K","K   MKS Muszyna SA (women)",
,"16:27:20","29:56","P","[4 : 6]   P   MKS Muszyna SA (women)",
,"16:27:28","30:04","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:27:30","30:06","SRV","SRV   MKS Muszyna SA (women)",
,"16:27:39","30:15","RS","RS   MKS Muszyna SA (women)",
,"16:27:39","30:15","B POSS","B POSS   KS Rzeszow (women)",
,"16:27:43","30:18","K","K   KS Rzeszow (women)",
,"16:27:43","30:18","P","[5 : 6]   P   KS Rzeszow (women)",
,"16:27:58","30:34","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"16:27:59","30:35","SRV","SRV   KS Rzeszow (women)",
,"16:28:02","30:38","RS","RS   KS Rzeszow (women)",
,"16:28:03","30:39","B POSS","B POSS   MKS Muszyna SA (women)",
,"16:28:09","30:45","K","K   MKS Muszyna SA (women)",
,"16:28:09","30:45","P","[5 : 7]   P   MKS Muszyna SA (women)",
,"16:28:23","30:59","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"16:28:24","31:00","SRV","SRV   MKS Muszyna SA (women)",
