"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884427","Friendly","Ho Chi Minh City Open Cup (men)","06.10.2017 - 11:00","Trang An Ninh Binh","TP Ho Chi Minh",
"Statistics","Trang An Ninh Binh","Type","TP Ho Chi Minh",
,"0","Score","3",
,"54","Points","75",
,"0","Sets","3",
,"3","Aces","8",
,"5","Service errors","6",
,"37","Kills","46",
,"3","Blocks","9",
,"2","Errors","3",
,"5","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:54:15","00:00","Game conditions changed","Game conditions changed",
,"11:01:23","00:00","Coin flipping","Coin flipping",
,"11:01:44","00:00","Jersey colours updated","Jersey colours updated",
,"11:01:44","00:00","Jersey colours updated","Jersey colours updated",
,"11:02:34","00:00","Players lined up","Players lined up",
,"11:02:57","00:00","Shake hands","Shake hands",
,"11:03:25","00:00","Players warming up","Players warming up",
,"11:22:51","00:00","Warm up at the net","Warm up at the net",
,"11:30:08","00:00","Players intro","Players intro",
,"11:31:05","00:00","Game about to start","Game about to start",
,"11:31:23","00:00","Start SRV","Start SRV   TP Ho Chi Minh",
,"11:31:37","00:00","Start 1st Set","Start 1st Set",
,"11:31:38","00:00","SRV","SRV   TP Ho Chi Minh",
,"11:31:44","00:06","A","A   TP Ho Chi Minh",
,"11:31:44","00:06","P","[0 : 1]   P   TP Ho Chi Minh",
,"11:31:59","00:21","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"11:32:00","00:22","SRV","SRV   TP Ho Chi Minh",
,"11:32:05","00:28","RS","RS   TP Ho Chi Minh",
,"11:32:06","00:29","B POSS","B POSS   Trang An Ninh Binh",
,"11:32:08","00:30","K","K   Trang An Ninh Binh",
,"11:32:08","00:30","P","[1 : 1]   P   Trang An Ninh Binh",
,"11:32:22","00:45","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"11:32:22","00:45","SRV","SRV   Trang An Ninh Binh",
,"11:32:24","00:47","RS","RS   Trang An Ninh Binh",
,"11:32:25","00:47","B POSS","B POSS   TP Ho Chi Minh",
,"11:32:27","00:50","K","K   TP Ho Chi Minh",
,"11:32:27","00:50","P","[1 : 2]   P   TP Ho Chi Minh",
,"11:32:40","01:02","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"11:32:41","01:03","SRV","SRV   TP Ho Chi Minh",
,"11:32:48","01:10","RS","RS   TP Ho Chi Minh",
,"11:32:49","01:11","B POSS","B POSS   Trang An Ninh Binh",
,"11:32:51","01:13","K","K   Trang An Ninh Binh",
,"11:32:51","01:13","P","[2 : 2]   P   Trang An Ninh Binh",
,"11:33:05","01:27","Pt Conf","Pt Conf   Trang An Ninh Binh",
,"11:33:06","01:28","SRV","SRV   Trang An Ninh Binh",
,"11:33:17","01:39","RS","RS   Trang An Ninh Binh",
,"11:33:17","01:39","B POSS","B POSS   TP Ho Chi Minh",
,"11:33:18","01:40","K","K   TP Ho Chi Minh",
,"11:33:18","01:40","P","[2 : 3]   P   TP Ho Chi Minh",
,"11:33:32","01:54","Pt Conf","Pt Conf   TP Ho Chi Minh",
,"11:33:33","01:56","SRV","SRV   TP Ho Chi Minh",
,"11:33:38","02:00","RS","RS   TP Ho Chi Minh",
,"11:33:39","02:01","B POSS","B POSS   Trang An Ninh Binh",
,"11:33:43","02:06","K","K   Trang An Ninh Binh",
,"11:33:43","02:06","P","[3 : 3]   P   Trang An Ninh Binh",
