"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885620","Friendly","Plovdiv Cup (women)","06.10.2017 - 15:00","Olympiakos SC Piraeus (women)","Bursa Buyuksehir Belediyesi (women)",
"Statistics","Olympiakos SC Piraeus (women)","Type","Bursa Buyuksehir Belediyesi (women)",
,"2","Score","3",
,"100","Points","108",
,"2","Sets","3",
,"4","Aces","4",
,"5","Service errors","4",
,"57","Kills","54",
,"9","Blocks","10",
,"15","Errors","15",
,"20","Outs","11",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:23:37","00:00","Game conditions changed","Game conditions changed",
,"14:23:39","00:00","Players warming up","Players warming up",
,"14:37:23","00:00","Jersey colours updated","Jersey colours updated",
,"14:37:24","00:00","Jersey colours updated","Jersey colours updated",
,"14:44:11","00:00","Coin flipping","Coin flipping",
,"14:44:52","00:00","Warm up at the net","Warm up at the net",
,"14:55:50","00:00","Players lined up","Players lined up",
,"14:56:58","00:00","Shake hands","Shake hands",
,"14:57:39","00:00","Players intro","Players intro",
,"14:59:39","00:00","Game about to start","Game about to start",
,"15:00:22","00:00","Start SRV","Start SRV   Bursa Buyuksehir Belediyesi (women)",
,"15:00:41","00:00","Start 1st Set","Start 1st Set",
,"15:00:42","00:00","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"15:00:47","00:05","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"15:00:47","00:06","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:00:50","00:08","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:00:55","00:14","B","B   Olympiakos SC Piraeus (women)",
,"15:00:55","00:14","P","[1 : 0]   P   Olympiakos SC Piraeus (women)",
,"15:01:11","00:29","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"15:01:11","00:30","SRV","SRV   Olympiakos SC Piraeus (women)",
,"15:01:15","00:33","RS","RS   Olympiakos SC Piraeus (women)",
,"15:01:15","00:34","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:01:34","00:52","OUT","OUT   Olympiakos SC Piraeus (women)",
,"15:01:34","00:52","P","[1 : 1]   P   Bursa Buyuksehir Belediyesi (women)",
,"15:01:41","00:59","Correct statistics","Correct statistics   (OUT Olympiakos SC Piraeus (women) <=> K Bursa Buyuksehir Belediyesi (women))",
,"15:01:41","00:59","K","K   Bursa Buyuksehir Belediyesi (women)",
,"15:01:44","01:03","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"15:01:45","01:03","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"15:01:48","01:06","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"15:01:48","01:07","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:01:53","01:12","OUT","OUT   Olympiakos SC Piraeus (women)",
,"15:01:53","01:12","P","[1 : 2]   P   Bursa Buyuksehir Belediyesi (women)",
,"15:02:05","01:23","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"15:02:05","01:24","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"15:02:10","01:28","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"15:02:10","01:29","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:02:17","01:35","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:02:17","01:36","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:02:22","01:41","K","K   Olympiakos SC Piraeus (women)",
,"15:02:22","01:41","P","[2 : 2]   P   Olympiakos SC Piraeus (women)",
,"15:02:36","01:55","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"15:02:37","01:55","SRV","SRV   Olympiakos SC Piraeus (women)",
,"15:02:41","02:00","RS","RS   Olympiakos SC Piraeus (women)",
,"15:02:42","02:00","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:02:43","02:01","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:02:48","02:07","K","K   Olympiakos SC Piraeus (women)",
,"15:02:48","02:07","P","[3 : 2]   P   Olympiakos SC Piraeus (women)",
,"15:03:02","02:20","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"15:03:02","02:21","SRV","SRV   Olympiakos SC Piraeus (women)",
,"15:03:06","02:25","RS","RS   Olympiakos SC Piraeus (women)",
,"15:03:07","02:25","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:03:11","02:29","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:03:13","02:31","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:03:21","02:40","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:03:26","02:44","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:03:30","02:49","K","K   Bursa Buyuksehir Belediyesi (women)",
,"15:03:30","02:49","P","[3 : 3]   P   Bursa Buyuksehir Belediyesi (women)",
,"15:03:46","03:04","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"15:03:46","03:05","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"15:03:51","03:09","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"15:03:51","03:10","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:03:52","03:10","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:03:54","03:13","K","K   Bursa Buyuksehir Belediyesi (women)",
,"15:03:54","03:13","P","[3 : 4]   P   Bursa Buyuksehir Belediyesi (women)",
,"15:04:08","03:27","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"15:04:09","03:27","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"15:04:13","03:31","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"15:04:13","03:32","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:04:16","03:35","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:04:20","03:39","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:04:25","03:44","K","K   Olympiakos SC Piraeus (women)",
,"15:04:25","03:44","P","[4 : 4]   P   Olympiakos SC Piraeus (women)",
,"15:04:43","04:02","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"15:04:44","04:03","SRV","SRV   Olympiakos SC Piraeus (women)",
,"15:04:49","04:07","RS","RS   Olympiakos SC Piraeus (women)",
,"15:04:49","04:08","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:04:53","04:11","OUT","OUT   Bursa Buyuksehir Belediyesi (women)",
,"15:04:53","04:11","P","[5 : 4]   P   Olympiakos SC Piraeus (women)",
,"15:05:08","04:27","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"15:05:09","04:27","SRV","SRV   Olympiakos SC Piraeus (women)",
,"15:05:12","04:31","RS","RS   Olympiakos SC Piraeus (women)",
,"15:05:13","04:31","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:05:16","04:35","K","K   Bursa Buyuksehir Belediyesi (women)",
,"15:05:16","04:35","P","[5 : 5]   P   Bursa Buyuksehir Belediyesi (women)",
,"15:05:30","04:49","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"15:05:31","04:49","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"15:05:36","04:55","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"15:05:36","04:55","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:05:37","04:55","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:05:40","04:59","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:05:44","05:03","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:05:49","05:07","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:05:53","05:12","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:05:53","05:12","Rally over 5 possession changes","Rally over 5 possession changes",
,"15:05:57","05:15","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:06:02","05:20","OUT","OUT   Olympiakos SC Piraeus (women)",
,"15:06:02","05:20","P","[5 : 6]   P   Bursa Buyuksehir Belediyesi (women)",
,"15:06:17","05:35","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"15:06:17","05:36","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"15:06:23","05:41","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"15:06:23","05:42","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:06:25","05:43","K","K   Olympiakos SC Piraeus (women)",
,"15:06:25","05:43","P","[6 : 6]   P   Olympiakos SC Piraeus (women)",
,"15:06:44","06:03","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"15:06:45","06:03","SRV","SRV   Olympiakos SC Piraeus (women)",
,"15:06:48","06:06","RS","RS   Olympiakos SC Piraeus (women)",
,"15:06:48","06:07","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:06:49","06:08","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:06:54","06:13","K","K   Olympiakos SC Piraeus (women)",
,"15:06:54","06:13","P","[7 : 6]   P   Olympiakos SC Piraeus (women)",
,"15:07:10","06:28","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"15:07:10","06:29","SRV","SRV   Olympiakos SC Piraeus (women)",
,"15:07:14","06:32","RS","RS   Olympiakos SC Piraeus (women)",
,"15:07:14","06:33","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:07:19","06:37","ERR","ERR   Bursa Buyuksehir Belediyesi (women)",
,"15:07:19","06:37","P","[8 : 6]   P   Olympiakos SC Piraeus (women)",
,"15:07:26","06:45","Pt Conf","Pt Conf   Olympiakos SC Piraeus (women)",
,"15:07:27","06:45","TIME","TIME",
,"15:07:27","06:46","TTO","TTO",
,"15:08:33","07:52","SRV","SRV   Olympiakos SC Piraeus (women)",
,"15:08:39","07:57","RS","RS   Olympiakos SC Piraeus (women)",
,"15:08:39","07:58","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:08:46","08:05","K","K   Bursa Buyuksehir Belediyesi (women)",
,"15:08:46","08:05","P","[8 : 7]   P   Bursa Buyuksehir Belediyesi (women)",
,"15:09:02","08:21","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"15:09:03","08:21","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"15:09:06","08:25","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"15:09:07","08:25","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:09:10","08:29","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"15:09:17","08:36","B POSS","B POSS   Olympiakos SC Piraeus (women)",
,"15:09:21","08:40","OUT","OUT   Olympiakos SC Piraeus (women)",
,"15:09:21","08:40","P","[8 : 8]   P   Bursa Buyuksehir Belediyesi (women)",
,"15:09:41","08:59","Point under investigation","Point under investigation",
