"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884033","USA","NCAA Women","06.10.2017 - 02:00","UC Irvine Anteaters (women/students)","Long Beach State 49ers (women/students)",
"Statistics","UC Irvine Anteaters (women/students)","Type","Long Beach State 49ers (women/students)",
,"3","Score","1",
,"96","Points","82",
,"3","Sets","1",
,"7","Aces","3",
,"9","Service errors","11",
,"53","Kills","46",
,"7","Blocks","13",
,"2","Errors","4",
,"9","Outs","14",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"01:23:34","00:00","Game conditions changed","Game conditions changed",
,"01:31:08","00:00","Players warming up","Players warming up",
,"01:35:19","00:00","Coin flipping","Coin flipping",
,"01:46:24","00:00","Warm up at the net","Warm up at the net",
,"01:58:19","00:00","Jersey colours updated","Jersey colours updated",
,"01:58:20","00:00","Jersey colours updated","Jersey colours updated",
,"02:00:50","00:00","National anthem singing","National anthem singing",
,"02:02:55","00:00","Players intro","Players intro",
,"02:05:13","00:00","Players lined up","Players lined up",
,"02:05:19","00:00","Shake hands","Shake hands",
,"02:06:33","00:00","Game about to start","Game about to start",
,"02:06:41","00:00","Start SRV","Start SRV   UC Irvine Anteaters (women/students)",
,"02:06:51","00:00","Start 1st Set","Start 1st Set",
,"02:06:52","00:00","SRV","SRV   UC Irvine Anteaters (women/students)",
,"02:06:56","00:04","RS","RS   UC Irvine Anteaters (women/students)",
,"02:06:57","00:05","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:07:00","00:08","B POSS","B POSS   UC Irvine Anteaters (women/students)",
,"02:07:03","00:11","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:07:07","00:16","OUT","OUT   Long Beach State 49ers (women/students)",
,"02:07:07","00:16","P","[1 : 0]   P   UC Irvine Anteaters (women/students)",
,"02:07:22","00:30","Pt Conf","Pt Conf   UC Irvine Anteaters (women/students)",
,"02:07:23","00:31","SRV","SRV   UC Irvine Anteaters (women/students)",
,"02:07:25","00:34","RS","RS   UC Irvine Anteaters (women/students)",
,"02:07:26","00:34","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:07:28","00:36","K","K   Long Beach State 49ers (women/students)",
,"02:07:28","00:36","P","[1 : 1]   P   Long Beach State 49ers (women/students)",
,"02:07:47","00:56","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:07:48","00:56","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:07:51","00:59","RS","RS   Long Beach State 49ers (women/students)",
,"02:07:52","01:00","B POSS","B POSS   UC Irvine Anteaters (women/students)",
,"02:07:56","01:04","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:07:59","01:07","K","K   Long Beach State 49ers (women/students)",
,"02:07:59","01:07","P","[1 : 2]   P   Long Beach State 49ers (women/students)",
,"02:08:15","01:24","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:08:16","01:24","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:08:20","01:28","RS","RS   Long Beach State 49ers (women/students)",
,"02:08:21","01:29","B POSS","B POSS   UC Irvine Anteaters (women/students)",
,"02:08:24","01:33","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:08:30","01:39","OUT","OUT   Long Beach State 49ers (women/students)",
,"02:08:30","01:39","P","[2 : 2]   P   UC Irvine Anteaters (women/students)",
,"02:08:48","01:57","Pt Conf","Pt Conf   UC Irvine Anteaters (women/students)",
,"02:08:49","01:57","SRV","SRV   UC Irvine Anteaters (women/students)",
,"02:08:53","02:01","RS","RS   UC Irvine Anteaters (women/students)",
,"02:08:53","02:01","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:08:56","02:04","B POSS","B POSS   UC Irvine Anteaters (women/students)",
,"02:08:59","02:08","K","K   UC Irvine Anteaters (women/students)",
,"02:08:59","02:08","P","[3 : 2]   P   UC Irvine Anteaters (women/students)",
,"02:09:17","02:25","Pt Conf","Pt Conf   UC Irvine Anteaters (women/students)",
,"02:09:18","02:26","SRV","SRV   UC Irvine Anteaters (women/students)",
,"02:09:22","02:31","A","A   UC Irvine Anteaters (women/students)",
,"02:09:22","02:31","P","[4 : 2]   P   UC Irvine Anteaters (women/students)",
,"02:09:41","02:50","Pt Conf","Pt Conf   UC Irvine Anteaters (women/students)",
,"02:09:42","02:51","SRV","SRV   UC Irvine Anteaters (women/students)",
,"02:09:46","02:54","RS","RS   UC Irvine Anteaters (women/students)",
,"02:09:47","02:55","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:09:48","02:56","B POSS","B POSS   UC Irvine Anteaters (women/students)",
,"02:09:51","03:00","K","K   UC Irvine Anteaters (women/students)",
,"02:09:51","03:00","P","[5 : 2]   P   UC Irvine Anteaters (women/students)",
,"02:10:10","03:18","Pt Conf","Pt Conf   UC Irvine Anteaters (women/students)",
,"02:10:11","03:19","SRV","SRV   UC Irvine Anteaters (women/students)",
,"02:10:15","03:23","RS","RS   UC Irvine Anteaters (women/students)",
,"02:10:15","03:24","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:10:18","03:26","B POSS","B POSS   UC Irvine Anteaters (women/students)",
,"02:10:22","03:31","K","K   UC Irvine Anteaters (women/students)",
,"02:10:22","03:31","P","[6 : 2]   P   UC Irvine Anteaters (women/students)",
,"02:10:30","03:38","Pt Conf","Pt Conf   UC Irvine Anteaters (women/students)",
,"02:10:31","03:39","TIME","TIME",
,"02:10:31","03:40","TIME","TIME   Long Beach State 49ers (women/students)",
,"02:11:59","05:07","SRV","SRV   UC Irvine Anteaters (women/students)",
,"02:12:03","05:11","RS","RS   UC Irvine Anteaters (women/students)",
,"02:12:04","05:12","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:12:06","05:14","B POSS","B POSS   UC Irvine Anteaters (women/students)",
,"02:12:10","05:18","K","K   UC Irvine Anteaters (women/students)",
,"02:12:10","05:18","P","[7 : 2]   P   UC Irvine Anteaters (women/students)",
,"02:12:28","05:36","Pt Conf","Pt Conf   UC Irvine Anteaters (women/students)",
,"02:12:28","05:37","SRV","SRV   UC Irvine Anteaters (women/students)",
,"02:12:32","05:40","RS","RS   UC Irvine Anteaters (women/students)",
,"02:12:33","05:41","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:12:34","05:42","K","K   Long Beach State 49ers (women/students)",
,"02:12:34","05:42","P","[7 : 3]   P   Long Beach State 49ers (women/students)",
,"02:12:54","06:02","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:12:55","06:03","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:12:57","06:05","S ERR","S ERR   Long Beach State 49ers (women/students)",
,"02:12:57","06:05","P","[8 : 3]   P   UC Irvine Anteaters (women/students)",
