"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884004","USA","NCAA Women","06.10.2017 - 20:00","St Francis (NY) Terriers (women/students)","St Francis (PA) Red Flash (women/students)",
"Statistics","St Francis (NY) Terriers (women/students)","Type","St Francis (PA) Red Flash (women/students)",
,"2","Score","3",
,"110","Points","106",
,"2","Sets","3",
,"6","Aces","10",
,"9","Service errors","13",
,"61","Kills","56",
,"14","Blocks","5",
,"14","Errors","7",
,"12","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"19:25:33","00:00","Game conditions changed","Game conditions changed",
,"19:25:34","00:00","Players warming up","Players warming up",
,"19:49:02","00:00","Warm up at the net","Warm up at the net",
,"19:56:37","00:00","Jersey colours updated","Jersey colours updated",
,"19:56:37","00:00","Jersey colours updated","Jersey colours updated",
,"19:56:49","00:00","Coin flipping","Coin flipping",
,"19:59:31","00:00","Players lined up","Players lined up",
,"20:00:24","00:00","Players intro","Players intro",
,"20:02:26","00:00","National anthem singing","National anthem singing",
,"20:03:48","00:00","Shake hands","Shake hands",
,"20:04:09","00:00","Game about to start","Game about to start",
,"20:05:09","00:00","Start SRV","Start SRV   St Francis (NY) Terriers (women/students)",
,"20:05:11","00:00","Start SRV","Start SRV   St Francis (NY) Terriers (women/students)",
,"20:05:12","00:00","Start 1st Set","Start 1st Set",
,"20:05:13","00:00","SRV","SRV   St Francis (NY) Terriers (women/students)",
,"20:05:17","00:04","RS","RS   St Francis (NY) Terriers (women/students)",
,"20:05:18","00:05","B POSS","B POSS   St Francis (PA) Red Flash (women/students)",
,"20:05:22","00:09","B POSS","B POSS   St Francis (NY) Terriers (women/students)",
,"20:05:26","00:13","B POSS","B POSS   St Francis (PA) Red Flash (women/students)",
,"20:05:31","00:18","K","K   St Francis (PA) Red Flash (women/students)",
,"20:05:31","00:18","P","[0 : 1]   P   St Francis (PA) Red Flash (women/students)",
,"20:05:41","00:29","Pt Conf","Pt Conf   St Francis (PA) Red Flash (women/students)",
,"20:05:42","00:30","SRV","SRV   St Francis (PA) Red Flash (women/students)",
,"20:05:48","00:35","RS","RS   St Francis (PA) Red Flash (women/students)",
,"20:05:48","00:35","B POSS","B POSS   St Francis (NY) Terriers (women/students)",
,"20:05:51","00:38","K","K   St Francis (NY) Terriers (women/students)",
,"20:05:51","00:38","P","[1 : 1]   P   St Francis (NY) Terriers (women/students)",
,"20:05:56","00:43","Pt Conf","Pt Conf   St Francis (NY) Terriers (women/students)",
,"20:06:00","00:48","SRV","SRV   St Francis (NY) Terriers (women/students)",
,"20:06:08","00:55","RS","RS   St Francis (NY) Terriers (women/students)",
,"20:06:08","00:55","B POSS","B POSS   St Francis (PA) Red Flash (women/students)",
,"20:06:14","01:01","K","K   St Francis (PA) Red Flash (women/students)",
,"20:06:14","01:01","P","[1 : 2]   P   St Francis (PA) Red Flash (women/students)",
,"20:06:27","01:14","Pt Conf","Pt Conf   St Francis (PA) Red Flash (women/students)",
,"20:06:28","01:15","SRV","SRV   St Francis (PA) Red Flash (women/students)",
,"20:06:31","01:18","S ERR","S ERR   St Francis (PA) Red Flash (women/students)",
,"20:06:31","01:18","P","[2 : 2]   P   St Francis (NY) Terriers (women/students)",
,"20:06:38","01:25","Pt Conf","Pt Conf   St Francis (NY) Terriers (women/students)",
,"20:06:43","01:30","SRV","SRV   St Francis (NY) Terriers (women/students)",
,"20:06:49","01:36","RS","RS   St Francis (NY) Terriers (women/students)",
,"20:06:50","01:37","B POSS","B POSS   St Francis (PA) Red Flash (women/students)",
