"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884025","USA","NCAA Women","06.10.2017 - 23:00","Xavier Musketeers (women/students)","Seton Hall Pirates (women/students)",
"Statistics","Xavier Musketeers (women/students)","Type","Seton Hall Pirates (women/students)",
,"0","Score","3",
,"68","Points","76",
,"0","Sets","3",
,"1","Aces","4",
,"4","Service errors","4",
,"43","Kills","35",
,"7","Blocks","7",
,"14","Errors","6",
,"12","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"22:35:53","00:00","Game conditions changed","Game conditions changed",
,"22:40:51","00:00","Players warming up","Players warming up",
,"22:45:15","00:00","Warm up at the net","Warm up at the net",
,"22:57:05","00:00","Jersey colours updated","Jersey colours updated",
,"22:57:06","00:00","Jersey colours updated","Jersey colours updated",
,"23:00:41","00:00","National anthem singing","National anthem singing",
,"23:02:23","00:00","Players intro","Players intro",
,"23:05:41","00:00","Players lined up","Players lined up",
,"23:05:42","00:00","Coin flipping","Coin flipping",
,"23:05:43","00:00","Shake hands","Shake hands",
,"23:05:49","00:00","Game about to start","Game about to start",
,"23:06:55","00:00","Start SRV","Start SRV   Seton Hall Pirates (women/students)",
,"23:07:05","00:00","Start 1st Set","Start 1st Set",
,"23:07:06","00:00","SRV","SRV   Seton Hall Pirates (women/students)",
,"23:07:10","00:04","RS","RS   Seton Hall Pirates (women/students)",
,"23:07:11","00:05","B POSS","B POSS   Xavier Musketeers (women/students)",
,"23:07:11","00:06","K","K   Xavier Musketeers (women/students)",
,"23:07:11","00:06","P","[1 : 0]   P   Xavier Musketeers (women/students)",
,"23:07:23","00:18","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"23:07:30","00:24","SRV","SRV   Xavier Musketeers (women/students)",
,"23:07:32","00:26","S ERR","S ERR   Xavier Musketeers (women/students)",
,"23:07:32","00:26","P","[1 : 1]   P   Seton Hall Pirates (women/students)",
,"23:07:40","00:34","Pt Conf","Pt Conf   Seton Hall Pirates (women/students)",
,"23:07:47","00:41","SRV","SRV   Seton Hall Pirates (women/students)",
,"23:07:50","00:45","RS","RS   Seton Hall Pirates (women/students)",
,"23:07:51","00:46","B POSS","B POSS   Xavier Musketeers (women/students)",
,"23:07:53","00:47","K","K   Xavier Musketeers (women/students)",
,"23:07:53","00:47","P","[2 : 1]   P   Xavier Musketeers (women/students)",
,"23:08:20","01:15","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"23:08:24","01:18","SRV","SRV   Xavier Musketeers (women/students)",
,"23:08:28","01:22","RS","RS   Xavier Musketeers (women/students)",
,"23:08:29","01:23","B POSS","B POSS   Seton Hall Pirates (women/students)",
,"23:08:31","01:25","K","K   Seton Hall Pirates (women/students)",
,"23:08:31","01:25","P","[2 : 2]   P   Seton Hall Pirates (women/students)",
,"23:08:41","01:35","Pt Conf","Pt Conf   Seton Hall Pirates (women/students)",
,"23:08:48","01:42","SRV","SRV   Seton Hall Pirates (women/students)",
,"23:08:50","01:45","RS","RS   Seton Hall Pirates (women/students)",
,"23:08:51","01:45","B POSS","B POSS   Xavier Musketeers (women/students)",
,"23:08:55","01:49","K","K   Xavier Musketeers (women/students)",
,"23:08:55","01:49","P","[3 : 2]   P   Xavier Musketeers (women/students)",
,"23:09:02","01:56","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"23:09:14","02:09","SRV","SRV   Xavier Musketeers (women/students)",
