"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883307","Ukraine","Super League (men)","06.10.2017 - 09:00","Barkom Lviv","Dnipro Dnipropetrovsk",
"Statistics","Barkom Lviv","Type","Dnipro Dnipropetrovsk",
,"3","Score","0",
,"75","Points","50",
,"3","Sets","0",
,"4","Aces","2",
,"6","Service errors","9",
,"34","Kills","32",
,"12","Blocks","3",
,"6","Errors","6",
,"1","Outs","10",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"08:42:30","00:00","Game conditions changed","Game conditions changed",
,"08:42:32","00:00","Players warming up","Players warming up",
,"08:43:02","00:00","Jersey colours updated","Jersey colours updated",
,"08:43:02","00:00","Jersey colours updated","Jersey colours updated",
,"08:55:09","00:00","Coin flipping","Coin flipping",
,"08:55:09","00:00","Warm up at the net","Warm up at the net",
,"08:55:59","00:00","Players intro","Players intro",
,"08:56:00","00:00","Players lined up","Players lined up",
,"08:56:04","00:00","National anthem singing","National anthem singing",
,"09:00:01","00:00","Shake hands","Shake hands",
,"09:00:03","00:00","Game about to start","Game about to start",
,"09:00:56","00:00","Start SRV","Start SRV   Barkom Lviv",
,"09:01:04","00:00","Start 1st Set","Start 1st Set",
,"09:01:04","00:00","SRV","SRV   Barkom Lviv",
,"09:01:06","00:02","RS","RS   Barkom Lviv",
,"09:01:06","00:02","B POSS","B POSS   Dnipro Dnipropetrovsk",
,"09:01:11","00:07","B","B   Barkom Lviv",
,"09:01:11","00:07","P","[1 : 0]   P   Barkom Lviv",
,"09:01:25","00:21","Pt Conf","Pt Conf   Barkom Lviv",
,"09:01:26","00:22","SRV","SRV   Barkom Lviv",
,"09:01:27","00:22","RS","RS   Barkom Lviv",
,"09:01:27","00:22","B POSS","B POSS   Dnipro Dnipropetrovsk",
,"09:01:28","00:24","OUT","OUT   Dnipro Dnipropetrovsk",
,"09:01:28","00:24","P","[2 : 0]   P   Barkom Lviv",
,"09:01:32","00:28","Pt Conf","Pt Conf   Barkom Lviv",
,"09:01:38","00:34","SRV","SRV   Barkom Lviv",
,"09:01:41","00:37","RS","RS   Barkom Lviv",
,"09:01:41","00:37","B POSS","B POSS   Dnipro Dnipropetrovsk",
,"09:01:47","00:42","K","K   Dnipro Dnipropetrovsk",
,"09:01:47","00:42","P","[2 : 1]   P   Dnipro Dnipropetrovsk",
,"09:01:50","00:46","Pt Conf","Pt Conf   Dnipro Dnipropetrovsk",
,"09:01:59","00:54","SRV","SRV   Dnipro Dnipropetrovsk",
,"09:02:04","01:00","A","A   Dnipro Dnipropetrovsk",
,"09:02:04","01:00","P","[2 : 2]   P   Dnipro Dnipropetrovsk",
,"09:02:16","01:12","Pt Conf","Pt Conf   Dnipro Dnipropetrovsk",
,"09:02:16","01:12","SRV","SRV   Dnipro Dnipropetrovsk",
,"09:02:21","01:17","RS","RS   Dnipro Dnipropetrovsk",
,"09:02:21","01:17","B POSS","B POSS   Barkom Lviv",
,"09:02:24","01:20","B POSS","B POSS   Dnipro Dnipropetrovsk",
,"09:02:27","01:23","OUT","OUT   Dnipro Dnipropetrovsk",
,"09:02:27","01:23","P","[3 : 2]   P   Barkom Lviv",
,"09:02:33","01:29","Pt Conf","Pt Conf   Barkom Lviv",
,"09:02:39","01:35","SRV","SRV   Barkom Lviv",
,"09:02:45","01:41","RS","RS   Barkom Lviv",
,"09:02:45","01:41","B POSS","B POSS   Dnipro Dnipropetrovsk",
,"09:02:49","01:45","B POSS","B POSS   Barkom Lviv",
,"09:02:54","01:50","B","B   Dnipro Dnipropetrovsk",
,"09:02:54","01:50","P","[3 : 3]   P   Dnipro Dnipropetrovsk",
,"09:03:02","01:58","Pt Conf","Pt Conf   Dnipro Dnipropetrovsk",
,"09:03:08","02:03","SRV","SRV   Dnipro Dnipropetrovsk",
,"09:03:17","02:13","S ERR","S ERR   Dnipro Dnipropetrovsk",
,"09:03:17","02:13","P","[4 : 3]   P   Barkom Lviv",
,"09:03:23","02:19","Pt Conf","Pt Conf   Barkom Lviv",
,"09:03:31","02:27","SRV","SRV   Barkom Lviv",
,"09:03:35","02:31","RS","RS   Barkom Lviv",
,"09:03:35","02:31","B POSS","B POSS   Dnipro Dnipropetrovsk",
,"09:03:39","02:35","K","K   Dnipro Dnipropetrovsk",
,"09:03:39","02:35","P","[4 : 4]   P   Dnipro Dnipropetrovsk",
,"09:03:44","02:40","Pt Conf","Pt Conf   Dnipro Dnipropetrovsk",
,"09:03:49","02:45","SRV","SRV   Dnipro Dnipropetrovsk",
