"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883309","Ukraine","Super League (men)","06.10.2017 - 15:00","VK Vinnica","Burevesnik-SVSM",
"Statistics","VK Vinnica","Type","Burevesnik-SVSM",
,"3","Score","0",
,"75","Points","56",
,"3","Sets","0",
,"3","Aces","6",
,"7","Service errors","12",
,"32","Kills","30",
,"11","Blocks","4",
,"5","Errors","3",
,"4","Outs","14",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:21:30","00:00","Game conditions changed","Game conditions changed",
,"14:21:46","00:00","Players warming up","Players warming up",
,"14:43:27","00:00","Coin flipping","Coin flipping",
,"14:43:30","00:00","Game conditions changed","Game conditions changed",
,"14:44:39","00:00","Warm up at the net","Warm up at the net",
,"14:44:58","00:00","Players intro","Players intro",
,"14:55:40","00:00","Players lined up","Players lined up",
,"14:56:04","00:00","Jersey colours updated","Jersey colours updated",
,"14:56:05","00:00","Jersey colours updated","Jersey colours updated",
,"14:59:15","00:00","Prize giving ceremony","Prize giving ceremony",
,"14:59:24","00:00","National anthem singing","National anthem singing",
,"15:01:32","00:00","Shake hands","Shake hands",
,"15:03:10","00:00","Game about to start","Game about to start",
,"15:04:06","00:00","Start SRV","Start SRV   VK Vinnica",
,"15:04:06","00:00","Start 1st Set","Start 1st Set",
,"15:04:07","00:00","SRV","SRV   VK Vinnica",
,"15:04:08","00:01","RS","RS   VK Vinnica",
,"15:04:09","00:02","B POSS","B POSS   Burevesnik-SVSM",
,"15:04:10","00:03","B POSS","B POSS   VK Vinnica",
,"15:04:15","00:08","K","K   VK Vinnica",
,"15:04:15","00:08","P","[1 : 0]   P   VK Vinnica",
,"15:04:22","00:15","Pt Conf","Pt Conf   VK Vinnica",
,"15:04:22","00:15","SRV","SRV   VK Vinnica",
,"15:04:26","00:19","RS","RS   VK Vinnica",
,"15:04:27","00:20","B POSS","B POSS   Burevesnik-SVSM",
,"15:04:31","00:24","B","B   VK Vinnica",
,"15:04:31","00:24","P","[2 : 0]   P   VK Vinnica",
,"15:04:41","00:34","Pt Conf","Pt Conf   VK Vinnica",
,"15:04:42","00:35","SRV","SRV   VK Vinnica",
,"15:04:48","00:41","A","A   VK Vinnica",
,"15:04:48","00:41","P","[3 : 0]   P   VK Vinnica",
,"15:04:59","00:52","Pt Conf","Pt Conf   VK Vinnica",
,"15:05:00","00:53","SRV","SRV   VK Vinnica",
,"15:05:02","00:55","RS","RS   VK Vinnica",
,"15:05:02","00:55","B POSS","B POSS   Burevesnik-SVSM",
,"15:05:08","01:01","OUT","OUT   Burevesnik-SVSM",
,"15:05:08","01:01","P","[4 : 0]   P   VK Vinnica",
,"15:05:14","01:07","Pt Conf","Pt Conf   VK Vinnica",
,"15:05:15","01:08","SRV","SRV   VK Vinnica",
,"15:05:21","01:14","RS","RS   VK Vinnica",
,"15:05:22","01:15","B POSS","B POSS   Burevesnik-SVSM",
,"15:05:28","01:21","B POSS","B POSS   VK Vinnica",
,"15:05:35","01:28","OUT","OUT   VK Vinnica",
,"15:05:35","01:28","P","[4 : 1]   P   Burevesnik-SVSM",
,"15:05:44","01:37","Pt Conf","Pt Conf   Burevesnik-SVSM",
,"15:05:45","01:38","SRV","SRV   Burevesnik-SVSM",
,"15:05:48","01:41","RS","RS   Burevesnik-SVSM",
,"15:05:48","01:41","B POSS","B POSS   VK Vinnica",
,"15:05:55","01:48","OUT","OUT   VK Vinnica",
,"15:05:55","01:48","P","[4 : 2]   P   Burevesnik-SVSM",
,"15:06:05","01:58","Pt Conf","Pt Conf   Burevesnik-SVSM",
,"15:06:05","01:58","SRV","SRV   Burevesnik-SVSM",
,"15:06:10","02:03","RS","RS   Burevesnik-SVSM",
,"15:06:10","02:03","B POSS","B POSS   VK Vinnica",
,"15:06:15","02:08","K","K   VK Vinnica",
