"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885519","Vietnam","Premier League U20 (men)","06.10.2017 - 04:30","Vinh Long U20","The Cong BD15 U20",
"Statistics","Vinh Long U20","Type","The Cong BD15 U20",
,"3","Score","2",
,"101","Points","103",
,"3","Sets","2",
,"8","Aces","7",
,"15","Service errors","6",
,"57","Kills","57",
,"11","Blocks","11",
,"6","Errors","9",
,"7","Outs","10",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"03:58:17","00:00","Game conditions changed","Game conditions changed",
,"04:31:46","00:00","Players warming up","Players warming up",
,"04:33:05","00:00","Jersey colours updated","Jersey colours updated",
,"04:33:06","00:00","Jersey colours updated","Jersey colours updated",
,"04:35:50","00:00","Coin flipping","Coin flipping",
,"04:36:42","00:00","Players lined up","Players lined up",
,"04:36:45","00:00","Shake hands","Shake hands",
,"04:46:52","00:00","Warm up at the net","Warm up at the net",
,"04:58:25","00:00","Players intro","Players intro",
,"04:59:20","00:00","Game about to start","Game about to start",
,"04:59:27","00:00","Start SRV","Start SRV   Vinh Long U20",
,"04:59:29","00:00","Start 1st Set","Start 1st Set",
,"04:59:30","00:01","SRV","SRV   Vinh Long U20",
,"04:59:31","00:01","RS","RS   Vinh Long U20",
,"04:59:32","00:02","B POSS","B POSS   The Cong BD15 U20",
,"04:59:38","00:08","K","K   Vinh Long U20",
,"04:59:38","00:08","P","[1 : 0]   P   Vinh Long U20",
,"04:59:43","00:13","Pt Conf","Pt Conf   Vinh Long U20",
,"05:00:01","00:31","Jersey colours updated","Jersey colours updated",
,"05:00:02","00:32","Jersey colours updated","Jersey colours updated",
,"05:00:02","00:33","SRV","SRV   Vinh Long U20",
,"05:00:07","00:37","S ERR","S ERR   Vinh Long U20",
,"05:00:07","00:37","P","[1 : 1]   P   The Cong BD15 U20",
,"05:00:13","00:43","Pt Conf","Pt Conf   The Cong BD15 U20",
,"05:00:18","00:48","SRV","SRV   The Cong BD15 U20",
,"05:00:19","00:49","RS","RS   The Cong BD15 U20",
,"05:00:20","00:50","B POSS","B POSS   Vinh Long U20",
,"05:00:22","00:52","K","K   Vinh Long U20",
,"05:00:22","00:52","P","[2 : 1]   P   Vinh Long U20",
,"05:00:37","01:07","Pt Conf","Pt Conf   Vinh Long U20",
,"05:00:40","01:10","SRV","SRV   Vinh Long U20",
,"05:00:42","01:12","RS","RS   Vinh Long U20",
,"05:00:42","01:12","B POSS","B POSS   The Cong BD15 U20",
,"05:00:43","01:13","OUT","OUT   The Cong BD15 U20",
,"05:00:43","01:13","P","[3 : 1]   P   Vinh Long U20",
,"05:00:56","01:26","Pt Conf","Pt Conf   Vinh Long U20",
,"05:00:58","01:28","SRV","SRV   Vinh Long U20",
,"05:00:59","01:29","S ERR","S ERR   Vinh Long U20",
,"05:00:59","01:29","P","[3 : 2]   P   The Cong BD15 U20",
,"05:01:20","01:50","Pt Conf","Pt Conf   The Cong BD15 U20",
,"05:01:21","01:51","SRV","SRV   The Cong BD15 U20",
,"05:01:25","01:55","A","A   The Cong BD15 U20",
,"05:01:25","01:55","P","[3 : 3]   P   The Cong BD15 U20",
,"05:01:42","02:12","Pt Conf","Pt Conf   The Cong BD15 U20",
,"05:01:45","02:15","SRV","SRV   The Cong BD15 U20",
,"05:01:48","02:18","RS","RS   The Cong BD15 U20",
,"05:01:49","02:19","B POSS","B POSS   Vinh Long U20",
,"05:02:06","02:36","ERR","ERR   Vinh Long U20",
,"05:02:06","02:36","P","[3 : 4]   P   The Cong BD15 U20",
,"05:02:25","02:55","Pt Conf","Pt Conf   The Cong BD15 U20",
,"05:02:29","02:59","SRV","SRV   The Cong BD15 U20",
,"05:02:29","02:59","RS","RS   The Cong BD15 U20",
,"05:02:29","02:59","B POSS","B POSS   Vinh Long U20",
,"05:02:29","02:59","K","K   Vinh Long U20",
,"05:02:29","02:59","P","[4 : 4]   P   Vinh Long U20",
,"05:02:43","03:13","Pt Conf","Pt Conf   Vinh Long U20",
,"05:02:44","03:14","SRV","SRV   Vinh Long U20",
,"05:02:45","03:16","RS","RS   Vinh Long U20",
,"05:02:47","03:17","B POSS","B POSS   The Cong BD15 U20",
,"05:02:50","03:20","B","B   Vinh Long U20",
,"05:02:50","03:20","P","[5 : 4]   P   Vinh Long U20",
,"05:03:00","03:31","Pt Conf","Pt Conf   Vinh Long U20",
,"05:03:02","03:32","SRV","SRV   Vinh Long U20",
,"05:03:04","03:34","RS","RS   Vinh Long U20",
,"05:03:05","03:35","B POSS","B POSS   The Cong BD15 U20",
,"05:03:14","03:44","ERR","ERR   Vinh Long U20",
,"05:03:14","03:44","P","[5 : 5]   P   The Cong BD15 U20",
,"05:03:30","04:00","Pt Conf","Pt Conf   The Cong BD15 U20",
,"05:03:34","04:04","SRV","SRV   The Cong BD15 U20",
,"05:03:37","04:08","RS","RS   The Cong BD15 U20",
,"05:03:37","04:08","B POSS","B POSS   Vinh Long U20",
,"05:03:42","04:12","OUT","OUT   Vinh Long U20",
,"05:03:42","04:12","P","[5 : 6]   P   The Cong BD15 U20",
,"05:04:04","04:34","Pt Conf","Pt Conf   The Cong BD15 U20",
,"05:04:06","04:36","SRV","SRV   The Cong BD15 U20",
,"05:04:07","04:37","S ERR","S ERR   The Cong BD15 U20",
,"05:04:07","04:37","P","[6 : 6]   P   Vinh Long U20",
,"05:04:23","04:53","Pt Conf","Pt Conf   Vinh Long U20",
,"05:04:23","04:53","SRV","SRV   Vinh Long U20",
,"05:04:23","04:53","RS","RS   Vinh Long U20",
,"05:04:23","04:53","B POSS","B POSS   The Cong BD15 U20",
,"05:04:29","04:59","K","K   Vinh Long U20",
,"05:04:29","04:59","P","[7 : 6]   P   Vinh Long U20",
,"05:04:40","05:10","Pt Conf","Pt Conf   Vinh Long U20",
,"05:04:41","05:11","SRV","SRV   Vinh Long U20",
,"05:04:42","05:12","RS","RS   Vinh Long U20",
,"05:04:43","05:13","B POSS","B POSS   The Cong BD15 U20",
,"05:04:47","05:17","B","B   Vinh Long U20",
,"05:04:47","05:17","P","[8 : 6]   P   Vinh Long U20",
,"05:05:00","05:30","Pt Conf","Pt Conf   Vinh Long U20",
,"05:05:01","05:31","SRV","SRV   Vinh Long U20",
,"05:05:02","05:32","A","A   Vinh Long U20",
,"05:05:02","05:32","P","[9 : 6]   P   Vinh Long U20",
,"05:05:13","05:43","Pt Conf","Pt Conf   Vinh Long U20",
,"05:05:14","05:44","TIME","TIME",
,"05:05:18","05:48","TIME","TIME   The Cong BD15 U20",
,"05:06:00","06:30","SRV","SRV   Vinh Long U20",
,"05:06:03","06:33","RS","RS   Vinh Long U20",
,"05:06:04","06:34","B POSS","B POSS   The Cong BD15 U20",
,"05:06:09","06:39","K","K   The Cong BD15 U20",
,"05:06:09","06:39","P","[9 : 7]   P   The Cong BD15 U20",
,"05:06:32","07:02","Pt Conf","Pt Conf   The Cong BD15 U20",
,"05:06:33","07:03","SRV","SRV   The Cong BD15 U20",
,"05:06:38","07:08","RS","RS   The Cong BD15 U20",
,"05:06:39","07:09","B POSS","B POSS   Vinh Long U20",
,"05:06:40","07:10","ERR","ERR   Vinh Long U20",
,"05:06:40","07:10","P","[9 : 8]   P   The Cong BD15 U20",
,"05:07:01","07:31","Pt Conf","Pt Conf   The Cong BD15 U20",
,"05:07:02","07:32","SRV","SRV   The Cong BD15 U20",
,"05:07:05","07:35","RS","RS   The Cong BD15 U20",
,"05:07:06","07:36","B POSS","B POSS   Vinh Long U20",
,"05:07:11","07:41","K","K   Vinh Long U20",
