"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886627","Belgium","Liga Heren (men)","07.10.2017 - 18:30","Volley Haasrode Leuven","Prefaxis Volley Menen",
"Statistics","Volley Haasrode Leuven","Type","Prefaxis Volley Menen",
,"3","Score","1",
,"98","Points","97",
,"3","Sets","1",
,"7","Aces","7",
,"8","Service errors","19",
,"50","Kills","59",
,"6","Blocks","13",
,"5","Errors","7",
,"5","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:56:11","00:00","Game conditions changed","Game conditions changed",
,"17:56:14","00:00","Players warming up","Players warming up",
,"18:14:53","00:00","Coin flipping","Coin flipping",
,"18:15:25","00:00","Warm up at the net","Warm up at the net",
,"18:27:01","00:00","Players lined up","Players lined up",
,"18:27:43","00:00","Jersey colours updated","Jersey colours updated",
,"18:27:43","00:00","Jersey colours updated","Jersey colours updated",
,"18:28:03","00:00","Shake hands","Shake hands",
,"18:29:34","00:00","Players intro","Players intro",
,"18:30:48","00:00","Game about to start","Game about to start",
,"18:31:35","00:00","Start SRV","Start SRV   Prefaxis Volley Menen",
,"18:31:39","00:00","Start SRV","Start SRV   Prefaxis Volley Menen",
,"18:31:40","00:00","Start 1st Set","Start 1st Set",
,"18:31:40","00:00","SRV","SRV   Prefaxis Volley Menen",
,"18:31:42","00:01","RS","RS   Prefaxis Volley Menen",
,"18:31:42","00:01","B POSS","B POSS   Volley Haasrode Leuven",
,"18:31:45","00:04","K","K   Volley Haasrode Leuven",
,"18:31:45","00:04","P","[1 : 0]   P   Volley Haasrode Leuven",
,"18:32:01","00:21","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"18:32:05","00:25","SRV","SRV   Volley Haasrode Leuven",
,"18:32:09","00:28","RS","RS   Volley Haasrode Leuven",
,"18:32:09","00:28","B POSS","B POSS   Prefaxis Volley Menen",
,"18:32:12","00:32","B POSS","B POSS   Volley Haasrode Leuven",
,"18:32:19","00:38","K","K   Prefaxis Volley Menen",
,"18:32:19","00:38","P","[1 : 1]   P   Prefaxis Volley Menen",
,"18:32:35","00:54","Pt Conf","Pt Conf   Prefaxis Volley Menen",
,"18:32:36","00:55","SRV","SRV   Prefaxis Volley Menen",
,"18:32:39","00:58","RS","RS   Prefaxis Volley Menen",
,"18:32:39","00:58","B POSS","B POSS   Volley Haasrode Leuven",
,"18:32:42","01:01","K","K   Volley Haasrode Leuven",
,"18:32:42","01:01","P","[2 : 1]   P   Volley Haasrode Leuven",
,"18:32:55","01:14","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"18:33:01","01:20","SRV","SRV   Volley Haasrode Leuven",
,"18:33:02","01:21","RS","RS   Volley Haasrode Leuven",
,"18:33:02","01:21","B POSS","B POSS   Prefaxis Volley Menen",
,"18:33:03","01:23","B POSS","B POSS   Volley Haasrode Leuven",
,"18:33:06","01:25","B POSS","B POSS   Prefaxis Volley Menen",
,"18:33:16","01:35","B POSS","B POSS   Volley Haasrode Leuven",
,"18:33:20","01:40","OUT","OUT   Prefaxis Volley Menen",
,"18:33:20","01:40","P","[3 : 1]   P   Volley Haasrode Leuven",
,"18:33:31","01:51","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"18:33:34","01:53","SRV","SRV   Volley Haasrode Leuven",
,"18:33:37","01:57","S ERR","S ERR   Volley Haasrode Leuven",
,"18:33:37","01:57","P","[3 : 2]   P   Prefaxis Volley Menen",
,"18:33:51","02:10","Pt Conf","Pt Conf   Prefaxis Volley Menen",
,"18:33:53","02:13","SRV","SRV   Prefaxis Volley Menen",
,"18:33:55","02:14","S ERR","S ERR   Prefaxis Volley Menen",
,"18:33:55","02:14","P","[4 : 2]   P   Volley Haasrode Leuven",
,"18:34:10","02:29","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"18:34:11","02:31","SRV","SRV   Volley Haasrode Leuven",
,"18:34:13","02:32","RS","RS   Volley Haasrode Leuven",
,"18:34:13","02:32","B POSS","B POSS   Prefaxis Volley Menen",
,"18:34:18","02:37","OUT","OUT   Prefaxis Volley Menen",
,"18:34:18","02:37","P","[5 : 2]   P   Volley Haasrode Leuven",
,"18:34:32","02:52","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"18:34:33","02:53","SRV","SRV   Volley Haasrode Leuven",
,"18:34:35","02:55","RS","RS   Volley Haasrode Leuven",
,"18:34:35","02:55","B POSS","B POSS   Prefaxis Volley Menen",
,"18:34:41","03:00","K","K   Prefaxis Volley Menen",
,"18:34:41","03:00","P","[5 : 3]   P   Prefaxis Volley Menen",
,"18:34:51","03:11","Pt Conf","Pt Conf   Prefaxis Volley Menen",
,"18:34:56","03:16","SRV","SRV   Prefaxis Volley Menen",
,"18:34:58","03:18","S ERR","S ERR   Prefaxis Volley Menen",
,"18:34:58","03:18","P","[6 : 3]   P   Volley Haasrode Leuven",
,"18:35:10","03:30","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"18:35:13","03:33","SRV","SRV   Volley Haasrode Leuven",
,"18:35:16","03:36","RS","RS   Volley Haasrode Leuven",
,"18:35:16","03:36","B POSS","B POSS   Prefaxis Volley Menen",
,"18:35:20","03:40","B POSS","B POSS   Volley Haasrode Leuven",
,"18:35:25","03:44","B POSS","B POSS   Prefaxis Volley Menen",
,"18:35:29","03:48","K","K   Prefaxis Volley Menen",
,"18:35:29","03:48","P","[6 : 4]   P   Prefaxis Volley Menen",
,"18:35:43","04:03","Pt Conf","Pt Conf   Prefaxis Volley Menen",
,"18:35:50","04:10","SRV","SRV   Prefaxis Volley Menen",
,"18:35:51","04:11","RS","RS   Prefaxis Volley Menen",
,"18:35:51","04:11","B POSS","B POSS   Volley Haasrode Leuven",
,"18:35:55","04:15","B","B   Prefaxis Volley Menen",
,"18:35:55","04:15","P","[6 : 5]   P   Prefaxis Volley Menen",
,"18:36:06","04:26","Pt Conf","Pt Conf   Prefaxis Volley Menen",
,"18:36:09","04:29","SRV","SRV   Prefaxis Volley Menen",
,"18:36:12","04:31","RS","RS   Prefaxis Volley Menen",
,"18:36:12","04:31","B POSS","B POSS   Volley Haasrode Leuven",
,"18:36:17","04:36","B","B   Prefaxis Volley Menen",
,"18:36:17","04:36","P","[6 : 6]   P   Prefaxis Volley Menen",
,"18:36:30","04:49","Pt Conf","Pt Conf   Prefaxis Volley Menen",
,"18:36:35","04:55","SRV","SRV   Prefaxis Volley Menen",
,"18:36:37","04:56","RS","RS   Prefaxis Volley Menen",
,"18:36:37","04:57","B POSS","B POSS   Volley Haasrode Leuven",
,"18:36:42","05:02","K","K   Volley Haasrode Leuven",
,"18:36:42","05:02","P","[7 : 6]   P   Volley Haasrode Leuven",
,"18:36:54","05:13","Pt Conf","Pt Conf   Volley Haasrode Leuven",
,"18:36:58","05:17","SRV","SRV   Volley Haasrode Leuven",
,"18:37:01","05:20","RS","RS   Volley Haasrode Leuven",
,"18:37:01","05:20","B POSS","B POSS   Prefaxis Volley Menen",
,"18:37:09","05:29","B POSS","B POSS   Volley Haasrode Leuven",
,"18:37:10","05:30","B POSS","B POSS   Prefaxis Volley Menen",
,"18:37:14","05:34","B","B   Volley Haasrode Leuven",
,"18:37:14","05:34","P","[8 : 6]   P   Volley Haasrode Leuven",
