"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"882602","Belgium","Liga Heren (men)","07.10.2017 - 18:30","Volley Roeselare","Axis Shanks Guibertin",
"Statistics","Volley Roeselare","Type","Axis Shanks Guibertin",
,"3","Score","0",
,"75","Points","61",
,"3","Sets","0",
,"2","Aces","2",
,"8","Service errors","11",
,"33","Kills","33",
,"12","Blocks","3",
,"4","Errors","4",
,"11","Outs","13",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"18:01:15","00:00","Game conditions changed","Game conditions changed",
,"18:01:16","00:00","Players warming up","Players warming up",
,"18:13:33","00:00","Coin flipping","Coin flipping",
,"18:14:23","00:00","Warm up at the net","Warm up at the net",
,"18:26:00","00:00","Game conditions changed","Game conditions changed",
,"18:26:29","00:00","Jersey colours updated","Jersey colours updated",
,"18:26:29","00:00","Jersey colours updated","Jersey colours updated",
,"18:26:38","00:00","Players lined up","Players lined up",
,"18:27:16","00:00","Prize giving ceremony","Prize giving ceremony",
,"18:27:34","00:00","Shake hands","Shake hands",
,"18:29:39","00:00","Players intro","Players intro",
,"18:32:08","00:00","Game about to start","Game about to start",
,"18:32:26","00:00","Start SRV","Start SRV   Axis Shanks Guibertin",
,"18:32:27","00:00","Start SRV","Start SRV   Axis Shanks Guibertin",
,"18:32:35","00:00","Start SRV","Start SRV   Axis Shanks Guibertin",
,"18:32:37","00:00","Start 1st Set","Start 1st Set",
,"18:32:37","00:00","SRV","SRV   Axis Shanks Guibertin",
,"18:32:39","00:01","S ERR","S ERR   Axis Shanks Guibertin",
,"18:32:39","00:01","P","[1 : 0]   P   Volley Roeselare",
,"18:32:52","00:15","Pt Conf","Pt Conf   Volley Roeselare",
,"18:32:57","00:19","SRV","SRV   Volley Roeselare",
,"18:32:59","00:22","RS","RS   Volley Roeselare",
,"18:32:59","00:22","B POSS","B POSS   Axis Shanks Guibertin",
,"18:33:03","00:25","K","K   Axis Shanks Guibertin",
,"18:33:03","00:25","P","[1 : 1]   P   Axis Shanks Guibertin",
,"18:33:20","00:42","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:33:23","00:45","SRV","SRV   Axis Shanks Guibertin",
,"18:33:25","00:48","RS","RS   Axis Shanks Guibertin",
,"18:33:25","00:48","B POSS","B POSS   Volley Roeselare",
