"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886698","Brazil","Campeonato Mineiro (men)","07.10.2017 - 23:00","Sada Cruzeiro Volei","Minas Tenis Clube",
"Statistics","Sada Cruzeiro Volei","Type","Minas Tenis Clube",
,"3","Score","1",
,"97","Points","77",
,"3","Sets","1",
,"5","Aces","3",
,"18","Service errors","21",
,"53","Kills","39",
,"7","Blocks","9",
,"2","Errors","3",
,"6","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"22:01:15","00:00","Game conditions changed","Game conditions changed",
,"22:04:59","00:00","Players warming up","Players warming up",
,"22:07:56","00:00","Jersey colours updated","Jersey colours updated",
,"22:07:57","00:00","Jersey colours updated","Jersey colours updated",
,"22:25:21","00:00","Game conditions changed","Game conditions changed",
,"22:40:25","00:00","Coin flipping","Coin flipping",
,"22:40:50","00:00","Players lined up","Players lined up",
,"22:41:32","00:00","National anthem singing","National anthem singing",
,"22:42:41","00:00","Game conditions changed","Game conditions changed",
,"22:44:58","00:00","Shake hands","Shake hands",
,"22:45:50","00:00","Warm up at the net","Warm up at the net",
,"22:57:29","00:00","Players intro","Players intro",
,"22:59:19","00:00","Game about to start","Game about to start",
,"23:00:39","00:00","Start SRV","Start SRV   Sada Cruzeiro Volei",
,"23:00:44","00:00","Start 1st Set","Start 1st Set",
,"23:00:45","00:00","SRV","SRV   Sada Cruzeiro Volei",
,"23:00:46","00:01","RS","RS   Sada Cruzeiro Volei",
,"23:00:47","00:02","B POSS","B POSS   Minas Tenis Clube",
,"23:00:51","00:06","K","K   Minas Tenis Clube",
,"23:00:51","00:06","P","[0 : 1]   P   Minas Tenis Clube",
,"23:01:02","00:18","Pt Conf","Pt Conf   Minas Tenis Clube",
,"23:01:13","00:28","SRV","SRV   Minas Tenis Clube",
,"23:01:15","00:31","RS","RS   Minas Tenis Clube",
,"23:01:16","00:31","B POSS","B POSS   Sada Cruzeiro Volei",
,"23:01:19","00:34","K","K   Sada Cruzeiro Volei",
