"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885817","Brazil","Campeonato Paulista (women) - Playoffs","07.10.2017 - 12:30","Osasco Volei Clube (women)","Volei Bauru (women)",
"Statistics","Osasco Volei Clube (women)","Type","Volei Bauru (women)",
,"3","Score","1",
,"94","Points","87",
,"3","Sets","1",
,"3","Aces","3",
,"11","Service errors","11",
,"58","Kills","50",
,"6","Blocks","11",
,"6","Errors","10",
,"3","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","3",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:58:40","00:00","Jersey colours updated","Jersey colours updated",
,"11:58:40","00:00","Jersey colours updated","Jersey colours updated",
,"11:58:42","00:00","Game conditions changed","Game conditions changed",
,"12:12:24","00:00","National anthem singing","National anthem singing",
,"12:15:25","00:00","Game conditions changed","Game conditions changed",
,"12:16:38","00:00","Warm up at the net","Warm up at the net",
,"12:29:19","00:00","Players intro","Players intro",
,"12:31:13","00:00","Game about to start","Game about to start",
,"12:31:26","00:00","Start SRV","Start SRV   Osasco Volei Clube (women)",
,"12:31:29","00:00","Start 1st Set","Start 1st Set",
,"12:31:30","00:01","SRV","SRV   Osasco Volei Clube (women)",
,"12:31:42","00:13","RS","RS   Osasco Volei Clube (women)",
,"12:31:43","00:13","B POSS","B POSS   Volei Bauru (women)",
,"12:31:45","00:15","K","K   Volei Bauru (women)",
,"12:31:45","00:15","P","[0 : 1]   P   Volei Bauru (women)",
,"12:31:46","00:16","Pt Conf","Pt Conf   Volei Bauru (women)",
,"12:31:55","00:26","SRV","SRV   Volei Bauru (women)",
,"12:31:58","00:28","RS","RS   Volei Bauru (women)",
,"12:31:58","00:28","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:31:59","00:29","K","K   Volei Bauru (women)",
,"12:31:59","00:29","P","[0 : 2]   P   Volei Bauru (women)",
,"12:32:03","00:34","Pt Conf","Pt Conf   Volei Bauru (women)",
,"12:32:12","00:42","Updating score","Updating score",
,"12:32:12","00:42","Statistic confirmation","Statistic confirmation",
,"12:32:12","00:43","Score updated","Score updated",
,"12:32:21","00:52","SRV","SRV   Volei Bauru (women)",
,"12:32:23","00:53","RS","RS   Volei Bauru (women)",
,"12:32:24","00:55","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:32:25","00:56","K","K   Osasco Volei Clube (women)",
,"12:32:25","00:56","P","[1 : 2]   P   Osasco Volei Clube (women)",
,"12:32:45","01:15","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"12:32:45","01:15","SRV","SRV   Osasco Volei Clube (women)",
,"12:32:46","01:17","RS","RS   Osasco Volei Clube (women)",
,"12:32:46","01:17","B POSS","B POSS   Volei Bauru (women)",
,"12:32:49","01:19","K","K   Volei Bauru (women)",
,"12:32:49","01:19","P","[1 : 3]   P   Volei Bauru (women)",
,"12:33:05","01:35","Pt Conf","Pt Conf   Volei Bauru (women)",
,"12:33:12","01:42","SRV","SRV   Volei Bauru (women)",
,"12:33:15","01:46","RS","RS   Volei Bauru (women)",
,"12:33:15","01:46","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:33:18","01:48","K","K   Osasco Volei Clube (women)",
,"12:33:18","01:48","P","[2 : 3]   P   Osasco Volei Clube (women)",
,"12:33:44","02:14","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"12:33:47","02:18","SRV","SRV   Osasco Volei Clube (women)",
,"12:33:49","02:20","RS","RS   Osasco Volei Clube (women)",
,"12:33:49","02:20","B POSS","B POSS   Volei Bauru (women)",
,"12:33:57","02:28","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:33:58","02:29","OUT","OUT   Osasco Volei Clube (women)",
,"12:33:58","02:29","P","[2 : 4]   P   Volei Bauru (women)",
,"12:34:11","02:42","Pt Conf","Pt Conf   Volei Bauru (women)",
,"12:34:17","02:48","SRV","SRV   Volei Bauru (women)",
,"12:34:19","02:50","RS","RS   Volei Bauru (women)",
,"12:34:20","02:51","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:34:24","02:55","B POSS","B POSS   Volei Bauru (women)",
,"12:34:27","02:58","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:34:31","03:01","B POSS","B POSS   Volei Bauru (women)",
,"12:34:35","03:06","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:34:47","03:17","B POSS","B POSS   Volei Bauru (women)",
,"12:34:47","03:17","Rally over 5 possession changes","Rally over 5 possession changes",
,"12:34:51","03:22","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:34:55","03:25","K","K   Osasco Volei Clube (women)",
,"12:34:55","03:25","P","[3 : 4]   P   Osasco Volei Clube (women)",
,"12:35:17","03:48","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"12:35:24","03:55","SRV","SRV   Osasco Volei Clube (women)",
,"12:35:26","03:56","S ERR","S ERR   Osasco Volei Clube (women)",
,"12:35:26","03:56","P","[3 : 5]   P   Volei Bauru (women)",
,"12:35:41","04:12","Pt Conf","Pt Conf   Volei Bauru (women)",
,"12:35:46","04:17","SRV","SRV   Volei Bauru (women)",
,"12:35:49","04:19","RS","RS   Volei Bauru (women)",
,"12:35:49","04:20","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:36:05","04:35","K","K   Osasco Volei Clube (women)",
,"12:36:05","04:35","P","[4 : 5]   P   Osasco Volei Clube (women)",
,"12:36:11","04:41","Correct statistics","Correct statistics   (K Osasco Volei Clube (women) <=> ERR Volei Bauru (women))",
,"12:36:11","04:41","ERR","ERR   Volei Bauru (women)",
,"12:36:12","04:42","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"12:36:16","04:47","SRV","SRV   Osasco Volei Clube (women)",
,"12:36:18","04:49","RS","RS   Osasco Volei Clube (women)",
,"12:36:19","04:50","B POSS","B POSS   Volei Bauru (women)",
,"12:36:22","04:52","B","B   Osasco Volei Clube (women)",
,"12:36:22","04:52","P","[5 : 5]   P   Osasco Volei Clube (women)",
,"12:36:38","05:09","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"12:36:42","05:13","SRV","SRV   Osasco Volei Clube (women)",
,"12:36:44","05:15","RS","RS   Osasco Volei Clube (women)",
,"12:36:45","05:16","B POSS","B POSS   Volei Bauru (women)",
,"12:36:48","05:19","K","K   Volei Bauru (women)",
,"12:36:48","05:19","P","[5 : 6]   P   Volei Bauru (women)",
,"12:37:04","05:34","Pt Conf","Pt Conf   Volei Bauru (women)",
,"12:37:08","05:39","SRV","SRV   Volei Bauru (women)",
,"12:37:10","05:40","RS","RS   Volei Bauru (women)",
,"12:37:11","05:41","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:37:14","05:45","K","K   Osasco Volei Clube (women)",
,"12:37:14","05:45","P","[6 : 6]   P   Osasco Volei Clube (women)",
,"12:37:31","06:02","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"12:37:35","06:06","SRV","SRV   Osasco Volei Clube (women)",
,"12:37:37","06:07","RS","RS   Osasco Volei Clube (women)",
,"12:37:38","06:09","B POSS","B POSS   Volei Bauru (women)",
,"12:37:40","06:10","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:37:43","06:14","K","K   Osasco Volei Clube (women)",
,"12:37:43","06:14","P","[7 : 6]   P   Osasco Volei Clube (women)",
,"12:37:58","06:29","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"12:38:01","06:32","SRV","SRV   Osasco Volei Clube (women)",
,"12:38:03","06:34","RS","RS   Osasco Volei Clube (women)",
,"12:38:08","06:39","B POSS","B POSS   Volei Bauru (women)",
,"12:38:08","06:39","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:38:16","06:47","B POSS","B POSS   Volei Bauru (women)",
,"12:38:21","06:51","ERR","ERR   Volei Bauru (women)",
,"12:38:21","06:51","P","[8 : 6]   P   Osasco Volei Clube (women)",
,"12:38:40","07:10","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"12:38:42","07:13","SRV","SRV   Osasco Volei Clube (women)",
,"12:38:44","07:15","A","A   Osasco Volei Clube (women)",
,"12:38:44","07:15","P","[9 : 6]   P   Osasco Volei Clube (women)",
,"12:38:58","07:28","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"12:39:03","07:33","SRV","SRV   Osasco Volei Clube (women)",
,"12:39:04","07:35","S ERR","S ERR   Osasco Volei Clube (women)",
,"12:39:04","07:35","P","[9 : 7]   P   Volei Bauru (women)",
,"12:39:22","07:53","Pt Conf","Pt Conf   Volei Bauru (women)",
,"12:39:26","07:57","SRV","SRV   Volei Bauru (women)",
,"12:39:28","07:59","RS","RS   Volei Bauru (women)",
,"12:39:28","07:59","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:39:30","08:01","K","K   Osasco Volei Clube (women)",
,"12:39:30","08:01","P","[10 : 7]   P   Osasco Volei Clube (women)",
,"12:39:48","08:19","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"12:39:50","08:20","SRV","SRV   Osasco Volei Clube (women)",
,"12:39:53","08:23","RS","RS   Osasco Volei Clube (women)",
,"12:39:56","08:27","B POSS","B POSS   Volei Bauru (women)",
,"12:39:56","08:27","ERR","ERR   Volei Bauru (women)",
,"12:39:56","08:27","P","[11 : 7]   P   Osasco Volei Clube (women)",
,"12:40:14","08:45","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"12:40:17","08:48","SRV","SRV   Osasco Volei Clube (women)",
,"12:40:20","08:51","RS","RS   Osasco Volei Clube (women)",
,"12:40:22","08:52","B POSS","B POSS   Volei Bauru (women)",
,"12:40:23","08:54","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:40:26","08:57","B POSS","B POSS   Volei Bauru (women)",
,"12:40:30","09:01","ERR","ERR   Volei Bauru (women)",
,"12:40:30","09:01","P","[12 : 7]   P   Osasco Volei Clube (women)",
,"12:40:51","09:22","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"12:40:53","09:23","TIME","TIME",
,"12:40:54","09:25","TIME","TIME   Volei Bauru (women)",
,"12:41:59","10:29","SRV","SRV   Osasco Volei Clube (women)",
,"12:42:00","10:30","RS","RS   Osasco Volei Clube (women)",
,"12:42:00","10:30","B POSS","B POSS   Volei Bauru (women)",
,"12:42:02","10:32","B POSS","B POSS   Osasco Volei Clube (women)",
,"12:42:06","10:36","B POSS","B POSS   Volei Bauru (women)",
,"12:42:12","10:43","K","K   Volei Bauru (women)",
