"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886439","Europe","Baltic League (men)","07.10.2017 - 16:00","Selver Tallinn","Bigbank Tartu",
"Statistics","Selver Tallinn","Type","Bigbank Tartu",
,"0","Score","3",
,"63","Points","75",
,"0","Sets","3",
,"5","Aces","11",
,"10","Service errors","12",
,"31","Kills","43",
,"5","Blocks","3",
,"3","Errors","6",
,"5","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:18:19","00:00","Game conditions changed","Game conditions changed",
,"15:18:21","00:00","Players warming up","Players warming up",
,"15:43:16","00:00","Game conditions changed","Game conditions changed",
,"15:44:46","00:00","Jersey colours updated","Jersey colours updated",
,"15:44:46","00:00","Jersey colours updated","Jersey colours updated",
,"15:44:47","00:00","Coin flipping","Coin flipping",
,"15:45:31","00:00","Warm up at the net","Warm up at the net",
,"15:52:26","00:00","Game conditions changed","Game conditions changed",
,"15:56:20","00:00","Players lined up","Players lined up",
,"15:56:57","00:00","Shake hands","Shake hands",
,"15:57:25","00:00","Players intro","Players intro",
,"15:59:40","00:00","Game about to start","Game about to start",
,"16:00:12","00:00","Start SRV","Start SRV   Selver Tallinn",
,"16:00:22","00:00","Start 1st Set","Start 1st Set",
,"16:00:22","00:00","SRV","SRV   Selver Tallinn",
,"16:00:28","00:05","RS","RS   Selver Tallinn",
,"16:00:29","00:06","B POSS","B POSS   Bigbank Tartu",
,"16:00:30","00:07","B POSS","B POSS   Selver Tallinn",
,"16:00:34","00:11","B POSS","B POSS   Bigbank Tartu",
,"16:00:38","00:15","K","K   Bigbank Tartu",
,"16:00:38","00:15","P","[0 : 1]   P   Bigbank Tartu",
,"16:00:45","00:22","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:00:55","00:32","SRV","SRV   Bigbank Tartu",
,"16:01:02","00:40","RS","RS   Bigbank Tartu",
,"16:01:03","00:40","B POSS","B POSS   Selver Tallinn",
,"16:01:06","00:43","B POSS","B POSS   Bigbank Tartu",
,"16:01:14","00:51","K","K   Selver Tallinn",
,"16:01:14","00:51","P","[1 : 1]   P   Selver Tallinn",
,"16:01:22","00:59","Pt Conf","Pt Conf   Selver Tallinn",
,"16:01:41","01:18","SRV","SRV   Selver Tallinn",
,"16:01:45","01:23","RS","RS   Selver Tallinn",
,"16:01:46","01:23","B POSS","B POSS   Bigbank Tartu",
,"16:01:51","01:28","OUT","OUT   Bigbank Tartu",
,"16:01:51","01:28","P","[2 : 1]   P   Selver Tallinn",
,"16:01:54","01:32","Pt Conf","Pt Conf   Selver Tallinn",
,"16:02:04","01:42","SRV","SRV   Selver Tallinn",
,"16:02:11","01:49","RS","RS   Selver Tallinn",
,"16:02:12","01:49","B POSS","B POSS   Bigbank Tartu",
,"16:02:16","01:53","ERR","ERR   Selver Tallinn",
,"16:02:16","01:53","P","[2 : 2]   P   Bigbank Tartu",
,"16:02:24","02:01","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:02:31","02:08","SRV","SRV   Bigbank Tartu",
,"16:02:39","02:16","RS","RS   Bigbank Tartu",
,"16:02:40","02:17","B POSS","B POSS   Selver Tallinn",
,"16:02:42","02:19","K","K   Selver Tallinn",
,"16:02:42","02:19","P","[3 : 2]   P   Selver Tallinn",
,"16:02:48","02:25","Pt Conf","Pt Conf   Selver Tallinn",
,"16:02:58","02:35","SRV","SRV   Selver Tallinn",
,"16:03:07","02:45","RS","RS   Selver Tallinn",
,"16:03:08","02:45","B POSS","B POSS   Bigbank Tartu",
,"16:03:09","02:47","B POSS","B POSS   Selver Tallinn",
,"16:03:13","02:51","B POSS","B POSS   Bigbank Tartu",
,"16:03:26","03:04","OUT","OUT   Selver Tallinn",
,"16:03:26","03:04","P","[3 : 3]   P   Bigbank Tartu",
,"16:03:29","03:07","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:03:33","03:11","SRV","SRV   Bigbank Tartu",
,"16:03:38","03:15","RS","RS   Bigbank Tartu",
,"16:03:39","03:16","B POSS","B POSS   Selver Tallinn",
,"16:03:49","03:26","B POSS","B POSS   Bigbank Tartu",
,"16:03:51","03:29","B POSS","B POSS   Selver Tallinn",
,"16:03:56","03:33","K","K   Bigbank Tartu",
,"16:03:56","03:33","P","[3 : 4]   P   Bigbank Tartu",
,"16:04:04","03:42","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:04:13","03:50","SRV","SRV   Bigbank Tartu",
,"16:04:20","03:58","RS","RS   Bigbank Tartu",
,"16:04:21","03:58","B POSS","B POSS   Selver Tallinn",
,"16:04:21","03:59","B POSS","B POSS   Bigbank Tartu",
,"16:04:26","04:03","K","K   Bigbank Tartu",
,"16:04:26","04:03","P","[3 : 5]   P   Bigbank Tartu",
,"16:04:31","04:08","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:04:40","04:17","TIME","TIME",
,"16:04:42","04:20","TIME","TIME   Selver Tallinn",
,"16:05:28","05:05","SRV","SRV   Bigbank Tartu",
,"16:05:32","05:09","RS","RS   Bigbank Tartu",
,"16:05:33","05:10","B POSS","B POSS   Selver Tallinn",
,"16:05:35","05:12","K","K   Selver Tallinn",
,"16:05:35","05:12","P","[4 : 5]   P   Selver Tallinn",
,"16:05:42","05:20","Pt Conf","Pt Conf   Selver Tallinn",
,"16:05:55","05:32","SRV","SRV   Selver Tallinn",
,"16:06:06","05:43","RS","RS   Selver Tallinn",
,"16:06:06","05:44","B POSS","B POSS   Bigbank Tartu",
,"16:06:11","05:48","B","B   Selver Tallinn",
,"16:06:11","05:48","P","[5 : 5]   P   Selver Tallinn",
,"16:06:16","05:54","Pt Conf","Pt Conf   Selver Tallinn",
,"16:06:27","06:04","SRV","SRV   Selver Tallinn",
,"16:06:38","06:15","RS","RS   Selver Tallinn",
,"16:06:38","06:16","B POSS","B POSS   Bigbank Tartu",
,"16:06:41","06:19","K","K   Bigbank Tartu",
,"16:06:41","06:19","P","[5 : 6]   P   Bigbank Tartu",
,"16:06:46","06:24","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:06:55","06:32","SRV","SRV   Bigbank Tartu",
,"16:07:06","06:44","RS","RS   Bigbank Tartu",
,"16:07:07","06:44","B POSS","B POSS   Selver Tallinn",
,"16:07:10","06:47","B POSS","B POSS   Bigbank Tartu",
,"16:07:13","06:51","K","K   Bigbank Tartu",
,"16:07:13","06:51","P","[5 : 7]   P   Bigbank Tartu",
,"16:07:18","06:56","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:07:32","07:09","SRV","SRV   Bigbank Tartu",
,"16:07:44","07:21","A","A   Bigbank Tartu",
,"16:07:44","07:21","P","[5 : 8]   P   Bigbank Tartu",
,"16:07:48","07:25","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:07:49","07:26","TIME","TIME",
,"16:07:50","07:27","TTO","TTO",
,"16:09:02","08:40","SRV","SRV   Bigbank Tartu",
,"16:09:13","08:50","RS","RS   Bigbank Tartu",
,"16:09:13","08:50","B POSS","B POSS   Selver Tallinn",
,"16:09:17","08:54","K","K   Selver Tallinn",
,"16:09:17","08:54","P","[6 : 8]   P   Selver Tallinn",
,"16:09:23","09:00","Pt Conf","Pt Conf   Selver Tallinn",
,"16:09:33","09:11","SRV","SRV   Selver Tallinn",
,"16:09:41","09:18","RS","RS   Selver Tallinn",
,"16:09:41","09:18","B POSS","B POSS   Bigbank Tartu",
,"16:09:43","09:21","K","K   Bigbank Tartu",
,"16:09:43","09:21","P","[6 : 9]   P   Bigbank Tartu",
,"16:09:47","09:25","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:09:57","09:34","SRV","SRV   Bigbank Tartu",
,"16:10:08","09:46","A","A   Bigbank Tartu",
,"16:10:08","09:46","P","[6 : 10]   P   Bigbank Tartu",
,"16:10:14","09:52","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:10:22","09:59","SRV","SRV   Bigbank Tartu",
,"16:10:34","10:11","A","A   Bigbank Tartu",
,"16:10:34","10:11","P","[6 : 11]   P   Bigbank Tartu",
,"16:10:37","10:14","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:10:47","10:24","SRV","SRV   Bigbank Tartu",
,"16:10:58","10:35","RS","RS   Bigbank Tartu",
,"16:10:58","10:36","B POSS","B POSS   Selver Tallinn",
,"16:11:00","10:37","B POSS","B POSS   Bigbank Tartu",
,"16:11:07","10:45","K","K   Selver Tallinn",
,"16:11:07","10:45","P","[7 : 11]   P   Selver Tallinn",
,"16:11:14","10:52","Pt Conf","Pt Conf   Selver Tallinn",
,"16:11:23","11:01","SRV","SRV   Selver Tallinn",
,"16:11:34","11:12","S ERR","S ERR   Selver Tallinn",
,"16:11:34","11:12","P","[7 : 12]   P   Bigbank Tartu",
,"16:11:39","11:17","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:11:46","11:24","SRV","SRV   Bigbank Tartu",
,"16:11:54","11:31","S ERR","S ERR   Bigbank Tartu",
,"16:11:54","11:31","P","[8 : 12]   P   Selver Tallinn",
,"16:11:59","11:36","Pt Conf","Pt Conf   Selver Tallinn",
,"16:12:09","11:46","SRV","SRV   Selver Tallinn",
,"16:12:14","11:51","RS","RS   Selver Tallinn",
,"16:12:15","11:52","B POSS","B POSS   Bigbank Tartu",
,"16:12:19","11:56","K","K   Bigbank Tartu",
,"16:12:19","11:56","P","[8 : 13]   P   Bigbank Tartu",
,"16:12:26","12:04","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:12:35","12:12","SRV","SRV   Bigbank Tartu",
,"16:12:44","12:21","RS","RS   Bigbank Tartu",
,"16:12:44","12:22","B POSS","B POSS   Selver Tallinn",
,"16:12:50","12:27","ERR","ERR   Bigbank Tartu",
,"16:12:50","12:27","P","[9 : 13]   P   Selver Tallinn",
,"16:13:02","12:39","Pt Conf","Pt Conf   Selver Tallinn",
,"16:13:11","12:49","SRV","SRV   Selver Tallinn",
,"16:13:15","12:52","RS","RS   Selver Tallinn",
,"16:13:15","12:53","B POSS","B POSS   Bigbank Tartu",
,"16:13:18","12:55","K","K   Bigbank Tartu",
,"16:13:18","12:55","P","[9 : 14]   P   Bigbank Tartu",
,"16:13:24","13:01","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:13:34","13:12","SRV","SRV   Bigbank Tartu",
,"16:13:43","13:21","RS","RS   Bigbank Tartu",
,"16:13:44","13:21","B POSS","B POSS   Selver Tallinn",
,"16:13:47","13:24","OUT","OUT   Selver Tallinn",
,"16:13:47","13:24","P","[9 : 15]   P   Bigbank Tartu",
,"16:13:52","13:30","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:14:02","13:39","SRV","SRV   Bigbank Tartu",
,"16:14:10","13:47","RS","RS   Bigbank Tartu",
,"16:14:10","13:48","B POSS","B POSS   Selver Tallinn",
,"16:14:15","13:52","K","K   Selver Tallinn",
,"16:14:15","13:52","P","[10 : 15]   P   Selver Tallinn",
,"16:14:19","13:57","Pt Conf","Pt Conf   Selver Tallinn",
,"16:14:32","14:10","SRV","SRV   Selver Tallinn",
,"16:14:41","14:18","S ERR","S ERR   Selver Tallinn",
,"16:14:41","14:18","P","[10 : 16]   P   Bigbank Tartu",
,"16:14:43","14:20","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:14:44","14:21","TIME","TIME",
,"16:14:45","14:22","TTO","TTO",
,"16:15:57","15:34","SRV","SRV   Bigbank Tartu",
,"16:16:02","15:39","RS","RS   Bigbank Tartu",
,"16:16:02","15:40","B POSS","B POSS   Selver Tallinn",
,"16:16:07","15:45","OUT","OUT   Selver Tallinn",
,"16:16:07","15:45","P","[10 : 17]   P   Bigbank Tartu",
,"16:16:12","15:50","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:16:18","15:55","SRV","SRV   Bigbank Tartu",
,"16:16:25","16:02","S ERR","S ERR   Bigbank Tartu",
,"16:16:25","16:02","P","[11 : 17]   P   Selver Tallinn",
,"16:16:30","16:08","Pt Conf","Pt Conf   Selver Tallinn",
,"16:16:39","16:16","SRV","SRV   Selver Tallinn",
,"16:16:48","16:25","S ERR","S ERR   Selver Tallinn",
,"16:16:48","16:25","P","[11 : 18]   P   Bigbank Tartu",
,"16:16:52","16:30","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:17:02","16:39","SRV","SRV   Bigbank Tartu",
,"16:17:13","16:50","A","A   Bigbank Tartu",
,"16:17:13","16:50","P","[11 : 19]   P   Bigbank Tartu",
,"16:17:20","16:58","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:17:29","17:07","SRV","SRV   Bigbank Tartu",
,"16:17:41","17:19","S ERR","S ERR   Bigbank Tartu",
,"16:17:41","17:19","P","[12 : 19]   P   Selver Tallinn",
,"16:17:44","17:21","Pt Conf","Pt Conf   Selver Tallinn",
,"16:17:54","17:31","SRV","SRV   Selver Tallinn",
,"16:18:02","17:40","RS","RS   Selver Tallinn",
,"16:18:03","17:41","B POSS","B POSS   Bigbank Tartu",
,"16:18:11","17:48","B POSS","B POSS   Selver Tallinn",
,"16:18:18","17:55","B","B   Selver Tallinn",
,"16:18:18","17:55","P","[13 : 19]   P   Selver Tallinn",
,"16:18:24","18:01","Pt Conf","Pt Conf   Selver Tallinn",
,"16:18:35","18:12","SRV","SRV   Selver Tallinn",
,"16:18:43","18:20","RS","RS   Selver Tallinn",
,"16:18:43","18:21","B POSS","B POSS   Bigbank Tartu",
,"16:18:49","18:26","B POSS","B POSS   Selver Tallinn",
,"16:18:54","18:31","K","K   Selver Tallinn",
,"16:18:54","18:31","P","[14 : 19]   P   Selver Tallinn",
,"16:19:01","18:38","Pt Conf","Pt Conf   Selver Tallinn",
,"16:19:09","18:46","TIME","TIME",
,"16:19:11","18:49","TIME","TIME   Bigbank Tartu",
,"16:19:52","19:29","SRV","SRV   Selver Tallinn",
,"16:20:00","19:37","RS","RS   Selver Tallinn",
,"16:20:00","19:38","B POSS","B POSS   Bigbank Tartu",
,"16:20:04","19:41","B POSS","B POSS   Selver Tallinn",
,"16:20:07","19:45","B POSS","B POSS   Bigbank Tartu",
,"16:20:10","19:47","K","K   Bigbank Tartu",
,"16:20:10","19:47","P","[14 : 20]   P   Bigbank Tartu",
,"16:20:17","19:54","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:20:25","20:03","SRV","SRV   Bigbank Tartu",
,"16:20:35","20:13","RS","RS   Bigbank Tartu",
,"16:20:35","20:13","B POSS","B POSS   Selver Tallinn",
,"16:20:37","20:15","B POSS","B POSS   Bigbank Tartu",
,"16:20:40","20:17","B POSS","B POSS   Selver Tallinn",
,"16:20:44","20:21","K","K   Selver Tallinn",
,"16:20:44","20:21","P","[15 : 20]   P   Selver Tallinn",
,"16:20:52","20:29","Pt Conf","Pt Conf   Selver Tallinn",
,"16:21:01","20:38","SRV","SRV   Selver Tallinn",
,"16:21:05","20:43","RS","RS   Selver Tallinn",
,"16:21:06","20:43","B POSS","B POSS   Bigbank Tartu",
,"16:21:11","20:48","K","K   Bigbank Tartu",
,"16:21:11","20:48","P","[15 : 21]   P   Bigbank Tartu",
,"16:21:16","20:53","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:21:26","21:03","SRV","SRV   Bigbank Tartu",
,"16:21:33","21:10","RS","RS   Bigbank Tartu",
,"16:21:34","21:11","B POSS","B POSS   Selver Tallinn",
,"16:21:41","21:19","K","K   Bigbank Tartu",
,"16:21:41","21:19","P","[15 : 22]   P   Bigbank Tartu",
,"16:21:48","21:26","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:21:56","21:34","SRV","SRV   Bigbank Tartu",
,"16:22:02","21:39","S ERR","S ERR   Bigbank Tartu",
,"16:22:02","21:39","P","[16 : 22]   P   Selver Tallinn",
,"16:22:05","21:42","Pt Conf","Pt Conf   Selver Tallinn",
,"16:22:21","21:58","SRV","SRV   Selver Tallinn",
,"16:22:27","22:05","RS","RS   Selver Tallinn",
,"16:22:29","22:06","B POSS","B POSS   Bigbank Tartu",
,"16:22:30","22:08","K","K   Bigbank Tartu",
,"16:22:30","22:08","P","[16 : 23]   P   Bigbank Tartu",
,"16:22:35","22:12","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:22:54","22:31","SRV","SRV   Bigbank Tartu",
,"16:23:02","22:40","RS","RS   Bigbank Tartu",
,"16:23:03","22:40","B POSS","B POSS   Selver Tallinn",
,"16:23:10","22:48","B POSS","B POSS   Bigbank Tartu",
,"16:23:14","22:52","OUT","OUT   Bigbank Tartu",
,"16:23:14","22:52","P","[17 : 23]   P   Selver Tallinn",
,"16:23:19","22:56","Pt Conf","Pt Conf   Selver Tallinn",
,"16:23:34","23:11","SRV","SRV   Selver Tallinn",
,"16:23:41","23:18","RS","RS   Selver Tallinn",
,"16:23:41","23:19","B POSS","B POSS   Bigbank Tartu",
,"16:23:43","23:20","K","K   Bigbank Tartu",
,"16:23:43","23:20","P","[17 : 24]   P   Bigbank Tartu",
,"16:23:48","23:25","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:24:08","23:45","SRV","SRV   Bigbank Tartu",
,"16:24:17","23:54","RS","RS   Bigbank Tartu",
,"16:24:18","23:55","B POSS","B POSS   Selver Tallinn",
,"16:24:33","24:10","B","B   Selver Tallinn",
,"16:24:33","24:10","P","[18 : 24]   P   Selver Tallinn",
,"16:24:37","24:14","Correct statistics","Correct statistics   (B Selver Tallinn <=> ERR Bigbank Tartu)",
,"16:24:37","24:14","ERR","ERR   Bigbank Tartu",
,"16:24:47","24:24","Pt Conf","Pt Conf   Selver Tallinn",
,"16:24:52","24:29","SRV","SRV   Selver Tallinn",
,"16:24:56","24:34","RS","RS   Selver Tallinn",
,"16:24:57","24:34","B POSS","B POSS   Bigbank Tartu",
,"16:25:00","24:37","K","K   Bigbank Tartu",
,"16:25:00","24:37","P","[18 : 25]   P   Bigbank Tartu",
,"16:25:04","24:41","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:25:07","24:45","S","S   Bigbank Tartu",
,"16:25:07","24:45","Stop Set","Stop Set",
,"16:25:23","25:00","Score of last period confirmed","Score of last period confirmed",
,"16:27:47","27:24","Start SRV","Start SRV   Bigbank Tartu",
,"16:27:53","27:30","Game about to start","Game about to start",
,"16:28:30","28:07","Start 2nd Set","Start 2nd Set",
,"16:28:31","28:08","SRV","SRV   Bigbank Tartu",
,"16:28:37","28:14","RS","RS   Bigbank Tartu",
,"16:28:37","28:15","B POSS","B POSS   Selver Tallinn",
,"16:28:40","28:18","K","K   Selver Tallinn",
,"16:28:40","28:18","P","[1 : 0]   P   Selver Tallinn",
,"16:28:47","28:25","Pt Conf","Pt Conf   Selver Tallinn",
,"16:28:56","28:33","SRV","SRV   Selver Tallinn",
,"16:29:00","28:37","RS","RS   Selver Tallinn",
,"16:29:01","28:38","B POSS","B POSS   Bigbank Tartu",
,"16:29:06","28:43","K","K   Bigbank Tartu",
,"16:29:06","28:43","P","[1 : 1]   P   Bigbank Tartu",
,"16:29:10","28:47","Pt Conf","Pt Conf   Bigbank Tartu",
,"16:29:20","28:57","SRV","SRV   Bigbank Tartu",
,"16:29:30","29:07","RS","RS   Bigbank Tartu",
,"16:29:30","29:07","B POSS","B POSS   Selver Tallinn",
,"16:29:34","29:11","K","K   Selver Tallinn",
,"16:29:34","29:11","P","[2 : 1]   P   Selver Tallinn",
,"16:29:40","29:17","Pt Conf","Pt Conf   Selver Tallinn",
,"16:29:50","29:27","SRV","SRV   Selver Tallinn",
,"16:30:00","29:37","S ERR","S ERR   Selver Tallinn",
