"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887338","France","Super Coupe Masculine","07.10.2017 - 18:00","Chaumont 52 Haute Marne","GFCOA Ajaccio",
"Statistics","Chaumont 52 Haute Marne","Type","GFCOA Ajaccio",
,"2","Score","1",
,"66","Points","61",
,"2","Sets","1",
,"6","Aces","1",
,"10","Service errors","10",
,"33","Kills","34",
,"13","Blocks","7",
,"3","Errors","1",
,"5","Outs","2",
,"0","Penalty Points","0",
,"1","Points (unknown method)","1",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"18:43:20","00:00","Players warming up","Players warming up",
,"18:45:11","00:00","Warm up at the net","Warm up at the net",
,"18:48:36","00:00","Jersey colours updated","Jersey colours updated",
,"18:48:36","00:00","Jersey colours updated","Jersey colours updated",
,"18:49:45","00:00","Players intro","Players intro",
,"18:49:47","00:00","Game conditions changed","Game conditions changed",
,"18:49:49","00:00","Players lined up","Players lined up",
,"18:50:43","00:00","Jersey colours updated","Jersey colours updated",
,"18:52:29","00:00","Shake hands","Shake hands",
,"18:55:11","00:00","Game about to start","Game about to start",
,"18:56:33","00:00","Start SRV","Start SRV   GFCOA Ajaccio",
,"18:56:34","00:00","Start 1st Set","Start 1st Set",
,"18:56:46","00:11","Updating score","Updating score",
,"18:57:01","00:26","Danger","Danger",
,"18:57:01","00:26","Scout offline","Scout offline",
,"18:57:01","00:26","K","K   Chaumont 52 Haute Marne",
,"18:57:01","00:26","P","[1 : 0]   P   Chaumont 52 Haute Marne",
,"18:57:01","00:26","K","K   Chaumont 52 Haute Marne",
,"18:57:01","00:26","P","[2 : 0]   P   Chaumont 52 Haute Marne",
,"18:57:01","00:26","Score updated","Score updated",
,"18:57:07","00:32","SRV","SRV   Chaumont 52 Haute Marne",
,"18:57:08","00:33","S ERR","S ERR   Chaumont 52 Haute Marne",
,"18:57:08","00:33","P","[2 : 1]   P   GFCOA Ajaccio",
,"18:57:21","00:47","Pt Conf","Pt Conf   GFCOA Ajaccio",
,"18:57:24","00:49","SRV","SRV   GFCOA Ajaccio",
,"18:57:25","00:50","RS","RS   GFCOA Ajaccio",
,"18:57:25","00:50","B POSS","B POSS   Chaumont 52 Haute Marne",
,"18:57:29","00:54","K","K   Chaumont 52 Haute Marne",
,"18:57:29","00:54","P","[3 : 1]   P   Chaumont 52 Haute Marne",
,"18:57:51","01:16","Pt Conf","Pt Conf   Chaumont 52 Haute Marne",
,"18:57:53","01:18","SRV","SRV   Chaumont 52 Haute Marne",
,"18:57:54","01:19","RS","RS   Chaumont 52 Haute Marne",
,"18:57:54","01:19","B POSS","B POSS   GFCOA Ajaccio",
,"18:58:01","01:26","K","K   GFCOA Ajaccio",
,"18:58:01","01:26","P","[3 : 2]   P   GFCOA Ajaccio",
,"18:58:18","01:43","Pt Conf","Pt Conf   GFCOA Ajaccio",
,"18:58:20","01:45","SRV","SRV   GFCOA Ajaccio",
,"18:58:23","01:48","RS","RS   GFCOA Ajaccio",
,"18:58:23","01:48","B POSS","B POSS   Chaumont 52 Haute Marne",
,"18:58:29","01:55","B POSS","B POSS   GFCOA Ajaccio",
,"18:58:32","01:57","K","K   GFCOA Ajaccio",
,"18:58:32","01:57","P","[3 : 3]   P   GFCOA Ajaccio",
,"18:58:57","02:22","Pt Conf","Pt Conf   GFCOA Ajaccio",
,"18:58:59","02:25","SRV","SRV   GFCOA Ajaccio",
,"18:59:01","02:26","RS","RS   GFCOA Ajaccio",
,"18:59:01","02:27","B POSS","B POSS   Chaumont 52 Haute Marne",
,"18:59:09","02:34","OUT","OUT   Chaumont 52 Haute Marne",
,"18:59:09","02:34","P","[3 : 4]   P   GFCOA Ajaccio",
,"18:59:35","03:01","Pt Conf","Pt Conf   GFCOA Ajaccio",
,"18:59:37","03:02","SRV","SRV   GFCOA Ajaccio",
,"18:59:39","03:05","S ERR","S ERR   GFCOA Ajaccio",
,"18:59:39","03:05","P","[4 : 4]   P   Chaumont 52 Haute Marne",
,"18:59:57","03:22","Pt Conf","Pt Conf   Chaumont 52 Haute Marne",
,"18:59:58","03:23","SRV","SRV   Chaumont 52 Haute Marne",
,"19:00:00","03:25","RS","RS   Chaumont 52 Haute Marne",
,"19:00:00","03:25","B POSS","B POSS   GFCOA Ajaccio",
,"19:00:03","03:28","K","K   GFCOA Ajaccio",
,"19:00:03","03:28","P","[4 : 5]   P   GFCOA Ajaccio",
,"19:00:28","03:53","Pt Conf","Pt Conf   GFCOA Ajaccio",
,"19:00:29","03:54","SRV","SRV   GFCOA Ajaccio",
,"19:00:31","03:56","RS","RS   GFCOA Ajaccio",
,"19:00:31","03:56","B POSS","B POSS   Chaumont 52 Haute Marne",
,"19:00:39","04:04","B POSS","B POSS   GFCOA Ajaccio",
,"19:00:43","04:08","B POSS","B POSS   Chaumont 52 Haute Marne",
,"19:00:50","04:15","B POSS","B POSS   GFCOA Ajaccio",
,"19:00:50","04:16","B POSS","B POSS   Chaumont 52 Haute Marne",
,"19:01:06","04:31","ERR","ERR   Chaumont 52 Haute Marne",
,"19:01:06","04:31","P","[4 : 6]   P   GFCOA Ajaccio",
,"19:02:06","05:31","Pt Conf","Pt Conf   GFCOA Ajaccio",
,"19:02:08","05:33","SRV","SRV   GFCOA Ajaccio",
,"19:02:10","05:35","S ERR","S ERR   GFCOA Ajaccio",
,"19:02:10","05:35","P","[5 : 6]   P   Chaumont 52 Haute Marne",
