"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885829","Friendly","Developers Cup (women)","07.10.2017 - 15:00","MKS Muszyna SA (women)","Racing Club de Cannes (women)",
"Statistics","MKS Muszyna SA (women)","Type","Racing Club de Cannes (women)",
,"3","Score","2",
,"96","Points","101",
,"3","Sets","2",
,"7","Aces","4",
,"8","Service errors","5",
,"52","Kills","52",
,"13","Blocks","17",
,"8","Errors","10",
,"12","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:33:40","00:00","Game conditions changed","Game conditions changed",
,"14:59:55","00:00","Jersey colours updated","Jersey colours updated",
,"14:59:55","00:00","Jersey colours updated","Jersey colours updated",
,"15:00:00","00:00","Players warming up","Players warming up",
,"15:14:23","00:00","Coin flipping","Coin flipping",
,"15:14:57","00:00","Warm up at the net","Warm up at the net",
,"15:24:32","00:00","Players lined up","Players lined up",
,"15:25:33","00:00","Shake hands","Shake hands",
,"15:26:52","00:00","Game about to start","Game about to start",
,"15:27:07","00:00","Start SRV","Start SRV   Racing Club de Cannes (women)",
,"15:27:09","00:00","Start SRV","Start SRV   Racing Club de Cannes (women)",
,"15:27:35","00:00","Start 1st Set","Start 1st Set",
,"15:27:35","00:00","SRV","SRV   Racing Club de Cannes (women)",
,"15:27:41","00:06","RS","RS   Racing Club de Cannes (women)",
,"15:27:42","00:07","B POSS","B POSS   MKS Muszyna SA (women)",
,"15:27:46","00:11","K","K   Racing Club de Cannes (women)",
,"15:27:46","00:11","P","[0 : 1]   P   Racing Club de Cannes (women)",
,"15:27:56","00:20","Pt Conf","Pt Conf   Racing Club de Cannes (women)",
,"15:28:00","00:25","SRV","SRV   Racing Club de Cannes (women)",
,"15:28:02","00:27","RS","RS   Racing Club de Cannes (women)",
,"15:28:02","00:27","B POSS","B POSS   MKS Muszyna SA (women)",
,"15:28:07","00:32","B POSS","B POSS   Racing Club de Cannes (women)",
,"15:28:13","00:38","OUT","OUT   Racing Club de Cannes (women)",
,"15:28:13","00:38","P","[1 : 1]   P   MKS Muszyna SA (women)",
,"15:28:26","00:50","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"15:28:26","00:51","SRV","SRV   MKS Muszyna SA (women)",
