"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885831","Friendly","Developers Cup (women)","07.10.2017 - 17:00","KS Rzeszow (women)","VK Agel Prostejov (women)",
"Statistics","KS Rzeszow (women)","Type","VK Agel Prostejov (women)",
,"1","Score","3",
,"79","Points","97",
,"1","Sets","3",
,"4","Aces","9",
,"7","Service errors","8",
,"41","Kills","58",
,"15","Blocks","10",
,"5","Errors","8",
,"8","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:19:22","00:00","Game conditions changed","Game conditions changed",
,"17:20:37","00:00","Players warming up","Players warming up",
,"17:24:55","00:00","Jersey colours updated","Jersey colours updated",
,"17:24:56","00:00","Jersey colours updated","Jersey colours updated",
,"17:32:05","00:00","Coin flipping","Coin flipping",
,"17:33:07","00:00","Warm up at the net","Warm up at the net",
,"17:42:13","00:00","Players lined up","Players lined up",
,"17:44:18","00:00","Shake hands","Shake hands",
,"17:45:29","00:00","Game about to start","Game about to start",
,"17:46:17","00:00","Start SRV","Start SRV   KS Rzeszow (women)",
,"17:46:27","00:00","Start 1st Set","Start 1st Set",
,"17:46:28","00:00","SRV","SRV   KS Rzeszow (women)",
,"17:46:32","00:04","RS","RS   KS Rzeszow (women)",
,"17:46:32","00:04","B POSS","B POSS   VK Agel Prostejov (women)",
,"17:46:37","00:09","K","K   VK Agel Prostejov (women)",
,"17:46:37","00:09","P","[0 : 1]   P   VK Agel Prostejov (women)",
,"17:46:50","00:22","Pt Conf","Pt Conf   VK Agel Prostejov (women)",
,"17:46:51","00:23","SRV","SRV   VK Agel Prostejov (women)",
,"17:46:58","00:30","RS","RS   VK Agel Prostejov (women)",
,"17:46:58","00:31","B POSS","B POSS   KS Rzeszow (women)",
,"17:47:03","00:35","K","K   KS Rzeszow (women)",
,"17:47:03","00:35","P","[1 : 1]   P   KS Rzeszow (women)",
,"17:47:15","00:48","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"17:47:16","00:48","SRV","SRV   KS Rzeszow (women)",
,"17:47:21","00:53","RS","RS   KS Rzeszow (women)",
,"17:47:22","00:54","B POSS","B POSS   VK Agel Prostejov (women)",
,"17:47:25","00:57","B","B   KS Rzeszow (women)",
,"17:47:25","00:57","P","[2 : 1]   P   KS Rzeszow (women)",
,"17:47:35","01:07","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"17:47:36","01:08","SRV","SRV   KS Rzeszow (women)",
,"17:47:43","01:15","RS","RS   KS Rzeszow (women)",
,"17:47:43","01:15","B POSS","B POSS   VK Agel Prostejov (women)",
,"17:47:47","01:19","B","B   KS Rzeszow (women)",
,"17:47:47","01:19","P","[3 : 1]   P   KS Rzeszow (women)",
,"17:47:57","01:30","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"17:47:58","01:30","SRV","SRV   KS Rzeszow (women)",
,"17:48:04","01:36","RS","RS   KS Rzeszow (women)",
,"17:48:04","01:36","B POSS","B POSS   VK Agel Prostejov (women)",
,"17:48:09","01:41","B POSS","B POSS   KS Rzeszow (women)",
,"17:48:12","01:45","B POSS","B POSS   VK Agel Prostejov (women)",
,"17:48:16","01:49","K","K   VK Agel Prostejov (women)",
,"17:48:16","01:49","P","[3 : 2]   P   VK Agel Prostejov (women)",
,"17:48:26","01:58","Pt Conf","Pt Conf   VK Agel Prostejov (women)",
,"17:48:27","01:59","SRV","SRV   VK Agel Prostejov (women)",
,"17:48:40","02:12","A","A   VK Agel Prostejov (women)",
,"17:48:40","02:12","P","[3 : 3]   P   VK Agel Prostejov (women)",
,"17:48:52","02:24","Pt Conf","Pt Conf   VK Agel Prostejov (women)",
,"17:48:53","02:25","SRV","SRV   VK Agel Prostejov (women)",
,"17:48:59","02:31","RS","RS   VK Agel Prostejov (women)",
,"17:48:59","02:31","B POSS","B POSS   KS Rzeszow (women)",
,"17:49:03","02:35","K","K   KS Rzeszow (women)",
,"17:49:03","02:35","P","[4 : 3]   P   KS Rzeszow (women)",
,"17:49:13","02:45","Pt Conf","Pt Conf   KS Rzeszow (women)",
,"17:49:14","02:46","SRV","SRV   KS Rzeszow (women)",
,"17:49:20","02:52","RS","RS   KS Rzeszow (women)",
,"17:49:20","02:53","B POSS","B POSS   VK Agel Prostejov (women)",
,"17:49:23","02:55","B POSS","B POSS   KS Rzeszow (women)",
,"17:49:27","03:00","B POSS","B POSS   VK Agel Prostejov (women)",
,"17:49:34","03:06","B POSS","B POSS   KS Rzeszow (women)",
,"17:49:36","03:08","B POSS","B POSS   VK Agel Prostejov (women)",
,"17:49:40","03:12","K","K   VK Agel Prostejov (women)",
,"17:49:40","03:12","P","[4 : 4]   P   VK Agel Prostejov (women)",
,"17:49:54","03:27","Pt Conf","Pt Conf   VK Agel Prostejov (women)",
,"17:49:55","03:27","SRV","SRV   VK Agel Prostejov (women)",
,"17:50:00","03:32","RS","RS   VK Agel Prostejov (women)",
,"17:50:00","03:33","B POSS","B POSS   KS Rzeszow (women)",
