"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885810","Friendly","Memorial Agata Mroz-Olszewska","07.10.2017 - 12:00","Bekescsabai RSE (women)","TJ Sokol Frydek-Mistek (women)",
"Statistics","Bekescsabai RSE (women)","Type","TJ Sokol Frydek-Mistek (women)",
,"3","Score","0",
,"75","Points","61",
,"3","Sets","0",
,"5","Aces","3",
,"3","Service errors","6",
,"45","Kills","33",
,"7","Blocks","8",
,"6","Errors","6",
,"8","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:20:53","00:00","Game conditions changed","Game conditions changed",
,"11:20:56","00:00","Players warming up","Players warming up",
,"11:34:34","00:00","Jersey colours updated","Jersey colours updated",
,"11:34:34","00:00","Jersey colours updated","Jersey colours updated",
,"11:42:30","00:00","Coin flipping","Coin flipping",
,"11:43:03","00:00","Warm up at the net","Warm up at the net",
,"11:55:12","00:00","Players lined up","Players lined up",
,"11:55:55","00:00","Shake hands","Shake hands",
,"11:58:26","00:00","Game about to start","Game about to start",
,"11:58:57","00:00","Start SRV","Start SRV   Bekescsabai RSE (women)",
,"11:59:15","00:00","Start 1st Set","Start 1st Set",
,"11:59:16","00:00","SRV","SRV   Bekescsabai RSE (women)",
,"11:59:22","00:06","RS","RS   Bekescsabai RSE (women)",
,"11:59:23","00:07","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"11:59:26","00:11","B POSS","B POSS   Bekescsabai RSE (women)",
,"11:59:30","00:14","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"11:59:35","00:19","OUT","OUT   TJ Sokol Frydek-Mistek (women)",
,"11:59:35","00:19","P","[1 : 0]   P   Bekescsabai RSE (women)",
,"11:59:48","00:32","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"11:59:50","00:34","SRV","SRV   Bekescsabai RSE (women)",
,"11:59:51","00:35","RS","RS   Bekescsabai RSE (women)",
,"11:59:52","00:36","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"12:00:04","00:48","B POSS","B POSS   Bekescsabai RSE (women)",
,"12:00:04","00:48","OUT","OUT   Bekescsabai RSE (women)",
,"12:00:04","00:48","P","[1 : 1]   P   TJ Sokol Frydek-Mistek (women)",
,"12:00:16","01:01","Pt Conf","Pt Conf   TJ Sokol Frydek-Mistek (women)",
,"12:00:17","01:01","SRV","SRV   TJ Sokol Frydek-Mistek (women)",
,"12:00:19","01:03","S ERR","S ERR   TJ Sokol Frydek-Mistek (women)",
,"12:00:19","01:03","P","[2 : 1]   P   Bekescsabai RSE (women)",
,"12:00:32","01:16","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"12:00:36","01:20","SRV","SRV   Bekescsabai RSE (women)",
,"12:00:39","01:23","RS","RS   Bekescsabai RSE (women)",
,"12:00:39","01:23","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"12:00:44","01:28","ERR","ERR   TJ Sokol Frydek-Mistek (women)",
,"12:00:44","01:28","P","[3 : 1]   P   Bekescsabai RSE (women)",
,"12:00:58","01:42","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"12:00:59","01:43","SRV","SRV   Bekescsabai RSE (women)",
,"12:01:03","01:47","RS","RS   Bekescsabai RSE (women)",
,"12:01:03","01:47","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"12:01:06","01:50","ERR","ERR   TJ Sokol Frydek-Mistek (women)",
,"12:01:06","01:50","P","[4 : 1]   P   Bekescsabai RSE (women)",
,"12:01:19","02:04","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"12:01:22","02:06","SRV","SRV   Bekescsabai RSE (women)",
,"12:01:24","02:08","RS","RS   Bekescsabai RSE (women)",
,"12:01:24","02:08","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"12:01:28","02:12","B","B   Bekescsabai RSE (women)",
,"12:01:28","02:12","P","[5 : 1]   P   Bekescsabai RSE (women)",
,"12:01:45","02:29","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"12:01:46","02:31","SRV","SRV   Bekescsabai RSE (women)",
,"12:01:49","02:33","RS","RS   Bekescsabai RSE (women)",
,"12:01:49","02:33","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"12:01:55","02:39","B","B   Bekescsabai RSE (women)",
,"12:01:55","02:39","P","[6 : 1]   P   Bekescsabai RSE (women)",
,"12:02:03","02:47","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"12:02:03","02:47","TIME","TIME",
,"12:02:04","02:48","TIME","TIME   TJ Sokol Frydek-Mistek (women)",
,"12:02:56","03:40","SRV","SRV   Bekescsabai RSE (women)",
,"12:02:59","03:43","RS","RS   Bekescsabai RSE (women)",
,"12:02:59","03:43","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"12:03:01","03:45","B POSS","B POSS   Bekescsabai RSE (women)",
,"12:03:06","03:50","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"12:03:09","03:53","B POSS","B POSS   Bekescsabai RSE (women)",
,"12:03:16","04:00","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"12:03:17","04:02","ERR","ERR   TJ Sokol Frydek-Mistek (women)",
,"12:03:17","04:02","P","[7 : 1]   P   Bekescsabai RSE (women)",
,"12:03:41","04:25","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"12:03:46","04:30","SRV","SRV   Bekescsabai RSE (women)",
,"12:03:49","04:33","RS","RS   Bekescsabai RSE (women)",
,"12:03:49","04:33","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"12:03:54","04:38","K","K   TJ Sokol Frydek-Mistek (women)",
,"12:03:54","04:38","P","[7 : 2]   P   TJ Sokol Frydek-Mistek (women)",
,"12:04:06","04:50","Pt Conf","Pt Conf   TJ Sokol Frydek-Mistek (women)",
,"12:04:08","04:52","SRV","SRV   TJ Sokol Frydek-Mistek (women)",
,"12:04:10","04:54","RS","RS   TJ Sokol Frydek-Mistek (women)",
,"12:04:10","04:54","B POSS","B POSS   Bekescsabai RSE (women)",
,"12:04:14","04:58","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
