"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885812","Friendly","Memorial Agata Mroz-Olszewska","07.10.2017 - 16:00","MKS Dabrowa Gornicza (women)","Hapoel Kfar Saba (women)",
"Statistics","MKS Dabrowa Gornicza (women)","Type","Hapoel Kfar Saba (women)",
,"3","Score","2",
,"98","Points","108",
,"3","Sets","2",
,"10","Aces","6",
,"10","Service errors","7",
,"63","Kills","57",
,"7","Blocks","12",
,"15","Errors","6",
,"8","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:15:13","00:00","Game conditions changed","Game conditions changed",
,"15:15:14","00:00","Players warming up","Players warming up",
,"15:25:18","00:00","Jersey colours updated","Jersey colours updated",
,"15:25:18","00:00","Jersey colours updated","Jersey colours updated",
,"15:42:20","00:00","Coin flipping","Coin flipping",
,"15:42:50","00:00","Warm up at the net","Warm up at the net",
,"15:54:02","00:00","Players lined up","Players lined up",
,"15:54:42","00:00","Shake hands","Shake hands",
,"15:57:02","00:00","Game about to start","Game about to start",
,"15:57:06","00:00","Start SRV","Start SRV   Hapoel Kfar Saba (women)",
,"15:57:25","00:00","Start 1st Set","Start 1st Set",
,"15:57:25","00:00","SRV","SRV   Hapoel Kfar Saba (women)",
,"15:57:34","00:09","RS","RS   Hapoel Kfar Saba (women)",
,"15:57:34","00:09","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"15:57:38","00:13","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"15:57:43","00:18","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"15:57:49","00:24","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"15:57:51","00:26","K","K   Hapoel Kfar Saba (women)",
,"15:57:51","00:26","P","[0 : 1]   P   Hapoel Kfar Saba (women)",
,"15:58:06","00:41","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"15:58:10","00:45","SRV","SRV   Hapoel Kfar Saba (women)",
,"15:58:16","00:51","RS","RS   Hapoel Kfar Saba (women)",
,"15:58:17","00:52","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"15:58:17","00:52","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"15:58:20","00:55","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"15:58:24","00:59","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"15:58:27","01:02","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"15:58:29","01:04","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"15:58:29","01:04","Rally over 5 possession changes","Rally over 5 possession changes",
,"15:58:33","01:07","K","K   Hapoel Kfar Saba (women)",
,"15:58:33","01:07","P","[0 : 2]   P   Hapoel Kfar Saba (women)",
,"15:58:54","01:29","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"15:58:55","01:30","SRV","SRV   Hapoel Kfar Saba (women)",
,"15:58:56","01:31","RS","RS   Hapoel Kfar Saba (women)",
,"15:58:57","01:31","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"15:58:59","01:33","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"15:59:00","01:35","K","K   Hapoel Kfar Saba (women)",
,"15:59:00","01:35","P","[0 : 3]   P   Hapoel Kfar Saba (women)",
,"15:59:22","01:57","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"15:59:23","01:58","SRV","SRV   Hapoel Kfar Saba (women)",
,"15:59:23","01:58","RS","RS   Hapoel Kfar Saba (women)",
,"15:59:23","01:58","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"15:59:28","02:03","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"15:59:29","02:04","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"15:59:33","02:08","K","K   MKS Dabrowa Gornicza (women)",
,"15:59:33","02:08","P","[1 : 3]   P   MKS Dabrowa Gornicza (women)",
,"15:59:45","02:20","Pt Conf","Pt Conf   MKS Dabrowa Gornicza (women)",
,"15:59:47","02:22","SRV","SRV   MKS Dabrowa Gornicza (women)",
,"15:59:49","02:24","RS","RS   MKS Dabrowa Gornicza (women)",
,"15:59:49","02:24","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"15:59:53","02:28","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"15:59:57","02:32","K","K   MKS Dabrowa Gornicza (women)",
,"15:59:57","02:32","P","[2 : 3]   P   MKS Dabrowa Gornicza (women)",
,"16:00:10","02:45","Pt Conf","Pt Conf   MKS Dabrowa Gornicza (women)",
,"16:00:11","02:45","SRV","SRV   MKS Dabrowa Gornicza (women)",
,"16:00:12","02:47","RS","RS   MKS Dabrowa Gornicza (women)",
,"16:00:12","02:47","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"16:00:16","02:51","K","K   Hapoel Kfar Saba (women)",
,"16:00:16","02:51","P","[2 : 4]   P   Hapoel Kfar Saba (women)",
,"16:00:30","03:05","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"16:00:31","03:06","SRV","SRV   Hapoel Kfar Saba (women)",
,"16:00:32","03:07","RS","RS   Hapoel Kfar Saba (women)",
,"16:00:33","03:07","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"16:00:38","03:13","ERR","ERR   MKS Dabrowa Gornicza (women)",
,"16:00:38","03:13","P","[2 : 5]   P   Hapoel Kfar Saba (women)",
,"16:00:50","03:25","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"16:00:51","03:25","SRV","SRV   Hapoel Kfar Saba (women)",
,"16:00:53","03:27","RS","RS   Hapoel Kfar Saba (women)",
,"16:00:53","03:27","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"16:00:55","03:29","K","K   MKS Dabrowa Gornicza (women)",
,"16:00:55","03:29","P","[3 : 5]   P   MKS Dabrowa Gornicza (women)",
,"16:01:10","03:45","Pt Conf","Pt Conf   MKS Dabrowa Gornicza (women)",
,"16:01:15","03:50","SRV","SRV   MKS Dabrowa Gornicza (women)",
,"16:01:18","03:53","S ERR","S ERR   MKS Dabrowa Gornicza (women)",
,"16:01:18","03:53","P","[3 : 6]   P   Hapoel Kfar Saba (women)",
