"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887241","Friendly","Memorial Brambilla-Verga (women)","07.10.2017 - 15:00","River Volley (women)","US Pallavolo Monza (women)",
"Statistics","River Volley (women)","Type","US Pallavolo Monza (women)",
,"0","Score","3",
,"67","Points","76",
,"0","Sets","3",
,"3","Aces","8",
,"9","Service errors","10",
,"42","Kills","44",
,"5","Blocks","8",
,"2","Errors","6",
,"5","Outs","1",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:08:37","00:00","Game conditions changed","Game conditions changed",
,"14:20:17","00:00","Players warming up","Players warming up",
,"14:46:21","00:00","Jersey colours updated","Jersey colours updated",
,"14:46:21","00:00","Jersey colours updated","Jersey colours updated",
,"14:46:25","00:00","Warm up at the net","Warm up at the net",
,"14:48:05","00:00","Players intro","Players intro",
,"14:58:05","00:00","Players lined up","Players lined up",
,"14:58:23","00:00","Shake hands","Shake hands",
,"14:58:25","00:00","Game conditions changed","Game conditions changed",
,"15:01:00","00:00","Game about to start","Game about to start",
,"15:01:26","00:00","Start SRV","Start SRV   River Volley (women)",
,"15:01:34","00:00","Start 1st Set","Start 1st Set",
,"15:01:35","00:00","SRV","SRV   River Volley (women)",
,"15:01:37","00:02","RS","RS   River Volley (women)",
,"15:01:37","00:03","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:01:41","00:06","B POSS","B POSS   River Volley (women)",
,"15:01:44","00:09","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:01:49","00:14","K","K   US Pallavolo Monza (women)",
,"15:01:49","00:14","P","[0 : 1]   P   US Pallavolo Monza (women)",
,"15:02:01","00:27","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"15:02:06","00:31","SRV","SRV   US Pallavolo Monza (women)",
,"15:02:08","00:34","RS","RS   US Pallavolo Monza (women)",
,"15:02:10","00:35","B POSS","B POSS   River Volley (women)",
,"15:02:14","00:39","K","K   River Volley (women)",
,"15:02:14","00:39","P","[1 : 1]   P   River Volley (women)",
,"15:02:26","00:51","Pt Conf","Pt Conf   River Volley (women)",
,"15:02:26","00:51","SRV","SRV   River Volley (women)",
,"15:02:29","00:54","RS","RS   River Volley (women)",
,"15:02:30","00:55","B POSS","B POSS   US Pallavolo Monza (women)",
,"15:02:32","00:57","B POSS","B POSS   River Volley (women)",
