"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887242","Friendly","Memorial Brambilla-Verga (women)","07.10.2017 - 18:00","VBC Pallavolo Rosa Casalmaggiore (women)","Volley Bergamo (women)",
"Statistics","VBC Pallavolo Rosa Casalmaggiore (women)","Type","Volley Bergamo (women)",
,"3","Score","0",
,"75","Points","53",
,"3","Sets","0",
,"5","Aces","4",
,"6","Service errors","7",
,"48","Kills","30",
,"9","Blocks","5",
,"4","Errors","4",
,"4","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:09:43","00:00","Game conditions changed","Game conditions changed",
,"17:21:10","00:00","Players warming up","Players warming up",
,"17:23:00","00:00","Jersey colours updated","Jersey colours updated",
,"17:23:01","00:00","Jersey colours updated","Jersey colours updated",
,"17:27:29","00:00","Game conditions changed","Game conditions changed",
,"17:44:49","00:00","Coin flipping","Coin flipping",
,"17:47:43","00:00","Warm up at the net","Warm up at the net",
,"17:48:36","00:00","Players intro","Players intro",
,"17:59:59","00:00","Players lined up","Players lined up",
,"18:00:17","00:00","Shake hands","Shake hands",
,"18:02:48","00:00","Game about to start","Game about to start",
,"18:03:30","00:00","Start SRV","Start SRV   VBC Pallavolo Rosa Casalmaggiore (women)",
,"18:03:55","00:00","Start 1st Set","Start 1st Set",
,"18:03:58","00:02","SRV","SRV   VBC Pallavolo Rosa Casalmaggiore (women)",
,"18:03:59","00:04","RS","RS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"18:04:00","00:05","B POSS","B POSS   Volley Bergamo (women)",
,"18:04:00","00:05","B POSS","B POSS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"18:04:06","00:11","K","K   VBC Pallavolo Rosa Casalmaggiore (women)",
,"18:04:06","00:11","P","[1 : 0]   P   VBC Pallavolo Rosa Casalmaggiore (women)",
,"18:04:18","00:23","Pt Conf","Pt Conf   VBC Pallavolo Rosa Casalmaggiore (women)",
,"18:04:21","00:25","SRV","SRV   VBC Pallavolo Rosa Casalmaggiore (women)",
,"18:04:22","00:27","RS","RS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"18:04:24","00:28","B POSS","B POSS   Volley Bergamo (women)",
,"18:04:27","00:32","B POSS","B POSS   VBC Pallavolo Rosa Casalmaggiore (women)",
