"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887236","Friendly","Memorial Giampaolo Ferrari (women)","07.10.2017 - 14:30","Imoco Volley Conegliano (women)","SAB Volley Legnano (women)",
"Statistics","Imoco Volley Conegliano (women)","Type","SAB Volley Legnano (women)",
,"3","Score","1",
,"94","Points","69",
,"3","Sets","1",
,"8","Aces","3",
,"7","Service errors","10",
,"46","Kills","35",
,"14","Blocks","7",
,"9","Errors","6",
,"8","Outs","10",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:55:24","00:00","Game conditions changed","Game conditions changed",
,"13:55:25","00:00","Players warming up","Players warming up",
,"14:13:42","00:00","Coin flipping","Coin flipping",
,"14:14:39","00:00","Warm up at the net","Warm up at the net",
,"14:24:14","00:00","Jersey colours updated","Jersey colours updated",
,"14:24:14","00:00","Jersey colours updated","Jersey colours updated",
,"14:26:27","00:00","Players lined up","Players lined up",
,"14:26:44","00:00","Shake hands","Shake hands",
,"14:27:54","00:00","Players intro","Players intro",
,"14:29:46","00:00","Game about to start","Game about to start",
,"14:29:49","00:00","Start SRV","Start SRV   SAB Volley Legnano (women)",
,"14:30:11","00:00","Start 1st Set","Start 1st Set",
,"14:30:11","00:00","SRV","SRV   SAB Volley Legnano (women)",
,"14:30:15","00:04","RS","RS   SAB Volley Legnano (women)",
,"14:30:15","00:04","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:30:18","00:07","K","K   Imoco Volley Conegliano (women)",
,"14:30:18","00:07","P","[1 : 0]   P   Imoco Volley Conegliano (women)",
,"14:30:31","00:19","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"14:30:33","00:22","SRV","SRV   Imoco Volley Conegliano (women)",
,"14:30:35","00:24","RS","RS   Imoco Volley Conegliano (women)",
,"14:30:35","00:24","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:30:40","00:29","ERR","ERR   Imoco Volley Conegliano (women)",
,"14:30:40","00:29","P","[1 : 1]   P   SAB Volley Legnano (women)",
,"14:30:52","00:41","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"14:30:54","00:43","SRV","SRV   SAB Volley Legnano (women)",
,"14:30:57","00:46","S ERR","S ERR   SAB Volley Legnano (women)",
,"14:30:57","00:46","P","[2 : 1]   P   Imoco Volley Conegliano (women)",
,"14:31:20","01:09","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"14:31:21","01:09","SRV","SRV   Imoco Volley Conegliano (women)",
,"14:31:23","01:12","RS","RS   Imoco Volley Conegliano (women)",
,"14:31:23","01:12","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:31:30","01:19","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:31:34","01:23","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:31:38","01:27","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:31:42","01:30","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:31:45","01:34","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:31:45","01:34","Rally over 5 possession changes","Rally over 5 possession changes",
,"14:31:52","01:41","ERR","ERR   Imoco Volley Conegliano (women)",
,"14:31:52","01:41","P","[2 : 2]   P   SAB Volley Legnano (women)",
,"14:32:08","01:57","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"14:32:14","02:03","SRV","SRV   SAB Volley Legnano (women)",
,"14:32:17","02:06","S ERR","S ERR   SAB Volley Legnano (women)",
,"14:32:17","02:06","P","[3 : 2]   P   Imoco Volley Conegliano (women)",
,"14:32:31","02:20","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"14:32:35","02:24","SRV","SRV   Imoco Volley Conegliano (women)",
,"14:32:38","02:27","RS","RS   Imoco Volley Conegliano (women)",
,"14:32:38","02:27","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:32:39","02:28","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:32:44","02:32","ERR","ERR   Imoco Volley Conegliano (women)",
,"14:32:44","02:32","P","[3 : 3]   P   SAB Volley Legnano (women)",
,"14:32:55","02:44","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"14:33:01","02:50","SRV","SRV   SAB Volley Legnano (women)",
,"14:33:04","02:53","RS","RS   SAB Volley Legnano (women)",
,"14:33:04","02:53","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:33:06","02:55","K","K   Imoco Volley Conegliano (women)",
,"14:33:06","02:55","P","[4 : 3]   P   Imoco Volley Conegliano (women)",
,"14:33:19","03:08","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"14:33:23","03:12","SRV","SRV   Imoco Volley Conegliano (women)",
,"14:33:26","03:14","RS","RS   Imoco Volley Conegliano (women)",
,"14:33:26","03:14","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:33:28","03:17","K","K   SAB Volley Legnano (women)",
,"14:33:28","03:17","P","[4 : 4]   P   SAB Volley Legnano (women)",
,"14:33:43","03:32","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"14:33:45","03:34","SRV","SRV   SAB Volley Legnano (women)",
,"14:33:48","03:37","S ERR","S ERR   SAB Volley Legnano (women)",
,"14:33:48","03:37","P","[5 : 4]   P   Imoco Volley Conegliano (women)",
,"14:33:59","03:48","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"14:34:02","03:51","SRV","SRV   Imoco Volley Conegliano (women)",
,"14:34:04","03:53","S ERR","S ERR   Imoco Volley Conegliano (women)",
,"14:34:04","03:53","P","[5 : 5]   P   SAB Volley Legnano (women)",
,"14:34:17","04:06","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"14:34:20","04:09","SRV","SRV   SAB Volley Legnano (women)",
,"14:34:23","04:12","RS","RS   SAB Volley Legnano (women)",
,"14:34:23","04:12","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:34:25","04:14","B","B   SAB Volley Legnano (women)",
,"14:34:25","04:14","P","[5 : 6]   P   SAB Volley Legnano (women)",
,"14:34:39","04:28","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"14:34:41","04:30","SRV","SRV   SAB Volley Legnano (women)",
,"14:34:44","04:33","RS","RS   SAB Volley Legnano (women)",
,"14:34:44","04:33","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:34:47","04:36","K","K   Imoco Volley Conegliano (women)",
,"14:34:47","04:36","P","[6 : 6]   P   Imoco Volley Conegliano (women)",
,"14:35:05","04:54","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"14:35:07","04:56","SRV","SRV   Imoco Volley Conegliano (women)",
,"14:35:10","04:59","RS","RS   Imoco Volley Conegliano (women)",
,"14:35:10","04:59","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:35:14","05:03","ERR","ERR   Imoco Volley Conegliano (women)",
,"14:35:14","05:03","P","[6 : 7]   P   SAB Volley Legnano (women)",
,"14:35:29","05:18","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"14:35:30","05:19","SRV","SRV   SAB Volley Legnano (women)",
,"14:35:32","05:21","RS","RS   SAB Volley Legnano (women)",
,"14:35:32","05:21","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:35:36","05:25","ERR","ERR   SAB Volley Legnano (women)",
,"14:35:36","05:25","P","[7 : 7]   P   Imoco Volley Conegliano (women)",
,"14:35:50","05:39","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"14:35:51","05:40","SRV","SRV   Imoco Volley Conegliano (women)",
,"14:35:53","05:42","RS","RS   Imoco Volley Conegliano (women)",
,"14:35:53","05:42","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:35:59","05:47","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:36:03","05:51","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:36:07","05:56","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:36:11","06:00","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:36:14","06:03","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:36:14","06:03","Rally over 5 possession changes","Rally over 5 possession changes",
,"14:36:18","06:07","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:36:21","06:10","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:36:25","06:13","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:36:28","06:17","K","K   SAB Volley Legnano (women)",
,"14:36:28","06:17","P","[7 : 8]   P   SAB Volley Legnano (women)",
,"14:36:44","06:33","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"14:36:49","06:38","SRV","SRV   SAB Volley Legnano (women)",
,"14:36:51","06:40","RS","RS   SAB Volley Legnano (women)",
,"14:36:51","06:40","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:36:57","06:45","K","K   Imoco Volley Conegliano (women)",
,"14:36:57","06:45","P","[8 : 8]   P   Imoco Volley Conegliano (women)",
,"14:37:13","07:02","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"14:37:13","07:02","SRV","SRV   Imoco Volley Conegliano (women)",
,"14:37:16","07:04","RS","RS   Imoco Volley Conegliano (women)",
,"14:37:16","07:05","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:37:21","07:09","K","K   SAB Volley Legnano (women)",
,"14:37:21","07:09","P","[8 : 9]   P   SAB Volley Legnano (women)",
,"14:37:36","07:25","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"14:37:40","07:29","SRV","SRV   SAB Volley Legnano (women)",
,"14:37:42","07:31","RS","RS   SAB Volley Legnano (women)",
,"14:37:42","07:31","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:37:46","07:35","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:37:50","07:39","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:37:53","07:42","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:37:57","07:46","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:38:01","07:50","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:38:01","07:50","Rally over 5 possession changes","Rally over 5 possession changes",
,"14:38:05","07:54","K","K   SAB Volley Legnano (women)",
,"14:38:05","07:54","P","[8 : 10]   P   SAB Volley Legnano (women)",
,"14:38:20","08:09","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"14:38:23","08:12","SRV","SRV   SAB Volley Legnano (women)",
,"14:38:26","08:15","RS","RS   SAB Volley Legnano (women)",
,"14:38:26","08:15","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:38:28","08:17","K","K   Imoco Volley Conegliano (women)",
,"14:38:28","08:17","P","[9 : 10]   P   Imoco Volley Conegliano (women)",
,"14:38:42","08:31","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"14:38:45","08:33","SRV","SRV   Imoco Volley Conegliano (women)",
,"14:38:49","08:37","A","A   Imoco Volley Conegliano (women)",
,"14:38:49","08:37","P","[10 : 10]   P   Imoco Volley Conegliano (women)",
,"14:39:07","08:56","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"14:39:11","09:00","SRV","SRV   Imoco Volley Conegliano (women)",
,"14:39:14","09:03","RS","RS   Imoco Volley Conegliano (women)",
,"14:39:14","09:03","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:39:18","09:07","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:39:21","09:09","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:39:24","09:12","B","B   Imoco Volley Conegliano (women)",
,"14:39:24","09:12","P","[11 : 10]   P   Imoco Volley Conegliano (women)",
,"14:39:41","09:30","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"14:39:44","09:33","SRV","SRV   Imoco Volley Conegliano (women)",
,"14:39:47","09:36","RS","RS   Imoco Volley Conegliano (women)",
,"14:39:47","09:36","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:39:50","09:39","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:39:52","09:41","OUT","OUT   Imoco Volley Conegliano (women)",
,"14:39:52","09:41","P","[11 : 11]   P   SAB Volley Legnano (women)",
,"14:40:05","09:54","Pt Conf","Pt Conf   SAB Volley Legnano (women)",
,"14:40:10","09:59","SRV","SRV   SAB Volley Legnano (women)",
,"14:40:13","10:02","RS","RS   SAB Volley Legnano (women)",
,"14:40:13","10:02","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"14:40:16","10:05","K","K   Imoco Volley Conegliano (women)",
,"14:40:16","10:05","P","[12 : 11]   P   Imoco Volley Conegliano (women)",
,"14:40:29","10:18","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"14:40:33","10:22","SRV","SRV   Imoco Volley Conegliano (women)",
,"14:40:36","10:25","RS","RS   Imoco Volley Conegliano (women)",
,"14:40:36","10:25","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:40:39","10:28","B","B   Imoco Volley Conegliano (women)",
,"14:40:39","10:28","P","[13 : 11]   P   Imoco Volley Conegliano (women)",
,"14:40:53","10:42","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"14:40:57","10:45","SRV","SRV   Imoco Volley Conegliano (women)",
,"14:40:59","10:48","RS","RS   Imoco Volley Conegliano (women)",
,"14:40:59","10:48","B POSS","B POSS   SAB Volley Legnano (women)",
,"14:41:06","10:55","B POSS","B POSS   Imoco Volley Conegliano (women)",
