"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887238","Friendly","Memorial Giampaolo Ferrari (women)","07.10.2017 - 18:00","Agil Volley Novara (women)","Futura Volley Busto Arsizio (women)",
"Statistics","Agil Volley Novara (women)","Type","Futura Volley Busto Arsizio (women)",
,"3","Score","1",
,"100","Points","76",
,"3","Sets","1",
,"6","Aces","1",
,"13","Service errors","10",
,"54","Kills","40",
,"16","Blocks","5",
,"6","Errors","5",
,"11","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:18:38","00:00","Game conditions changed","Game conditions changed",
,"17:18:40","00:00","Players warming up","Players warming up",
,"17:25:39","00:00","Jersey colours updated","Jersey colours updated",
,"17:25:39","00:00","Jersey colours updated","Jersey colours updated",
,"17:42:19","00:00","Coin flipping","Coin flipping",
,"17:43:00","00:00","Warm up at the net","Warm up at the net",
,"17:54:24","00:00","Players lined up","Players lined up",
,"17:54:43","00:00","Shake hands","Shake hands",
,"17:56:04","00:00","Players intro","Players intro",
,"17:58:10","00:00","Game about to start","Game about to start",
,"17:58:28","00:00","Start SRV","Start SRV   Futura Volley Busto Arsizio (women)",
,"17:58:42","00:00","Start 1st Set","Start 1st Set",
,"17:58:42","00:00","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"17:58:46","00:04","RS","RS   Futura Volley Busto Arsizio (women)",
,"17:58:46","00:04","B POSS","B POSS   Agil Volley Novara (women)",
,"17:58:49","00:07","K","K   Agil Volley Novara (women)",
,"17:58:49","00:07","P","[1 : 0]   P   Agil Volley Novara (women)",
,"17:58:53","00:11","Correct statistics","Correct statistics   (K Agil Volley Novara (women) <=> ERR Futura Volley Busto Arsizio (women))",
,"17:58:53","00:11","ERR","ERR   Futura Volley Busto Arsizio (women)",
,"17:59:05","00:23","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"17:59:09","00:27","SRV","SRV   Agil Volley Novara (women)",
,"17:59:12","00:30","RS","RS   Agil Volley Novara (women)",
,"17:59:12","00:30","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"17:59:16","00:33","K","K   Futura Volley Busto Arsizio (women)",
,"17:59:16","00:33","P","[1 : 1]   P   Futura Volley Busto Arsizio (women)",
,"17:59:33","00:51","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"17:59:36","00:54","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"17:59:39","00:57","RS","RS   Futura Volley Busto Arsizio (women)",
,"17:59:39","00:57","B POSS","B POSS   Agil Volley Novara (women)",
,"17:59:43","01:01","K","K   Agil Volley Novara (women)",
,"17:59:43","01:01","P","[2 : 1]   P   Agil Volley Novara (women)",
,"18:00:03","01:21","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:00:09","01:27","SRV","SRV   Agil Volley Novara (women)",
,"18:00:11","01:29","RS","RS   Agil Volley Novara (women)",
,"18:00:11","01:29","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:00:15","01:32","B","B   Agil Volley Novara (women)",
,"18:00:15","01:32","P","[3 : 1]   P   Agil Volley Novara (women)",
,"18:00:30","01:48","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:00:42","02:00","SRV","SRV   Agil Volley Novara (women)",
,"18:00:42","02:00","RS","RS   Agil Volley Novara (women)",
,"18:00:42","02:00","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:00:42","02:00","K","K   Futura Volley Busto Arsizio (women)",
,"18:00:42","02:00","P","[3 : 2]   P   Futura Volley Busto Arsizio (women)",
,"18:00:56","02:14","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"18:01:01","02:19","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"18:01:04","02:22","RS","RS   Futura Volley Busto Arsizio (women)",
,"18:01:04","02:22","B POSS","B POSS   Agil Volley Novara (women)",
,"18:01:08","02:26","OUT","OUT   Agil Volley Novara (women)",
,"18:01:08","02:26","P","[3 : 3]   P   Futura Volley Busto Arsizio (women)",
,"18:01:23","02:41","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"18:01:29","02:47","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"18:01:32","02:50","RS","RS   Futura Volley Busto Arsizio (women)",
,"18:01:32","02:50","B POSS","B POSS   Agil Volley Novara (women)",
,"18:01:35","02:53","K","K   Agil Volley Novara (women)",
,"18:01:35","02:53","P","[4 : 3]   P   Agil Volley Novara (women)",
,"18:01:50","03:08","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:01:54","03:12","SRV","SRV   Agil Volley Novara (women)",
,"18:01:56","03:14","RS","RS   Agil Volley Novara (women)",
,"18:01:56","03:14","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:01:59","03:17","B POSS","B POSS   Agil Volley Novara (women)",
,"18:02:09","03:27","K","K   Agil Volley Novara (women)",
,"18:02:09","03:27","P","[5 : 3]   P   Agil Volley Novara (women)",
,"18:02:24","03:42","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:02:27","03:45","SRV","SRV   Agil Volley Novara (women)",
,"18:02:30","03:48","RS","RS   Agil Volley Novara (women)",
,"18:02:30","03:48","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:02:34","03:52","B POSS","B POSS   Agil Volley Novara (women)",
,"18:02:38","03:56","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:02:42","04:00","B POSS","B POSS   Agil Volley Novara (women)",
,"18:02:45","04:03","K","K   Agil Volley Novara (women)",
,"18:02:45","04:03","P","[6 : 3]   P   Agil Volley Novara (women)",
,"18:03:01","04:19","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:03:04","04:22","SRV","SRV   Agil Volley Novara (women)",
,"18:03:07","04:25","RS","RS   Agil Volley Novara (women)",
,"18:03:07","04:25","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:03:09","04:27","K","K   Futura Volley Busto Arsizio (women)",
,"18:03:09","04:27","P","[6 : 4]   P   Futura Volley Busto Arsizio (women)",
,"18:03:25","04:43","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"18:03:27","04:45","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"18:03:29","04:47","RS","RS   Futura Volley Busto Arsizio (women)",
,"18:03:29","04:47","B POSS","B POSS   Agil Volley Novara (women)",
,"18:03:31","04:49","K","K   Agil Volley Novara (women)",
,"18:03:31","04:49","P","[7 : 4]   P   Agil Volley Novara (women)",
,"18:03:47","05:05","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:03:50","05:08","SRV","SRV   Agil Volley Novara (women)",
,"18:03:53","05:11","RS","RS   Agil Volley Novara (women)",
,"18:03:53","05:11","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:03:58","05:16","B POSS","B POSS   Agil Volley Novara (women)",
,"18:04:01","05:19","K","K   Agil Volley Novara (women)",
,"18:04:01","05:19","P","[8 : 4]   P   Agil Volley Novara (women)",
,"18:04:16","05:34","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:04:19","05:37","SRV","SRV   Agil Volley Novara (women)",
,"18:04:21","05:39","RS","RS   Agil Volley Novara (women)",
,"18:04:21","05:39","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:04:25","05:43","ERR","ERR   Agil Volley Novara (women)",
,"18:04:25","05:43","P","[8 : 5]   P   Futura Volley Busto Arsizio (women)",
,"18:04:42","06:00","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"18:04:46","06:04","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"18:04:49","06:07","RS","RS   Futura Volley Busto Arsizio (women)",
,"18:04:49","06:07","B POSS","B POSS   Agil Volley Novara (women)",
,"18:04:51","06:09","K","K   Agil Volley Novara (women)",
,"18:04:51","06:09","P","[9 : 5]   P   Agil Volley Novara (women)",
,"18:05:08","06:26","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:05:09","06:27","SRV","SRV   Agil Volley Novara (women)",
,"18:05:12","06:30","RS","RS   Agil Volley Novara (women)",
,"18:05:12","06:30","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:05:19","06:37","K","K   Futura Volley Busto Arsizio (women)",
,"18:05:19","06:37","P","[9 : 6]   P   Futura Volley Busto Arsizio (women)",
,"18:05:39","06:57","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"18:05:41","06:59","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"18:05:43","07:01","RS","RS   Futura Volley Busto Arsizio (women)",
,"18:05:43","07:01","B POSS","B POSS   Agil Volley Novara (women)",
,"18:05:46","07:04","K","K   Agil Volley Novara (women)",
,"18:05:46","07:04","P","[10 : 6]   P   Agil Volley Novara (women)",
,"18:06:03","07:21","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:06:04","07:22","SRV","SRV   Agil Volley Novara (women)",
,"18:06:06","07:24","RS","RS   Agil Volley Novara (women)",
,"18:06:06","07:24","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:06:09","07:27","K","K   Futura Volley Busto Arsizio (women)",
,"18:06:09","07:27","P","[10 : 7]   P   Futura Volley Busto Arsizio (women)",
,"18:06:25","07:43","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"18:06:25","07:43","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"18:06:27","07:45","RS","RS   Futura Volley Busto Arsizio (women)",
,"18:06:27","07:45","B POSS","B POSS   Agil Volley Novara (women)",
,"18:06:31","07:49","K","K   Agil Volley Novara (women)",
,"18:06:31","07:49","P","[11 : 7]   P   Agil Volley Novara (women)",
,"18:06:50","08:08","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:06:53","08:11","SRV","SRV   Agil Volley Novara (women)",
,"18:06:55","08:13","RS","RS   Agil Volley Novara (women)",
,"18:06:55","08:13","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:06:59","08:17","B POSS","B POSS   Agil Volley Novara (women)",
,"18:07:02","08:20","K","K   Agil Volley Novara (women)",
,"18:07:02","08:20","P","[12 : 7]   P   Agil Volley Novara (women)",
,"18:07:18","08:36","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:07:23","08:41","SRV","SRV   Agil Volley Novara (women)",
,"18:07:24","08:42","RS","RS   Agil Volley Novara (women)",
,"18:07:24","08:42","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:07:29","08:47","OUT","OUT   Futura Volley Busto Arsizio (women)",
,"18:07:29","08:47","P","[13 : 7]   P   Agil Volley Novara (women)",
,"18:07:46","09:04","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:07:47","09:05","TIME","TIME",
,"18:07:48","09:06","TIME","TIME   Futura Volley Busto Arsizio (women)",
,"18:08:43","10:01","SRV","SRV   Agil Volley Novara (women)",
,"18:08:47","10:05","A","A   Agil Volley Novara (women)",
,"18:08:47","10:05","P","[14 : 7]   P   Agil Volley Novara (women)",
,"18:09:03","10:21","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:09:08","10:26","SRV","SRV   Agil Volley Novara (women)",
,"18:09:12","10:30","A","A   Agil Volley Novara (women)",
,"18:09:12","10:30","P","[15 : 7]   P   Agil Volley Novara (women)",
,"18:09:29","10:47","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:09:33","10:51","SRV","SRV   Agil Volley Novara (women)",
,"18:09:36","10:54","RS","RS   Agil Volley Novara (women)",
,"18:09:37","10:55","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:09:39","10:57","K","K   Futura Volley Busto Arsizio (women)",
,"18:09:39","10:57","P","[15 : 8]   P   Futura Volley Busto Arsizio (women)",
,"18:09:55","11:13","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"18:10:00","11:18","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"18:10:04","11:22","RS","RS   Futura Volley Busto Arsizio (women)",
,"18:10:04","11:22","B POSS","B POSS   Agil Volley Novara (women)",
,"18:10:10","11:28","OUT","OUT   Futura Volley Busto Arsizio (women)",
,"18:10:10","11:28","P","[16 : 8]   P   Agil Volley Novara (women)",
,"18:10:32","11:50","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:10:37","11:55","SRV","SRV   Agil Volley Novara (women)",
,"18:10:40","11:58","RS","RS   Agil Volley Novara (women)",
,"18:10:40","11:58","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:10:48","12:06","K","K   Futura Volley Busto Arsizio (women)",
,"18:10:48","12:06","P","[16 : 9]   P   Futura Volley Busto Arsizio (women)",
,"18:11:04","12:22","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"18:11:08","12:26","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"18:11:10","12:28","RS","RS   Futura Volley Busto Arsizio (women)",
,"18:11:10","12:28","B POSS","B POSS   Agil Volley Novara (women)",
,"18:11:14","12:32","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:11:18","12:36","K","K   Futura Volley Busto Arsizio (women)",
,"18:11:18","12:36","P","[16 : 10]   P   Futura Volley Busto Arsizio (women)",
,"18:11:33","12:51","Pt Conf","Pt Conf   Futura Volley Busto Arsizio (women)",
,"18:11:39","12:57","SRV","SRV   Futura Volley Busto Arsizio (women)",
,"18:11:43","13:01","RS","RS   Futura Volley Busto Arsizio (women)",
,"18:11:43","13:01","B POSS","B POSS   Agil Volley Novara (women)",
,"18:11:46","13:04","K","K   Agil Volley Novara (women)",
,"18:11:46","13:04","P","[17 : 10]   P   Agil Volley Novara (women)",
,"18:12:01","13:19","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:12:04","13:22","SRV","SRV   Agil Volley Novara (women)",
,"18:12:07","13:24","RS","RS   Agil Volley Novara (women)",
,"18:12:07","13:25","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:12:07","13:25","B POSS","B POSS   Agil Volley Novara (women)",
,"18:12:08","13:26","K","K   Agil Volley Novara (women)",
,"18:12:08","13:26","P","[18 : 10]   P   Agil Volley Novara (women)",
,"18:12:25","13:43","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:12:25","13:43","TIME","TIME",
,"18:12:26","13:44","TIME","TIME   Futura Volley Busto Arsizio (women)",
,"18:13:10","14:28","SRV","SRV   Agil Volley Novara (women)",
,"18:13:13","14:30","RS","RS   Agil Volley Novara (women)",
,"18:13:13","14:31","B POSS","B POSS   Futura Volley Busto Arsizio (women)",
,"18:13:16","14:34","B POSS","B POSS   Agil Volley Novara (women)",
,"18:13:20","14:38","K","K   Agil Volley Novara (women)",
,"18:13:20","14:38","P","[19 : 10]   P   Agil Volley Novara (women)",
,"18:13:38","14:56","Pt Conf","Pt Conf   Agil Volley Novara (women)",
,"18:13:41","14:59","SRV","SRV   Agil Volley Novara (women)",
,"18:13:44","15:02","A","A   Agil Volley Novara (women)",
,"18:13:44","15:02","P","[20 : 10]   P   Agil Volley Novara (women)",
