"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885635","Friendly","Plovdiv Cup (women)","07.10.2017 - 12:30","Bursa Buyuksehir Belediyesi (women)","CSM Bucuresti (women)",
"Statistics","Bursa Buyuksehir Belediyesi (women)","Type","CSM Bucuresti (women)",
,"3","Score","1",
,"94","Points","80",
,"3","Sets","1",
,"5","Aces","5",
,"4","Service errors","9",
,"51","Kills","46",
,"11","Blocks","5",
,"12","Errors","8",
,"8","Outs","10",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:48:08","00:00","Game conditions changed","Game conditions changed",
,"11:48:09","00:00","Players warming up","Players warming up",
,"12:03:32","00:00","Jersey colours updated","Jersey colours updated",
,"12:03:32","00:00","Jersey colours updated","Jersey colours updated",
,"12:14:28","00:00","Coin flipping","Coin flipping",
,"12:14:51","00:00","Warm up at the net","Warm up at the net",
,"12:26:43","00:00","Players lined up","Players lined up",
,"12:27:44","00:00","Shake hands","Shake hands",
,"12:28:19","00:00","Players intro","Players intro",
,"12:29:50","00:00","Game about to start","Game about to start",
,"12:30:55","00:00","Start SRV","Start SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:31:04","00:00","Start 1st Set","Start 1st Set",
,"12:31:04","00:00","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:31:13","00:08","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:31:13","00:09","B POSS","B POSS   CSM Bucuresti (women)",
,"12:31:17","00:12","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:31:21","00:16","K","K   Bursa Buyuksehir Belediyesi (women)",
,"12:31:21","00:16","P","[1 : 0]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:31:36","00:31","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:31:36","00:32","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:31:43","00:39","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:31:43","00:39","B POSS","B POSS   CSM Bucuresti (women)",
,"12:31:46","00:41","K","K   CSM Bucuresti (women)",
,"12:31:46","00:41","P","[1 : 1]   P   CSM Bucuresti (women)",
,"12:32:02","00:58","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:32:03","00:58","SRV","SRV   CSM Bucuresti (women)",
,"12:32:07","01:03","RS","RS   CSM Bucuresti (women)",
,"12:32:08","01:03","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:32:10","01:06","K","K   Bursa Buyuksehir Belediyesi (women)",
,"12:32:10","01:06","P","[2 : 1]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:32:29","01:24","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:32:30","01:25","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:32:34","01:29","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:32:34","01:30","B POSS","B POSS   CSM Bucuresti (women)",
,"12:32:36","01:31","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:32:41","01:36","B","B   CSM Bucuresti (women)",
,"12:32:41","01:36","P","[2 : 2]   P   CSM Bucuresti (women)",
,"12:32:55","01:51","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:32:56","01:51","SRV","SRV   CSM Bucuresti (women)",
,"12:33:01","01:56","RS","RS   CSM Bucuresti (women)",
,"12:33:01","01:57","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:33:05","02:01","K","K   Bursa Buyuksehir Belediyesi (women)",
,"12:33:05","02:01","P","[3 : 2]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:33:20","02:15","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:33:20","02:16","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:33:25","02:20","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:33:25","02:21","B POSS","B POSS   CSM Bucuresti (women)",
,"12:33:28","02:24","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:33:32","02:28","ERR","ERR   Bursa Buyuksehir Belediyesi (women)",
,"12:33:32","02:28","P","[3 : 3]   P   CSM Bucuresti (women)",
,"12:33:49","02:44","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:33:49","02:45","SRV","SRV   CSM Bucuresti (women)",
,"12:33:53","02:49","RS","RS   CSM Bucuresti (women)",
,"12:33:54","02:49","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:33:57","02:52","ERR","ERR   Bursa Buyuksehir Belediyesi (women)",
,"12:33:57","02:52","P","[3 : 4]   P   CSM Bucuresti (women)",
,"12:34:11","03:06","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:34:11","03:07","SRV","SRV   CSM Bucuresti (women)",
,"12:34:16","03:11","RS","RS   CSM Bucuresti (women)",
,"12:34:16","03:12","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:34:20","03:15","B POSS","B POSS   CSM Bucuresti (women)",
,"12:34:26","03:21","K","K   CSM Bucuresti (women)",
,"12:34:26","03:21","P","[3 : 5]   P   CSM Bucuresti (women)",
,"12:34:39","03:35","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:34:40","03:36","SRV","SRV   CSM Bucuresti (women)",
,"12:34:44","03:40","RS","RS   CSM Bucuresti (women)",
,"12:34:45","03:40","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:34:46","03:41","K","K   Bursa Buyuksehir Belediyesi (women)",
,"12:34:46","03:41","P","[4 : 5]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:34:59","03:54","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:34:59","03:55","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:35:05","04:01","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:35:06","04:01","B POSS","B POSS   CSM Bucuresti (women)",
,"12:35:11","04:06","ERR","ERR   CSM Bucuresti (women)",
,"12:35:11","04:06","P","[5 : 5]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:35:23","04:18","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:35:23","04:19","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:35:30","04:26","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:35:31","04:26","B POSS","B POSS   CSM Bucuresti (women)",
,"12:35:34","04:30","ERR","ERR   CSM Bucuresti (women)",
,"12:35:34","04:30","P","[6 : 5]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:35:48","04:43","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:35:48","04:44","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:35:54","04:50","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:35:55","04:50","B POSS","B POSS   CSM Bucuresti (women)",
,"12:35:56","04:52","K","K   CSM Bucuresti (women)",
,"12:35:56","04:52","P","[6 : 6]   P   CSM Bucuresti (women)",
,"12:36:12","05:07","Pt Conf","Pt Conf   CSM Bucuresti (women)",
,"12:36:13","05:08","SRV","SRV   CSM Bucuresti (women)",
,"12:36:19","05:14","S ERR","S ERR   CSM Bucuresti (women)",
,"12:36:19","05:14","P","[7 : 6]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:36:35","05:31","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:36:36","05:31","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:36:38","05:33","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:36:38","05:34","B POSS","B POSS   CSM Bucuresti (women)",
,"12:36:40","05:36","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:36:43","05:38","B POSS","B POSS   CSM Bucuresti (women)",
,"12:36:45","05:41","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:36:48","05:43","B POSS","B POSS   CSM Bucuresti (women)",
,"12:36:58","05:53","B POSS","B POSS   Bursa Buyuksehir Belediyesi (women)",
,"12:36:58","05:53","Rally over 5 possession changes","Rally over 5 possession changes",
,"12:37:01","05:57","K","K   Bursa Buyuksehir Belediyesi (women)",
,"12:37:01","05:57","P","[8 : 6]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:37:09","06:04","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
,"12:37:09","06:05","TIME","TIME",
,"12:37:10","06:05","TTO","TTO",
,"12:38:26","07:22","SRV","SRV   Bursa Buyuksehir Belediyesi (women)",
,"12:38:32","07:28","RS","RS   Bursa Buyuksehir Belediyesi (women)",
,"12:38:33","07:28","B POSS","B POSS   CSM Bucuresti (women)",
,"12:38:35","07:30","OUT","OUT   CSM Bucuresti (women)",
,"12:38:35","07:30","P","[9 : 6]   P   Bursa Buyuksehir Belediyesi (women)",
,"12:38:48","07:43","Pt Conf","Pt Conf   Bursa Buyuksehir Belediyesi (women)",
