"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886460","Italy","Supercoppa Italiana (men)","07.10.2017 - 14:00","AS Volley Lube","Pallavolo Modena",
"Statistics","AS Volley Lube","Type","Pallavolo Modena",
,"3","Score","1",
,"91","Points","89",
,"3","Sets","1",
,"5","Aces","8",
,"20","Service errors","14",
,"55","Kills","43",
,"8","Blocks","7",
,"5","Errors","4",
,"6","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:11:35","00:00","Game conditions changed","Game conditions changed",
,"13:11:36","00:00","Players warming up","Players warming up",
,"13:13:03","00:00","Jersey colours updated","Jersey colours updated",
,"13:13:07","00:00","Jersey colours updated","Jersey colours updated",
,"13:41:00","00:00","Warm up at the net","Warm up at the net",
,"13:54:54","00:00","Jersey colours updated","Jersey colours updated",
,"13:54:57","00:00","Players lined up","Players lined up",
,"13:55:35","00:00","Shake hands","Shake hands",
,"13:56:49","00:00","Players intro","Players intro",
,"13:58:37","00:00","Game about to start","Game about to start",
,"14:00:21","00:00","Start SRV","Start SRV   AS Volley Lube",
,"14:00:25","00:00","Start 1st Set","Start 1st Set",
,"14:00:26","00:00","SRV","SRV   AS Volley Lube",
,"14:00:28","00:02","RS","RS   AS Volley Lube",
,"14:00:28","00:03","B POSS","B POSS   Pallavolo Modena",
,"14:00:32","00:06","K","K   Pallavolo Modena",
,"14:00:32","00:06","P","[0 : 1]   P   Pallavolo Modena",
,"14:00:53","00:27","Pt Conf","Pt Conf   Pallavolo Modena",
,"14:00:54","00:28","SRV","SRV   Pallavolo Modena",
,"14:00:56","00:30","RS","RS   Pallavolo Modena",
,"14:00:57","00:31","B POSS","B POSS   AS Volley Lube",
,"14:00:59","00:33","K","K   AS Volley Lube",
,"14:00:59","00:33","P","[1 : 1]   P   AS Volley Lube",
,"14:01:12","00:46","Point under investigation","Point under investigation",
,"14:01:51","01:25","Pt Conf","Pt Conf   AS Volley Lube",
,"14:01:55","01:30","SRV","SRV   AS Volley Lube",
,"14:01:59","01:33","RS","RS   AS Volley Lube",
,"14:01:59","01:33","B POSS","B POSS   Pallavolo Modena",
,"14:02:02","01:37","K","K   Pallavolo Modena",
,"14:02:02","01:37","P","[1 : 2]   P   Pallavolo Modena",
,"14:02:20","01:54","Pt Conf","Pt Conf   Pallavolo Modena",
,"14:02:21","01:55","SRV","SRV   Pallavolo Modena",
,"14:02:23","01:57","RS","RS   Pallavolo Modena",
,"14:02:23","01:57","B POSS","B POSS   AS Volley Lube",
,"14:02:31","02:06","B POSS","B POSS   Pallavolo Modena",
,"14:02:33","02:08","B POSS","B POSS   AS Volley Lube",
,"14:02:37","02:12","B POSS","B POSS   Pallavolo Modena",
,"14:02:43","02:17","K","K   Pallavolo Modena",
