"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886820","Netherlands","Eredivisie (women)","07.10.2017 - 11:30","Talentteam Papendal/Arnhem (women)","CSE VC Zwolle (women)",
"Statistics","Talentteam Papendal/Arnhem (women)","Type","CSE VC Zwolle (women)",
,"1","Score","3",
,"80","Points","96",
,"1","Sets","3",
,"1","Aces","5",
,"8","Service errors","18",
,"43","Kills","49",
,"5","Blocks","11",
,"7","Errors","8",
,"16","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:59:02","00:00","Players warming up","Players warming up",
,"10:59:07","00:00","Game conditions changed","Game conditions changed",
,"11:00:24","00:00","Jersey colours updated","Jersey colours updated",
,"11:00:25","00:00","Jersey colours updated","Jersey colours updated",
,"11:11:30","00:00","Coin flipping","Coin flipping",
,"11:12:54","00:00","Players intro","Players intro",
,"11:13:12","00:00","Warm up at the net","Warm up at the net",
,"11:25:48","00:00","Shake hands","Shake hands",
,"11:26:21","00:00","Players lined up","Players lined up",
,"11:29:28","00:00","Game about to start","Game about to start",
,"11:29:45","00:00","Start SRV","Start SRV   CSE VC Zwolle (women)",
,"11:30:03","00:00","Start 1st Set","Start 1st Set",
,"11:30:03","00:00","SRV","SRV   CSE VC Zwolle (women)",
,"11:30:06","00:02","RS","RS   CSE VC Zwolle (women)",
,"11:30:06","00:02","B POSS","B POSS   Talentteam Papendal/Arnhem (women)",
,"11:30:09","00:05","B POSS","B POSS   CSE VC Zwolle (women)",
,"11:30:13","00:09","B POSS","B POSS   Talentteam Papendal/Arnhem (women)",
,"11:30:21","00:17","K","K   Talentteam Papendal/Arnhem (women)",
,"11:30:21","00:17","P","[1 : 0]   P   Talentteam Papendal/Arnhem (women)",
,"11:30:33","00:29","Pt Conf","Pt Conf   Talentteam Papendal/Arnhem (women)",
,"11:30:39","00:35","SRV","SRV   Talentteam Papendal/Arnhem (women)",
,"11:30:43","00:40","S ERR","S ERR   Talentteam Papendal/Arnhem (women)",
,"11:30:43","00:40","P","[1 : 1]   P   CSE VC Zwolle (women)",
,"11:30:55","00:51","Pt Conf","Pt Conf   CSE VC Zwolle (women)",
,"11:30:59","00:55","SRV","SRV   CSE VC Zwolle (women)",
,"11:31:02","00:58","RS","RS   CSE VC Zwolle (women)",
,"11:31:02","00:58","B POSS","B POSS   Talentteam Papendal/Arnhem (women)",
,"11:31:09","01:05","K","K   Talentteam Papendal/Arnhem (women)",
,"11:31:09","01:05","P","[2 : 1]   P   Talentteam Papendal/Arnhem (women)",
,"11:31:20","01:16","Pt Conf","Pt Conf   Talentteam Papendal/Arnhem (women)",
,"11:31:23","01:20","SRV","SRV   Talentteam Papendal/Arnhem (women)",
,"11:31:26","01:22","RS","RS   Talentteam Papendal/Arnhem (women)",
,"11:31:26","01:22","B POSS","B POSS   CSE VC Zwolle (women)",
,"11:31:32","01:28","K","K   CSE VC Zwolle (women)",
,"11:31:32","01:28","P","[2 : 2]   P   CSE VC Zwolle (women)",
,"11:31:44","01:40","Pt Conf","Pt Conf   CSE VC Zwolle (women)",
,"11:31:46","01:42","SRV","SRV   CSE VC Zwolle (women)",
,"11:31:50","01:46","RS","RS   CSE VC Zwolle (women)",
,"11:31:50","01:46","B POSS","B POSS   Talentteam Papendal/Arnhem (women)",
,"11:31:51","01:47","B POSS","B POSS   CSE VC Zwolle (women)",
,"11:31:57","01:53","K","K   CSE VC Zwolle (women)",
,"11:31:57","01:53","P","[2 : 3]   P   CSE VC Zwolle (women)",
,"11:32:10","02:06","Pt Conf","Pt Conf   CSE VC Zwolle (women)",
,"11:32:13","02:09","SRV","SRV   CSE VC Zwolle (women)",
,"11:32:16","02:12","RS","RS   CSE VC Zwolle (women)",
,"11:32:16","02:12","B POSS","B POSS   Talentteam Papendal/Arnhem (women)",
,"11:32:23","02:19","OUT","OUT   Talentteam Papendal/Arnhem (women)",
,"11:32:23","02:19","P","[2 : 4]   P   CSE VC Zwolle (women)",
,"11:32:33","02:29","Pt Conf","Pt Conf   CSE VC Zwolle (women)",
,"11:32:36","02:32","SRV","SRV   CSE VC Zwolle (women)",
,"11:32:46","02:42","RS","RS   CSE VC Zwolle (women)",
,"11:32:55","02:51","B POSS","B POSS   Talentteam Papendal/Arnhem (women)",
,"11:32:55","02:51","B POSS","B POSS   CSE VC Zwolle (women)",
