"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886821","Netherlands","Eredivisie (women)","07.10.2017 - 18:00","Alterno Apeldoorn (women)","TVT Twente (women)",
"Statistics","Alterno Apeldoorn (women)","Type","TVT Twente (women)",
,"3","Score","1",
,"87","Points","76",
,"3","Sets","1",
,"8","Aces","5",
,"12","Service errors","11",
,"46","Kills","38",
,"8","Blocks","7",
,"8","Errors","9",
,"6","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:34:25","00:00","Game conditions changed","Game conditions changed",
,"17:34:27","00:00","Players warming up","Players warming up",
,"17:38:47","00:00","Jersey colours updated","Jersey colours updated",
,"17:38:47","00:00","Jersey colours updated","Jersey colours updated",
,"17:51:09","00:00","Game conditions changed","Game conditions changed",
,"17:51:41","00:00","Coin flipping","Coin flipping",
,"17:53:43","00:00","Warm up at the net","Warm up at the net",
,"17:53:53","00:00","Shake hands","Shake hands",
,"17:54:04","00:00","Players lined up","Players lined up",
,"17:54:47","00:00","Players intro","Players intro",
,"18:06:56","00:00","Game about to start","Game about to start",
,"18:08:01","00:00","Start SRV","Start SRV   TVT Twente (women)",
,"18:08:26","00:00","Start 1st Set","Start 1st Set",
,"18:08:27","00:00","SRV","SRV   TVT Twente (women)",
,"18:08:28","00:02","RS","RS   TVT Twente (women)",
,"18:08:29","00:03","B POSS","B POSS   Alterno Apeldoorn (women)",
,"18:08:32","00:06","B POSS","B POSS   TVT Twente (women)",
,"18:08:40","00:13","K","K   TVT Twente (women)",
,"18:08:40","00:13","P","[0 : 1]   P   TVT Twente (women)",
,"18:08:50","00:24","Pt Conf","Pt Conf   TVT Twente (women)",
,"18:08:55","00:29","SRV","SRV   TVT Twente (women)",
,"18:08:58","00:32","RS","RS   TVT Twente (women)",
,"18:08:59","00:32","B POSS","B POSS   Alterno Apeldoorn (women)",
,"18:09:03","00:36","B POSS","B POSS   TVT Twente (women)",
,"18:09:09","00:42","K","K   TVT Twente (women)",
,"18:09:09","00:42","P","[0 : 2]   P   TVT Twente (women)",
,"18:09:20","00:53","Pt Conf","Pt Conf   TVT Twente (women)",
,"18:09:25","00:59","SRV","SRV   TVT Twente (women)",
,"18:09:28","01:02","RS","RS   TVT Twente (women)",
,"18:09:30","01:03","B POSS","B POSS   Alterno Apeldoorn (women)",
,"18:09:33","01:07","B POSS","B POSS   TVT Twente (women)",
,"18:09:34","01:08","B POSS","B POSS   Alterno Apeldoorn (women)",
,"18:09:40","01:14","K","K   Alterno Apeldoorn (women)",
,"18:09:40","01:14","P","[1 : 2]   P   Alterno Apeldoorn (women)",
,"18:09:48","01:21","Pt Conf","Pt Conf   Alterno Apeldoorn (women)",
,"18:09:53","01:26","SRV","SRV   Alterno Apeldoorn (women)",
,"18:09:55","01:29","RS","RS   Alterno Apeldoorn (women)",
,"18:09:56","01:29","B POSS","B POSS   TVT Twente (women)",
,"18:09:58","01:32","B POSS","B POSS   Alterno Apeldoorn (women)",
,"18:10:06","01:40","B POSS","B POSS   TVT Twente (women)",
,"18:10:12","01:46","K","K   TVT Twente (women)",
,"18:10:12","01:46","P","[1 : 3]   P   TVT Twente (women)",
