"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887251","Philippines","Premier Volleyball League Collegiate Conference (men)","07.10.2017 - 00:00","FEU Tamaraws (students)","NU Bulldogs (students)",
"Statistics","FEU Tamaraws (students)","Type","NU Bulldogs (students)",
,"3","Score","2",
,"103","Points","98",
,"3","Sets","2",
,"7","Aces","0",
,"11","Service errors","11",
,"45","Kills","51",
,"11","Blocks","10",
,"7","Errors","15",
,"19","Outs","14",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"23:45:21","00:00","Players warming up","Players warming up",
,"23:45:37","00:00","Players lined up","Players lined up",
,"23:45:41","00:00","Shake hands","Shake hands",
,"23:46:02","00:00","Coin flipping","Coin flipping",
,"23:46:04","00:00","Warm up at the net","Warm up at the net",
,"23:48:06","00:00","Jersey colours updated","Jersey colours updated",
,"23:48:07","00:00","Jersey colours updated","Jersey colours updated",
,"00:00:45","00:00","Players intro","Players intro",
,"00:01:53","00:00","Game about to start","Game about to start",
,"00:02:29","00:00","Start SRV","Start SRV   FEU Tamaraws (students)",
,"00:02:32","00:00","Game conditions changed","Game conditions changed",
,"00:02:51","00:00","Start 1st Set","Start 1st Set",
,"00:02:51","00:00","SRV","SRV   FEU Tamaraws (students)",
,"00:02:53","00:01","RS","RS   FEU Tamaraws (students)",
,"00:02:53","00:02","B POSS","B POSS   NU Bulldogs (students)",
,"00:03:03","00:12","ERR","ERR   NU Bulldogs (students)",
,"00:03:03","00:12","P","[1 : 0]   P   FEU Tamaraws (students)",
,"00:03:17","00:26","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:03:19","00:27","SRV","SRV   FEU Tamaraws (students)",
,"00:03:22","00:30","RS","RS   FEU Tamaraws (students)",
,"00:03:22","00:31","B POSS","B POSS   NU Bulldogs (students)",
,"00:03:24","00:32","B POSS","B POSS   FEU Tamaraws (students)",
,"00:03:28","00:37","K","K   FEU Tamaraws (students)",
,"00:03:28","00:37","P","[2 : 0]   P   FEU Tamaraws (students)",
,"00:03:43","00:51","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:03:44","00:52","SRV","SRV   FEU Tamaraws (students)",
,"00:03:45","00:53","RS","RS   FEU Tamaraws (students)",
,"00:03:45","00:54","B POSS","B POSS   NU Bulldogs (students)",
,"00:03:50","00:58","B POSS","B POSS   FEU Tamaraws (students)",
,"00:03:54","01:02","ERR","ERR   NU Bulldogs (students)",
,"00:03:54","01:02","P","[3 : 0]   P   FEU Tamaraws (students)",
,"00:04:11","01:19","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:04:11","01:20","SRV","SRV   FEU Tamaraws (students)",
,"00:04:14","01:23","RS","RS   FEU Tamaraws (students)",
,"00:04:15","01:23","B POSS","B POSS   NU Bulldogs (students)",
,"00:04:18","01:26","B POSS","B POSS   FEU Tamaraws (students)",
,"00:04:19","01:28","K","K   FEU Tamaraws (students)",
,"00:04:19","01:28","P","[4 : 0]   P   FEU Tamaraws (students)",
,"00:04:36","01:45","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:04:37","01:45","SRV","SRV   FEU Tamaraws (students)",
,"00:04:40","01:48","RS","RS   FEU Tamaraws (students)",
,"00:04:41","01:49","B POSS","B POSS   NU Bulldogs (students)",
,"00:04:44","01:52","B POSS","B POSS   FEU Tamaraws (students)",
,"00:04:47","01:55","K","K   FEU Tamaraws (students)",
,"00:04:47","01:55","P","[5 : 0]   P   FEU Tamaraws (students)",
,"00:05:07","02:15","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:05:08","02:16","SRV","SRV   FEU Tamaraws (students)",
,"00:05:10","02:19","RS","RS   FEU Tamaraws (students)",
,"00:05:11","02:19","B POSS","B POSS   NU Bulldogs (students)",
,"00:05:16","02:25","K","K   NU Bulldogs (students)",
,"00:05:16","02:25","P","[5 : 1]   P   NU Bulldogs (students)",
,"00:05:34","02:42","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"00:05:35","02:43","SRV","SRV   NU Bulldogs (students)",
,"00:05:36","02:45","RS","RS   NU Bulldogs (students)",
,"00:05:37","02:45","B POSS","B POSS   FEU Tamaraws (students)",
,"00:05:40","02:49","B POSS","B POSS   NU Bulldogs (students)",
,"00:05:45","02:53","K","K   NU Bulldogs (students)",
,"00:05:45","02:53","P","[5 : 2]   P   NU Bulldogs (students)",
,"00:06:02","03:10","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"00:06:02","03:10","SRV","SRV   NU Bulldogs (students)",
,"00:06:04","03:12","S ERR","S ERR   NU Bulldogs (students)",
,"00:06:04","03:12","P","[6 : 2]   P   FEU Tamaraws (students)",
,"00:06:20","03:28","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:06:21","03:29","SRV","SRV   FEU Tamaraws (students)",
,"00:06:22","03:31","RS","RS   FEU Tamaraws (students)",
,"00:06:23","03:31","B POSS","B POSS   NU Bulldogs (students)",
,"00:06:26","03:35","B POSS","B POSS   FEU Tamaraws (students)",
,"00:06:33","03:42","ERR","ERR   FEU Tamaraws (students)",
,"00:06:33","03:42","P","[6 : 3]   P   NU Bulldogs (students)",
,"00:06:50","03:59","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"00:06:51","03:59","SRV","SRV   NU Bulldogs (students)",
,"00:06:52","04:01","RS","RS   NU Bulldogs (students)",
,"00:06:53","04:01","B POSS","B POSS   FEU Tamaraws (students)",
,"00:06:56","04:04","K","K   FEU Tamaraws (students)",
,"00:06:56","04:04","P","[7 : 3]   P   FEU Tamaraws (students)",
,"00:07:17","04:25","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:07:18","04:26","SRV","SRV   FEU Tamaraws (students)",
,"00:07:21","04:29","RS","RS   FEU Tamaraws (students)",
,"00:07:22","04:30","B POSS","B POSS   NU Bulldogs (students)",
,"00:07:23","04:31","K","K   NU Bulldogs (students)",
,"00:07:23","04:31","P","[7 : 4]   P   NU Bulldogs (students)",
,"00:07:45","04:53","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"00:07:45","04:53","SRV","SRV   NU Bulldogs (students)",
,"00:07:48","04:57","S ERR","S ERR   NU Bulldogs (students)",
,"00:07:48","04:57","P","[8 : 4]   P   FEU Tamaraws (students)",
,"00:07:52","05:00","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:07:52","05:00","TIME","TIME",
,"00:07:53","05:02","TTO","TTO",
,"00:08:49","05:57","SRV","SRV   FEU Tamaraws (students)",
,"00:08:54","06:02","A","A   FEU Tamaraws (students)",
,"00:08:54","06:02","P","[9 : 4]   P   FEU Tamaraws (students)",
,"00:09:10","06:18","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:09:10","06:19","SRV","SRV   FEU Tamaraws (students)",
,"00:09:11","06:20","RS","RS   FEU Tamaraws (students)",
,"00:09:12","06:20","B POSS","B POSS   NU Bulldogs (students)",
,"00:09:16","06:25","B POSS","B POSS   FEU Tamaraws (students)",
,"00:09:21","06:29","K","K   FEU Tamaraws (students)",
,"00:09:21","06:29","P","[10 : 4]   P   FEU Tamaraws (students)",
,"00:09:37","06:45","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:09:38","06:46","SRV","SRV   FEU Tamaraws (students)",
,"00:09:39","06:47","RS","RS   FEU Tamaraws (students)",
,"00:09:39","06:48","B POSS","B POSS   NU Bulldogs (students)",
,"00:09:46","06:54","B POSS","B POSS   FEU Tamaraws (students)",
,"00:09:50","06:58","OUT","OUT   FEU Tamaraws (students)",
,"00:09:50","06:58","P","[10 : 5]   P   NU Bulldogs (students)",
,"00:10:06","07:14","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"00:10:07","07:15","SRV","SRV   NU Bulldogs (students)",
,"00:10:09","07:18","RS","RS   NU Bulldogs (students)",
,"00:10:11","07:19","B POSS","B POSS   FEU Tamaraws (students)",
,"00:10:12","07:21","K","K   FEU Tamaraws (students)",
,"00:10:12","07:21","P","[11 : 5]   P   FEU Tamaraws (students)",
,"00:10:34","07:42","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:10:35","07:43","SRV","SRV   FEU Tamaraws (students)",
,"00:10:39","07:47","A","A   FEU Tamaraws (students)",
,"00:10:39","07:47","P","[12 : 5]   P   FEU Tamaraws (students)",
,"00:10:57","08:05","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:10:57","08:06","SRV","SRV   FEU Tamaraws (students)",
,"00:10:59","08:08","RS","RS   FEU Tamaraws (students)",
,"00:11:00","08:08","B POSS","B POSS   NU Bulldogs (students)",
,"00:11:06","08:15","ERR","ERR   NU Bulldogs (students)",
,"00:11:06","08:15","P","[13 : 5]   P   FEU Tamaraws (students)",
,"00:11:14","08:22","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:11:15","08:23","TIME","TIME",
,"00:11:15","08:24","TIME","TIME   NU Bulldogs (students)",
,"00:12:14","09:22","SRV","SRV   FEU Tamaraws (students)",
,"00:12:22","09:30","S ERR","S ERR   FEU Tamaraws (students)",
,"00:12:22","09:30","P","[13 : 6]   P   NU Bulldogs (students)",
,"00:12:31","09:40","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"00:12:32","09:40","SRV","SRV   NU Bulldogs (students)",
,"00:12:33","09:42","RS","RS   NU Bulldogs (students)",
,"00:12:34","09:42","B POSS","B POSS   FEU Tamaraws (students)",
,"00:12:37","09:45","K","K   FEU Tamaraws (students)",
,"00:12:37","09:45","P","[14 : 6]   P   FEU Tamaraws (students)",
,"00:12:53","10:01","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:12:54","10:02","SRV","SRV   FEU Tamaraws (students)",
,"00:12:55","10:03","RS","RS   FEU Tamaraws (students)",
,"00:12:55","10:04","B POSS","B POSS   NU Bulldogs (students)",
,"00:12:58","10:06","B POSS","B POSS   FEU Tamaraws (students)",
,"00:13:02","10:10","K","K   FEU Tamaraws (students)",
,"00:13:02","10:10","P","[15 : 6]   P   FEU Tamaraws (students)",
,"00:13:18","10:26","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:13:18","10:27","SRV","SRV   FEU Tamaraws (students)",
,"00:13:20","10:28","RS","RS   FEU Tamaraws (students)",
,"00:13:21","10:29","B POSS","B POSS   NU Bulldogs (students)",
,"00:13:22","10:30","K","K   NU Bulldogs (students)",
,"00:13:22","10:30","P","[15 : 7]   P   NU Bulldogs (students)",
,"00:13:40","10:49","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"00:13:41","10:49","SRV","SRV   NU Bulldogs (students)",
,"00:13:43","10:51","RS","RS   NU Bulldogs (students)",
,"00:13:43","10:51","B POSS","B POSS   FEU Tamaraws (students)",
,"00:13:47","10:56","K","K   FEU Tamaraws (students)",
,"00:13:47","10:56","P","[16 : 7]   P   FEU Tamaraws (students)",
,"00:13:55","11:03","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:13:56","11:04","TIME","TIME",
,"00:13:56","11:05","TTO","TTO",
,"00:14:45","11:53","SRV","SRV   FEU Tamaraws (students)",
,"00:14:48","11:56","RS","RS   FEU Tamaraws (students)",
,"00:14:49","11:57","B POSS","B POSS   NU Bulldogs (students)",
,"00:14:52","12:00","B","B   FEU Tamaraws (students)",
,"00:14:52","12:00","P","[17 : 7]   P   FEU Tamaraws (students)",
,"00:15:10","12:18","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:15:11","12:19","SRV","SRV   FEU Tamaraws (students)",
,"00:15:12","12:20","RS","RS   FEU Tamaraws (students)",
,"00:15:12","12:21","B POSS","B POSS   NU Bulldogs (students)",
,"00:15:15","12:23","B","B   FEU Tamaraws (students)",
,"00:15:15","12:23","P","[18 : 7]   P   FEU Tamaraws (students)",
,"00:15:31","12:39","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:15:32","12:40","SRV","SRV   FEU Tamaraws (students)",
,"00:15:33","12:41","S ERR","S ERR   FEU Tamaraws (students)",
,"00:15:33","12:41","P","[18 : 8]   P   NU Bulldogs (students)",
,"00:15:54","13:03","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"00:15:55","13:03","SRV","SRV   NU Bulldogs (students)",
,"00:15:57","13:05","RS","RS   NU Bulldogs (students)",
,"00:15:57","13:06","B POSS","B POSS   FEU Tamaraws (students)",
,"00:16:00","13:09","B POSS","B POSS   NU Bulldogs (students)",
,"00:16:02","13:10","K","K   NU Bulldogs (students)",
,"00:16:02","13:10","P","[18 : 9]   P   NU Bulldogs (students)",
,"00:16:22","13:31","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"00:16:23","13:31","SRV","SRV   NU Bulldogs (students)",
,"00:16:26","13:34","RS","RS   NU Bulldogs (students)",
,"00:16:26","13:35","B POSS","B POSS   FEU Tamaraws (students)",
,"00:16:27","13:36","B POSS","B POSS   NU Bulldogs (students)",
,"00:16:41","13:49","B","B   FEU Tamaraws (students)",
,"00:16:41","13:49","P","[19 : 9]   P   FEU Tamaraws (students)",
,"00:16:57","14:06","Pt Conf","Pt Conf   FEU Tamaraws (students)",
,"00:16:58","14:06","SRV","SRV   FEU Tamaraws (students)",
,"00:16:59","14:07","RS","RS   FEU Tamaraws (students)",
,"00:17:00","14:08","B POSS","B POSS   NU Bulldogs (students)",
,"00:17:03","14:11","K","K   NU Bulldogs (students)",
,"00:17:03","14:11","P","[19 : 10]   P   NU Bulldogs (students)",
,"00:17:18","14:26","Pt Conf","Pt Conf   NU Bulldogs (students)",
,"00:17:19","14:27","SRV","SRV   NU Bulldogs (students)",
,"00:17:21","14:29","RS","RS   NU Bulldogs (students)",
,"00:17:21","14:30","B POSS","B POSS   FEU Tamaraws (students)",
,"00:17:30","14:38","K","K   FEU Tamaraws (students)",
