"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887252","Philippines","Premier Volleyball League Collegiate Conference (men)","07.10.2017 - 02:00","UST Tigres (students)","Ateneo Blue Eagles (students)",
"Statistics","UST Tigres (students)","Type","Ateneo Blue Eagles (students)",
,"3","Score","1",
,"97","Points","91",
,"3","Sets","1",
,"3","Aces","4",
,"19","Service errors","11",
,"53","Kills","42",
,"8","Blocks","6",
,"9","Errors","9",
,"11","Outs","13",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"02:06:57","00:00","Game conditions changed","Game conditions changed",
,"02:06:58","00:00","Players warming up","Players warming up",
,"02:21:22","00:00","Players lined up","Players lined up",
,"02:21:27","00:00","Shake hands","Shake hands",
,"02:21:33","00:00","Coin flipping","Coin flipping",
,"02:21:34","00:00","Warm up at the net","Warm up at the net",
,"02:21:44","00:00","Jersey colours updated","Jersey colours updated",
,"02:21:45","00:00","Jersey colours updated","Jersey colours updated",
,"02:28:03","00:00","Players intro","Players intro",
,"02:29:34","00:00","Game about to start","Game about to start",
,"02:29:37","00:00","Start SRV","Start SRV   Ateneo Blue Eagles (students)",
,"02:29:45","00:00","Start 1st Set","Start 1st Set",
,"02:29:45","00:00","SRV","SRV   Ateneo Blue Eagles (students)",
,"02:29:46","00:01","RS","RS   Ateneo Blue Eagles (students)",
,"02:29:46","00:01","B POSS","B POSS   UST Tigres (students)",
,"02:29:52","00:07","B POSS","B POSS   Ateneo Blue Eagles (students)",
,"02:29:53","00:08","K","K   Ateneo Blue Eagles (students)",
,"02:29:53","00:08","P","[0 : 1]   P   Ateneo Blue Eagles (students)",
,"02:30:11","00:26","Pt Conf","Pt Conf   Ateneo Blue Eagles (students)",
,"02:30:11","00:26","SRV","SRV   Ateneo Blue Eagles (students)",
,"02:30:13","00:28","RS","RS   Ateneo Blue Eagles (students)",
,"02:30:14","00:29","B POSS","B POSS   UST Tigres (students)",
,"02:30:15","00:30","K","K   UST Tigres (students)",
,"02:30:15","00:30","P","[1 : 1]   P   UST Tigres (students)",
,"02:30:31","00:46","Pt Conf","Pt Conf   UST Tigres (students)",
,"02:30:32","00:46","SRV","SRV   UST Tigres (students)",
,"02:30:35","00:49","RS","RS   UST Tigres (students)",
,"02:30:35","00:50","B POSS","B POSS   Ateneo Blue Eagles (students)",
,"02:30:38","00:53","K","K   Ateneo Blue Eagles (students)",
,"02:30:38","00:53","P","[1 : 2]   P   Ateneo Blue Eagles (students)",
,"02:30:54","01:09","Pt Conf","Pt Conf   Ateneo Blue Eagles (students)",
,"02:30:55","01:09","SRV","SRV   Ateneo Blue Eagles (students)",
,"02:30:57","01:12","S ERR","S ERR   Ateneo Blue Eagles (students)",
,"02:30:57","01:12","P","[2 : 2]   P   UST Tigres (students)",
,"02:31:13","01:27","Pt Conf","Pt Conf   UST Tigres (students)",
,"02:31:13","01:28","SRV","SRV   UST Tigres (students)",
,"02:31:16","01:31","RS","RS   UST Tigres (students)",
,"02:31:16","01:31","B POSS","B POSS   Ateneo Blue Eagles (students)",
,"02:31:20","01:35","B","B   UST Tigres (students)",
,"02:31:20","01:35","P","[3 : 2]   P   UST Tigres (students)",
