"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887255","Philippines","Premier Volleyball League Collegiate Conference (women)","07.10.2017 - 10:30","Arellano Lady Chiefs (women/students)","NU Lady Bulldogs (women/students)",
"Statistics","Arellano Lady Chiefs (women/students)","Type","NU Lady Bulldogs (women/students)",
,"2","Score","3",
,"101","Points","113",
,"2","Sets","3",
,"4","Aces","10",
,"15","Service errors","13",
,"50","Kills","55",
,"6","Blocks","12",
,"5","Errors","18",
,"16","Outs","10",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:02:06","00:00","Game conditions changed","Game conditions changed",
,"11:03:14","00:00","Players warming up","Players warming up",
,"11:20:31","00:00","Players lined up","Players lined up",
,"11:22:16","00:00","Jersey colours updated","Jersey colours updated",
,"11:22:16","00:00","Jersey colours updated","Jersey colours updated",
,"11:22:31","00:00","Warm up at the net","Warm up at the net",
,"11:34:58","00:00","Players intro","Players intro",
,"11:36:06","00:00","Game about to start","Game about to start",
,"11:36:49","00:00","Start SRV","Start SRV   Arellano Lady Chiefs (women/students)",
,"11:37:02","00:00","Start 1st Set","Start 1st Set",
,"11:37:02","00:00","SRV","SRV   Arellano Lady Chiefs (women/students)",
,"11:37:05","00:03","RS","RS   Arellano Lady Chiefs (women/students)",
,"11:37:05","00:03","B POSS","B POSS   NU Lady Bulldogs (women/students)",
,"11:37:13","00:10","B POSS","B POSS   Arellano Lady Chiefs (women/students)",
,"11:37:16","00:14","K","K   Arellano Lady Chiefs (women/students)",
,"11:37:16","00:14","P","[1 : 0]   P   Arellano Lady Chiefs (women/students)",
,"11:37:31","00:29","Pt Conf","Pt Conf   Arellano Lady Chiefs (women/students)",
,"11:37:33","00:30","SRV","SRV   Arellano Lady Chiefs (women/students)",
,"11:37:36","00:33","RS","RS   Arellano Lady Chiefs (women/students)",
,"11:37:36","00:33","B POSS","B POSS   NU Lady Bulldogs (women/students)",
