"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879469","Poland","Polska Liga (men)","07.10.2017 - 11:00","Asseco Resovia Rzeszow","ZAKSA Kedzierzyn-Kozle",
"Statistics","Asseco Resovia Rzeszow","Type","ZAKSA Kedzierzyn-Kozle",
,"1","Score","3",
,"100","Points","109",
,"1","Sets","3",
,"6","Aces","4",
,"17","Service errors","20",
,"55","Kills","67",
,"8","Blocks","6",
,"5","Errors","3",
,"10","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:28:31","00:00","Game conditions changed","Game conditions changed",
,"10:38:58","00:00","Jersey colours updated","Jersey colours updated",
,"10:38:58","00:00","Jersey colours updated","Jersey colours updated",
,"10:41:50","00:00","Players warming up","Players warming up",
,"10:43:31","00:00","Game conditions changed","Game conditions changed",
,"10:50:29","00:00","Game conditions changed","Game conditions changed",
,"10:50:38","00:00","Warm up at the net","Warm up at the net",
,"10:58:41","00:00","Players intro","Players intro",
,"11:02:31","00:00","Players lined up","Players lined up",
,"11:03:59","00:00","Shake hands","Shake hands",
,"11:06:21","00:00","Game about to start","Game about to start",
,"11:07:03","00:00","Start SRV","Start SRV   ZAKSA Kedzierzyn-Kozle",
,"11:07:07","00:00","Start 1st Set","Start 1st Set",
,"11:07:07","00:00","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"11:07:16","00:08","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"11:07:16","00:09","B POSS","B POSS   Asseco Resovia Rzeszow",
,"11:07:21","00:14","B","B   ZAKSA Kedzierzyn-Kozle",
,"11:07:21","00:14","P","[0 : 1]   P   ZAKSA Kedzierzyn-Kozle",
,"11:07:35","00:28","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"11:07:36","00:28","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"11:07:42","00:35","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"11:07:42","00:35","B POSS","B POSS   Asseco Resovia Rzeszow",
,"11:07:51","00:44","K","K   Asseco Resovia Rzeszow",
,"11:07:51","00:44","P","[1 : 1]   P   Asseco Resovia Rzeszow",
,"11:08:05","00:58","Pt Conf","Pt Conf   Asseco Resovia Rzeszow",
,"11:08:06","00:59","SRV","SRV   Asseco Resovia Rzeszow",
,"11:08:12","01:05","RS","RS   Asseco Resovia Rzeszow",
,"11:08:13","01:06","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"11:08:18","01:11","K","K   ZAKSA Kedzierzyn-Kozle",
,"11:08:18","01:11","P","[1 : 2]   P   ZAKSA Kedzierzyn-Kozle",
,"11:08:33","01:25","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"11:08:34","01:26","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"11:08:37","01:29","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"11:08:37","01:30","B POSS","B POSS   Asseco Resovia Rzeszow",
,"11:08:41","01:33","K","K   Asseco Resovia Rzeszow",
,"11:08:41","01:33","P","[2 : 2]   P   Asseco Resovia Rzeszow",
,"11:08:56","01:49","Pt Conf","Pt Conf   Asseco Resovia Rzeszow",
,"11:08:57","01:49","SRV","SRV   Asseco Resovia Rzeszow",
