"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"870995","Russia","Superleague (men)","07.10.2017 - 13:00","Ural Ufa","VC Dynamo LO",
"Statistics","Ural Ufa","Type","VC Dynamo LO",
,"3","Score","2",
,"106","Points","107",
,"3","Sets","2",
,"11","Aces","8",
,"17","Service errors","19",
,"47","Kills","56",
,"13","Blocks","3",
,"7","Errors","5",
,"16","Outs","11",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:29:32","00:00","Game conditions changed","Game conditions changed",
,"12:29:36","00:00","Players warming up","Players warming up",
,"12:33:44","00:00","Jersey colours updated","Jersey colours updated",
,"12:33:44","00:00","Jersey colours updated","Jersey colours updated",
,"12:42:31","00:00","Coin flipping","Coin flipping",
,"12:44:03","00:00","Warm up at the net","Warm up at the net",
,"12:55:38","00:00","Players lined up","Players lined up",
,"12:55:42","00:00","National anthem singing","National anthem singing",
,"12:57:47","00:00","Shake hands","Shake hands",
,"12:59:25","00:00","Players intro","Players intro",
,"13:00:57","00:00","Game about to start","Game about to start",
,"13:01:02","00:00","Game conditions changed","Game conditions changed",
,"13:01:34","00:00","Start SRV","Start SRV   Ural Ufa",
,"13:01:42","00:00","Start 1st Set","Start 1st Set",
,"13:01:42","00:00","SRV","SRV   Ural Ufa",
,"13:01:43","00:01","RS","RS   Ural Ufa",
,"13:01:43","00:01","B POSS","B POSS   VC Dynamo LO",
,"13:01:47","00:05","B POSS","B POSS   Ural Ufa",
,"13:01:51","00:09","OUT","OUT   VC Dynamo LO",
,"13:01:51","00:09","P","[1 : 0]   P   Ural Ufa",
,"13:02:09","00:26","Pt Conf","Pt Conf   Ural Ufa",
,"13:02:10","00:28","SRV","SRV   Ural Ufa",
,"13:02:12","00:30","S ERR","S ERR   Ural Ufa",
,"13:02:12","00:30","P","[1 : 1]   P   VC Dynamo LO",
,"13:02:29","00:47","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:02:30","00:48","SRV","SRV   VC Dynamo LO",
,"13:02:32","00:50","RS","RS   VC Dynamo LO",
,"13:02:32","00:50","B POSS","B POSS   Ural Ufa",
,"13:02:36","00:54","B POSS","B POSS   VC Dynamo LO",
,"13:02:41","00:59","B POSS","B POSS   Ural Ufa",
,"13:02:43","01:01","K","K   Ural Ufa",
,"13:02:43","01:01","P","[2 : 1]   P   Ural Ufa",
,"13:03:03","01:21","Pt Conf","Pt Conf   Ural Ufa",
,"13:03:05","01:23","SRV","SRV   Ural Ufa",
,"13:03:07","01:25","RS","RS   Ural Ufa",
,"13:03:07","01:25","B POSS","B POSS   VC Dynamo LO",
,"13:03:11","01:29","B POSS","B POSS   Ural Ufa",
,"13:03:16","01:34","OUT","OUT   VC Dynamo LO",
,"13:03:16","01:34","P","[3 : 1]   P   Ural Ufa",
,"13:03:34","01:52","Pt Conf","Pt Conf   Ural Ufa",
,"13:03:37","01:55","SRV","SRV   Ural Ufa",
,"13:03:38","01:56","RS","RS   Ural Ufa",
,"13:03:38","01:56","B POSS","B POSS   VC Dynamo LO",
,"13:03:41","01:59","K","K   VC Dynamo LO",
,"13:03:41","01:59","P","[3 : 2]   P   VC Dynamo LO",
,"13:03:57","02:15","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:04:01","02:19","SRV","SRV   VC Dynamo LO",
,"13:04:02","02:20","RS","RS   VC Dynamo LO",
,"13:04:02","02:20","B POSS","B POSS   Ural Ufa",
,"13:04:07","02:25","OUT","OUT   Ural Ufa",
,"13:04:07","02:25","P","[3 : 3]   P   VC Dynamo LO",
,"13:04:27","02:45","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:04:32","02:50","SRV","SRV   VC Dynamo LO",
,"13:04:33","02:51","RS","RS   VC Dynamo LO",
,"13:04:33","02:51","B POSS","B POSS   Ural Ufa",
,"13:04:40","02:58","B POSS","B POSS   VC Dynamo LO",
,"13:04:44","03:02","K","K   VC Dynamo LO",
,"13:04:44","03:02","P","[3 : 4]   P   VC Dynamo LO",
,"13:05:02","03:20","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:05:07","03:25","SRV","SRV   VC Dynamo LO",
,"13:05:09","03:27","RS","RS   VC Dynamo LO",
,"13:05:09","03:27","B POSS","B POSS   Ural Ufa",
,"13:05:12","03:30","K","K   Ural Ufa",
,"13:05:12","03:30","P","[4 : 4]   P   Ural Ufa",
,"13:05:28","03:46","Pt Conf","Pt Conf   Ural Ufa",
,"13:05:32","03:50","SRV","SRV   Ural Ufa",
,"13:05:33","03:51","RS","RS   Ural Ufa",
,"13:05:33","03:51","B POSS","B POSS   VC Dynamo LO",
,"13:05:36","03:54","K","K   VC Dynamo LO",
,"13:05:36","03:54","P","[4 : 5]   P   VC Dynamo LO",
,"13:05:52","04:10","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:05:54","04:12","SRV","SRV   VC Dynamo LO",
,"13:05:56","04:14","RS","RS   VC Dynamo LO",
,"13:05:56","04:14","B POSS","B POSS   Ural Ufa",
,"13:06:04","04:22","B POSS","B POSS   VC Dynamo LO",
,"13:06:06","04:24","B POSS","B POSS   Ural Ufa",
,"13:06:11","04:29","K","K   Ural Ufa",
,"13:06:11","04:29","P","[5 : 5]   P   Ural Ufa",
,"13:06:27","04:45","Pt Conf","Pt Conf   Ural Ufa",
,"13:06:29","04:47","SRV","SRV   Ural Ufa",
,"13:06:30","04:48","RS","RS   Ural Ufa",
,"13:06:30","04:48","B POSS","B POSS   VC Dynamo LO",
,"13:06:31","04:49","K","K   Ural Ufa",
,"13:06:31","04:49","P","[6 : 5]   P   Ural Ufa",
,"13:06:49","05:07","Pt Conf","Pt Conf   Ural Ufa",
,"13:06:50","05:08","SRV","SRV   Ural Ufa",
,"13:06:52","05:10","RS","RS   Ural Ufa",
,"13:06:52","05:10","B POSS","B POSS   VC Dynamo LO",
,"13:06:55","05:13","B POSS","B POSS   Ural Ufa",
,"13:07:05","05:23","ERR","ERR   Ural Ufa",
,"13:07:05","05:23","P","[6 : 6]   P   VC Dynamo LO",
,"13:07:25","05:43","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:07:27","05:45","SRV","SRV   VC Dynamo LO",
,"13:07:29","05:47","RS","RS   VC Dynamo LO",
,"13:07:29","05:47","B POSS","B POSS   Ural Ufa",
,"13:07:31","05:49","B POSS","B POSS   VC Dynamo LO",
,"13:07:38","05:56","B POSS","B POSS   Ural Ufa",
,"13:07:39","05:57","B POSS","B POSS   VC Dynamo LO",
,"13:07:42","06:00","B POSS","B POSS   Ural Ufa",
,"13:07:46","06:04","B POSS","B POSS   VC Dynamo LO",
,"13:07:46","06:04","Rally over 5 possession changes","Rally over 5 possession changes",
,"13:07:52","06:10","OUT","OUT   VC Dynamo LO",
,"13:07:52","06:10","P","[7 : 6]   P   Ural Ufa",
,"13:08:14","06:32","Pt Conf","Pt Conf   Ural Ufa",
,"13:08:19","06:37","SRV","SRV   Ural Ufa",
,"13:08:21","06:39","RS","RS   Ural Ufa",
,"13:08:21","06:39","B POSS","B POSS   VC Dynamo LO",
,"13:08:23","06:41","K","K   VC Dynamo LO",
,"13:08:23","06:41","P","[7 : 7]   P   VC Dynamo LO",
,"13:08:37","06:55","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:08:41","06:59","SRV","SRV   VC Dynamo LO",
,"13:08:42","07:00","RS","RS   VC Dynamo LO",
,"13:08:42","07:00","B POSS","B POSS   Ural Ufa",
,"13:08:46","07:04","K","K   Ural Ufa",
,"13:08:46","07:04","P","[8 : 7]   P   Ural Ufa",
,"13:08:54","07:12","Pt Conf","Pt Conf   Ural Ufa",
,"13:08:55","07:13","TIME","TIME",
,"13:08:56","07:14","TTO","TTO",
,"13:10:10","08:28","SRV","SRV   Ural Ufa",
,"13:10:12","08:30","RS","RS   Ural Ufa",
,"13:10:12","08:30","B POSS","B POSS   VC Dynamo LO",
,"13:10:15","08:33","K","K   VC Dynamo LO",
,"13:10:15","08:33","P","[8 : 8]   P   VC Dynamo LO",
,"13:10:32","08:50","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:10:38","08:56","SRV","SRV   VC Dynamo LO",
,"13:10:40","08:58","RS","RS   VC Dynamo LO",
,"13:10:40","08:58","B POSS","B POSS   Ural Ufa",
,"13:10:43","09:01","OUT","OUT   Ural Ufa",
,"13:10:43","09:01","P","[8 : 9]   P   VC Dynamo LO",
,"13:11:04","09:22","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:11:06","09:24","SRV","SRV   VC Dynamo LO",
,"13:11:08","09:26","RS","RS   VC Dynamo LO",
,"13:11:08","09:26","B POSS","B POSS   Ural Ufa",
,"13:11:18","09:36","Point under investigation","Point under investigation",
,"13:11:41","09:59","ERR","ERR   Ural Ufa",
,"13:11:41","09:59","P","[8 : 10]   P   VC Dynamo LO",
,"13:11:44","10:02","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:11:46","10:04","SRV","SRV   VC Dynamo LO",
,"13:11:56","10:14","Point under investigation","Point under investigation",
,"13:12:58","11:16","A","A   VC Dynamo LO",
,"13:12:58","11:16","P","[8 : 11]   P   VC Dynamo LO",
,"13:13:02","11:20","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:13:03","11:21","SRV","SRV   VC Dynamo LO",
,"13:13:04","11:22","RS","RS   VC Dynamo LO",
,"13:13:04","11:22","B POSS","B POSS   Ural Ufa",
,"13:13:08","11:26","B POSS","B POSS   VC Dynamo LO",
,"13:13:12","11:30","K","K   VC Dynamo LO",
,"13:13:12","11:30","P","[8 : 12]   P   VC Dynamo LO",
,"13:13:34","11:52","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:13:35","11:53","TIME","TIME",
,"13:13:36","11:54","TIME","TIME   Ural Ufa",
,"13:14:20","12:38","SRV","SRV   VC Dynamo LO",
,"13:14:21","12:39","S ERR","S ERR   VC Dynamo LO",
,"13:14:21","12:39","P","[9 : 12]   P   Ural Ufa",
,"13:14:34","12:52","Pt Conf","Pt Conf   Ural Ufa",
,"13:14:39","12:57","SRV","SRV   Ural Ufa",
,"13:14:41","12:59","A","A   Ural Ufa",
,"13:14:41","12:59","P","[10 : 12]   P   Ural Ufa",
,"13:14:56","13:14","Pt Conf","Pt Conf   Ural Ufa",
,"13:15:00","13:18","SRV","SRV   Ural Ufa",
,"13:15:02","13:20","S ERR","S ERR   Ural Ufa",
,"13:15:02","13:20","P","[10 : 13]   P   VC Dynamo LO",
,"13:15:17","13:35","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:15:19","13:37","SRV","SRV   VC Dynamo LO",
,"13:15:20","13:38","RS","RS   VC Dynamo LO",
,"13:15:20","13:38","B POSS","B POSS   Ural Ufa",
,"13:15:23","13:41","B POSS","B POSS   VC Dynamo LO",
,"13:15:27","13:45","K","K   VC Dynamo LO",
,"13:15:27","13:45","P","[10 : 14]   P   VC Dynamo LO",
,"13:15:44","14:02","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:15:45","14:03","SRV","SRV   VC Dynamo LO",
,"13:15:47","14:05","RS","RS   VC Dynamo LO",
,"13:15:47","14:05","B POSS","B POSS   Ural Ufa",
,"13:15:50","14:08","B POSS","B POSS   VC Dynamo LO",
,"13:15:54","14:12","K","K   VC Dynamo LO",
,"13:15:54","14:12","P","[10 : 15]   P   VC Dynamo LO",
,"13:16:11","14:29","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:16:12","14:30","SRV","SRV   VC Dynamo LO",
,"13:16:14","14:32","S ERR","S ERR   VC Dynamo LO",
,"13:16:14","14:32","P","[11 : 15]   P   Ural Ufa",
,"13:16:30","14:48","Pt Conf","Pt Conf   Ural Ufa",
,"13:16:33","14:51","SRV","SRV   Ural Ufa",
,"13:16:35","14:53","RS","RS   Ural Ufa",
,"13:16:35","14:53","B POSS","B POSS   VC Dynamo LO",
,"13:16:40","14:58","K","K   VC Dynamo LO",
,"13:16:40","14:58","P","[11 : 16]   P   VC Dynamo LO",
,"13:17:01","15:19","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:17:02","15:20","TIME","TIME",
,"13:17:02","15:20","TTO","TTO",
,"13:18:09","16:27","SRV","SRV   VC Dynamo LO",
,"13:18:12","16:30","S ERR","S ERR   VC Dynamo LO",
,"13:18:12","16:30","P","[12 : 16]   P   Ural Ufa",
,"13:18:18","16:36","Point under investigation","Point under investigation",
,"13:19:21","17:39","Pt Conf","Pt Conf   Ural Ufa",
,"13:19:23","17:41","SRV","SRV   Ural Ufa",
,"13:19:24","17:42","RS","RS   Ural Ufa",
,"13:19:24","17:42","B POSS","B POSS   VC Dynamo LO",
,"13:19:29","17:47","B","B   VC Dynamo LO",
,"13:19:29","17:47","P","[12 : 17]   P   VC Dynamo LO",
,"13:19:42","18:00","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:19:44","18:02","SRV","SRV   VC Dynamo LO",
,"13:19:45","18:03","RS","RS   VC Dynamo LO",
,"13:19:46","18:04","B POSS","B POSS   Ural Ufa",
,"13:19:50","18:08","B POSS","B POSS   VC Dynamo LO",
,"13:19:59","18:17","ERR","ERR   VC Dynamo LO",
,"13:19:59","18:17","P","[13 : 17]   P   Ural Ufa",
,"13:20:18","18:36","Pt Conf","Pt Conf   Ural Ufa",
,"13:20:19","18:37","SRV","SRV   Ural Ufa",
,"13:20:21","18:39","RS","RS   Ural Ufa",
,"13:20:21","18:39","B POSS","B POSS   VC Dynamo LO",
,"13:20:24","18:42","OUT","OUT   VC Dynamo LO",
,"13:20:24","18:42","P","[14 : 17]   P   Ural Ufa",
,"13:20:38","18:56","Pt Conf","Pt Conf   Ural Ufa",
,"13:20:39","18:57","TIME","TIME",
,"13:20:40","18:58","TIME","TIME   VC Dynamo LO",
,"13:21:21","19:39","SRV","SRV   Ural Ufa",
,"13:21:23","19:41","RS","RS   Ural Ufa",
,"13:21:23","19:41","B POSS","B POSS   VC Dynamo LO",
,"13:21:34","19:52","B POSS","B POSS   Ural Ufa",
,"13:21:37","19:55","K","K   Ural Ufa",
,"13:21:37","19:55","P","[15 : 17]   P   Ural Ufa",
,"13:21:53","20:11","Pt Conf","Pt Conf   Ural Ufa",
,"13:21:57","20:15","SRV","SRV   Ural Ufa",
,"13:21:58","20:16","RS","RS   Ural Ufa",
,"13:21:59","20:17","B POSS","B POSS   VC Dynamo LO",
,"13:22:01","20:19","K","K   VC Dynamo LO",
,"13:22:01","20:19","P","[15 : 18]   P   VC Dynamo LO",
,"13:22:21","20:39","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:22:24","20:42","SRV","SRV   VC Dynamo LO",
,"13:22:25","20:43","RS","RS   VC Dynamo LO",
,"13:22:25","20:43","B POSS","B POSS   Ural Ufa",
,"13:22:28","20:46","B POSS","B POSS   VC Dynamo LO",
,"13:22:31","20:49","B POSS","B POSS   Ural Ufa",
,"13:22:35","20:53","K","K   Ural Ufa",
,"13:22:35","20:53","P","[16 : 18]   P   Ural Ufa",
,"13:22:56","21:14","Pt Conf","Pt Conf   Ural Ufa",
,"13:23:01","21:19","SRV","SRV   Ural Ufa",
,"13:23:04","21:22","S ERR","S ERR   Ural Ufa",
,"13:23:04","21:22","P","[16 : 19]   P   VC Dynamo LO",
,"13:23:16","21:34","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:23:19","21:37","SRV","SRV   VC Dynamo LO",
,"13:23:21","21:39","S ERR","S ERR   VC Dynamo LO",
,"13:23:21","21:39","P","[17 : 19]   P   Ural Ufa",
,"13:23:36","21:54","Pt Conf","Pt Conf   Ural Ufa",
,"13:23:38","21:56","SRV","SRV   Ural Ufa",
,"13:23:39","21:57","RS","RS   Ural Ufa",
,"13:23:39","21:57","B POSS","B POSS   VC Dynamo LO",
,"13:23:44","22:02","OUT","OUT   Ural Ufa",
,"13:23:44","22:02","P","[17 : 20]   P   VC Dynamo LO",
,"13:24:00","22:18","Pt Conf","Pt Conf   VC Dynamo LO",
,"13:24:05","22:23","SRV","SRV   VC Dynamo LO",
,"13:24:06","22:24","RS","RS   VC Dynamo LO",
,"13:24:06","22:24","B POSS","B POSS   Ural Ufa",
,"13:24:10","22:28","K","K   Ural Ufa",
,"13:24:10","22:28","P","[18 : 20]   P   Ural Ufa",
,"13:24:36","22:54","Pt Conf","Pt Conf   Ural Ufa",
,"13:24:41","22:59","SRV","SRV   Ural Ufa",
,"13:24:43","23:01","RS","RS   Ural Ufa",
,"13:24:43","23:01","B POSS","B POSS   VC Dynamo LO",
