"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"870993","Russia","Superleague (men)","07.10.2017 - 14:00","Zenit Kazan","Gazprom-Yugra",
"Statistics","Zenit Kazan","Type","Gazprom-Yugra",
,"3","Score","1",
,"96","Points","85",
,"3","Sets","1",
,"8","Aces","4",
,"12","Service errors","11",
,"58","Kills","53",
,"8","Blocks","7",
,"5","Errors","3",
,"4","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:57:14","00:00","Game conditions changed","Game conditions changed",
,"13:57:15","00:00","Players warming up","Players warming up",
,"13:57:16","00:00","Coin flipping","Coin flipping",
,"13:57:16","00:00","Warm up at the net","Warm up at the net",
,"13:57:21","00:00","National anthem singing","National anthem singing",
,"13:57:35","00:00","Jersey colours updated","Jersey colours updated",
,"13:57:35","00:00","Jersey colours updated","Jersey colours updated",
,"13:59:17","00:00","Shake hands","Shake hands",
,"14:00:12","00:00","Players intro","Players intro",
,"14:01:38","00:00","Game about to start","Game about to start",
,"14:02:18","00:00","Start SRV","Start SRV   Gazprom-Yugra",
,"14:02:40","00:00","Start 1st Set","Start 1st Set",
,"14:02:41","00:00","SRV","SRV   Gazprom-Yugra",
,"14:02:48","00:07","RS","RS   Gazprom-Yugra",
,"14:02:49","00:08","B POSS","B POSS   Zenit Kazan",
,"14:02:52","00:11","K","K   Zenit Kazan",
,"14:02:52","00:11","P","[1 : 0]   P   Zenit Kazan",
,"14:03:00","00:19","Pt Conf","Pt Conf   Zenit Kazan",
,"14:03:07","00:26","SRV","SRV   Zenit Kazan",
,"14:03:15","00:35","RS","RS   Zenit Kazan",
,"14:03:16","00:36","B POSS","B POSS   Gazprom-Yugra",
,"14:03:17","00:36","B POSS","B POSS   Zenit Kazan",
,"14:03:24","00:44","B POSS","B POSS   Gazprom-Yugra",
,"14:03:28","00:47","B POSS","B POSS   Zenit Kazan",
,"14:03:31","00:51","B POSS","B POSS   Gazprom-Yugra",
,"14:03:33","00:52","B POSS","B POSS   Zenit Kazan",
,"14:03:33","00:52","Rally over 5 possession changes","Rally over 5 possession changes",
,"14:03:34","00:54","K","K   Zenit Kazan",
,"14:03:34","00:54","P","[2 : 0]   P   Zenit Kazan",
,"14:03:53","01:12","Pt Conf","Pt Conf   Zenit Kazan",
,"14:03:55","01:14","SRV","SRV   Zenit Kazan",
,"14:04:00","01:19","RS","RS   Zenit Kazan",
,"14:04:00","01:19","B POSS","B POSS   Gazprom-Yugra",
,"14:04:07","01:26","OUT","OUT   Gazprom-Yugra",
,"14:04:07","01:26","P","[3 : 0]   P   Zenit Kazan",
,"14:04:19","01:38","Pt Conf","Pt Conf   Zenit Kazan",
,"14:04:20","01:39","SRV","SRV   Zenit Kazan",
,"14:04:29","01:49","RS","RS   Zenit Kazan",
,"14:04:29","01:49","B POSS","B POSS   Gazprom-Yugra",
,"14:04:39","01:58","B","B   Zenit Kazan",
,"14:04:39","01:58","P","[4 : 0]   P   Zenit Kazan",
,"14:04:52","02:11","Pt Conf","Pt Conf   Zenit Kazan",
,"14:05:08","02:28","SRV","SRV   Zenit Kazan",
,"14:05:12","02:32","RS","RS   Zenit Kazan",
,"14:05:15","02:34","B POSS","B POSS   Gazprom-Yugra",
,"14:05:16","02:35","B POSS","B POSS   Zenit Kazan",
,"14:05:19","02:38","B POSS","B POSS   Gazprom-Yugra",
,"14:05:26","02:45","ERR","ERR   Zenit Kazan",
,"14:05:26","02:45","P","[4 : 1]   P   Gazprom-Yugra",
,"14:05:44","03:03","Pt Conf","Pt Conf   Gazprom-Yugra",
,"14:05:46","03:05","SRV","SRV   Gazprom-Yugra",
,"14:05:50","03:10","RS","RS   Gazprom-Yugra",
,"14:05:50","03:10","B POSS","B POSS   Zenit Kazan",
,"14:05:53","03:12","K","K   Zenit Kazan",
,"14:05:53","03:12","P","[5 : 1]   P   Zenit Kazan",
,"14:05:57","03:17","Pt Conf","Pt Conf   Zenit Kazan",
,"14:06:09","03:29","SRV","SRV   Zenit Kazan",
,"14:06:16","03:35","RS","RS   Zenit Kazan",
,"14:06:16","03:35","B POSS","B POSS   Gazprom-Yugra",
,"14:06:19","03:38","K","K   Gazprom-Yugra",
,"14:06:19","03:38","P","[5 : 2]   P   Gazprom-Yugra",
,"14:06:32","03:52","Pt Conf","Pt Conf   Gazprom-Yugra",
