"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"870994","Russia","Superleague (men)","07.10.2017 - 15:00","VC Yaroslavich Yaroslavl","VC Nova Novokuybyishevsk",
"Statistics","VC Yaroslavich Yaroslavl","Type","VC Nova Novokuybyishevsk",
,"2","Score","3",
,"99","Points","107",
,"2","Sets","3",
,"10","Aces","7",
,"11","Service errors","17",
,"47","Kills","55",
,"11","Blocks","18",
,"13","Errors","5",
,"3","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:15:37","00:00","Game conditions changed","Game conditions changed",
,"14:15:40","00:00","Players warming up","Players warming up",
,"14:43:52","00:00","Coin flipping","Coin flipping",
,"14:45:33","00:00","Warm up at the net","Warm up at the net",
,"14:55:11","00:00","Players lined up","Players lined up",
,"14:55:26","00:00","National anthem singing","National anthem singing",
,"14:55:41","00:00","Jersey colours updated","Jersey colours updated",
,"14:55:41","00:00","Jersey colours updated","Jersey colours updated",
,"14:56:49","00:00","Shake hands","Shake hands",
,"14:58:20","00:00","Players intro","Players intro",
,"15:00:17","00:00","Start SRV","Start SRV   VC Nova Novokuybyishevsk",
,"15:00:19","00:00","Game about to start","Game about to start",
,"15:00:33","00:00","Start 1st Set","Start 1st Set",
,"15:00:34","00:00","SRV","SRV   VC Nova Novokuybyishevsk",
,"15:00:38","00:05","RS","RS   VC Nova Novokuybyishevsk",
,"15:00:39","00:05","B POSS","B POSS   VC Yaroslavich Yaroslavl",
,"15:00:43","00:09","B","B   VC Nova Novokuybyishevsk",
,"15:00:43","00:09","P","[0 : 1]   P   VC Nova Novokuybyishevsk",
,"15:00:58","00:25","Pt Conf","Pt Conf   VC Nova Novokuybyishevsk",
,"15:01:01","00:28","SRV","SRV   VC Nova Novokuybyishevsk",
,"15:01:03","00:29","S ERR","S ERR   VC Nova Novokuybyishevsk",
,"15:01:03","00:29","P","[1 : 1]   P   VC Yaroslavich Yaroslavl",
,"15:01:18","00:44","Pt Conf","Pt Conf   VC Yaroslavich Yaroslavl",
,"15:01:19","00:45","SRV","SRV   VC Yaroslavich Yaroslavl",
,"15:01:21","00:48","RS","RS   VC Yaroslavich Yaroslavl",
,"15:01:22","00:49","B POSS","B POSS   VC Nova Novokuybyishevsk",
,"15:01:26","00:53","K","K   VC Nova Novokuybyishevsk",
,"15:01:26","00:53","P","[1 : 2]   P   VC Nova Novokuybyishevsk",
,"15:01:47","01:14","Danger","Danger",
,"15:01:47","01:14","Scout offline","Scout offline",
,"15:02:31","01:58","Updating score","Updating score",
,"15:02:37","02:03","K","K   VC Yaroslavich Yaroslavl",
,"15:02:37","02:03","P","[2 : 2]   P   VC Yaroslavich Yaroslavl",
,"15:02:40","02:07","A","A   VC Yaroslavich Yaroslavl",
,"15:02:40","02:07","P","[3 : 2]   P   VC Yaroslavich Yaroslavl",
,"15:02:47","02:13","S ERR","S ERR   VC Yaroslavich Yaroslavl",
,"15:02:47","02:13","P","[3 : 3]   P   VC Nova Novokuybyishevsk",
,"15:02:49","02:16","Score updated","Score updated",
,"15:02:59","02:26","SRV","SRV   VC Nova Novokuybyishevsk",
,"15:03:05","02:31","RS","RS   VC Nova Novokuybyishevsk",
,"15:03:06","02:32","B POSS","B POSS   VC Yaroslavich Yaroslavl",
,"15:03:11","02:37","B","B   VC Nova Novokuybyishevsk",
,"15:03:11","02:37","P","[3 : 4]   P   VC Nova Novokuybyishevsk",
,"15:03:24","02:50","Pt Conf","Pt Conf   VC Nova Novokuybyishevsk",
,"15:03:29","02:56","SRV","SRV   VC Nova Novokuybyishevsk",
,"15:03:38","03:04","RS","RS   VC Nova Novokuybyishevsk",
,"15:03:38","03:05","B POSS","B POSS   VC Yaroslavich Yaroslavl",
,"15:03:43","03:09","B","B   VC Nova Novokuybyishevsk",
,"15:03:43","03:09","P","[3 : 5]   P   VC Nova Novokuybyishevsk",
,"15:03:53","03:20","Pt Conf","Pt Conf   VC Nova Novokuybyishevsk",
,"15:04:01","03:27","SRV","SRV   VC Nova Novokuybyishevsk",
,"15:04:08","03:35","RS","RS   VC Nova Novokuybyishevsk",
,"15:04:09","03:35","B POSS","B POSS   VC Yaroslavich Yaroslavl",
,"15:04:14","03:40","B","B   VC Nova Novokuybyishevsk",
,"15:04:14","03:40","P","[3 : 6]   P   VC Nova Novokuybyishevsk",
,"15:04:23","03:49","Pt Conf","Pt Conf   VC Nova Novokuybyishevsk",
,"15:04:23","03:50","TIME","TIME",
,"15:04:28","03:55","TIME","TIME   VC Yaroslavich Yaroslavl",
,"15:05:11","04:37","SRV","SRV   VC Nova Novokuybyishevsk",
,"15:05:19","04:46","RS","RS   VC Nova Novokuybyishevsk",
,"15:05:20","04:46","B POSS","B POSS   VC Yaroslavich Yaroslavl",
,"15:05:23","04:49","K","K   VC Yaroslavich Yaroslavl",
,"15:05:23","04:49","P","[4 : 6]   P   VC Yaroslavich Yaroslavl",
