"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886636","Slovenia","1. DOL (men)","07.10.2017 - 17:00","OK Panvita Pomgrad","OK Maribor",
"Statistics","OK Panvita Pomgrad","Type","OK Maribor",
,"2","Score","3",
,"106","Points","110",
,"2","Sets","3",
,"8","Aces","8",
,"18","Service errors","14",
,"58","Kills","50",
,"11","Blocks","12",
,"13","Errors","4",
,"9","Outs","11",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:41:04","00:00","Game conditions changed","Game conditions changed",
,"16:41:05","00:00","Players warming up","Players warming up",
,"16:45:56","00:00","Coin flipping","Coin flipping",
,"16:45:57","00:00","Warm up at the net","Warm up at the net",
,"16:47:17","00:00","Jersey colours updated","Jersey colours updated",
,"16:47:18","00:00","Jersey colours updated","Jersey colours updated",
,"16:57:35","00:00","Players intro","Players intro",
,"16:57:51","00:00","Players lined up","Players lined up",
,"16:58:29","00:00","Shake hands","Shake hands",
,"17:00:39","00:00","Game about to start","Game about to start",
,"17:01:15","00:00","Start SRV","Start SRV   OK Maribor",
,"17:01:30","00:00","Start 1st Set","Start 1st Set",
,"17:01:30","00:00","SRV","SRV   OK Maribor",
,"17:01:32","00:02","RS","RS   OK Maribor",
,"17:01:32","00:02","B POSS","B POSS   OK Panvita Pomgrad",
,"17:01:38","00:07","K","K   OK Panvita Pomgrad",
,"17:01:38","00:07","P","[1 : 0]   P   OK Panvita Pomgrad",
,"17:01:54","00:24","Pt Conf","Pt Conf   OK Panvita Pomgrad",
,"17:02:01","00:30","SRV","SRV   OK Panvita Pomgrad",
,"17:02:03","00:33","RS","RS   OK Panvita Pomgrad",
,"17:02:03","00:33","B POSS","B POSS   OK Maribor",
,"17:02:10","00:39","K","K   OK Maribor",
,"17:02:10","00:39","P","[1 : 1]   P   OK Maribor",
,"17:02:19","00:49","Pt Conf","Pt Conf   OK Maribor",
,"17:02:28","00:58","SRV","SRV   OK Maribor",
,"17:02:30","00:59","RS","RS   OK Maribor",
,"17:02:30","01:00","B POSS","B POSS   OK Panvita Pomgrad",
,"17:02:36","01:06","K","K   OK Panvita Pomgrad",
,"17:02:36","01:06","P","[2 : 1]   P   OK Panvita Pomgrad",
,"17:02:46","01:16","Pt Conf","Pt Conf   OK Panvita Pomgrad",
,"17:02:55","01:25","SRV","SRV   OK Panvita Pomgrad",
,"17:02:57","01:27","RS","RS   OK Panvita Pomgrad",
,"17:02:57","01:27","B POSS","B POSS   OK Maribor",
,"17:03:02","01:31","K","K   OK Maribor",
,"17:03:02","01:31","P","[2 : 2]   P   OK Maribor",
,"17:03:14","01:44","Pt Conf","Pt Conf   OK Maribor",
,"17:03:24","01:54","SRV","SRV   OK Maribor",
,"17:03:29","01:58","S ERR","S ERR   OK Maribor",
,"17:03:29","01:58","P","[3 : 2]   P   OK Panvita Pomgrad",
,"17:03:38","02:08","Pt Conf","Pt Conf   OK Panvita Pomgrad",
,"17:03:43","02:13","SRV","SRV   OK Panvita Pomgrad",
,"17:03:45","02:15","RS","RS   OK Panvita Pomgrad",
,"17:03:45","02:15","B POSS","B POSS   OK Maribor",
,"17:03:48","02:17","B POSS","B POSS   OK Panvita Pomgrad",
,"17:03:51","02:21","B POSS","B POSS   OK Maribor",
,"17:03:58","02:28","K","K   OK Maribor",
,"17:03:58","02:28","P","[3 : 3]   P   OK Maribor",
,"17:04:08","02:37","Pt Conf","Pt Conf   OK Maribor",
,"17:04:29","02:59","SRV","SRV   OK Maribor",
,"17:04:31","03:01","RS","RS   OK Maribor",
,"17:04:32","03:01","B POSS","B POSS   OK Panvita Pomgrad",
,"17:04:35","03:05","K","K   OK Panvita Pomgrad",
,"17:04:35","03:05","P","[4 : 3]   P   OK Panvita Pomgrad",
,"17:04:47","03:17","Pt Conf","Pt Conf   OK Panvita Pomgrad",
,"17:04:51","03:21","SRV","SRV   OK Panvita Pomgrad",
,"17:04:56","03:25","S ERR","S ERR   OK Panvita Pomgrad",
,"17:04:56","03:25","P","[4 : 4]   P   OK Maribor",
,"17:05:05","03:35","Pt Conf","Pt Conf   OK Maribor",
,"17:05:13","03:43","SRV","SRV   OK Maribor",
,"17:05:15","03:45","RS","RS   OK Maribor",
,"17:05:16","03:46","B POSS","B POSS   OK Panvita Pomgrad",
,"17:05:19","03:49","K","K   OK Panvita Pomgrad",
