"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886751","Turkey","1. Lig (men)","07.10.2017 - 11:00","Ziraat Bankasi II","Bigadic Belediye",
"Statistics","Ziraat Bankasi II","Type","Bigadic Belediye",
,"3","Score","2",
,"111","Points","110",
,"3","Sets","2",
,"5","Aces","5",
,"10","Service errors","18",
,"44","Kills","70",
,"24","Blocks","9",
,"4","Errors","4",
,"12","Outs","16",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:10:28","00:00","Game conditions changed","Game conditions changed",
,"10:10:29","00:00","Players warming up","Players warming up",
,"10:12:22","00:00","Jersey colours updated","Jersey colours updated",
,"10:12:22","00:00","Jersey colours updated","Jersey colours updated",
,"10:12:40","00:00","Game conditions changed","Game conditions changed",
,"10:12:45","00:00","Game conditions changed","Game conditions changed",
,"10:42:00","00:00","Game conditions changed","Game conditions changed",
,"10:42:04","00:00","Game conditions changed","Game conditions changed",
,"10:44:28","00:00","Coin flipping","Coin flipping",
,"10:44:29","00:00","Warm up at the net","Warm up at the net",
,"10:56:08","00:00","Players lined up","Players lined up",
,"10:57:44","00:00","Players intro","Players intro",
,"10:59:26","00:00","Game about to start","Game about to start",
,"10:59:26","00:00","Start SRV","Start SRV   Bigadic Belediye",
,"11:00:04","00:00","Start 1st Set","Start 1st Set",
,"11:00:05","00:00","SRV","SRV   Bigadic Belediye",
,"11:00:06","00:01","RS","RS   Bigadic Belediye",
,"11:00:06","00:01","B POSS","B POSS   Ziraat Bankasi II",
,"11:00:09","00:05","B POSS","B POSS   Bigadic Belediye",
,"11:00:15","00:10","K","K   Bigadic Belediye",
,"11:00:15","00:10","P","[0 : 1]   P   Bigadic Belediye",
,"11:00:31","00:26","Pt Conf","Pt Conf   Bigadic Belediye",
,"11:00:32","00:27","SRV","SRV   Bigadic Belediye",
,"11:00:33","00:29","RS","RS   Bigadic Belediye",
,"11:00:34","00:29","B POSS","B POSS   Ziraat Bankasi II",
,"11:00:38","00:33","B POSS","B POSS   Bigadic Belediye",
,"11:00:42","00:38","B POSS","B POSS   Ziraat Bankasi II",
,"11:00:47","00:43","B POSS","B POSS   Bigadic Belediye",
,"11:00:52","00:47","K","K   Bigadic Belediye",
,"11:00:52","00:47","P","[0 : 2]   P   Bigadic Belediye",
,"11:01:07","01:03","Pt Conf","Pt Conf   Bigadic Belediye",
,"11:01:09","01:04","SRV","SRV   Bigadic Belediye",
,"11:01:11","01:06","S ERR","S ERR   Bigadic Belediye",
,"11:01:11","01:06","P","[1 : 2]   P   Ziraat Bankasi II",
,"11:01:24","01:20","Pt Conf","Pt Conf   Ziraat Bankasi II",
,"11:01:27","01:22","SRV","SRV   Ziraat Bankasi II",
,"11:01:28","01:23","RS","RS   Ziraat Bankasi II",
,"11:01:28","01:23","B POSS","B POSS   Bigadic Belediye",
,"11:01:34","01:29","OUT","OUT   Bigadic Belediye",
,"11:01:34","01:29","P","[2 : 2]   P   Ziraat Bankasi II",
,"11:01:47","01:42","Pt Conf","Pt Conf   Ziraat Bankasi II",
,"11:01:47","01:43","SRV","SRV   Ziraat Bankasi II",
,"11:01:48","01:44","RS","RS   Ziraat Bankasi II",
,"11:01:49","01:44","B POSS","B POSS   Bigadic Belediye",
,"11:01:54","01:49","OUT","OUT   Bigadic Belediye",
,"11:01:54","01:49","P","[3 : 2]   P   Ziraat Bankasi II",
,"11:02:08","02:03","Pt Conf","Pt Conf   Ziraat Bankasi II",
,"11:02:09","02:04","SRV","SRV   Ziraat Bankasi II",
,"11:02:09","02:04","RS","RS   Ziraat Bankasi II",
,"11:02:09","02:05","B POSS","B POSS   Bigadic Belediye",
,"11:02:17","02:12","OUT","OUT   Bigadic Belediye",
,"11:02:17","02:12","P","[4 : 2]   P   Ziraat Bankasi II",
,"11:02:31","02:26","Pt Conf","Pt Conf   Ziraat Bankasi II",
,"11:02:32","02:27","SRV","SRV   Ziraat Bankasi II",
,"11:02:34","02:29","RS","RS   Ziraat Bankasi II",
,"11:02:34","02:29","B POSS","B POSS   Bigadic Belediye",
,"11:02:37","02:32","K","K   Bigadic Belediye",
,"11:02:37","02:32","P","[4 : 3]   P   Bigadic Belediye",
,"11:02:51","02:47","Pt Conf","Pt Conf   Bigadic Belediye",
,"11:02:52","02:48","SRV","SRV   Bigadic Belediye",
,"11:02:56","02:51","S ERR","S ERR   Bigadic Belediye",
,"11:02:56","02:51","P","[5 : 3]   P   Ziraat Bankasi II",
,"11:03:08","03:03","Pt Conf","Pt Conf   Ziraat Bankasi II",
,"11:03:12","03:07","SRV","SRV   Ziraat Bankasi II",
,"11:03:13","03:08","RS","RS   Ziraat Bankasi II",
,"11:03:14","03:09","B POSS","B POSS   Bigadic Belediye",
,"11:03:17","03:12","K","K   Bigadic Belediye",
,"11:03:17","03:12","P","[5 : 4]   P   Bigadic Belediye",
,"11:03:33","03:28","Pt Conf","Pt Conf   Bigadic Belediye",
,"11:03:33","03:29","SRV","SRV   Bigadic Belediye",
,"11:03:36","03:31","RS","RS   Bigadic Belediye",
,"11:03:36","03:32","B POSS","B POSS   Ziraat Bankasi II",
,"11:03:41","03:36","K","K   Ziraat Bankasi II",
,"11:03:41","03:36","P","[6 : 4]   P   Ziraat Bankasi II",
,"11:03:59","03:54","Pt Conf","Pt Conf   Ziraat Bankasi II",
,"11:04:00","03:55","SRV","SRV   Ziraat Bankasi II",
,"11:04:01","03:57","RS","RS   Ziraat Bankasi II",
,"11:04:02","03:57","B POSS","B POSS   Bigadic Belediye",
,"11:04:05","04:00","K","K   Bigadic Belediye",
,"11:04:05","04:00","P","[6 : 5]   P   Bigadic Belediye",
,"11:04:21","04:17","Pt Conf","Pt Conf   Bigadic Belediye",
,"11:04:22","04:17","SRV","SRV   Bigadic Belediye",
,"11:04:23","04:19","RS","RS   Bigadic Belediye",
,"11:04:24","04:19","B POSS","B POSS   Ziraat Bankasi II",
,"11:04:28","04:23","B POSS","B POSS   Bigadic Belediye",
,"11:04:31","04:26","B","B   Ziraat Bankasi II",
,"11:04:31","04:26","P","[7 : 5]   P   Ziraat Bankasi II",
,"11:04:47","04:42","Pt Conf","Pt Conf   Ziraat Bankasi II",
,"11:04:48","04:43","SRV","SRV   Ziraat Bankasi II",
,"11:04:53","04:48","RS","RS   Ziraat Bankasi II",
,"11:04:53","04:48","B POSS","B POSS   Bigadic Belediye",
,"11:04:56","04:51","K","K   Bigadic Belediye",
,"11:04:56","04:51","P","[7 : 6]   P   Bigadic Belediye",
,"11:05:15","05:10","Pt Conf","Pt Conf   Bigadic Belediye",
,"11:05:16","05:11","SRV","SRV   Bigadic Belediye",
,"11:05:20","05:15","S ERR","S ERR   Bigadic Belediye",
,"11:05:20","05:15","P","[8 : 6]   P   Ziraat Bankasi II",
,"11:05:34","05:29","Pt Conf","Pt Conf   Ziraat Bankasi II",
,"11:05:38","05:33","SRV","SRV   Ziraat Bankasi II",
,"11:05:40","05:35","RS","RS   Ziraat Bankasi II",
,"11:05:40","05:35","B POSS","B POSS   Bigadic Belediye",
,"11:05:44","05:40","B POSS","B POSS   Ziraat Bankasi II",
