"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884009","USA","NCAA Women","07.10.2017 - 17:00","Manhattan Jaspers (women/students)","Niagara Purple Eagles (women/students)",
"Statistics","Manhattan Jaspers (women/students)","Type","Niagara Purple Eagles (women/students)",
,"0","Score","3",
,"56","Points","75",
,"0","Sets","3",
,"3","Aces","7",
,"5","Service errors","5",
,"33","Kills","49",
,"0","Blocks","3",
,"8","Errors","8",
,"3","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:47:43","00:00","Game conditions changed","Game conditions changed",
,"16:47:44","00:00","Players warming up","Players warming up",
,"16:51:10","00:00","Coin flipping","Coin flipping",
,"16:51:11","00:00","Warm up at the net","Warm up at the net",
,"16:52:26","00:00","Jersey colours updated","Jersey colours updated",
,"16:52:26","00:00","Jersey colours updated","Jersey colours updated",
,"16:59:11","00:00","Players intro","Players intro",
,"17:00:03","00:00","Players lined up","Players lined up",
,"17:02:01","00:00","National anthem singing","National anthem singing",
,"17:03:37","00:00","Shake hands","Shake hands",
,"17:03:48","00:00","Game about to start","Game about to start",
,"17:04:42","00:00","Start SRV","Start SRV   Niagara Purple Eagles (women/students)",
,"17:04:44","00:00","Start 1st Set","Start 1st Set",
,"17:04:45","00:00","SRV","SRV   Niagara Purple Eagles (women/students)",
,"17:04:49","00:04","RS","RS   Niagara Purple Eagles (women/students)",
,"17:04:49","00:05","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:04:52","00:08","K","K   Manhattan Jaspers (women/students)",
,"17:04:52","00:08","P","[1 : 0]   P   Manhattan Jaspers (women/students)",
,"17:05:03","00:18","Pt Conf","Pt Conf   Manhattan Jaspers (women/students)",
,"17:05:03","00:19","SRV","SRV   Manhattan Jaspers (women/students)",
,"17:05:09","00:25","RS","RS   Manhattan Jaspers (women/students)",
,"17:05:10","00:25","B POSS","B POSS   Niagara Purple Eagles (women/students)",
,"17:05:16","00:32","K","K   Niagara Purple Eagles (women/students)",
,"17:05:16","00:32","P","[1 : 1]   P   Niagara Purple Eagles (women/students)",
,"17:05:30","00:45","Pt Conf","Pt Conf   Niagara Purple Eagles (women/students)",
,"17:05:30","00:46","SRV","SRV   Niagara Purple Eagles (women/students)",
,"17:05:34","00:49","RS","RS   Niagara Purple Eagles (women/students)",
,"17:05:34","00:50","B POSS","B POSS   Manhattan Jaspers (women/students)",
,"17:05:36","00:51","ERR","ERR   Manhattan Jaspers (women/students)",
,"17:05:36","00:51","P","[1 : 2]   P   Niagara Purple Eagles (women/students)",
,"17:05:45","01:00","Pt Conf","Pt Conf   Niagara Purple Eagles (women/students)",
,"17:05:45","01:01","SRV","SRV   Niagara Purple Eagles (women/students)",
,"17:05:50","01:05","RS","RS   Niagara Purple Eagles (women/students)",
,"17:05:50","01:06","B POSS","B POSS   Manhattan Jaspers (women/students)",
