"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884008","USA","NCAA Women","07.10.2017 - 23:00","Fordham Rams (women/students)","St. Louis Billikens (women/students)",
"Statistics","Fordham Rams (women/students)","Type","St. Louis Billikens (women/students)",
,"2","Score","3",
,"96","Points","111",
,"2","Sets","3",
,"9","Aces","5",
,"11","Service errors","14",
,"49","Kills","65",
,"7","Blocks","11",
,"7","Errors","9",
,"12","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"22:55:02","00:00","Game conditions changed","Game conditions changed",
,"22:55:02","00:00","Players warming up","Players warming up",
,"22:55:10","00:00","Coin flipping","Coin flipping",
,"22:55:11","00:00","Warm up at the net","Warm up at the net",
,"22:55:30","00:00","Jersey colours updated","Jersey colours updated",
,"22:55:31","00:00","Jersey colours updated","Jersey colours updated",
,"22:59:14","00:00","Players lined up","Players lined up",
,"23:00:40","00:00","Players intro","Players intro",
,"23:03:56","00:00","National anthem singing","National anthem singing",
,"23:05:23","00:00","Shake hands","Shake hands",
,"23:05:48","00:00","Game about to start","Game about to start",
,"23:06:34","00:00","Start SRV","Start SRV   St. Louis Billikens (women/students)",
,"23:06:37","00:00","Start 1st Set","Start 1st Set",
,"23:06:38","00:00","SRV","SRV   St. Louis Billikens (women/students)",
,"23:06:45","00:07","RS","RS   St. Louis Billikens (women/students)",
,"23:06:45","00:07","B POSS","B POSS   Fordham Rams (women/students)",
,"23:06:49","00:11","K","K   Fordham Rams (women/students)",
,"23:06:49","00:11","P","[1 : 0]   P   Fordham Rams (women/students)",
,"23:06:56","00:19","Pt Conf","Pt Conf   Fordham Rams (women/students)",
,"23:06:59","00:21","SRV","SRV   Fordham Rams (women/students)",
,"23:07:04","00:26","RS","RS   Fordham Rams (women/students)",
,"23:07:04","00:27","B POSS","B POSS   St. Louis Billikens (women/students)",
,"23:07:07","00:29","K","K   St. Louis Billikens (women/students)",
,"23:07:07","00:29","P","[1 : 1]   P   St. Louis Billikens (women/students)",
,"23:07:17","00:39","Pt Conf","Pt Conf   St. Louis Billikens (women/students)",
,"23:07:21","00:43","SRV","SRV   St. Louis Billikens (women/students)",
,"23:07:25","00:47","RS","RS   St. Louis Billikens (women/students)",
,"23:07:26","00:48","B POSS","B POSS   Fordham Rams (women/students)",
,"23:07:30","00:52","B POSS","B POSS   St. Louis Billikens (women/students)",
,"23:07:34","00:56","ERR","ERR   St. Louis Billikens (women/students)",
,"23:07:34","00:56","P","[2 : 1]   P   Fordham Rams (women/students)",
,"23:07:41","01:03","Pt Conf","Pt Conf   Fordham Rams (women/students)",
,"23:07:48","01:10","SRV","SRV   Fordham Rams (women/students)",
,"23:07:52","01:14","A","A   Fordham Rams (women/students)",
,"23:07:52","01:14","P","[3 : 1]   P   Fordham Rams (women/students)",
