"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885039","Friendly","Developers Cup (women)","08.10.2017 - 12:00","MKS Muszyna SA (women)","VK Agel Prostejov (women)",
"Statistics","MKS Muszyna SA (women)","Type","VK Agel Prostejov (women)",
,"0","Score","3",
,"59","Points","76",
,"0","Sets","3",
,"4","Aces","4",
,"3","Service errors","3",
,"34","Kills","56",
,"8","Blocks","7",
,"3","Errors","6",
,"3","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:25:09","00:00","Game conditions changed","Game conditions changed",
,"11:26:07","00:00","Jersey colours updated","Jersey colours updated",
,"11:26:08","00:00","Jersey colours updated","Jersey colours updated",
,"11:30:36","00:00","Players warming up","Players warming up",
,"11:44:04","00:00","Coin flipping","Coin flipping",
,"11:44:36","00:00","Warm up at the net","Warm up at the net",
,"11:53:59","00:00","Players lined up","Players lined up",
,"11:55:06","00:00","Shake hands","Shake hands",
,"11:55:56","00:00","Game about to start","Game about to start",
,"11:56:58","00:00","Start SRV","Start SRV   MKS Muszyna SA (women)",
,"11:57:02","00:00","Start 1st Set","Start 1st Set",
,"11:57:02","00:00","SRV","SRV   MKS Muszyna SA (women)",
,"11:57:09","00:07","RS","RS   MKS Muszyna SA (women)",
,"11:57:09","00:07","B POSS","B POSS   VK Agel Prostejov (women)",
,"11:57:13","00:11","B","B   MKS Muszyna SA (women)",
,"11:57:13","00:11","P","[1 : 0]   P   MKS Muszyna SA (women)",
,"11:57:27","00:25","Pt Conf","Pt Conf   MKS Muszyna SA (women)",
,"11:57:28","00:25","SRV","SRV   MKS Muszyna SA (women)",
,"11:57:34","00:32","RS","RS   MKS Muszyna SA (women)",
,"11:57:35","00:32","B POSS","B POSS   VK Agel Prostejov (women)",
,"11:57:42","00:40","K","K   VK Agel Prostejov (women)",
,"11:57:42","00:40","P","[1 : 1]   P   VK Agel Prostejov (women)",
,"11:57:54","00:52","Pt Conf","Pt Conf   VK Agel Prostejov (women)",
,"11:57:55","00:52","SRV","SRV   VK Agel Prostejov (women)",
,"11:58:03","01:01","RS","RS   VK Agel Prostejov (women)",
,"11:58:03","01:01","B POSS","B POSS   MKS Muszyna SA (women)",
,"11:58:08","01:05","B POSS","B POSS   VK Agel Prostejov (women)",
,"11:58:13","01:11","K","K   VK Agel Prostejov (women)",
,"11:58:13","01:11","P","[1 : 2]   P   VK Agel Prostejov (women)",
,"11:58:29","01:26","Pt Conf","Pt Conf   VK Agel Prostejov (women)",
,"11:58:30","01:27","SRV","SRV   VK Agel Prostejov (women)",
,"11:58:37","01:35","RS","RS   VK Agel Prostejov (women)",
,"11:58:37","01:35","B POSS","B POSS   MKS Muszyna SA (women)",
