"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884429","Friendly","Ho Chi Minh City Open Cup (men)","08.10.2017 - 09:00","Cong An TP HCM","Quan Doan 4",
"Statistics","Cong An TP HCM","Type","Quan Doan 4",
,"0","Score","3",
,"84","Points","90",
,"0","Sets","3",
,"2","Aces","7",
,"11","Service errors","17",
,"41","Kills","45",
,"12","Blocks","15",
,"5","Errors","8",
,"7","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"08:23:47","00:00","Game conditions changed","Game conditions changed",
,"08:32:31","00:00","Coin flipping","Coin flipping",
,"08:32:32","00:00","Players lined up","Players lined up",
,"08:32:44","00:00","Shake hands","Shake hands",
,"08:33:07","00:00","Jersey colours updated","Jersey colours updated",
,"08:33:08","00:00","Jersey colours updated","Jersey colours updated",
,"08:33:09","00:00","Players warming up","Players warming up",
,"08:52:18","00:00","Warm up at the net","Warm up at the net",
,"08:59:43","00:00","Players intro","Players intro",
,"09:00:28","00:00","Game about to start","Game about to start",
,"09:00:49","00:00","Start SRV","Start SRV   Quan Doan 4",
,"09:00:49","00:00","Start 1st Set","Start 1st Set",
,"09:00:49","00:00","SRV","SRV   Quan Doan 4",
,"09:00:55","00:06","S ERR","S ERR   Quan Doan 4",
,"09:00:55","00:06","P","[1 : 0]   P   Cong An TP HCM",
,"09:01:07","00:17","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:01:09","00:19","SRV","SRV   Cong An TP HCM",
,"09:01:14","00:25","RS","RS   Cong An TP HCM",
,"09:01:15","00:25","B POSS","B POSS   Quan Doan 4",
,"09:01:24","00:34","B","B   Cong An TP HCM",
,"09:01:24","00:34","P","[2 : 0]   P   Cong An TP HCM",
,"09:01:34","00:45","Pt Conf","Pt Conf   Cong An TP HCM",
,"09:01:35","00:46","SRV","SRV   Cong An TP HCM",
,"09:01:42","00:53","S ERR","S ERR   Cong An TP HCM",
,"09:01:42","00:53","P","[2 : 1]   P   Quan Doan 4",
,"09:01:49","00:59","Pt Conf","Pt Conf   Quan Doan 4",
,"09:01:50","01:00","SRV","SRV   Quan Doan 4",
,"09:01:56","01:07","RS","RS   Quan Doan 4",
,"09:01:57","01:07","B POSS","B POSS   Cong An TP HCM",
,"09:01:59","01:10","B","B   Quan Doan 4",
,"09:01:59","01:10","P","[2 : 2]   P   Quan Doan 4",
,"09:02:09","01:20","Pt Conf","Pt Conf   Quan Doan 4",
,"09:02:10","01:20","SRV","SRV   Quan Doan 4",
,"09:02:17","01:28","RS","RS   Quan Doan 4",
,"09:02:18","01:28","B POSS","B POSS   Cong An TP HCM",
,"09:02:22","01:33","B POSS","B POSS   Quan Doan 4",
,"09:02:26","01:37","K","K   Quan Doan 4",
,"09:02:26","01:37","P","[2 : 3]   P   Quan Doan 4",
,"09:02:40","01:50","Pt Conf","Pt Conf   Quan Doan 4",
,"09:02:41","01:51","SRV","SRV   Quan Doan 4",
,"09:02:48","01:58","RS","RS   Quan Doan 4",
,"09:02:49","01:59","B POSS","B POSS   Cong An TP HCM",
,"09:02:53","02:04","B POSS","B POSS   Quan Doan 4",
,"09:02:55","02:06","K","K   Quan Doan 4",
,"09:02:55","02:06","P","[2 : 4]   P   Quan Doan 4",
,"09:03:07","02:17","Pt Conf","Pt Conf   Quan Doan 4",
,"09:03:08","02:18","SRV","SRV   Quan Doan 4",
,"09:03:15","02:26","RS","RS   Quan Doan 4",
,"09:03:16","02:26","B POSS","B POSS   Cong An TP HCM",
,"09:03:18","02:28","K","K   Cong An TP HCM",
