"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885813","Friendly","Memorial Agata Mroz-Olszewska","08.10.2017 - 08:00","TJ Sokol Frydek-Mistek (women)","Hapoel Kfar Saba (women)",
"Statistics","TJ Sokol Frydek-Mistek (women)","Type","Hapoel Kfar Saba (women)",
,"0","Score","3",
,"46","Points","75",
,"0","Sets","3",
,"3","Aces","3",
,"6","Service errors","8",
,"25","Kills","42",
,"0","Blocks","5",
,"11","Errors","4",
,"8","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"07:20:41","00:00","Game conditions changed","Game conditions changed",
,"07:20:42","00:00","Players warming up","Players warming up",
,"07:42:49","00:00","Jersey colours updated","Jersey colours updated",
,"07:42:49","00:00","Jersey colours updated","Jersey colours updated",
,"07:44:51","00:00","Coin flipping","Coin flipping",
,"07:45:17","00:00","Warm up at the net","Warm up at the net",
,"07:58:06","00:00","Players lined up","Players lined up",
,"07:58:17","00:00","Shake hands","Shake hands",
,"08:00:23","00:00","Game about to start","Game about to start",
,"08:00:49","00:00","Start SRV","Start SRV   TJ Sokol Frydek-Mistek (women)",
,"08:00:59","00:00","Start 1st Set","Start 1st Set",
,"08:00:59","00:00","SRV","SRV   TJ Sokol Frydek-Mistek (women)",
,"08:01:09","00:09","RS","RS   TJ Sokol Frydek-Mistek (women)",
,"08:01:09","00:10","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"08:01:14","00:14","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:01:18","00:18","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"08:01:21","00:22","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:01:28","00:28","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"08:01:32","00:32","K","K   Hapoel Kfar Saba (women)",
,"08:01:32","00:32","P","[0 : 1]   P   Hapoel Kfar Saba (women)",
,"08:01:49","00:50","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"08:01:50","00:51","SRV","SRV   Hapoel Kfar Saba (women)",
,"08:01:55","00:55","A","A   Hapoel Kfar Saba (women)",
,"08:01:55","00:55","P","[0 : 2]   P   Hapoel Kfar Saba (women)",
,"08:02:10","01:10","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"08:02:10","01:11","SRV","SRV   Hapoel Kfar Saba (women)",
,"08:02:12","01:12","RS","RS   Hapoel Kfar Saba (women)",
,"08:02:12","01:13","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:02:20","01:21","B","B   Hapoel Kfar Saba (women)",
,"08:02:20","01:21","P","[0 : 3]   P   Hapoel Kfar Saba (women)",
,"08:02:35","01:36","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"08:02:36","01:37","SRV","SRV   Hapoel Kfar Saba (women)",
,"08:02:38","01:39","RS","RS   Hapoel Kfar Saba (women)",
,"08:02:39","01:39","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:02:42","01:43","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"08:02:45","01:46","ERR","ERR   Hapoel Kfar Saba (women)",
,"08:02:45","01:46","P","[1 : 3]   P   TJ Sokol Frydek-Mistek (women)",
,"08:03:01","02:01","Pt Conf","Pt Conf   TJ Sokol Frydek-Mistek (women)",
,"08:03:03","02:03","SRV","SRV   TJ Sokol Frydek-Mistek (women)",
,"08:03:05","02:06","S ERR","S ERR   TJ Sokol Frydek-Mistek (women)",
,"08:03:05","02:06","P","[1 : 4]   P   Hapoel Kfar Saba (women)",
,"08:03:20","02:21","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"08:03:20","02:21","SRV","SRV   Hapoel Kfar Saba (women)",
,"08:03:23","02:24","RS","RS   Hapoel Kfar Saba (women)",
,"08:03:24","02:24","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:03:29","02:29","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"08:03:33","02:34","K","K   Hapoel Kfar Saba (women)",
,"08:03:33","02:34","P","[1 : 5]   P   Hapoel Kfar Saba (women)",
,"08:03:47","02:47","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"08:03:50","02:50","SRV","SRV   Hapoel Kfar Saba (women)",
,"08:03:54","02:54","RS","RS   Hapoel Kfar Saba (women)",
,"08:03:54","02:55","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:03:59","03:00","OUT","OUT   TJ Sokol Frydek-Mistek (women)",
,"08:03:59","03:00","P","[1 : 6]   P   Hapoel Kfar Saba (women)",
,"08:04:03","03:03","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"08:04:03","03:04","TIME","TIME",
,"08:04:04","03:04","TIME","TIME   TJ Sokol Frydek-Mistek (women)",
,"08:04:56","03:57","SRV","SRV   Hapoel Kfar Saba (women)",
,"08:04:59","04:00","RS","RS   Hapoel Kfar Saba (women)",
,"08:04:59","04:00","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:05:04","04:05","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"08:05:08","04:08","K","K   Hapoel Kfar Saba (women)",
,"08:05:08","04:08","P","[1 : 7]   P   Hapoel Kfar Saba (women)",
,"08:05:20","04:20","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"08:05:24","04:25","SRV","SRV   Hapoel Kfar Saba (women)",
,"08:05:27","04:27","RS","RS   Hapoel Kfar Saba (women)",
,"08:05:27","04:28","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:05:34","04:34","K","K   TJ Sokol Frydek-Mistek (women)",
,"08:05:34","04:34","P","[2 : 7]   P   TJ Sokol Frydek-Mistek (women)",
,"08:05:47","04:48","Pt Conf","Pt Conf   TJ Sokol Frydek-Mistek (women)",
,"08:05:48","04:49","SRV","SRV   TJ Sokol Frydek-Mistek (women)",
,"08:05:50","04:50","RS","RS   TJ Sokol Frydek-Mistek (women)",
,"08:05:50","04:51","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"08:05:55","04:56","K","K   Hapoel Kfar Saba (women)",
,"08:05:55","04:56","P","[2 : 8]   P   Hapoel Kfar Saba (women)",
,"08:06:08","05:08","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"08:06:10","05:11","SRV","SRV   Hapoel Kfar Saba (women)",
,"08:06:12","05:13","RS","RS   Hapoel Kfar Saba (women)",
,"08:06:13","05:13","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:06:16","05:17","K","K   TJ Sokol Frydek-Mistek (women)",
,"08:06:16","05:17","P","[3 : 8]   P   TJ Sokol Frydek-Mistek (women)",
,"08:06:31","05:32","Pt Conf","Pt Conf   TJ Sokol Frydek-Mistek (women)",
,"08:06:32","05:32","SRV","SRV   TJ Sokol Frydek-Mistek (women)",
,"08:06:34","05:35","RS","RS   TJ Sokol Frydek-Mistek (women)",
,"08:06:35","05:35","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"08:06:40","05:40","K","K   Hapoel Kfar Saba (women)",
,"08:06:40","05:40","P","[3 : 9]   P   Hapoel Kfar Saba (women)",
,"08:06:55","05:56","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"08:06:59","05:59","SRV","SRV   Hapoel Kfar Saba (women)",
,"08:07:02","06:03","RS","RS   Hapoel Kfar Saba (women)",
,"08:07:03","06:03","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:07:06","06:07","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"08:07:07","06:07","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:07:11","06:12","K","K   TJ Sokol Frydek-Mistek (women)",
,"08:07:11","06:12","P","[4 : 9]   P   TJ Sokol Frydek-Mistek (women)",
,"08:07:27","06:28","Pt Conf","Pt Conf   TJ Sokol Frydek-Mistek (women)",
,"08:07:29","06:29","SRV","SRV   TJ Sokol Frydek-Mistek (women)",
,"08:07:32","06:33","RS","RS   TJ Sokol Frydek-Mistek (women)",
,"08:07:33","06:33","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"08:07:40","06:41","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:07:45","06:45","ERR","ERR   TJ Sokol Frydek-Mistek (women)",
,"08:07:45","06:45","P","[4 : 10]   P   Hapoel Kfar Saba (women)",
,"08:08:00","07:00","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"08:08:05","07:05","SRV","SRV   Hapoel Kfar Saba (women)",
,"08:08:08","07:08","RS","RS   Hapoel Kfar Saba (women)",
,"08:08:08","07:08","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:08:12","07:12","ERR","ERR   TJ Sokol Frydek-Mistek (women)",
,"08:08:12","07:12","P","[4 : 11]   P   Hapoel Kfar Saba (women)",
,"08:08:22","07:23","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"08:08:30","07:31","SRV","SRV   Hapoel Kfar Saba (women)",
,"08:08:33","07:34","RS","RS   Hapoel Kfar Saba (women)",
,"08:08:33","07:34","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:08:37","07:38","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"08:08:42","07:42","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:08:48","07:49","K","K   TJ Sokol Frydek-Mistek (women)",
,"08:08:48","07:49","P","[5 : 11]   P   TJ Sokol Frydek-Mistek (women)",
,"08:09:04","08:05","Pt Conf","Pt Conf   TJ Sokol Frydek-Mistek (women)",
,"08:09:06","08:06","SRV","SRV   TJ Sokol Frydek-Mistek (women)",
,"08:09:10","08:10","RS","RS   TJ Sokol Frydek-Mistek (women)",
,"08:09:10","08:11","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"08:09:14","08:14","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:09:17","08:18","K","K   Hapoel Kfar Saba (women)",
,"08:09:17","08:18","P","[5 : 12]   P   Hapoel Kfar Saba (women)",
,"08:09:35","08:35","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"08:09:37","08:37","SRV","SRV   Hapoel Kfar Saba (women)",
,"08:09:39","08:39","RS","RS   Hapoel Kfar Saba (women)",
,"08:09:39","08:39","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:09:43","08:44","B","B   Hapoel Kfar Saba (women)",
,"08:09:43","08:44","P","[5 : 13]   P   Hapoel Kfar Saba (women)",
,"08:10:01","09:01","Pt Conf","Pt Conf   Hapoel Kfar Saba (women)",
,"08:10:03","09:04","SRV","SRV   Hapoel Kfar Saba (women)",
,"08:10:05","09:06","RS","RS   Hapoel Kfar Saba (women)",
,"08:10:05","09:06","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:10:09","09:09","B POSS","B POSS   Hapoel Kfar Saba (women)",
,"08:10:12","09:13","B POSS","B POSS   TJ Sokol Frydek-Mistek (women)",
,"08:10:17","09:17","K","K   TJ Sokol Frydek-Mistek (women)",
,"08:10:17","09:17","P","[6 : 13]   P   TJ Sokol Frydek-Mistek (women)",
