"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885815","Friendly","Memorial Agata Mroz-Olszewska","08.10.2017 - 10:45","MKS Dabrowa Gornicza (women)","Bekescsabai RSE (women)",
"Statistics","MKS Dabrowa Gornicza (women)","Type","Bekescsabai RSE (women)",
,"3","Score","1",
,"94","Points","72",
,"3","Sets","1",
,"5","Aces","6",
,"12","Service errors","11",
,"44","Kills","40",
,"16","Blocks","4",
,"3","Errors","9",
,"7","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"09:58:22","00:00","Game conditions changed","Game conditions changed",
,"09:58:24","00:00","Players warming up","Players warming up",
,"10:20:37","00:00","Jersey colours updated","Jersey colours updated",
,"10:20:39","00:00","Jersey colours updated","Jersey colours updated",
,"10:30:21","00:00","Coin flipping","Coin flipping",
,"10:31:04","00:00","Warm up at the net","Warm up at the net",
,"10:42:15","00:00","Players lined up","Players lined up",
,"10:42:49","00:00","Shake hands","Shake hands",
,"10:45:33","00:00","Game about to start","Game about to start",
,"10:46:09","00:00","Start SRV","Start SRV   Bekescsabai RSE (women)",
,"10:46:21","00:00","Start 1st Set","Start 1st Set",
,"10:46:21","00:00","SRV","SRV   Bekescsabai RSE (women)",
,"10:46:26","00:04","RS","RS   Bekescsabai RSE (women)",
,"10:46:26","00:05","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"10:46:29","00:07","B POSS","B POSS   Bekescsabai RSE (women)",
,"10:46:33","00:12","B","B   MKS Dabrowa Gornicza (women)",
,"10:46:33","00:12","P","[1 : 0]   P   MKS Dabrowa Gornicza (women)",
,"10:46:48","00:27","Pt Conf","Pt Conf   MKS Dabrowa Gornicza (women)",
,"10:46:51","00:29","SRV","SRV   MKS Dabrowa Gornicza (women)",
,"10:46:53","00:32","RS","RS   MKS Dabrowa Gornicza (women)",
,"10:46:53","00:32","B POSS","B POSS   Bekescsabai RSE (women)",
,"10:46:59","00:38","K","K   Bekescsabai RSE (women)",
,"10:46:59","00:38","P","[1 : 1]   P   Bekescsabai RSE (women)",
,"10:47:21","00:59","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"10:47:21","01:00","SRV","SRV   Bekescsabai RSE (women)",
,"10:47:21","01:00","Danger","Danger",
,"10:47:21","01:00","Scout offline","Scout offline",
,"10:47:37","01:16","Updating score","Updating score",
,"10:47:39","01:17","K","K   MKS Dabrowa Gornicza (women)",
,"10:47:39","01:17","P","[2 : 1]   P   MKS Dabrowa Gornicza (women)",
,"10:47:42","01:21","Score updated","Score updated",
,"10:47:44","01:22","SRV","SRV   MKS Dabrowa Gornicza (women)",
,"10:47:48","01:27","S ERR","S ERR   MKS Dabrowa Gornicza (women)",
,"10:47:48","01:27","P","[2 : 2]   P   Bekescsabai RSE (women)",
,"10:48:00","01:39","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"10:48:04","01:42","SRV","SRV   Bekescsabai RSE (women)",
,"10:48:05","01:44","RS","RS   Bekescsabai RSE (women)",
,"10:48:06","01:44","B POSS","B POSS   MKS Dabrowa Gornicza (women)",
,"10:48:10","01:48","K","K   MKS Dabrowa Gornicza (women)",
,"10:48:10","01:48","P","[3 : 2]   P   MKS Dabrowa Gornicza (women)",
,"10:48:26","02:05","Pt Conf","Pt Conf   MKS Dabrowa Gornicza (women)",
